clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_ACC	codon_TAA	codon_CCC	codon_TAC	codon_CCT	codon_AAC	codon_CTA	codon_GGC	codon_AGA	codon_CGT	codon_GCT	codon_TGC	codon_AGC	codon_ATG	codon_TGG	codon_TTG	codon_GGG	codon_CCG	codon_AGT	codon_TCC	codon_CTT	codon_CTG	codon_CGG	codon_CTC	codon_GCC	codon_AAG	codon_AGG	codon_TCT	codon_TAT	codon_TCA	codon_GGT	codon_ACT	codon_CAC	codon_GAG	codon_GTC	codon_ATT	codon_GCG	codon_TGT	codon_CAT	codon_CGC	codon_CAA	codon_GAC	codon_GGA	codon_CAG	codon_ATC	codon_TTC	codon_CCA	codon_GTG	codon_AAA	codon_AAT	codon_GAA	codon_TCG	codon_ATA	codon_CGA	codon_GCA	codon_GTT	codon_ACG	codon_GAT	codon_ACA	codon_TTA	codon_TTT	codon_GTA	codon_TGA	codon_TAG
NC_073273.2	1::NC_073273.2:46455423-46461399	5976	False	0.5134	0	1.0		89.0	1.0	384.0	2.0	3.0	5.0	5.0	17.0	16.0	9.0	4.0	2.0	8.0	15.0	8.0		2.0	389.0	427.0	7.0		18.0	2.0	2.0	5.0	22.0	1.0	3.0	2.0	4.0	6.0	1.0	2.0			5.0	3.0	1.0		2.0	9.0	10.0	2.0	405.0	5.0	3.0	13.0	2.0	5.0	16.0	1.0			9.0	2.0	1.0	3.0	4.0	29.0			
NC_073273.2	-3::NC_073273.2:46455566-46461203	5637	False	0.5141	0	1.0	1.0	69.0	1.0	405.0			1.0	1.0	8.0	12.0	12.0	2.0	1.0	4.0	4.0	6.0	1.0		398.0	398.0	2.0		13.0	4.0	2.0	6.0	20.0	1.0			2.0	2.0	1.0	1.0	1.0		2.0			1.0	2.0	1.0	4.0	2.0	407.0	3.0	2.0	1.0	2.0	1.0	15.0			3.0	15.0	1.0		1.0		35.0		1.0	
NC_073273.2	-1::NC_073273.2:46455700-46461064	5364	False	0.5172	0			91.0	1.0	378.0			1.0		15.0	4.0	12.0	1.0		1.0	12.0	1.0	1.0	1.0	383.0	396.0	1.0		9.0				15.0	1.0			2.0	1.0			1.0					1.0		1.0	2.0		416.0						7.0				16.0		1.0	1.0		15.0			
NC_073273.2	-2::NC_073273.2:46455729-46461078	5349	False	0.5177	0			84.0		383.0					15.0	13.0	4.0				12.0	1.0		1.0	387.0	419.0	1.0		10.0				11.0				1.0	1.0	1.0										1.0		396.0	2.0					15.0				8.0					17.0			
NC_073273.2	3::NC_073273.2:46455752-46461176	5424	False	0.5118	0			69.0	1.0	405.0			1.0		8.0	11.0	12.0				4.0				397.0	397.0			11.0				20.0							1.0	1.0										407.0						15.0			1.0	15.0					32.0			
NC_073273.2	2::NC_073273.2:46586068-46593370	7302	False	0.6134	1	30.0		166.0	33.0	171.0	2.0		5.0	81.0	25.0	7.0	28.0	157.0	40.0	4.0		2.0	2.0	1.0	208.0	8.0	8.0	3.0	322.0	87.0	2.0		156.0	33.0	13.0	1.0		23.0	80.0	47.0	3.0	23.0	25.0	81.0	13.0	1.0	6.0	2.0	158.0	5.0	9.0	159.0	8.0	2.0		2.0	2.0	66.0	2.0	80.0	1.0	24.0		12.0	2.0	3.0			
NC_073273.2	1::NC_073273.2:46586403-46593360	6957	False	0.6174	1	30.0		161.0	33.0	170.0			2.0	79.0	26.0	2.0	25.0	149.0	46.0	2.0	1.0	2.0	1.0		207.0	4.0	3.0	2.0	310.0	92.0	1.0		154.0	26.0	9.0	2.0		20.0	79.0	43.0	1.0	21.0	21.0	81.0	13.0	2.0	1.0	1.0	155.0	7.0	10.0	158.0						63.0	1.0	79.0	2.0	16.0	1.0	4.0	1.0				
NC_073273.2	3::NC_073273.2:46586435-46593251	6816	False	0.6181	1	29.0		155.0	27.0	163.0				79.0	28.0	2.0	24.0	152.0	44.0	2.0		1.0	1.0		209.0	7.0	3.0		308.0	90.0		1.0	149.0	35.0	13.0			18.0	77.0	49.0	2.0	22.0	14.0	78.0	15.0	1.0	1.0		150.0	4.0	5.0	156.0						59.0		80.0		17.0	1.0	1.0					
NC_073273.2	-1::NC_073273.2:46741186-46748107	6921	False	0.6427	2	1.0		7.0	1.0	58.0	4.0		9.0	4.0	96.0	51.0	54.0	3.0	5.0	106.0	2.0	224.0	99.0	11.0	156.0	4.0	231.0	7.0	113.0	6.0	7.0	7.0	234.0	1.0		95.0	2.0	3.0	13.0	266.0		3.0	194.0	2.0		3.0	6.0	15.0	4.0	5.0	3.0	4.0	146.0	4.0	1.0	7.0	1.0		3.0	3.0	2.0	5.0	2.0	2.0		3.0	2.0	6.0	1.0
NC_073273.2	2::NC_073273.2:46741570-46747420	5850	False	0.6453	1	1.0		1.0		47.0	2.0		6.0	2.0	87.0	46.0	45.0	1.0	2.0	94.0	1.0	193.0	88.0	10.0	133.0		197.0	3.0	102.0	4.0	3.0	4.0	206.0	1.0		83.0	2.0		9.0	237.0		2.0	173.0	1.0		2.0	1.0	11.0	3.0	2.0	2.0	3.0	124.0	3.0		2.0			2.0	2.0	2.0	3.0	1.0				1.0		
NC_073273.2	1::NC_073273.2:46741632-46747827	6195	False	0.645	1	1.0		2.0		58.0	1.0		2.0	1.0	92.0	45.0	47.0	4.0	1.0	98.0		205.0	96.0	11.0	141.0		198.0	3.0	111.0	3.0	2.0	3.0	218.0		1.0	93.0		3.0	15.0	251.0			192.0	4.0	2.0	1.0	1.0	10.0			1.0	2.0	134.0	2.0		3.0		1.0		1.0	1.0	1.0	1.0	1.0		1.0			
NC_073273.2	-3::NC_073273.2:46741721-46747826	6105	False	0.6442	1					48.0			3.0	2.0	89.0	50.0	45.0	1.0	1.0	103.0		198.0	93.0	8.0	152.0		203.0	2.0	117.0	2.0	1.0	1.0	211.0			91.0			12.0	242.0			196.0	1.0		1.0	1.0	11.0		1.0		5.0	133.0	3.0	1.0	1.0			1.0	1.0		1.0				1.0		1.0	1.0
NC_073273.2	-2::NC_073273.2:46741728-46748334	6606	False	0.6438	1	1.0				66.0			1.0		101.0	49.0	47.0	2.0	3.0	104.0		218.0	100.0	10.0	152.0		213.0	2.0	116.0	3.0	2.0	2.0	236.0			103.0		2.0	14.0	277.0			203.0	6.0	1.0			11.0		2.0	2.0	2.0	142.0	2.0		1.0		1.0		1.0			1.0	1.0		1.0			1.0
NC_073273.2	3::NC_073273.2:46741802-46748114	6312	False	0.6454	1			1.0		50.0		1.0	2.0		92.0	51.0	48.0			110.0		209.0	95.0	8.0	159.0		208.0	2.0	124.0	1.0	1.0	1.0	217.0	1.0		93.0			12.0	251.0			210.0	1.0		1.0		11.0		1.0		5.0	136.0	1.0								1.0							
NC_073273.2	-2::NC_073273.2:46809081-46814910	5829	False	0.6282	1	5.0		155.0	1.0	68.0	2.0		10.0	2.0	17.0	9.0	15.0	67.0	49.0	108.0	45.0	62.0	29.0	37.0	47.0	2.0	53.0	7.0	7.0	37.0	5.0	76.0	3.0			41.0	5.0	30.0	90.0	55.0	3.0	3.0	25.0	1.0	29.0	2.0	45.0	212.0	42.0	1.0	13.0	3.0	19.0	1.0	1.0	9.0	3.0	1.0	2.0	30.0	86.0	20.0	72.0	29.0		3.0	66.0	37.0	46.0
NC_073273.2	-3::NC_073273.2:46809476-46814501	5025	False	0.6285	1		2.0	162.0	1.0	38.0				10.0	46.0	2.0	5.0	40.0	42.0	104.0	29.0	37.0	15.0	65.0	42.0		79.0	1.0	1.0	30.0		137.0	1.0			67.0	3.0	23.0	71.0	33.0		2.0	19.0	1.0	17.0	1.0	26.0	125.0	66.0		6.0		1.0			2.0	1.0		1.0	25.0	51.0	26.0	44.0	36.0		2.0	43.0	64.0	30.0
NC_073273.2	-3::NC_073273.2:46944917-46951889	6972	False	0.498	0				1.0		1.0			2.0					1.0	1.0					1.0							1148.0		2.0		1.0					1.0		1.0	2.0					1.0		1.0		1.0			1.0		2.0			1150.0	1.0	1.0	1.0		1.0			2.0
NC_073273.2	-1::NC_073273.2:46944949-46953997	9048	False	0.4992	1		1.0		1.0		1.0			1.0								2.0						1.0				259.0		2.0		1239.0							1.0	1.0							1.0										262.0		1.0	2.0			1.0	1.0	1239.0
NC_073273.2	1::NC_073273.2:46944990-46951890	6900	False	0.5	0																1.0	1147.0						1.0				1.0				1.0							1.0																						1148.0				
NC_073273.2	3::NC_073273.2:46944998-46953998	9000	False	0.5	1																1.0	260.0										1239.0				1.0																									1239.0				259.0	1.0			
NC_073249.2	-3::NC_073249.2:0-8107	8107	False	0.5009	0	1190.0	154.0	161.0				1195.0																																		2.0																							
NC_073249.2	3::NC_073249.2:2-8108	8106	False	0.5009	0	161.0				1195.0	1190.0	154.0																																								2.0																	
NC_073249.2	-2::NC_073249.2:1268-8114	6846	False	0.5013	0	9.0	1.0	1.0		1138.0	1131.0																																									2.0																	
NC_073249.2	1::NC_073249.2:1269-8157	6888	False	0.5023	0	1131.0		10.0		7.0	2.0	1137.0														1.0												6.0								2.0																							
NC_073249.2	2::NC_073249.2:97494343-97501411	7068	False	0.4934	1	20.0		3.0	15.0	7.0	12.0	2.0	131.0	96.0	3.0	14.0	3.0	38.0	4.0	8.0	7.0	69.0		89.0	84.0	4.0	6.0		2.0	17.0	11.0	36.0	149.0	47.0	173.0	87.0	86.0	89.0	56.0	13.0	9.0		21.0	157.0	1.0	136.0	25.0	196.0	109.0	2.0	5.0	15.0	13.0	13.0	13.0	54.0	2.0	15.0	7.0	6.0	14.0		23.0	82.0	3.0	50.0	4.0		
NC_073249.2	-1::NC_073249.2:225910365-225915756	5391	False	0.5478	0			46.0		85.0	1.0		81.0	7.0	1.0	57.0		2.0		123.0	56.0	1.0	1.0		57.0	60.0	79.0	1.0	1.0	2.0	59.0	135.0	23.0			137.0	1.0		56.0	38.0			94.0			1.0		69.0	2.0	1.0	83.0		141.0	11.0		58.0				1.0	60.0	1.0				82.0		83.0	
NC_073249.2	-2::NC_073249.2:225910397-225916040	5643	False	0.5497	0	3.0		65.0	1.0	58.0	1.0		65.0	16.0	2.0	65.0	3.0	5.0	2.0	166.0	62.0	3.0			62.0	83.0	103.0	1.0	1.0	6.0	82.0	125.0	23.0			118.0	1.0	3.0	61.0	23.0		1.0	127.0	2.0			2.0	47.0	4.0	2.0	57.0	2.0	149.0	9.0		63.0				4.0	81.0	1.0	2.0	2.0		59.0		57.0	1.0
NC_073249.2	-3::NC_073249.2:225910483-225915850	5367	False	0.5469	0			40.0		60.0			61.0	12.0	1.0	81.0	1.0	1.0	1.0	114.0	81.0	3.0			81.0	57.0	105.0	1.0			57.0	106.0	38.0			141.0		1.0	81.0	20.0		1.0	101.0	2.0			2.0	54.0	1.0		60.0		156.0	13.0		76.0	1.0	1.0			56.0	1.0				60.0		60.0	
NC_073249.2	3::NC_073249.2:227246636-227262338	15702	False	0.626	1	391.0		487.0	12.0	501.0	14.0	10.0	4.0	3.0	2.0	7.0	9.0	1.0	3.0	2.0	1.0	1.0	11.0	3.0	789.0	9.0	8.0	2.0	481.0	7.0	2.0	3.0	8.0	6.0	9.0	1.0	10.0	692.0	4.0	4.0	4.0		3.0	310.0	12.0	24.0	7.0		5.0	284.0	12.0	673.0	4.0	20.0	4.0		4.0	14.0		9.0	1.0	5.0	2.0	333.0		6.0	1.0		
NC_073249.2	1::NC_073249.2:227246718-227262249	15531	False	0.6284	1	387.0		485.0	7.0	509.0	17.0	5.0	3.0	2.0	2.0	7.0	5.0	3.0	1.0	4.0	2.0	1.0	5.0	1.0	761.0	9.0	10.0	2.0	497.0	9.0		2.0	9.0	15.0	4.0	4.0	7.0	711.0		3.0	1.0	1.0		283.0	14.0	20.0	2.0		6.0	298.0	10.0	670.0	1.0	21.0	3.0		2.0	18.0	1.0	8.0	1.0	5.0		323.0					
NC_073249.2	2::NC_073249.2:227247043-227262286	15243	False	0.6274	1	373.0		487.0	4.0	478.0	21.0	9.0		3.0	1.0	3.0	7.0	1.0	1.0				4.0	1.0	785.0	6.0	6.0		499.0	6.0			10.0	17.0	4.0		3.0	698.0		1.0	6.0		2.0	277.0	5.0	17.0	3.0		2.0	287.0	7.0	659.0		12.0	5.0	1.0	1.0	7.0	2.0	4.0		3.0		353.0					
NC_073249.2	-1::NC_073249.2:227255586-227262144	6558	False	0.6346	1	179.0		212.0	6.0	221.0	2.0			1.0		1.0	3.0						4.0		314.0	1.0	2.0		205.0				3.0	4.0			1.0	325.0			1.0			121.0	4.0	2.0	1.0		3.0	126.0	2.0	290.0		1.0				3.0		1.0				147.0					
NC_073249.2	1::NC_073249.2:227694354-227703972	9618	False	0.4988	0			1.0		2.0				1.0		2.0	1.0			1.0	5.0	1577.0		1.0		1.0	3.0		1.0			4.0	4.0		1.0	3.0	2.0		1.0	1.0				1.0			1.0		1.0		1.0		1.0		3.0						2.0				1577.0	7.0			
NC_073249.2	-2::NC_073249.2:227694449-227703971	9522	False	0.5004	0	1.0										2.0	1.0			1.0												1577.0	1.0			2.0		1.0		2.0			1.0			1.0		1.0	1.0				2.0								1577.0								3.0
NC_073249.2	-3::NC_073249.2:227694502-227704597	10095	False	0.5001	0																1.0	2.0										34.0				1646.0																									35.0								1647.0
NC_073249.2	3::NC_073249.2:227694503-227704598	10095	False	0.5	0															1.0		34.0										1647.0				2.0																									1646.0				34.0	1.0			
NC_073259.2	1::NC_073259.2:3492-8616	5124	False	0.5004	0	789.0		2.0	1.0	63.0	63.0	790.0																																																									
NC_073259.2	-2::NC_073259.2:3497-8615	5118	False	0.5002	0	1.0	63.0	63.0		790.0	789.0																																																										
NC_073259.2	-1::NC_073259.2:8787840-8793411	5571	False	0.5972	0	1.0		4.0		91.0			27.0	290.0	58.0		1.0	1.0	1.0	50.0	5.0	272.0		1.0	2.0	2.0	3.0		3.0	26.0	50.0	137.0	3.0	5.0		114.0	1.0	1.0	114.0		1.0	25.0	1.0	7.0	29.0		1.0	44.0	8.0	1.0	1.0	1.0	98.0	112.0		1.0	1.0		4.0	90.0	3.0					1.0	24.0	41.0	100.0
NC_073259.2	-3::NC_073259.2:8787988-8793586	5598	False	0.5972	0		1.0	5.0		30.0	1.0		90.0	76.0	20.0	4.0	90.0	5.0	1.0	4.0	1.0	159.0	1.0	34.0	1.0	4.0	93.0		2.0	1.0	1.0	156.0	5.0	2.0		110.0		3.0	288.0	1.0	7.0		2.0		5.0	88.0	1.0	101.0	2.0	3.0	2.0		112.0	112.0		86.0				55.0	1.0		1.0	3.0		1.0	58.0	15.0	22.0
NC_073259.2	-2::NC_073259.2:8788019-8793506	5487	False	0.5989	0					4.0			112.0	88.0	1.0	1.0	29.0	2.0	1.0	173.0	7.0	68.0		10.0	1.0	1.0	28.0		3.0	90.0	176.0	212.0	1.0			111.0			161.0	1.0	2.0	90.0	1.0			24.0	2.0	25.0	29.0		3.0		57.0	109.0		28.0				7.0	3.0	1.0		2.0			105.0	2.0	58.0
NC_073259.2	-2::NC_073259.2:138824039-138831683	7644	False	0.4626	1		1.0		1.0				2.0	288.0	113.0	3.0	2.0		27.0	81.0	3.0	328.0		109.0		1.0	2.0	1.0				9.0	1.0	344.0		12.0		2.0	61.0		2.0	1.0	486.0	121.0			5.0	395.0	1.0			1.0	9.0	1.0	6.0	3.0		20.0	1.0	1.0		2.0	25.0	8.0		2.0	6.0	55.0	6.0
NC_073259.2	-1::NC_073259.2:138824259-138831759	7500	False	0.4669	1		1.0	1.0	1.0				6.0	7.0	1.0	1.0		1.0	401.0	9.0	2.0	71.0		58.0			4.0				1.0	6.0		6.0		335.0	1.0		55.0	112.0	2.0		11.0	3.0		1.0	122.0	8.0	3.0	2.0	2.0	1.0	266.0	2.0	2.0	2.0		69.0	1.0	2.0	3.0	2.0	561.0	4.0		1.0	337.0	8.0	5.0
NC_073259.2	1::NC_073259.2:138824535-138831636	7101	False	0.4678	1								3.0	2.0	1.0				392.0	2.0		69.0		57.0			1.0				1.0			3.0		330.0			54.0	110.0	1.0		3.0	1.0			120.0	3.0		1.0	1.0		257.0		1.0	2.0		65.0		2.0	3.0	1.0	548.0	2.0			331.0		
NC_073259.2	3::NC_073259.2:139659914-139669955	10041	False	0.5487	0	1.0		3.0	52.0	91.0		6.0			2.0	57.0	224.0	3.0	3.0		1.0		2.0	1.0	3.0	1.0	584.0		257.0	78.0			567.0	9.0			137.0	102.0	4.0	312.0	1.0	44.0	478.0	1.0	34.0	1.0			1.0	2.0	2.0	3.0	120.0			2.0		1.0		91.0	2.0	1.0		4.0		5.0	54.0		
NC_073259.2	2::NC_073259.2:140273872-140279206	5334	False	0.6464	1			85.0	1.0	414.0		3.0	1.0		24.0	1.0	4.0		2.0	3.0		4.0	15.0		439.0	5.0	55.0		388.0	3.0	2.0	2.0	23.0	1.0	15.0	1.0	1.0		3.0	82.0	2.0		102.0	11.0	1.0		1.0	1.0	2.0	9.0	3.0	2.0	44.0	4.0	2.0	3.0				1.0	3.0			1.0	1.0	5.0	3.0		
NC_073259.2	3::NC_073259.2:140274068-140279282	5214	False	0.6498	0	1.0		86.0	2.0	412.0	1.0			2.0	15.0	3.0	2.0	1.0	2.0	2.0			24.0	1.0	432.0	2.0	62.0	1.0	371.0		2.0	1.0	40.0	1.0	6.0				1.0	84.0			94.0	13.0			1.0	1.0	1.0	11.0	6.0	3.0	41.0	1.0			1.0	1.0		1.0	1.0				2.0	3.0			
NC_073259.2	1::NC_073259.2:140274096-140279310	5214	False	0.6507	0			84.0	1.0	412.0		1.0	1.0	2.0	24.0	3.0	4.0			1.0	1.0	1.0	22.0		429.0	4.0	81.0		371.0			2.0	33.0		10.0	1.0	2.0			83.0			100.0	8.0			1.0	1.0	2.0	13.0	4.0		24.0		1.0	2.0	1.0		1.0		2.0			2.0		1.0	2.0		
NC_073259.2	1::NC_073259.2:140308506-140316360	7854	False	0.5554	1	224.0		294.0	87.0	23.0	75.0	16.0	2.0	11.0	2.0	3.0	8.0	2.0	7.0		1.0	2.0	17.0	1.0	17.0	1.0	17.0	1.0	11.0	5.0	5.0	3.0	4.0	25.0	10.0		35.0	577.0	3.0	2.0	3.0	1.0	21.0	88.0	23.0	77.0	13.0	3.0	14.0	6.0	2.0	207.0	5.0	10.0	2.0	5.0	1.0	80.0	4.0	32.0	2.0	6.0	1.0	492.0	2.0	1.0	26.0		
NC_073259.2	3::NC_073259.2:140308847-140314574	5727	False	0.5743	1	188.0		233.0	65.0	20.0	74.0	17.0		11.0	4.0	1.0	3.0	1.0	4.0	1.0			13.0		7.0		5.0	1.0	7.0	3.0				4.0	4.0		13.0	432.0	3.0		1.0		8.0	45.0	22.0	72.0	9.0		4.0	9.0		178.0	1.0	3.0				40.0		16.0		6.0		370.0	1.0	1.0	9.0		
NC_073259.2	1::NC_073259.2:140473374-140478633	5259	False	0.6726	1								70.0	223.0		71.0	20.0	3.0	71.0	34.0		359.0		5.0				26.0	54.0			121.0			71.0	2.0			309.0			29.0	6.0	1.0			1.0	116.0	73.0				5.0						4.0	2.0		2.0	74.0		1.0				
NC_073259.2	-1::NC_073259.2:141530259-141535488	5229	False	0.6305	2	4.0	1.0	5.0	4.0	9.0	2.0		6.0	2.0	2.0	8.0	20.0	4.0	18.0	133.0	58.0	327.0	1.0	7.0	5.0	3.0	13.0	14.0	5.0	1.0	51.0	56.0	5.0			192.0	3.0	4.0	16.0	5.0	3.0	18.0	196.0	2.0	1.0	2.0	3.0	14.0	5.0	3.0	1.0	4.0	314.0	4.0		59.0	1.0	1.0		1.0	58.0		6.0	1.0		1.0	2.0	55.0	4.0
NC_073259.2	2::NC_073259.2:141803005-141810886	7881	False	0.5006	0							2.0	2.0	1.0					2.0	1.0		692.0		1.0					1.0			612.0			1.0	2.0		1.0		1.0			2.0				1.0					1.0								1.0	612.0				691.0				
NC_073259.2	-1::NC_073259.2:141803025-141810885	7860	False	0.5006	0			1.0									1.0			1.0		1.0					1.0		1.0			694.0	1.0			612.0	1.0		1.0														1.0		1.0						691.0								612.0
NC_073256.2	-1::NC_073256.2:47-11114	11067	False	0.5062	0	1.0	488.0	511.0		1279.0	1330.0									1.0			48.0										1.0	1.0											2.0	8.0								2.0		14.0			1.0					1.0			1.0		
NC_073256.2	1::NC_073256.2:48-11163	11115	False	0.5057	0	1330.0		8.0	1.0	487.0	512.0	1279.0							1.0				12.0				1.0						2.0	1.0								3.0	1.0	1.0	1.0	1.0		1.0		2.0		6.0		1.0	1.0	1.0		2.0	47.0	1.0			1.0				1.0		
NC_073256.2	-2::NC_073256.2:4090-10933	6843	False	0.509	0	13.0	1079.0	1126.0																																																47.0			14.0			2.0							
NC_073256.2	3::NC_073256.2:4091-10934	6843	False	0.5091	0			13.0		1079.0	1126.0												47.0																						2.0											14.0													
NC_073256.2	1::NC_073256.2:16550703-16557153	6450	False	0.5642	1	3.0		1.0		1.0			123.0	565.0		3.0	6.0	17.0	3.0	3.0		11.0	2.0	3.0	3.0		4.0	3.0	2.0	2.0	15.0	129.0	1.0		1.0	5.0	1.0	9.0	386.0	2.0		3.0	2.0	1.0	3.0	1.0	179.0	9.0	299.0	1.0		2.0	4.0			12.0	1.0	3.0	2.0	126.0	2.0	1.0	4.0	189.0			2.0		
NC_073256.2	-3::NC_073256.2:16550733-16557654	6921	False	0.5652	1	3.0		1.0		1.0			129.0	601.0		4.0	7.0	17.0	3.0	1.0		14.0	3.0	3.0	3.0	1.0	4.0	4.0	2.0	3.0	16.0	138.0	1.0			4.0	1.0	9.0	410.0	2.0		4.0	2.0	1.0	3.0	2.0	188.0	11.0	328.0	1.0		3.0	5.0			17.0	1.0	3.0	2.0	142.0	2.0	1.0	4.0	199.0			2.0		1.0
NC_073256.2	-2::NC_073256.2:16550926-16557625	6699	False	0.5617	0	1.0		1.0	1.0				123.0	595.0		1.0	3.0	16.0	1.0			11.0				1.0	1.0	1.0		2.0	17.0	140.0						14.0	412.0	1.0			1.0	1.0			182.0	11.0	325.0				1.0	1.0		15.0		2.0	4.0	145.0			3.0	196.0			1.0		3.0
NC_073256.2	-2::NC_073256.2:17130451-17137459	7008	False	0.6257	1	35.0	15.0		3.0	39.0	4.0		1.0	56.0	1.0	2.0	95.0		36.0	69.0	2.0	278.0	1.0	42.0		1.0	94.0	40.0		1.0	11.0	107.0	2.0	1.0		69.0	63.0	115.0	120.0	2.0	5.0	36.0	115.0	17.0		1.0	123.0	154.0	61.0	1.0		3.0	223.0	2.0	14.0	17.0				57.0	1.0	3.0	5.0	128.0			11.0	52.0	2.0
NC_073256.2	-3::NC_073256.2:17134707-17139963	5256	False	0.6237	1	27.0	7.0	2.0	2.0	30.0	1.0		2.0	39.0	2.0	1.0	67.0	2.0	34.0	60.0	3.0	227.0	1.0	36.0			66.0	21.0	3.0		10.0	67.0	4.0			47.0	36.0	91.0	81.0	1.0		26.0	96.0	15.0			82.0	112.0	48.0				158.0	1.0	16.0	18.0		1.0		45.0	1.0	3.0	3.0	98.0			10.0	48.0	1.0
