clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TTT	codon_TCA	codon_ATT	codon_ATA	codon_GAA	codon_CAT	codon_AAC	codon_AGG	codon_AAA	codon_CAC	codon_GCA	codon_AAT	codon_GAT	codon_CAG	codon_ACA	codon_GTC	codon_ATG	codon_GAC	codon_CTG	codon_AGT	codon_ACT	codon_GTA	codon_ACC	codon_GGC	codon_CTT	codon_TTA	codon_CCC	codon_AAG	codon_TCC	codon_CTA	codon_GCT	codon_GAG	codon_AGA	codon_CAA	codon_TCT	codon_TTC	codon_TTG	codon_GGA	codon_TGT	codon_CCT	codon_GGG	codon_TAT	codon_CCA	codon_GCC	codon_ATC	codon_CGG	codon_GGT	codon_GTT	codon_CTC	codon_TGC	codon_GTG	codon_CGT	codon_AGC	codon_CCG	codon_CGA	codon_TGG	codon_TAC	codon_GCG	codon_ACG	codon_TCG	codon_CGC
NC_072432.2	1::NC_072432.2:38660157-38665587(+)	5430	False	0.5963	2	12.0	21.0	20.0	6.0	35.0	10.0	34.0	33.0	42.0	19.0	41.0	15.0	20.0	80.0	28.0	28.0	28.0	47.0	59.0	37.0	17.0	9.0	55.0	48.0	14.0	4.0	74.0	63.0	68.0	6.0	51.0	85.0	17.0	16.0	32.0	28.0	10.0	33.0	8.0	38.0	51.0	7.0	33.0	75.0	27.0	28.0	17.0	6.0	36.0	12.0	53.0	10.0	63.0	13.0	8.0	10.0	20.0	11.0	13.0	10.0	16.0
NC_072432.2	3::NC_072432.2:89583311-89589527(+)	6216	False	0.5002	2	20.0	36.0	29.0	33.0	118.0	18.0	11.0	19.0	86.0	9.0	25.0	16.0	27.0	226.0	29.0	17.0	36.0	20.0	46.0	26.0	50.0	14.0	73.0	7.0	33.0	24.0	26.0	62.0	23.0	19.0	51.0	52.0	20.0	55.0	48.0	18.0	40.0	28.0	4.0	134.0	73.0	15.0	32.0	53.0	72.0	10.0	13.0	21.0	78.0	2.0	14.0	1.0	12.0	3.0	5.0	16.0	10.0	5.0	3.0	5.0	1.0
NC_072432.2	-2::NC_072432.2:123842986-123850330(-)	7344	False	0.3469	2	62.0	73.0	92.0	58.0	156.0	45.0	54.0	21.0	156.0	26.0	38.0	126.0	95.0	46.0	63.0	14.0	38.0	44.0	28.0	63.0	63.0	32.0	14.0	6.0	53.0	58.0	6.0	68.0	37.0	28.0	45.0	56.0	38.0	60.0	80.0	24.0	41.0	37.0	41.0	27.0	10.0	48.0	32.0	16.0	18.0		18.0	40.0	6.0	24.0	28.0	6.0	30.0	5.0	6.0	15.0	20.0	2.0	6.0	6.0	
NC_072434.2	-1::NC_072434.2:1094-8042(-)	6948	False	0.4999	0								1062.0																		96.0															95.0						1.0	1062.0													
NC_072434.2	1::NC_072434.2:1095-8043(+)	6948	False	0.5	0							96.0																1062.0							1062.0										96.0																					
NC_072434.2	-2::NC_072434.2:1669-9376(-)	7707	False	0.5001	0								222.0																		1062.0															1062.0						1.0	222.0													
NC_072434.2	3::NC_072434.2:1670-9377(+)	7707	False	0.5002	1							1062.0																222.0				1.0			222.0										1062.0																					
NC_072434.2	-1::NC_072434.2:21813941-21821579(-)	7638	False	0.5484	2	31.0	94.0	7.0	14.0	79.0	11.0	5.0	122.0	31.0	11.0	89.0	33.0	138.0	50.0	21.0	5.0	83.0	31.0	27.0	55.0	21.0	10.0	10.0	83.0	19.0	38.0	15.0	89.0	27.0	11.0	71.0	105.0	53.0	14.0	72.0	11.0	33.0	147.0	12.0	67.0	212.0	42.0	31.0	32.0	7.0	3.0	187.0	15.0	11.0	11.0	44.0	1.0	42.0	1.0	8.0	32.0	9.0	4.0	3.0	5.0	1.0
NC_072434.2	-1::NC_072434.2:42460769-42465890(-)	5121	False	0.7278	1	3.0	43.0	2.0	1.0		1.0		48.0		45.0	50.0		11.0	71.0		2.0	11.0	36.0	1.0	2.0	36.0	1.0	8.0	151.0	45.0		49.0	1.0	90.0		38.0	42.0	77.0	2.0	18.0	56.0		13.0	1.0	58.0	116.0		28.0	46.0	1.0	114.0	26.0	1.0	86.0	3.0	28.0	1.0	1.0	61.0	11.0	39.0	1.0	55.0	35.0		41.0
NC_072434.2	-1::NC_072434.2:98019728-98024774(-)	5046	False	0.503	0							173.0																667.0				1.0			653.0				1.0						173.0															14.0						
NC_072434.2	1::NC_072434.2:98019729-98024775(+)	5046	False	0.5028	0								653.0																		173.0															172.0					14.0	2.0	667.0								1.0					
NC_072434.2	-2::NC_072434.2:98023735-98029246(-)	5511	False	0.4994	0				1.0			743.0					1.0									1.0		174.0							174.0										743.0																					
NC_072434.2	3::NC_072434.2:98023736-98029247(+)	5511	False	0.4992	0	1.0			1.0				174.0														1.0				743.0															742.0						1.0	174.0													
NC_072426.2	-1::NC_072426.2:0-8665(-)	8665	False	0.5001	0																										1444.0															1444.0																				
NC_072426.2	-3::NC_072426.2:0-8720(-)	8720	False	0.501	0								1443.0																		1.0				1.0							7.0				10.0							1444.0													
NC_072426.2	1::NC_072426.2:0-8721(+)	8721	False	0.5011	0							8.0																1444.0				8.0			1444.0										2.0													1.0								
NC_072426.2	3::NC_072426.2:2-8666(+)	8664	False	0.5001	0							1444.0																				1.0													1443.0																					
NC_072426.2	-3::NC_072426.2:34502339-34510217(-)	7878	False	0.4378	2	58.0	82.0	54.0	33.0	152.0	36.0	34.0	22.0	160.0	21.0	59.0	38.0	96.0	69.0	74.0	23.0	49.0	56.0	29.0	65.0	63.0	35.0	56.0	28.0	22.0	31.0	42.0	85.0	61.0	19.0	33.0	97.0	48.0	51.0	108.0	15.0	30.0	33.0	16.0	64.0	29.0	29.0	79.0	46.0	21.0	9.0	22.0	56.0	23.0	4.0	48.0	4.0	35.0	7.0	5.0	9.0	14.0	5.0	14.0	12.0	8.0
NC_072426.2	-3::NC_072426.2:49432592-49437791(-)	5199	False	0.4861	2	42.0	26.0	45.0	33.0	53.0	15.0	36.0	14.0	26.0	10.0	31.0	62.0	51.0	51.0	33.0	23.0	21.0	75.0	47.0	26.0	49.0	27.0	34.0	33.0	24.0	14.0	23.0	18.0	28.0	9.0	42.0	43.0	20.0	29.0	40.0	24.0	24.0	30.0	3.0	34.0	34.0	28.0	19.0	33.0	30.0	12.0	24.0	37.0	28.0		76.0	10.0	31.0	13.0	4.0	5.0	30.0	17.0	7.0	6.0	21.0
NC_072426.2	-2::NC_072426.2:60671184-60677544(-)	6360	False	0.4582	2	29.0	68.0	33.0	22.0	159.0	17.0	9.0	21.0	117.0	26.0	38.0	18.0	78.0	49.0	70.0	21.0	31.0	62.0	26.0	52.0	48.0	35.0	43.0	22.0	25.0	26.0	35.0	55.0	46.0	19.0	46.0	114.0	33.0	40.0	84.0	16.0	19.0	23.0	10.0	68.0	21.0	12.0	56.0	22.0	21.0	6.0	26.0	37.0	18.0	9.0	38.0	5.0	46.0	7.0	10.0	4.0	6.0	3.0	6.0	10.0	4.0
NC_072426.2	-3::NC_072426.2:117218546-117223934(-)	5388	False	0.536	2	26.0	12.0	31.0	12.0	39.0	29.0	39.0	22.0	25.0	44.0	16.0	27.0	50.0	67.0	29.0	38.0	27.0	68.0	78.0	27.0	46.0	24.0	44.0	38.0	24.0	8.0	43.0	40.0	29.0	15.0	21.0	59.0	20.0	34.0	23.0	50.0	26.0	28.0	2.0	29.0	36.0	16.0	35.0	39.0	41.0	21.0	20.0	11.0	48.0	12.0	70.0	3.0	36.0	13.0	6.0	9.0	27.0	11.0	11.0	2.0	20.0
NC_072426.2	-3::NC_072426.2:119573612-119579057(-)	5445	False	0.4961	0	19.0	81.0		3.0	1.0	2.0	219.0	2.0	2.0	1.0		1.0	2.0	2.0	142.0	222.0	1.0	1.0		5.0	223.0	2.0	220.0	2.0	184.0		1.0		4.0		1.0	1.0	2.0	1.0	3.0	4.0	1.0		2.0	4.0	1.0	2.0	222.0	2.0	3.0		1.0	2.0	214.0	2.0	1.0		2.0				1.0		1.0		
NC_072426.2	1::NC_072426.2:119573613-119578905(+)	5292	False	0.4985	0	218.0	3.0	1.0		5.0			223.0	13.0		1.0	1.0	1.0	1.0			4.0		3.0		221.0	13.0	2.0	1.0	6.0			3.0				76.0	168.0				1.0	223.0			1.0	1.0		1.0							572.0		1.0								
NC_072426.2	-2::NC_072426.2:119573625-119578863(-)	5238	False	0.4992	0	12.0			1.0		4.0			218.0	572.0				2.0						221.0				1.0	2.0		1.0	6.0	221.0		1.0			1.0	165.0	5.0				222.0							2.0		76.0								13.0				
NC_072426.2	-1::NC_072426.2:167239072-167250001(-)	10929	False	0.5	0							168.0																1653.0				1.0			1654.0										167.0																					
NC_072426.2	3::NC_072426.2:167239073-167250002(+)	10929	False	0.5	0	1.0							1654.0																		167.0															167.0						1.0	1653.0													
NC_072426.2	-3::NC_072426.2:167239211-167249138(-)	9927	False	0.5001	0							1653.0		1.0																		1.0													1654.0																					
NC_072426.2	1::NC_072426.2:167239212-167249139(+)	9927	False	0.4999	0																										1654.0															1653.0						2.0														
NC_072430.2	-1::NC_072430.2:674-10388(-)	9714	False	0.5	0								7.0																12.0		1612.0															1598.0					1.0	2.0	6.0													
NC_072430.2	1::NC_072430.2:675-10389(+)	9714	False	0.5001	0							1600.0																6.0				1.0	12.0		7.0										1611.0												1.0									
NC_072430.2	2::NC_072430.2:811-10456(+)	9645	False	0.5011	0							11.0															1.0	1583.0				10.0			1594.0										3.0													12.0				1.0				
NC_072430.2	-3::NC_072430.2:816-10455(-)	9639	False	0.501	0								1594.0																	12.0	3.0											8.0				12.0							1583.0											1.0		
NC_072430.2	3::NC_072430.2:12256925-12271832(+)	14907	False	0.5922	2	35.0	44.0	42.0	19.0	118.0	20.0	10.0	39.0	160.0	46.0	84.0	7.0	92.0	206.0	64.0	83.0	176.0	307.0	223.0	43.0	65.0	17.0	42.0	179.0	34.0	14.0	279.0	344.0	120.0	16.0	63.0	237.0	30.0	35.0	97.0	88.0	25.0	84.0	12.0	72.0	108.0	2.0	102.0	202.0	54.0	19.0	39.0	25.0	129.0	6.0	327.0	4.0	121.0	44.0	6.0	16.0	4.0	19.0	13.0	47.0	11.0
NC_072430.2	-2::NC_072430.2:82616485-82622194(-)	5709	False	0.4383	2	39.0	41.0	46.0	14.0	117.0	21.0	21.0	23.0	92.0	22.0	34.0	21.0	51.0	43.0	61.0	32.0	33.0	37.0	32.0	32.0	40.0	31.0	44.0	16.0	23.0	24.0	13.0	63.0	23.0	10.0	48.0	70.0	54.0	30.0	47.0	20.0	14.0	24.0	11.0	29.0	15.0	49.0	55.0	19.0	39.0	14.0	25.0	41.0	22.0	7.0	34.0	18.0	18.0	2.0	15.0	15.0	35.0	5.0	7.0	5.0	17.0
NC_072430.2	-2::NC_072430.2:82645483-82662652(-)	17169	False	0.4276	2	73.0	84.0	199.0	89.0	336.0	38.0	83.0	30.0	281.0	20.0	116.0	145.0	209.0	61.0	185.0	100.0	56.0	90.0	69.0	113.0	167.0	118.0	114.0	92.0	103.0	53.0	38.0	147.0	42.0	36.0	135.0	114.0	131.0	58.0	99.0	66.0	43.0	161.0	44.0	153.0	34.0	131.0	211.0	81.0	83.0	23.0	126.0	210.0	45.0	32.0	103.0	49.0	64.0	10.0	32.0	97.0	58.0	8.0	12.0	5.0	18.0
NC_072430.2	-3::NC_072430.2:82827984-82834731(-)	6747	False	0.3846	2	79.0	50.0	63.0	44.0	188.0	40.0	27.0	22.0	104.0	14.0	37.0	58.0	69.0	42.0	68.0	15.0	40.0	34.0	16.0	53.0	60.0	33.0	16.0	6.0	31.0	46.0	25.0	42.0	36.0	32.0	37.0	89.0	61.0	68.0	67.0	23.0	17.0	46.0	26.0	49.0	17.0	53.0	61.0	15.0	21.0	3.0	32.0	40.0	8.0	6.0	35.0	11.0	19.0	2.0	5.0	10.0	25.0	2.0	8.0	1.0	2.0
NC_072430.2	3::NC_072430.2:89908106-89917178(+)	9072	False	0.3478	1	90.0	97.0	107.0	74.0	187.0	54.0	57.0	25.0	195.0	23.0	58.0	135.0	83.0	42.0	73.0	24.0	68.0	60.0	23.0	66.0	75.0	39.0	38.0	16.0	61.0	92.0	12.0	91.0	36.0	31.0	63.0	52.0	52.0	93.0	96.0	21.0	67.0	30.0	43.0	50.0	14.0	46.0	65.0	19.0	37.0	1.0	23.0	71.0	23.0	9.0	35.0	5.0	37.0	1.0	2.0	9.0	18.0	2.0	5.0	3.0	
NC_072430.2	1::NC_072430.2:89919294-89928762(+)	9468	False	0.3391	1	89.0	122.0	133.0	98.0	182.0	51.0	46.0	25.0	201.0	19.0	52.0	128.0	134.0	49.0	78.0	21.0	57.0	45.0	29.0	64.0	63.0	51.0	26.0	12.0	58.0	85.0	14.0	65.0	36.0	39.0	46.0	66.0	64.0	98.0	112.0	35.0	57.0	34.0	35.0	40.0	11.0	67.0	61.0	17.0	38.0	2.0	24.0	98.0	23.0	10.0	45.0	7.0	41.0	4.0	6.0	6.0	20.0	6.0	1.0	8.0	2.0
NC_072430.2	-1::NC_072430.2:107515205-107520419(-)	5214	False	0.7307	1	3.0	49.0	3.0		2.0	3.0		56.0		48.0	37.0		13.0	61.0	3.0		6.0	40.0	2.0		33.0	1.0	4.0	150.0	64.0		52.0		88.0		47.0	40.0	75.0		22.0	61.0	1.0	19.0	2.0	49.0	130.0		19.0	51.0		115.0	19.0		79.0	1.0	25.0			73.0	8.0	45.0		62.0	28.0	1.0	48.0
NC_072430.2	-2::NC_072430.2:107516068-107521240(-)	5172	False	0.7282	1	2.0	38.0	3.0			3.0	2.0	42.0		46.0	48.0		15.0	60.0	2.0	3.0	13.0	40.0	2.0		43.0	2.0	3.0	158.0	48.0		38.0	1.0	88.0		44.0	44.0	65.0		17.0	63.0		24.0		59.0	117.0		34.0	37.0		120.0	34.0	1.0	92.0	4.0	20.0			65.0	4.0	37.0		68.0	37.0		38.0
NC_072430.2	1::NC_072430.2:110822061-110828973(+)	6912	False	0.3876	1	55.0	61.0	63.0	34.0	145.0	52.0	35.0	17.0	131.0	19.0	27.0	74.0	128.0	57.0	23.0	22.0	35.0	42.0	30.0	67.0	43.0	42.0	15.0	9.0	50.0	24.0	24.0	93.0	25.0	16.0	51.0	64.0	34.0	56.0	97.0	11.0	36.0	17.0	43.0	64.0	10.0	41.0	33.0	13.0	11.0	9.0	36.0	74.0	4.0	8.0	37.0	14.0	27.0	4.0	9.0	15.0	11.0	5.0	2.0	6.0	4.0
NC_072430.2	3::NC_072430.2:146180627-146186960(+)	6333	False	0.7238	2	4.0	59.0	2.0		1.0	7.0		63.0		46.0	56.0	1.0	15.0	96.0	5.0		8.0	42.0	2.0	2.0	55.0	1.0	4.0	189.0	57.0		63.0		111.0	1.0	45.0	56.0	95.0	4.0	19.0	62.0	5.0	15.0		56.0	128.0		32.0	61.0	1.0	135.0	21.0	5.0	113.0	4.0	47.0	2.0	5.0	66.0	14.0	47.0		76.0	44.0	3.0	60.0
NC_072430.2	1::NC_072430.2:146180730-146187000(+)	6270	False	0.7274	2	2.0	51.0	6.0	1.0	1.0	4.0	1.0	59.0		58.0	55.0	1.0	19.0	88.0	2.0	3.0	13.0	56.0	6.0	2.0	40.0	3.0	6.0	192.0	65.0		56.0	1.0	102.0	1.0	55.0	49.0	90.0	1.0	18.0	59.0	2.0	20.0	1.0	65.0	135.0		52.0	58.0	3.0	128.0	27.0		100.0	2.0	16.0	2.0	1.0	67.0	6.0	54.0		88.0	41.0	2.0	54.0
NC_072430.2	2::NC_072430.2:146180962-146186896(+)	5934	False	0.7305	1	6.0	46.0	3.0			1.0		50.0		53.0	59.0		8.0	94.0	2.0	2.0	19.0	44.0	6.0		46.0		7.0	176.0	52.0		49.0		101.0		49.0	58.0	76.0	1.0	12.0	64.0		19.0		57.0	124.0		35.0	45.0	2.0	135.0	47.0		116.0	3.0	23.0		2.0	61.0	10.0	29.0		90.0	50.0		46.0
NC_072430.2	-2::NC_072430.2:153280126-153289372(-)	9246	False	0.5001	0							1518.0																23.0							22.0										1518.0			1.0																		
NC_072430.2	3::NC_072430.2:153280127-153289373(+)	9246	False	0.5	0								22.0																		1518.0															1518.0						1.0	23.0													
NC_072430.2	-3::NC_072430.2:153280257-153291897(-)	11640	False	0.5001	0							421.0																1518.0				1.0			1518.0				1.0						421.0																					
NC_072430.2	2::NC_072430.2:153280258-153291898(+)	11640	False	0.5	0								1518.0																		421.0															420.0						2.0	1518.0								1.0					
NC_072428.2	2::NC_072428.2:86984194-86989345(+)	5151	False	0.4195	2	33.0	60.0	46.0	36.0	116.0	19.0	6.0	14.0	76.0	11.0	33.0	11.0	76.0	37.0	77.0	10.0	27.0	34.0	14.0	54.0	49.0	22.0	27.0	8.0	26.0	28.0	23.0	36.0	25.0	13.0	43.0	54.0	31.0	33.0	70.0	6.0	20.0	32.0	5.0	71.0	15.0	34.0	56.0	7.0	13.0	2.0	19.0	39.0	16.0	3.0	22.0	5.0	34.0	5.0	7.0	3.0	10.0	1.0	7.0	5.0	2.0
NC_072448.2	-3::NC_072448.2:7243394-7270601(-)	27207	False	0.4928	0	93.0	2.0	2.0		1.0	175.0	1.0		1.0		2.0		2.0	1.0	1.0	1056.0		2.0	1053.0		4.0		3.0	1.0	98.0		3.0		189.0	1.0	1.0		1.0	1.0	2257.0	88.0	1.0		1753.0	22.0	11.0		182.0	5.0	173.0	1.0	7.0	3.0	1147.0	6.0	699.0	2.0	1.0	2.0	1.0	6.0	2.0		2.0	2.0	2.0
NC_072448.2	1::NC_072448.2:7243476-7270779(+)	27303	False	0.4928	0	3.0	6.0	1.0	1.0	96.0	2.0	1.0	25.0	88.0	701.0	5.0	1.0	177.0	1066.0	1746.0	4.0	173.0	1045.0	1.0	1.0	2.0		6.0	8.0	1.0		10.0	95.0	3.0	2.0	1.0	1128.0	2273.0	1.0	1.0	5.0		194.0	1.0	3.0	3.0	1.0	8.0	2.0	2.0	1.0	3.0	2.0	1.0	1.0	4.0	2.0	3.0	3.0	5.0	175.0	1.0	2.0	3.0	1.0	1.0
NC_072448.2	-1::NC_072448.2:7243525-7270459(-)	26934	False	0.4923	0	92.0	1.0	1.0			178.0				1.0	1.0			2.0	1.0	1051.0		1.0	1045.0				1.0		86.0		3.0	1.0	189.0					1.0	2254.0	94.0	1.0	1.0	1734.0	15.0	7.0		172.0	4.0	175.0		7.0	1.0	1132.0	4.0	706.0	2.0	1.0	3.0	2.0	7.0				1.0	
NC_072448.2	-2::NC_072448.2:7243611-7270485(-)	26874	False	0.4919	0	85.0			1.0		171.0	1.0			2.0						1042.0		1.0	1061.0	1.0			1.0		93.0		2.0		190.0				1.0		2259.0	93.0			1742.0	19.0	7.0		174.0	2.0	177.0		5.0		1117.0	3.0	700.0			1.0		6.0					1.0
NC_072448.2	3::NC_072448.2:7243625-7270745(+)	27120	False	0.4922	0	3.0	2.0		1.0	91.0	2.0	1.0	19.0	92.0	696.0	5.0	1.0	172.0	1053.0	1753.0	2.0	174.0	1055.0	1.0	1.0	1.0	1.0	9.0	3.0	2.0		9.0	97.0			2.0	1145.0	2255.0					184.0			1.0		9.0	1.0	2.0	1.0	2.0		2.0	1.0			2.0	1.0	2.0	178.0	1.0	1.0	2.0	2.0	
NC_072448.2	2::NC_072448.2:7243639-7270552(+)	26913	False	0.4919	0		1.0			94.0		1.0	13.0	92.0	707.0	3.0		174.0	1047.0	1734.0		178.0	1052.0		1.0			7.0	4.0			5.0	86.0				1136.0	2263.0					189.0			2.0		7.0			1.0	1.0								1.0	171.0			1.0		
NC_072446.2	-3::NC_072446.2:9204002-9210932(-)	6930	False	0.6173	1	1.0	5.0	3.0	2.0	3.0	7.0	3.0		5.0	605.0	1.0	1.0	1.0	3.0	505.0	1.0			1.0	2.0	113.0	2.0	1.0	4.0		1.0	439.0	3.0	121.0	1.0			2.0	3.0	105.0	1.0	3.0		2.0	3.0	2.0		108.0	4.0	1.0	1.0		1.0	226.0		2.0	1.0				4.0	5.0	1.0			1.0
NC_072446.2	-2::NC_072446.2:9204072-9211104(-)	7032	False	0.6223	2		4.0	2.0	4.0	1.0	3.0	1.0	4.0		618.0	2.0			3.0	485.0		2.0	2.0	6.0	2.0	128.0		3.0	4.0	1.0		428.0	1.0	125.0		2.0		1.0	4.0	97.0	6.0	2.0	2.0	2.0	5.0	5.0	1.0	131.0	2.0	1.0	2.0	1.0	1.0	230.0	3.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0		2.0		3.0
NC_072446.2	-1::NC_072446.2:9204106-9210922(-)	6816	False	0.6212	1		3.0	6.0	2.0		6.0	3.0	1.0		611.0					494.0				2.0		116.0		2.0	1.0	1.0		437.0	1.0	116.0		1.0				106.0	3.0		2.0	1.0	2.0	1.0		124.0				1.0		217.0	1.0			2.0	2.0		2.0	2.0			2.0	1.0
NC_072446.2	1::NC_072446.2:9204138-9210156(+)	6018	False	0.6208	1					6.0			1.0			1.0	1.0			1.0	1.0	3.0			117.0		2.0		2.0				1.0	1.0			200.0	85.0				3.0	107.0	430.0		372.0	2.0					2.0				548.0	1.0	1.0	1.0		114.0		3.0			
NC_072446.2	-3::NC_072446.2:79415333-79423268(-)	7935	False	0.5013	0							25.0																1297.0				1.0			1288.0										26.0			8.0																		
NC_072446.2	1::NC_072446.2:79415334-79423269(+)	7935	False	0.5012	0								1288.0														1.0				25.0															34.0						1.0	1296.0													
NC_072446.2	-2::NC_072446.2:79415340-79423125(-)	7785	False	0.5013	0							1296.0																				10.0													1288.0																	1.0				
NC_072446.2	2::NC_072446.2:79416361-79423126(+)	6765	False	0.501	0																										1121.0											6.0				1127.0						1.0														
NC_072424.2	-1::NC_072424.2:1203-13038(-)	11835	False	0.5	0								1899.0																		73.0															73.0						1.0	1899.0													
NC_072424.2	2::NC_072424.2:1204-13039(+)	11835	False	0.5001	0							73.0																1899.0				1.0			1899.0										73.0																					
NC_072424.2	-2::NC_072424.2:1568-12965(-)	11397	False	0.5	0																										1899.0															1899.0						1.0														
NC_072424.2	1::NC_072424.2:1569-12966(+)	11397	False	0.5001	0							1899.0																				1.0													1899.0																					
NC_072424.2	1::NC_072424.2:10315458-10323864(+)	8406	False	0.4895	2	37.0	67.0	11.0	22.0	143.0	8.0	35.0	54.0	195.0	35.0	107.0	22.0	44.0	90.0	120.0	14.0	49.0	100.0	60.0	29.0	105.0	48.0	44.0	61.0	2.0	25.0	47.0	149.0	26.0	38.0	33.0	99.0	62.0	48.0	32.0	40.0	13.0	42.0	6.0	47.0	26.0	4.0	165.0	54.0	28.0	20.0	31.0	8.0	59.0	24.0	48.0	8.0	56.0	5.0	12.0	3.0	4.0	5.0	29.0	1.0	3.0
NC_072424.2	-1::NC_072424.2:16325061-16330428(-)	5367	False	0.5845	2	11.0	27.0	10.0	4.0	70.0	23.0	14.0	36.0	22.0	15.0	72.0	9.0	45.0	75.0	29.0	15.0	19.0	44.0	47.0	27.0	28.0	11.0	21.0	38.0	21.0	8.0	54.0	45.0	36.0	7.0	72.0	108.0	22.0	28.0	33.0	15.0	32.0	58.0	17.0	57.0	53.0	1.0	93.0	66.0	14.0	1.0	40.0	16.0	23.0	19.0	42.0	3.0	40.0	16.0	4.0	9.0	3.0	6.0	7.0	7.0	1.0
