clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TGC	codon_CAT	codon_AAT	codon_AAG	codon_TCT	codon_CTC	codon_AAA	codon_AAC	codon_CCC	codon_TGG	codon_ACT	codon_GTA	codon_TCA	codon_AGG	codon_GGT	codon_TGT	codon_CAC	codon_GAT	codon_GGA	codon_ATT	codon_AGC	codon_AGT	codon_GAA	codon_TTT	codon_GGC	codon_GAG	codon_GGG	codon_GAC	codon_GCT	codon_CGT	codon_GTG	codon_ATG	codon_CTG	codon_GCG	codon_TTG	codon_GTC	codon_GTT	codon_GCA	codon_ATC	codon_ACC	codon_CCT	codon_AGA	codon_TAT	codon_CAA	codon_ATA	codon_TTC	codon_ACA	codon_TGA	codon_TAG	codon_CGG	codon_CGA	codon_TCG	codon_CAG	codon_TAC	codon_CCA	codon_TAA	codon_GCC	codon_TCC	codon_CTT	codon_CCG	codon_CGC	codon_ACG	codon_CTA	codon_TTA
NC_060943.1	-2::NC_060943.1:9071142-9092994	21852	False	0.4882	2	113.0	219.0	94.0	97.0	98.0	216.0	77.0	82.0	84.0	189.0	131.0	20.0		291.0	458.0	522.0	172.0	135.0	365.0	76.0	119.0	347.0	60.0	102.0	130.0	62.0	111.0	98.0	209.0	32.0	63	89.0	94.0	6.0	68.0	129.0	66.0		98.0	71.0	80.0	406.0	90.0	94.0	31.0	223.0	1.0	366.0	32.0	15.0	20.0	4.0	123.0	46.0	43.0	55.0	63.0	91.0	81.0	6.0	17.0	4.0		
NC_060943.1	-1::NC_060943.1:9097381-9107098	9717	False	0.4922	2	79.0	71.0	38.0	48.0	55.0	85.0	39.0	37.0	46.0	121.0	93.0	12.0		93.0	152.0	226.0	41.0	51.0	117.0	40.0	77.0	172.0	28.0	39.0	61.0	48.0	72.0	48.0	95.0	20.0	29	33.0	41.0	1.0	18.0	41.0	38.0	2.0	48.0	25.0	32.0	171.0	29.0	45.0	12.0	89.0		161.0	22.0	3.0	9.0	1.0	48.0	23.0	28.0	22.0	35.0	75.0	43.0	3.0	6.0	2.0		
NC_060936.1	3::NC_060936.1:40431056-40441022	9966	False	0.4899	0	1.0	1.0	19.0	3.0	50.0	5.0	29.0	1.0		3.0	246.0	41.0	367.0	21.0	38.0			8.0	392.0	34.0	2.0	28.0	118.0	11.0	10.0	45.0	266.0	2.0	213.0	1.0	202	9.0	8.0	1.0	10.0	12.0	51.0	57.0	3.0	14.0	25.0	68.0	3.0	30.0	63.0	1.0	513.0			4.0		8.0	6.0	3.0	121.0		4.0	3.0	5.0	1.0		5.0	100.0	37.0
NC_060931.1	-1::NC_060931.1:1295463-1304679	9216	False	0.673	1	1.0	2.0	2.0	86.0	2.0	5.0		8.0	1.0	95.0	2.0			231.0	88.0	93.0	90.0	94.0	165.0	2.0	19.0	2.0	104.0		117.0	101.0	714.0	80.0	69.0	1.0	165	85.0	84.0	32.0	3.0	1.0		8.0	1.0	1.0	17.0	14.0		1.0			181.0	161.0		28.0	1.0		89.0	2.0	4.0		16.0	3.0	1.0					
NC_060931.1	-3::NC_060931.1:1295698-1304692	8994	False	0.6755	1				91.0			1.0	12.0		80.0				242.0	93.0	79.0	86.0	80.0	166.0		17.0		87.0	2.0	96.0	105.0	705.0	65.0	77.0	1.0	177	93.0	86.0	30.0			1.0	10.0		1.0	15.0	13.0				1.0	167.0	170.0		32.0			97.0		1.0		16.0	2.0				1.0		
NC_060931.1	-2::NC_060931.1:1295714-1304672	8958	False	0.6765	1	1.0		1.0	80.0				6.0	1.0	87.0				264.0	79.0	85.0	90.0	85.0	178.0		15.0		95.0		106.0	91.0	696.0	77.0	64.0		172	80.0	92.0	28.0				4.0			18.0	14.0					162.0	182.0		30.0			85.0				17.0				1.0			
NC_060931.1	2::NC_060931.1:102191875-102207919	16044	False	0.5115	1	3.0	21.0	38.0	19.0	316.0	51.0	9.0	23.0	289.0	7.0	578.0	19.0	275.0	24.0	23.0	8.0	154.0	7.0	14.0	37.0	257.0	235.0	46.0	32.0	20.0	179.0	8.0	29.0	18.0	2.0	45	70.0	29.0	3.0	71.0	48.0	18.0	26.0	255.0	856.0	80.0	14.0	14.0	9.0	28.0	171.0	311.0				5.0	64.0	22.0	46.0	78.0		67.0	171.0	24.0	10.0	3.0	47.0	7.0	15.0
NC_060931.1	3::NC_060931.1:102226625-102266084	39459	False	0.5084	2	6.0	50.0	120.0	130.0	743.0	107.0	21.0	98.0	547.0	12.0	1339.0	23.0	749.0	78.0	40.0	16.0	457.0	13.0	17.0	162.0	583.0	638.0	86.0	87.0	97.0	404.0	53.0	54.0	65.0	7.0	102	150.0	66.0	38.0	249.0	90.0	33.0	72.0	708.0	1964.0	286.0	42.0	31.0	21.0	60.0	463.0	579.0			8.0	4.0	145.0	63.0	64.0	147.0		309.0	382.0	47.0	26.0	19.0	108.0	11.0	64.0
NC_060931.1	1::NC_060931.1:102295752-102320043	24291	False	0.5575	1		16.0	2.0	8.0	226.0	166.0	38.0	16.0	137.0	16.0	262.0	9.0	507.0	2.0	82.0		320.0	24.0	90.0	3.0	620.0	262.0	354.0	40.0	414.0	112.0	8.0	131.0	31.0	57.0	24	35.0	66.0	25.0	16.0	83.0	91.0	187.0	34.0	617.0	337.0	33.0	3.0	65.0	38.0	173.0	909.0			14.0	15.0	58.0	65.0	61.0	269.0		211.0	291.0	67.0	38.0	82.0	140.0	29.0	68.0
NC_060931.1	1::NC_060931.1:102320046-102328590	8544	False	0.5495	0	1.0	8.0	1.0	4.0	91.0	56.0	10.0	6.0	44.0	6.0	99.0	2.0	167.0	1.0	27.0	3.0	108.0	9.0	31.0	8.0	216.0	85.0	123.0	27.0	137.0	41.0	6.0	42.0	13.0	21.0	12	17.0	23.0	10.0	7.0	26.0	32.0	63.0	15.0	205.0	120.0	10.0	5.0	26.0	11.0	66.0	312.0			4.0	4.0	19.0	24.0	22.0	95.0		75.0	107.0	27.0	14.0	25.0	44.0	9.0	26.0
NC_060931.1	2::NC_060931.1:102354412-102366640	12228	False	0.492	1	3.0	3.0	18.0	7.0	218.0	11.0	13.0	42.0	25.0	1.0	390.0	12.0	183.0	11.0	62.0	2.0	8.0	12.0	55.0	23.0	257.0	232.0	176.0	14.0	13.0	55.0	5.0	68.0	126.0	9.0	118	105.0	22.0	2.0	13.0	106.0	59.0	34.0	39.0	347.0	306.0	24.0	24.0	12.0	50.0	6.0	270.0			2.0	1.0	7.0	7.0	3.0	114.0		93.0	41.0	80.0	25.0		41.0	13.0	58.0
NC_060931.1	3::NC_060931.1:159805334-159822644	17310	False	0.5444	1	2.0	3.0		12.0	1.0		4.0		1.0	6.0		5.0	1.0		3418.0	16.0	1.0	539.0	379.0			381.0	5.0	1.0	3.0	28.0	6.0	4.0	10.0		124	29.0	19.0				25.0	3.0			1.0	367.0	349.0			1.0	1.0			1.0			2.0	4.0				1.0	2.0			1.0		14.0
NC_060931.1	1::NC_060931.1:159806178-159822525	16347	False	0.5438	0				4.0						3.0		743.0			4.0						1.0	1.0	1.0			742.0	1.0				2675	884.0	7.0	2.0	6.0		365.0																	1.0								6.0		3.0
NC_060931.1	-2::NC_060931.1:159806198-159822557	16359	False	0.5438	0							2.0			3.0		1.0			3391.0	14.0		536.0	376.0			378.0	3.0		2.0	2.0		3.0	7.0		4	1.0	1.0				9.0					367.0	348.0				1.0			1.0				3.0										
NC_060931.1	-1::NC_060931.1:159806340-159822717	16377	False	0.5434	0	2.0	1.0	1.0	4.0	1.0	2.0		1.0	3.0	6.0	2.0	743.0		3.0		3.0	2.0			2.0	2.0		1.0	3.0	2.0	737.0	1.0		2.0		2656	880.0	5.0	1.0	5.0		363.0	2.0	2.0						1.0	1.0	1.0	2.0	1.0				2.0		1.0	1.0	2.0	2.0	1.0			6.0		
NC_060934.1	-2::NC_060934.1:60923363-60931241	7878	False	0.4364	2	60.0	49.0	55.0	22.0	47.0	96.0	57.0	56.0	29.0	79.0	66.0	13.0		65.0	60.0	76.0	46.0	17.0	59.0	40.0	33.0	65.0	16.0	158.0	43.0	22.0	42.0	22.0	34.0	13.0	20	34.0	69.0	9.0	51.0	55.0	32.0	4.0	97.0	22.0	20.0	109.0	34.0	30.0	30.0	153.0	15.0	83.0	20.0	6.0	12.0	5.0	29.0	37.0	9.0	31.0	29.0	33.0	89.0	10.0	5.0	4.0		
NC_060940.1	2::NC_060940.1:94495414-94507291	11877	False	0.6742	2	52.0	18.0	13.0	116.0	41.0	81.0	40.0	42.0	275.0	26.0	33.0	6.0	35.0	108.0	49.0	23.0	87.0	45.0	71.0	7.0	168.0	34.0	54.0	26.0	165.0	207.0	140.0	120.0	70.0	15.0	68	33.0	172.0	57.0	26.0	34.0	14.0	64.0	16.0	95.0	110.0	42.0	6.0	24.0	2.0	74.0	39.0			56.0	14.0	26.0	159.0	22.0	115.0		219.0	86.0	22.0	100.0	48.0	33.0	9.0	7.0
NC_060927.1	2::NC_060927.1:198566581-198586597	20016	False	0.5742	2	2.0	51.0	14.0	9.0	114.0	14.0	11.0	28.0	21.0	11.0	212.0	106.0	428.0	12.0	345.0	1.0	199.0	20.0	34.0	8.0	159.0	22.0	24.0	12.0	29.0	23.0	19.0	310.0	120.0	18.0	36	22.0	12.0	5.0	1.0	367.0	22.0	228.0	28.0	873.0	654.0	9.0	1.0	21.0	16.0	15.0	408.0			4.0	2.0	27.0	73.0	6.0	35.0		205.0	705.0	446.0	14.0	1.0	40.0	8.0	12.0
NC_060927.1	3::NC_060927.1:198576875-198585050	8175	False	0.584	0	3.0	110.0		2.0	1.0	157.0			114.0		2.0		169.0	19.0		13.0	3.0			2.0				32.0			2.0	4.0		3.0	54	32.0	146.0		16.0	113.0		12.0	3.0		199.0	1.0	45.0	1.0	2.0	169.0	130.0			9.0			313.0	3.0	378.0		65.0	8.0	141.0	102.0	17.0	101.0	28.0	1.0
NC_060938.1	-2::NC_060938.1:99184539-99199485	14946	False	0.5867	2	56.0	164.0	42.0	43.0	39.0	246.0	38.0	35.0	123.0	102.0	47.0	5.0		83.0	38.0	75.0	319.0	38.0	131.0	8.0	75.0	64.0	90.0	180.0	198.0	131.0	260.0	79.0	119.0	20.0	46	14.0	183.0	9.0	39.0	257.0	12.0	8.0	144.0	47.0	45.0	100.0	23.0	26.0	1.0	115.0	11.0	39.0	12.0	51.0	42.0	7.0	224.0	15.0	17.0	14.0	157.0	75.0	327.0	22.0	51.0	1.0		
NC_060938.1	3::NC_060938.1:99472982-99484097	11115	False	0.6759	1		1.0				1.0			2.0	108.0	109.0	109.0	109.0				217.0		110.0		217.0				110.0	217.0	218.0	108.0			1		219.0	109.0		215.0		108.0	111.0	110.0	217.0	110.0		216.0			3.0						218.0				217.0			106.0	109.0			
NC_060947.1	1::NC_060947.1:7722645-7734708	12063	False	0.6604	1		1.0	2.0		123.0	670.0		1.0	616.0	2.0	5.0		14.0	1.0		2.0	464.0		2.0	2.0	1.0		1.0	2.0	2.0			1.0			2	1.0	2.0		1.0	2.0		1.0	3.0	197.0	608.0	3.0	2.0	1.0		145.0	256.0						1.0		181.0		1.0	575.0	122.0	1.0	1.0	2.0	1.0	
NC_060947.1	2::NC_060947.1:7722679-7734679	12000	False	0.6609	1	1.0				145.0	608.0		2.0	587.0	2.0	3.0		12.0				450.0			3.0			1.0			2.0		1.0		1.0	1					1.0		1.0		227.0	587.0	1.0		2.0		123.0	235.0			1.0					214.0			662.0	122.0		1.0	1.0		3.0
NC_060947.1	3::NC_060947.1:7722698-7735070	12372	False	0.6604	2	3.0	4.0	1.0	1.0	126.0	599.0	1.0	3.0	621.0	5.0	5.0		5.0	4.0	3.0	1.0	463.0	2.0	4.0		1.0	3.0	1.0	4.0	6.0	3.0	5.0	1.0	10.0	1.0	2		10.0	1.0		5.0	1.0	1.0	1.0	183.0	665.0	2.0	2.0	2.0		126.0	267.0			4.0			8.0		195.0		1.0	604.0	151.0		4.0	1.0	1.0	1.0
NC_060935.1	-1::NC_060935.1:206501-214061	7560	False	0.4058	0		6.0	2.0	2.0						107.0				114.0	118.0	125.0		250.0	219.0	246.0	107.0	243.0	4.0	2.0		4.0	7.0	83.0	1.0		110			4.0		6.0	20.0	124.0	120.0				241.0					6.0	113.0	10.0		3.0		120.0		1.0						2.0		
NC_060935.1	1::NC_060935.1:206502-214065	7563	False	0.4059	0		114.0	1.0		4.0		4.0			103.0	77.0	117.0	116.0	2.0	124.0	7.0	10.0	109.0		268.0		4.0	116.0	2.0			114.0			3.0	357	123.0	1.0	106.0	132.0	6.0	6.0	1.0				113.0			108.0		126.0			6.0		6.0	1.0											134.0
NC_060935.1	-3::NC_060935.1:1074441-1088730	14289	False	0.5618	2	57.0	79.0	39.0	32.0	15.0	3.0	18.0	29.0	77.0	277.0	92.0	6.0		200.0	634.0	416.0	66.0	108.0	280.0	9.0	18.0	244.0	94.0	36.0	190.0	42.0	151.0	62.0	167.0	95.0	257	75.0	71.0	4.0	40.0	1.0	44.0	2.0	1.0	32.0	35.0	153.0	14.0	28.0	26.0	31.0	3.0	145.0	48.0	28.0	25.0	5.0	24.0	2.0	5.0	8.0	50.0	19.0	31.0	4.0	13.0	3.0		
NC_060935.1	2::NC_060935.1:1162462-1171780	9318	False	0.6165	2	14.0	2.0	9.0	15.0	13.0	9.0	4.0	9.0	225.0	14.0	112.0	3.0	10.0	5.0	8.0	12.0	7.0	8.0	14.0	9.0	59.0	18.0	6.0	7.0	98.0	15.0	10.0	13.0	6.0	1.0	107	23.0	23.0	1.0	7.0	9.0	4.0	9.0	112.0	869.0	60.0	4.0	1.0	5.0	9.0	6.0	390.0			1.0	2.0	23.0	103.0	3.0	367.0		25.0	24.0	9.0	27.0	1.0	141.0	6.0	
NC_060935.1	2::NC_060935.1:1253320-1263772	10452	False	0.5765	1	80.0	18.0	7.0	36.0	207.0	27.0	25.0	44.0	123.0	23.0	136.0	5.0	27.0	26.0	47.0	12.0	31.0	7.0	55.0	6.0	311.0	22.0	35.0	10.0	34.0	60.0	29.0	42.0	90.0	11.0	79	15.0	34.0	2.0	8.0	21.0	44.0	19.0	65.0	450.0	211.0	32.0	5.0	10.0	19.0	24.0	373.0			24.0	16.0	17.0	85.0	23.0	56.0		108.0	82.0	7.0	24.0	12.0	30.0	2.0	1.0
NC_060935.1	2::NC_060935.1:1312036-1323970	11934	False	0.6449	2	55.0	6.0	4.0	27.0	42.0	48.0	21.0	39.0	226.0	65.0	148.0	2.0	38.0	38.0	27.0	27.0	82.0	2.0	33.0	1.0	133.0	32.0	21.0	25.0	97.0	85.0	95.0	38.0	36.0	22.0	122	49.0	123.0	13.0	12.0	46.0	9.0	61.0	74.0	518.0	59.0	18.0	5.0	6.0	9.0	32.0	255.0			16.0	3.0	24.0	81.0	29.0	114.0		243.0	256.0	31.0	67.0	26.0	149.0	12.0	1.0
NC_060935.1	-1::NC_060935.1:62506196-62523704	17508	False	0.4913	2	56.0	254.0	127.0	55.0	14.0	141.0	62.0	157.0	117.0	229.0	47.0	4.0		213.0	25.0	30.0	298.0	125.0	61.0	76.0	78.0	34.0	88.0	430.0	71.0	45.0	258.0	94.0	60.0	7.0	54	42.0	35.0	3.0	29.0	228.0	67.0	1.0	376.0	159.0	10.0	88.0	33.0	93.0	5.0	198.0	10.0	53.0	23.0	19.0	11.0	4.0	152.0	52.0	32.0	30.0	204.0	152.0	394.0	5.0	11.0	7.0		
NC_060932.1	-3::NC_060932.1:145014680-145031633	16953	False	0.6968	2	39.0	83.0	12.0	17.0	23.0	450.0	16.0	8.0	145.0	53.0	11.0	113.0		19.0	175.0	36.0	292.0	148.0	102.0	2.0	40.0	22.0	104.0	12.0	439.0	172.0	166.0	135.0	114.0	103.0	87	6.0	351.0	193.0	16.0	258.0	53.0	33.0	22.0	18.0	72.0	22.0	3.0	20.0	13.0	24.0	17.0	9.0	13.0	41.0	60.0	21.0	471.0	5.0	49.0	1.0	307.0	24.0	128.0	148.0	90.0	25.0		
NC_060925.1	3::NC_060925.1:15369251-15377615	8364	False	0.5179	2	6.0	26.0	36.0	97.0	92.0	29.0	121.0	37.0	72.0	7.0	44.0	25.0	46.0	57.0	24.0	5.0	30.0	85.0	23.0	32.0	53.0	53.0	143.0	25.0	32.0	127.0	41.0	67.0	69.0	19.0	89	33.0	54.0	18.0	25.0	53.0	37.0	73.0	36.0	48.0	109.0	38.0	26.0	38.0	17.0	10.0	61.0			24.0	31.0	8.0	89.0	19.0	90.0		77.0	54.0	30.0	19.0	14.0	15.0	13.0	17.0
NC_060925.1	-3::NC_060925.1:151336645-151357084	20439	False	0.5787	1	7.0	1.0	1.0	4.0	21.0	113.0	61.0	2.0	329.0	58.0	133.0	127.0		61.0	30.0	35.0	3.0	3.0	418.0	5.0	29.0	24.0	15.0	8.0	3.0	1.0	15.0	16.0	366.0	2.0	309	350.0	448.0	66.0	210.0	19.0	10.0	3.0	11.0	426.0	60.0	1030.0	3.0	27.0	117.0	49.0	35.0	394.0			56.0	131.0	8.0		42.0	26.0	707.0	272.0	7.0	13.0		93.0		
NC_060925.1	-1::NC_060925.1:151438278-151451310	13032	False	0.5548	1	118.0	4.0	24.0	5.0	206.0	141.0	6.0	15.0	153.0	14.0	139.0	30.0		9.0	37.0	65.0	36.0	7.0	266.0	29.0	75.0	65.0	16.0	31.0	57.0	13.0	36.0	19.0	147.0	10.0	261	189.0	284.0	23.0	114.0	175.0	33.0		64.0	51.0	123.0	194.0	6.0	5.0	24.0	128.0	2.0	284.0	5.0	14.0	25.0	22.0	5.0	20.0	23.0	5.0	75.0	284.0	17.0	24.0	17.0	75.0		
NC_060925.1	1::NC_060925.1:200463003-200470914	7911	False	0.5462	2	9.0	11.0	39.0	99.0	79.0	12.0	32.0	3.0	16.0	33.0	16.0	15.0	99.0	119.0	201.0	3.0	13.0	127.0	146.0	6.0	47.0	62.0	89.0	24.0	84.0	110.0	224.0	35.0	78.0	1.0	35	84.0	29.0	5.0	37.0	5.0	12.0	93.0	9.0	10.0	69.0	51.0	54.0	15.0	25.0	15.0	23.0			7.0	6.0	3.0	47.0	11.0	31.0		32.0	27.0	18.0	1.0		5.0	8.0	38.0
NC_060933.1	2::NC_060933.1:35318932-35327653	8721	False	0.3919	2	9.0	49.0	122.0	78.0	117.0	19.0	135.0	57.0	26.0	18.0	78.0	37.0	109.0	19.0	38.0	37.0	14.0	125.0	34.0	60.0	31.0	96.0	156.0	91.0	20.0	108.0	38.0	54.0	48.0	7.0	31	35.0	24.0	1.0	55.0	14.0	50.0	47.0	20.0	32.0	62.0	43.0	32.0	66.0	48.0	38.0	53.0					4.0	80.0	13.0	78.0		31.0	52.0	57.0	2.0	2.0	7.0	29.0	71.0
NC_060939.1	3::NC_060939.1:40491107-40501358	10251	False	0.5165	2	34.0	49.0	60.0	77.0	112.0	53.0	67.0	45.0	74.0	32.0	77.0	35.0	74.0	105.0	42.0	39.0	63.0	91.0	51.0	23.0	98.0	77.0	134.0	46.0	62.0	142.0	57.0	77.0	83.0	13.0	55	46.0	82.0	8.0	53.0	34.0	44.0	66.0	28.0	58.0	110.0	58.0	23.0	62.0	16.0	39.0	64.0			3.0	11.0	5.0	156.0	18.0	105.0		76.0	74.0	45.0	11.0	5.0	9.0	24.0	37.0
NC_060939.1	3::NC_060939.1:41328674-41337347	8673	False	0.5563	2	14.0	21.0	22.0	141.0	56.0	46.0	75.0	21.0	92.0	30.0	46.0	21.0	56.0	35.0	22.0	13.0	34.0	71.0	46.0	17.0	65.0	36.0	130.0	20.0	59.0	220.0	66.0	95.0	78.0	18.0	62	30.0	83.0	6.0	25.0	35.0	18.0	52.0	39.0	46.0	106.0	25.0	20.0	30.0	9.0	33.0	59.0			28.0	11.0	4.0	82.0	21.0	119.0		94.0	58.0	38.0	11.0	18.0	8.0	35.0	20.0
NC_060944.1	1::NC_060944.1:1893108-1907463	14355	False	0.6485	1	5.0	284.0	1.0	1.0	4.0	6.0		3.0	1160.0	2.0	2.0	138.0	4.0	1.0	2.0	405.0	52.0				3.0	1.0	1.0	2.0	3.0	3.0	2.0	2.0	3.0	133.0	203	2.0	215.0		2.0	202.0		3.0	409.0	62.0	213.0	2.0	135.0		2.0	6.0	4.0					1.0	6.0	1.0	336.0		3.0	617.0	6.0	130.0				2.0
NC_060944.1	-1::NC_060944.1:1893330-1907433	14103	False	0.6499	1	3.0	284.0			1.0	1.0		1.0	1157.0		2.0	136.0				405.0	52.0				2.0		1.0		1.0	1.0		1.0	1.0	133.0	202		211.0		1.0	201.0		1.0	409.0	61.0	208.0	1.0	135.0		2.0	3.0	2.0						2.0	1.0	334.0			613.0	3.0	129.0				
NC_060944.1	2::NC_060944.1:1893379-1907482	14103	False	0.6498	1		277.0			1.0	4.0	1.0		1169.0	1.0		133.0	3.0			413.0	61.0				1.0			3.0		1.0		1.0	1.0	128.0	206		205.0			198.0			418.0	53.0	199.0	1.0	139.0		1.0	1.0	2.0						1.0		337.0		1.0	609.0	1.0	129.0	1.0	1.0		
NC_060944.1	3::NC_060944.1:1893398-1907567	14169	False	0.6491	1	1.0	277.0	1.0			2.0	1.0	1.0	1154.0		2.0	137.0	1.0	4.0		412.0	62.0			1.0		2.0		5.0	1.0	2.0		1.0	3.0	128.0	206	1.0	197.0		4.0	200.0			414.0	59.0	211.0	2.0	133.0				1.0				1.0		5.0		336.0		1.0	617.0	2.0	133.0	1.0		1.0	
NC_060944.1	-2::NC_060944.1:1893422-1907585	14163	False	0.6493	1	2.0	275.0	1.0	1.0		2.0	1.0	1.0	1154.0		2.0	137.0		4.0		412.0	62.0			1.0		2.0		5.0	2.0	2.0		1.0	2.0	128.0	206		197.0		4.0	200.0		1.0	413.0	59.0	211.0	2.0	133.0	1.0			1.0				1.0		5.0		336.0	1.0	1.0	616.0	2.0	133.0	1.0			
NC_060944.1	-3::NC_060944.1:1893463-1907521	14058	False	0.6502	1		277.0		1.0	1.0	1.0			1169.0			133.0			1.0	413.0	60.0				1.0	1.0	1.0	3.0	1.0	1.0		1.0		128.0	206		205.0		2.0	197.0	1.0		418.0	51.0	197.0	1.0	137.0					1.0					1.0		337.0		1.0	608.0	1.0	128.0		1.0		
