clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_GGG	codon_TTA	codon_GTT	codon_AGG	codon_GTA	codon_GGT	codon_CCT	codon_AAC	codon_ACC	codon_CTA	codon_CCC	codon_GGC	codon_AGA	codon_CGT	codon_GCT	codon_TGC	codon_AGC	codon_ATG	codon_TGG	codon_TTG	codon_CCG	codon_AGT	codon_TCC	codon_CTT	codon_CTG	codon_CGG	codon_CTC	codon_GCC	codon_AAG	codon_TCT	codon_TAT	codon_TCA	codon_ACT	codon_CAC	codon_GAG	codon_GTC	codon_ATT	codon_GCG	codon_TGT	codon_CAT	codon_CGC	codon_CAA	codon_GAC	codon_GGA	codon_CAG	codon_ATC	codon_TTC	codon_CCA	codon_GTG	codon_AAA	codon_AAT	codon_GAA	codon_TCG	codon_ATA	codon_CGA	codon_GCA	codon_ACG	codon_GAT	codon_ACA	codon_TAC	codon_TTT
NC_073273.2	1::NC_073273.2:46455423-46461399(+)	5976	False	0.5134	0	8.0	4.0	9.0	5.0		2.0	384.0	2.0	1.0	3.0	89.0	5.0	5.0	17.0	16.0	9.0	4.0	2.0	8.0	15.0		2.0	389.0	427.0	7.0		18.0	2.0	2.0	22.0	1.0	3.0	4.0	6.0	1.0	2.0			5.0	3.0	1.0		2.0	9.0	10.0	2.0	405.0	5.0	3.0	13.0	2.0	5.0	16.0	1.0			2.0	1.0	3.0	1.0	29.0
NC_073273.2	-3::NC_073273.2:46455566-46461203(-)	5637	False	0.5141	0	69.0	1.0		405.0	1.0	1.0	6.0	15.0			6.0	4.0	20.0	1.0	2.0	3.0	12.0		3.0	1.0		2.0	1.0	2.0	4.0	1.0	1.0	1.0	398.0	1.0		1.0		2.0	13.0	2.0	2.0		1.0	1.0		4.0	1.0	398.0	2.0		1.0	4.0	2.0	35.0	1.0	407.0		1.0	15.0	12.0	8.0	2.0	2.0		1.0
NC_073273.2	-1::NC_073273.2:46455700-46461064(-)	5364	False	0.5172	0	91.0			378.0	1.0			16.0			1.0		15.0		1.0		4.0			1.0		2.0	1.0		2.0	1.0		1.0	396.0				1.0		9.0				1.0			12.0		383.0	1.0	1.0		1.0	1.0	15.0	1.0	416.0		1.0	7.0	12.0	15.0				
NC_073273.2	-2::NC_073273.2:46455729-46461078(-)	5349	False	0.5177	0	84.0			383.0				8.0			1.0		11.0				13.0		2.0			1.0			1.0		1.0		419.0				1.0		10.0							12.0		387.0	1.0				1.0	17.0		396.0			15.0	4.0	15.0				
NC_073273.2	3::NC_073273.2:46455752-46461176(+)	5424	False	0.5118	0			15.0				405.0				69.0	1.0		8.0	11.0	12.0				4.0			397.0	397.0			11.0			20.0						1.0	1.0										407.0						15.0			1.0				1.0	32.0
NC_073273.2	2::NC_073273.2:46586068-46593370(+)	7302	False	0.6134	1	2.0	2.0	1.0			1.0	171.0	2.0	30.0		166.0	5.0	81.0	25.0	7.0	28.0	157.0	40.0	4.0		2.0	1.0	208.0	8.0	8.0	3.0	322.0	87.0	2.0	156.0	33.0	13.0		23.0	80.0	47.0	3.0	23.0	25.0	81.0	13.0	1.0	6.0	2.0	158.0	5.0	9.0	159.0	8.0	2.0		2.0	2.0	66.0	2.0	80.0	24.0		12.0	33.0	3.0
NC_073273.2	1::NC_073273.2:46586403-46593360(+)	6957	False	0.6174	1	2.0	1.0	2.0			2.0	170.0		30.0		161.0	2.0	79.0	26.0	2.0	25.0	149.0	46.0	2.0	1.0	1.0		207.0	4.0	3.0	2.0	310.0	92.0	1.0	154.0	26.0	9.0		20.0	79.0	43.0	1.0	21.0	21.0	81.0	13.0	2.0	1.0	1.0	155.0	7.0	10.0	158.0						63.0	1.0	79.0	16.0	1.0	4.0	33.0	
NC_073273.2	3::NC_073273.2:46586435-46593251(+)	6816	False	0.6181	1	1.0			1.0			163.0		29.0		155.0		79.0	28.0	2.0	24.0	152.0	44.0	2.0		1.0		209.0	7.0	3.0		308.0	90.0		149.0	35.0	13.0		18.0	77.0	49.0	2.0	22.0	14.0	78.0	15.0	1.0	1.0		150.0	4.0	5.0	156.0						59.0		80.0	17.0	1.0	1.0	27.0	
NC_073273.2	-1::NC_073273.2:46741186-46748107(-)	6921	False	0.6427	2	7.0		4.0	58.0	1.0	1.0	7.0	2.0	95.0	1.0	224.0	6.0	234.0	5.0	3.0	3.0	51.0	2.0	4.0	3.0	7.0	2.0	15.0	7.0	4.0	99.0	13.0	9.0	4.0	4.0		6.0	11.0	146.0	113.0	6.0	1.0		2.0	5.0	3.0	2.0	266.0	156.0	231.0	2.0	7.0	106.0	3.0	3.0		3.0	3.0	1.0	1.0	54.0	96.0	5.0	194.0	2.0	4.0
NC_073273.2	2::NC_073273.2:46741570-46747420(+)	5850	False	0.6453	1	193.0		2.0	4.0	1.0	83.0	47.0	2.0	1.0		1.0	6.0	2.0	87.0	46.0	45.0	1.0	2.0	94.0	1.0	88.0	10.0	133.0		197.0	3.0	102.0	4.0	3.0	206.0	1.0		2.0		9.0	237.0		2.0	173.0	1.0		2.0	1.0	11.0	3.0	2.0	2.0	3.0	124.0	3.0		2.0			2.0	2.0	3.0	1.0			
NC_073273.2	1::NC_073273.2:46741632-46747827(+)	6195	False	0.645	1	205.0		1.0	3.0		93.0	58.0	1.0	1.0		2.0	2.0	1.0	92.0	45.0	47.0	4.0	1.0	98.0		96.0	11.0	141.0		198.0	3.0	111.0	3.0	2.0	218.0		1.0		3.0	15.0	251.0			192.0	4.0	2.0	1.0	1.0	10.0			1.0	2.0	134.0	2.0		3.0		1.0		1.0	1.0	1.0	1.0		1.0
NC_073273.2	-3::NC_073273.2:46741721-46747826(-)	6105	False	0.6442	1				48.0			1.0		91.0	1.0	198.0	2.0	211.0	1.0	1.0	1.0	50.0	1.0	5.0	1.0	2.0		11.0	1.0		93.0	12.0	3.0		2.0		1.0	8.0	133.0	117.0	1.0	1.0			1.0			242.0	152.0	203.0		1.0	103.0		1.0			1.0			45.0	89.0	1.0	196.0		3.0
NC_073273.2	-2::NC_073273.2:46741728-46748334(-)	6606	False	0.6438	1				66.0		1.0	2.0		103.0	1.0	218.0	3.0	236.0		2.0	1.0	49.0	6.0	2.0		2.0		11.0	2.0		100.0	14.0	1.0			1.0		10.0	142.0	116.0			1.0	1.0	3.0			277.0	152.0	213.0	1.0	1.0	104.0	2.0	1.0		2.0				47.0	101.0	2.0	203.0		2.0
NC_073273.2	3::NC_073273.2:46741802-46748114(+)	6312	False	0.6454	1	209.0			1.0		93.0	50.0			1.0	1.0	2.0		92.0	51.0	48.0			110.0		95.0	8.0	159.0		208.0	2.0	124.0	1.0	1.0	217.0	1.0				12.0	251.0			210.0	1.0		1.0		11.0		1.0		5.0	136.0	1.0							1.0				
NC_073273.2	-2::NC_073273.2:46809081-46814910(-)	5829	False	0.6282	1	155.0		2.0	68.0	1.0	5.0	76.0	86.0	41.0	46.0	62.0	37.0	3.0	20.0	67.0	30.0	9.0	1.0	3.0	2.0	7.0	5.0	212.0	5.0	42.0	29.0	90.0	10.0	2.0	2.0	1.0	37.0	37.0	19.0	7.0	45.0	1.0	29.0	29.0	49.0	3.0	45.0	55.0	47.0	53.0	72.0	9.0	108.0	30.0	3.0	3.0	13.0	2.0		3.0	15.0	17.0	1.0	25.0	66.0	1.0
NC_073273.2	-3::NC_073273.2:46809476-46814501(-)	5025	False	0.6285	1	162.0	2.0		38.0	1.0		137.0	51.0	67.0	30.0	37.0	30.0	1.0	26.0	40.0	25.0	2.0	1.0		1.0	1.0	3.0	125.0		66.0	15.0	71.0			10.0		64.0	65.0	1.0	1.0	26.0		17.0	36.0	42.0	2.0	29.0	33.0	42.0	79.0	44.0	2.0	104.0	23.0	2.0		6.0	1.0		1.0	5.0	46.0		19.0	43.0	
NC_073273.2	-3::NC_073273.2:46944917-46951889(-)	6972	False	0.498	0			1.0		1.0		1148.0	1150.0	1.0	2.0				1.0				2.0							1.0					2.0	2.0			1.0					1.0	1.0				1.0		1.0	1.0	1.0		1.0	1.0	1.0		2.0					1.0		
NC_073273.2	-1::NC_073273.2:46944949-46953997(-)	9048	False	0.4992	1		1.0	1.0		1.0		259.0	262.0	1239.0	1239.0	2.0							1.0			1.0									1.0		1.0							2.0							1.0						1.0		2.0					1.0	1.0	
NC_073273.2	1::NC_073273.2:46944990-46951890(+)	6900	False	0.5	0	1147.0	1148.0		1.0		1.0														1.0						1.0													1.0																						
NC_073273.2	3::NC_073273.2:46944998-46953998(+)	9000	False	0.5	1	260.0	259.0	1239.0	1239.0		1.0														1.0																																									1.0
NC_073249.2	-3::NC_073249.2:0-8107(-)	8107	False	0.5009	0	1197.0	1186.0	152.0	154.0	9.0																																																								4.0
NC_073249.2	3::NC_073249.2:2-8108(+)	8106	False	0.5009	0							1195.0	1190.0	161.0	154.0																																						2.0													
NC_073249.2	-2::NC_073249.2:1268-8114(-)	6846	False	0.5013	0	1.0	1.0	1131.0	1138.0		9.0													2.0																																										
NC_073249.2	1::NC_073249.2:1269-8157(+)	6888	False	0.5023	0							7.0	2.0	1131.0	1137.0	10.0													1.0										6.0								2.0																			
NC_073249.2	-1::NC_073249.2:48166839-48174561(-)	7722	False	0.5492	1	221.0	35.0	15.0	119.0	19.0	192.0	66.0	5.0	12.0	11.0	16.0	90.0	52.0	2.0	74.0	9.0	41.0	85.0	30.0	37.0	2.0	57.0	27.0	17.0	30.0	5.0	11.0	33.0	91.0	76.0	49.0	95.0	17.0	14.0	109.0	4.0	8.0	3.0	5.0	12.0		14.0	35.0	141.0	49.0	8.0	15.0	31.0	29.0	30.0	36.0	84.0	3.0	21.0	7.0	90.0	5.0	124.0	21.0	11.0	24.0
NC_073249.2	2::NC_073249.2:97494343-97501411(+)	7068	False	0.4934	1	69.0	3.0	14.0	36.0	4.0	87.0	7.0	12.0	20.0	2.0	3.0	131.0	96.0	3.0	14.0	3.0	38.0	4.0	8.0	7.0		89.0	84.0	4.0	6.0		2.0	17.0	11.0	149.0	47.0	173.0	86.0	89.0	56.0	13.0	9.0		21.0	157.0	1.0	136.0	25.0	196.0	109.0	2.0	5.0	15.0	13.0	13.0	13.0	54.0	2.0	15.0	7.0	6.0		23.0	82.0	15.0	50.0
NC_073249.2	2::NC_073249.2:97537285-97547398(+)	10113	False	0.5523	1	117.0	7.0	14.0	90.0	15.0	37.0	11.0	29.0	30.0	2.0	26.0	59.0	160.0	59.0	55.0		113.0	4.0	13.0	5.0	9.0	108.0	199.0	4.0	4.0	27.0	10.0	49.0	17.0	156.0	21.0	215.0	52.0	196.0	106.0	10.0	21.0	16.0	2.0	138.0	23.0	92.0	139.0	215.0	216.0	6.0	15.0	13.0	26.0	25.0	23.0	110.0	17.0	6.0	19.0	88.0	4.0	49.0	51.0	23.0	5.0
NC_073249.2	1::NC_073249.2:97600755-97611663(+)	10908	False	0.5724	1	162.0	12.0	2.0	37.0	2.0	185.0	35.0	8.0	12.0		10.0	413.0	18.0	55.0	20.0	5.0	189.0	4.0	12.0	10.0	2.0	79.0	221.0	6.0	5.0	15.0	1.0	6.0	10.0	529.0	83.0	214.0	12.0	154.0	63.0	7.0	1.0		19.0	186.0	20.0	134.0	7.0	143.0	219.0	3.0	6.0	34.0	4.0	8.0	14.0	23.0	37.0	3.0	55.0	3.0		12.0	17.0	60.0	30.0
NC_073249.2	2::NC_073249.2:97710643-97716301(+)	5658	False	0.6064	1	7.0	3.0	3.0	108.0	1.0	2.0	5.0	2.0		14.0	5.0	7.0	57.0	29.0	5.0	2.0	12.0	1.0	22.0	6.0	7.0	8.0	5.0	6.0	114.0	59.0	30.0	11.0	58.0	2.0	8.0		2.0	16.0	382.0	5.0	1.0	2.0	2.0	5.0	164.0	71.0	40.0	6.0	265.0	4.0	31.0	8.0	8.0	49.0	3.0	152.0	2.0	1.0	17.0	3.0	7.0	18.0	3.0	13.0	7.0
NC_073249.2	2::NC_073249.2:185227363-185232502(+)	5139	False	0.5725	2	32.0	8.0	13.0	25.0	6.0	12.0	56.0	13.0	43.0	4.0	85.0	37.0	15.0	3.0	22.0	10.0	68.0	27.0	6.0	24.0	13.0	29.0	77.0	23.0	59.0	16.0	31.0	53.0	67.0	39.0	6.0	44.0	18.0	38.0	87.0	19.0	12.0	2.0	8.0	23.0	18.0	18.0	22.0	18.0	66.0	26.0	26.0	68.0	36.0	44.0	4.0	54.0	4.0	4.0	4.0	28.0	9.0	17.0	31.0	27.0	16.0
NC_073249.2	-1::NC_073249.2:187490334-187495821(-)	5487	False	0.4163	2	20.0	37.0	35.0	19.0	27.0	29.0	32.0	24.0	18.0	30.0	11.0	22.0	47.0	4.0	32.0	9.0	20.0	36.0	6.0	36.0	3.0	31.0	23.0	35.0	36.0	4.0	19.0	26.0	49.0	49.0	9.0	26.0	43.0	14.0	60.0	15.0	62.0	1.0	17.0	28.0		51.0	30.0	41.0	56.0	25.0	21.0	23.0	46.0	86.0	47.0	126.0	1.0	33.0	6.0	46.0	3.0	58.0	48.0	5.0	33.0
NC_073249.2	-3::NC_073249.2:210983092-210991450(-)	8358	False	0.5172	2	41.0	17.0	38.0	58.0	25.0	24.0	109.0	38.0	48.0	13.0	71.0	31.0	38.0	19.0	68.0	6.0	54.0	33.0	7.0	26.0	15.0	53.0	56.0	31.0	51.0	24.0	29.0	77.0	95.0	87.0	26.0	45.0	44.0	29.0	127.0	53.0	32.0	17.0	5.0	27.0	14.0	40.0	67.0	23.0	87.0	36.0	10.0	93.0	89.0	122.0	36.0	143.0	10.0	16.0	31.0	78.0	15.0	84.0	61.0	19.0	25.0
NC_073249.2	-1::NC_073249.2:225910365-225915756(-)	5391	False	0.5478	0	46.0		1.0	85.0			135.0	60.0	137.0		1.0	2.0	23.0	1.0	2.0	1.0	57.0			1.0	1.0	1.0	69.0	59.0	2.0	1.0	56.0	81.0	60.0	7.0		83.0		141.0	1.0							56.0	38.0	57.0	79.0		58.0	123.0		82.0		83.0					1.0	1.0	94.0		11.0
NC_073249.2	-2::NC_073249.2:225910397-225916040(-)	5643	False	0.5497	0	65.0		1.0	58.0	1.0	3.0	125.0	81.0	118.0	1.0	3.0	6.0	23.0	1.0	5.0	4.0	65.0	2.0	2.0		1.0	1.0	47.0	82.0	4.0		61.0	65.0	83.0	16.0		57.0		149.0	1.0	2.0			2.0	2.0	1.0	62.0	23.0	62.0	103.0	2.0	63.0	166.0	3.0	59.0		57.0				3.0	2.0	2.0	127.0		9.0
NC_073249.2	-3::NC_073249.2:225910483-225915850(-)	5367	False	0.5469	0	40.0			60.0			106.0	56.0	141.0		3.0		38.0	1.0	1.0		81.0	2.0			1.0		54.0	57.0	1.0		81.0	61.0	57.0	12.0	1.0	60.0		156.0		2.0				1.0	1.0	81.0	20.0	81.0	105.0		76.0	114.0	1.0	60.0		60.0			1.0	1.0	1.0		101.0		13.0
NC_073249.2	3::NC_073249.2:227246636-227262338(+)	15702	False	0.626	1	1.0		1.0	3.0	1.0	1.0	501.0	14.0	391.0	10.0	487.0	4.0	3.0	2.0	7.0	9.0	1.0	3.0	2.0	1.0	11.0	3.0	789.0	9.0	8.0	2.0	481.0	7.0	2.0	8.0	6.0	9.0	10.0	692.0	4.0	4.0	4.0		3.0	310.0	12.0	24.0	7.0		5.0	284.0	12.0	673.0	4.0	20.0	4.0		4.0	14.0		9.0	5.0	2.0	333.0	12.0	6.0
NC_073249.2	1::NC_073249.2:227246718-227262249(+)	15531	False	0.6284	1	1.0		1.0	2.0		4.0	509.0	17.0	387.0	5.0	485.0	3.0	2.0	2.0	7.0	5.0	3.0	1.0	4.0	2.0	5.0	1.0	761.0	9.0	10.0	2.0	497.0	9.0		9.0	15.0	4.0	7.0	711.0		3.0	1.0	1.0		283.0	14.0	20.0	2.0		6.0	298.0	10.0	670.0	1.0	21.0	3.0		2.0	18.0	1.0	8.0	5.0		323.0	7.0	
NC_073249.2	2::NC_073249.2:227247043-227262286(+)	15243	False	0.6274	1							478.0	21.0	373.0	9.0	487.0		3.0	1.0	3.0	7.0	1.0	1.0			4.0	1.0	785.0	6.0	6.0		499.0	6.0		10.0	17.0	4.0	3.0	698.0		1.0	6.0		2.0	277.0	5.0	17.0	3.0		2.0	287.0	7.0	659.0		12.0	5.0	1.0	1.0	7.0	2.0	4.0	3.0		353.0	4.0	
NC_073249.2	-1::NC_073249.2:227255586-227262144(-)	6558	False	0.6346	1	212.0		2.0	221.0	6.0	179.0							3.0			1.0	1.0	121.0	290.0	2.0		1.0			3.0	4.0			1.0	1.0	3.0				205.0	1.0		4.0	147.0					314.0	2.0				325.0		1.0	2.0		4.0		3.0		126.0			1.0
NC_073249.2	1::NC_073249.2:227694354-227703972(+)	9618	False	0.4988	0	1577.0	1577.0	2.0	4.0		3.0	2.0				1.0		1.0		2.0	1.0			1.0	5.0		1.0		1.0	3.0		1.0			4.0		1.0	2.0		1.0	1.0				1.0			1.0		1.0		1.0		1.0		3.0										7.0
NC_073249.2	-2::NC_073249.2:227694449-227703971(-)	9522	False	0.5004	0						1.0	1577.0	1577.0	2.0	3.0			1.0				2.0			1.0			1.0		1.0									2.0									2.0					1.0	1.0							1.0			1.0		
NC_073249.2	-3::NC_073249.2:227694502-227704597(-)	10095	False	0.5001	0							34.0	35.0	1646.0	1647.0	2.0																															1.0																			
NC_073249.2	3::NC_073249.2:227694503-227704598(+)	10095	False	0.5	0	34.0	34.0	1646.0	1647.0		2.0													1.0																																										1.0
NC_073259.2	1::NC_073259.2:3492-8616(+)	5124	False	0.5004	0							63.0	63.0	789.0	790.0	2.0																																																	1.0	
NC_073259.2	-2::NC_073259.2:3497-8615(-)	5118	False	0.5002	0	63.0	63.0	789.0	790.0		1.0																																																							
NC_073259.2	-1::NC_073259.2:8787840-8793411(-)	5571	False	0.5972	0	4.0			91.0		1.0	137.0	3.0	114.0	100.0	272.0	26.0	3.0		1.0	90.0		7.0	1.0			1.0	44.0	50.0	8.0		114.0	27.0	2.0	290.0		41.0	1.0	98.0	3.0	1.0		29.0		1.0	25.0	5.0		2.0	3.0		1.0	50.0	1.0	1.0	1.0	1.0	4.0	5.0	1.0	1.0	58.0	1.0	1.0	24.0	112.0
NC_073259.2	-3::NC_073259.2:8787988-8793586(-)	5598	False	0.5972	0	5.0	1.0	1.0	30.0			156.0	1.0	110.0	22.0	159.0	1.0	5.0		5.0	55.0	4.0			88.0			101.0	1.0	2.0	1.0	288.0	90.0	4.0	76.0		15.0	34.0	112.0	2.0	1.0		5.0	3.0	1.0		1.0	1.0	1.0	93.0	1.0	86.0	4.0	3.0	1.0	7.0	2.0		2.0		90.0	20.0	3.0	2.0	58.0	112.0
NC_073259.2	-2::NC_073259.2:8788019-8793506(-)	5487	False	0.5989	0				4.0			212.0	3.0	111.0	58.0	68.0	90.0	1.0	1.0	2.0	7.0	1.0			24.0			25.0	176.0	29.0		161.0	112.0	1.0	88.0		2.0	10.0	57.0	3.0	2.0			2.0	1.0	90.0	7.0	1.0	1.0	28.0		28.0	173.0			2.0	3.0				29.0	1.0		1.0	105.0	109.0
NC_073259.2	1::NC_073259.2:37601394-37607202(+)	5808	False	0.5601	2	39.0	16.0	32.0	2.0	15.0	32.0	135.0	13.0	67.0	20.0	170.0	19.0	6.0	2.0	104.0	9.0	11.0	14.0	3.0	11.0	6.0	20.0	86.0	27.0	24.0	1.0	26.0	70.0	36.0	89.0	4.0	34.0	105.0	8.0	24.0	19.0	21.0	4.0	11.0	7.0	2.0	18.0	14.0	39.0	18.0	12.0	11.0	154.0	39.0	100.0	16.0	21.0	4.0	13.0	1.0	58.0	3.0	14.0	37.0	3.0	17.0
NC_073259.2	1::NC_073259.2:43833123-43839207(+)	6084	False	0.5007	2	64.0	22.0	20.0	19.0	17.0	9.0	120.0	14.0	73.0	17.0	27.0	9.0	23.0	4.0	54.0	2.0	9.0	34.0	18.0	38.0	6.0	25.0	23.0	28.0	44.0	3.0	77.0	61.0	65.0	49.0	18.0	39.0	58.0	8.0	58.0	13.0	26.0	13.0	4.0	15.0	1.0	54.0	18.0	28.0	214.0	67.0	15.0	34.0	13.0	90.0	16.0	98.0	4.0	29.0	7.0	20.0	1.0	29.0	36.0	9.0	19.0
NC_073259.2	-1::NC_073259.2:53665422-53676795(-)	11373	False	0.492	0	309.0	42.0	55.0	19.0	43.0	42.0	19.0	1.0	20.0	109.0	2.0	10.0	77.0	1.0	253.0	1.0	4.0	10.0	3.0	12.0	1.0	29.0	7.0	6.0	10.0	6.0	5.0	4.0	3.0	60.0	3.0	411.0	274.0		53.0	12.0	43.0	6.0		1.0		32.0		435.0	7.0	3.0	1.0	136.0	245.0	36.0	25.0	131.0	6.0	70.0	1.0	74.0	7.0	10.0	590.0	4.0	12.0
NC_073259.2	2::NC_073259.2:53665423-53670445(+)	5022	False	0.5175	0	6.0	1.0	134.0	1.0	18.0	47.0	152.0		70.0	12.0		6.0			151.0	1.0	10.0	1.0		2.0	2.0	67.0		17.0	1.0		9.0	12.0		28.0		45.0	77.0		5.0	237.0	34.0	2.0	4.0			2.0	8.0			18.0	4.0	223.0	11.0		16.0	2.0	2.0	7.0	5.0	15.0		167.0	21.0		21.0
NC_073259.2	-1::NC_073259.2:64774605-64779645(-)	5040	False	0.3861	0	8.0	32.0	43.0	12.0	35.0	15.0	42.0	34.0	24.0	19.0	19.0	9.0	20.0	6.0	27.0	9.0	23.0	40.0	7.0	29.0	4.0	42.0	12.0	18.0	17.0	2.0	7.0	7.0	56.0	60.0	21.0	61.0	45.0	13.0	36.0	10.0	27.0		24.0	24.0		67.0	22.0	24.0	69.0	15.0	6.0	45.0	21.0	107.0	80.0	70.0	3.0	27.0	6.0	35.0	3.0	52.0	50.0	13.0	26.0
NC_073259.2	-2::NC_073259.2:138824039-138831683(-)	7644	False	0.4626	1		1.0			1.0		9.0		12.0	6.0	328.0		1.0	2.0		1.0	3.0	121.0	1.0		1.0		395.0		1.0		61.0	2.0	1.0	288.0	20.0	55.0	109.0	9.0		5.0	6.0		8.0	27.0	1.0	3.0			2.0	25.0	3.0	81.0	2.0	2.0	2.0		1.0	344.0		2.0	113.0		486.0	6.0	1.0
NC_073259.2	-1::NC_073259.2:138824259-138831759(-)	7500	False	0.4669	1	1.0	1.0			1.0		6.0	3.0	335.0	5.0	71.0			2.0	1.0	2.0	1.0	3.0	1.0	1.0		1.0	8.0	1.0	3.0		55.0	6.0		7.0	69.0	8.0	58.0	266.0		122.0	2.0		4.0	401.0		2.0	112.0		4.0	561.0	2.0	9.0		1.0	2.0	2.0	1.0	6.0			1.0	2.0	11.0	337.0	2.0
NC_073259.2	1::NC_073259.2:138824535-138831636(+)	7101	False	0.4678	1	69.0		3.0		331.0	330.0						3.0	2.0	1.0				392.0	2.0			57.0			1.0				1.0		3.0				54.0	110.0	1.0		3.0	1.0			120.0	3.0		1.0	1.0		257.0		1.0	2.0		65.0		2.0	1.0	548.0	2.0		
