clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TGC	codon_CAT	codon_AAT	codon_AAG	codon_TCT	codon_CTC	codon_AAA	codon_AAC	codon_CCC	codon_TGG	codon_ACT	codon_GTA	codon_TCA	codon_AGG	codon_GGT	codon_TGT	codon_CAC	codon_GAT	codon_GGA	codon_ATT	codon_AGC	codon_AGT	codon_GAA	codon_TTT	codon_GGC	codon_GAG	codon_GGG	codon_GAC	codon_GCT	codon_CGT	codon_GTG	codon_ATG	codon_CTG	codon_GCG	codon_TTG	codon_GTC	codon_GTT	codon_GCA	codon_ATC	codon_CCA	codon_TCG	codon_TCC	codon_ACC	codon_ACA	codon_ACG	codon_GCC	codon_TTC	codon_CCT	codon_CTA	codon_CTT	codon_CGA	codon_CAA	codon_CCG	codon_TAC	codon_CAG	codon_TAT	codon_CGC	codon_ATA	codon_AGA	codon_TTA	codon_CGG
NC_060931.1	3::NC_060931.1:102226625-102266084(+)	39459	False	0.5084	2	6.0	50.0	120.0	130.0	743.0	107.0	21.0	98.0	547.0	12.0	1339.0	23.0	749.0	78.0	40.0	16.0	457.0	13.0	17.0	162.0	583.0	638.0	86.0	87.0	97.0	404.0	53.0	54.0	65.0	7.0	102.0	150.0	66.0	38.0	249.0	90.0	33.0	72.0	708.0	147.0	145.0	382.0	1964.0	579.0	108.0	309.0	463.0	286.0	11.0	47.0	4.0	21.0	26.0	64.0	63.0	31.0	19.0	60.0	42.0	64.0	8.0
NC_060931.1	1::NC_060931.1:102295752-102320043(+)	24291	False	0.5575	1		16.0	2.0	8.0	226.0	166.0	38.0	16.0	137.0	16.0	262.0	9.0	507.0	2.0	82.0		320.0	24.0	90.0	3.0	620.0	262.0	354.0	40.0	414.0	112.0	8.0	131.0	31.0	57.0	24.0	35.0	66.0	25.0	16.0	83.0	91.0	187.0	34.0	269.0	58.0	291.0	617.0	909.0	140.0	211.0	173.0	337.0	29.0	67.0	15.0	65.0	38.0	61.0	65.0	3.0	82.0	38.0	33.0	68.0	14.0
NC_060931.1	1::NC_060931.1:102320046-102328590(+)	8544	False	0.5495	0	1.0	8.0	1.0	4.0	91.0	56.0	10.0	6.0	44.0	6.0	99.0	2.0	167.0	1.0	27.0	3.0	108.0	9.0	31.0	8.0	216.0	85.0	123.0	27.0	137.0	41.0	6.0	42.0	13.0	21.0	12.0	17.0	23.0	10.0	7.0	26.0	32.0	63.0	15.0	95.0	19.0	107.0	205.0	312.0	44.0	75.0	66.0	120.0	9.0	27.0	4.0	26.0	14.0	22.0	24.0	5.0	25.0	11.0	10.0	26.0	4.0
NC_060931.1	2::NC_060931.1:102354412-102366640(+)	12228	False	0.492	1	3.0	3.0	18.0	7.0	218.0	11.0	13.0	42.0	25.0	1.0	390.0	12.0	183.0	11.0	62.0	2.0	8.0	12.0	55.0	23.0	257.0	232.0	176.0	14.0	13.0	55.0	5.0	68.0	126.0	9.0	118.0	105.0	22.0	2.0	13.0	106.0	59.0	34.0	39.0	114.0	7.0	41.0	347.0	270.0	41.0	93.0	6.0	306.0	13.0	80.0	1.0	12.0	25.0	3.0	7.0	24.0		50.0	24.0	58.0	2.0
NC_060931.1	3::NC_060931.1:159805334-159822644(+)	17310	False	0.5444	1	2.0	3.0		12.0	1.0		4.0		1.0	6.0		5.0	1.0		3418.0	16.0	1.0	539.0	379.0			381.0	5.0	1.0	3.0	28.0	6.0	4.0	10.0		124.0	29.0	19.0				25.0	3.0				1.0		1.0	1.0		1.0	1.0		2.0				4.0	2.0	349.0			367.0	14.0	1.0
NC_060931.1	1::NC_060931.1:159806178-159822525(+)	16347	False	0.5438	0				4.0						3.0		743.0			4.0						1.0	1.0	1.0			742.0	1.0				2675.0	884.0	7.0	2.0	6.0		365.0								6.0									1.0						3.0	
NC_060931.1	-2::NC_060931.1:159806198-159822557(-)	16359	False	0.5438	0		1.0			367.0	2.0		9.0			378.0	3.0				1.0	4.0				7.0			2.0												3.0			536.0	3.0		376.0	3391.0	14.0		2.0	3.0						1.0	1.0	1.0			348.0			
NC_060931.1	-1::NC_060931.1:159806340-159822717(-)	16377	False	0.5434	0	2.0	880.0	2.0	1.0		737.0	3.0	363.0	1.0	1.0			2.0			1.0	2656.0	2.0	2.0	1.0	2.0	2.0	1.0		2.0	2.0	3.0		2.0	6.0	2.0	1.0	2.0				1.0	2.0		6.0				3.0		2.0	1.0	3.0	1.0	4.0		5.0		743.0	5.0	1.0	1.0		1.0	1.0	
NC_060934.1	-2::NC_060934.1:60923363-60931241(-)	7878	False	0.4364	2	4.0	34.0	40.0	89.0	109.0	22.0	158.0	32.0	42.0	9.0	65.0	37.0	83.0	20.0	22.0	15.0	20.0	97.0	33.0	55.0	34.0	66.0	153.0	57.0	29.0	96.0	29.0	55.0	33.0	4.0	46.0	49.0	29.0	5.0	30.0	22.0	56.0	60.0	17.0	79.0	12.0	59.0	60.0	76.0	13.0	43.0	16.0	65.0	20.0	22.0	5.0	51.0	6.0	13.0	69.0	30.0	9.0	34.0	47.0	31.0	10.0
NC_060940.1	2::NC_060940.1:94495414-94507291(+)	11877	False	0.6742	2	52.0	18.0	13.0	116.0	41.0	81.0	40.0	42.0	275.0	26.0	33.0	6.0	35.0	108.0	49.0	23.0	87.0	45.0	71.0	7.0	168.0	34.0	54.0	26.0	165.0	207.0	140.0	120.0	70.0	15.0	68.0	33.0	172.0	57.0	26.0	34.0	14.0	64.0	16.0	115.0	26.0	86.0	95.0	39.0	33.0	219.0	74.0	110.0	9.0	22.0	14.0	24.0	100.0	22.0	159.0	6.0	48.0	2.0	42.0	7.0	56.0
NC_060927.1	2::NC_060927.1:198566581-198586597(+)	20016	False	0.5742	2	2.0	51.0	14.0	9.0	114.0	14.0	11.0	28.0	21.0	11.0	212.0	106.0	428.0	12.0	345.0	1.0	199.0	20.0	34.0	8.0	159.0	22.0	24.0	12.0	29.0	23.0	19.0	310.0	120.0	18.0	36.0	22.0	12.0	5.0	1.0	367.0	22.0	228.0	28.0	35.0	27.0	705.0	873.0	408.0	40.0	205.0	15.0	654.0	8.0	446.0	2.0	21.0	14.0	6.0	73.0	1.0	1.0	16.0	9.0	12.0	4.0
NC_060927.1	3::NC_060927.1:198576875-198585050(+)	8175	False	0.584	0	3.0	110.0		2.0	1.0	157.0			114.0		2.0		169.0	19.0		13.0	3.0			2.0				32.0			2.0	4.0		3.0	54.0	32.0	146.0		16.0	113.0		12.0	3.0	378.0		8.0		130.0	101.0	65.0	169.0	199.0	28.0	141.0		1.0	102.0	3.0	313.0	45.0	17.0	2.0	1.0	1.0	9.0
NC_060938.1	-2::NC_060938.1:99184539-99199485(-)	14946	False	0.5867	2	8.0	14.0	8.0	327.0	100.0	131.0	180.0	12.0	260.0	17.0	64.0	15.0	39.0	45.0	47.0	11.0	46.0	144.0	75.0	42.0	119.0	47.0	115.0	38.0	157.0	246.0	123.0	257.0	75.0	1.0	319.0	164.0	224.0	51.0	26.0	79.0	35.0	56.0	38.0	102.0	42.0	131.0	38.0	75.0	20.0	198.0	90.0	83.0	12.0	43.0	7.0	39.0	51.0	5.0	183.0	1.0	9.0	23.0	39.0	14.0	22.0
NC_060938.1	3::NC_060938.1:99472982-99484097(+)	11115	False	0.6759	1		1.0				1.0			2.0	108.0	109.0	109.0	109.0				217.0		110.0		217.0				110.0	217.0	218.0	108.0			1.0		219.0	109.0		215.0		108.0	111.0				110.0	3.0		217.0		217.0				216.0	106.0		218.0		109.0		110.0		
NC_060947.1	1::NC_060947.1:7722645-7734708(+)	12063	False	0.6604	1		1.0	2.0		123.0	670.0		1.0	616.0	2.0	5.0		14.0	1.0		2.0	464.0		2.0	2.0	1.0		1.0	2.0	2.0			1.0			2.0	1.0	2.0		1.0	2.0		1.0	3.0	181.0		575.0	197.0	256.0	2.0	1.0	145.0	608.0	1.0	122.0		1.0	1.0		1.0	2.0	1.0		3.0		
NC_060947.1	2::NC_060947.1:7722679-7734679(+)	12000	False	0.6609	1	1.0				145.0	608.0		2.0	587.0	2.0	3.0		12.0				450.0			3.0			1.0			2.0		1.0		1.0	1.0					1.0		1.0		214.0		662.0	227.0	235.0	1.0		123.0	587.0		122.0		2.0					1.0		1.0	3.0	1.0
NC_060947.1	3::NC_060947.1:7722698-7735070(+)	12372	False	0.6604	2	3.0	4.0	1.0	1.0	126.0	599.0	1.0	3.0	621.0	5.0	5.0		5.0	4.0	3.0	1.0	463.0	2.0	4.0		1.0	3.0	1.0	4.0	6.0	3.0	5.0	1.0	10.0	1.0	2.0		10.0	1.0		5.0	1.0	1.0	1.0	195.0		604.0	183.0	267.0	1.0	1.0	126.0	665.0	1.0	151.0		2.0			8.0	2.0	4.0		2.0	1.0	4.0
NC_060935.1	-1::NC_060935.1:206501-214061(-)	7560	False	0.4058	0	124.0		246.0			4.0	2.0	20.0	7.0		243.0	120.0	6.0				110.0	120.0		2.0	1.0							6.0	107.0	2.0		6.0				83.0			250.0	107.0		219.0	118.0	125.0			4.0	114.0	113.0	2.0	3.0		10.0				4.0	241.0		1.0	
NC_060935.1	1::NC_060935.1:206502-214065(+)	7563	False	0.4059	0		114.0	1.0		4.0		4.0			103.0	77.0	117.0	116.0	2.0	124.0	7.0	10.0	109.0		268.0		4.0	116.0	2.0			114.0			3.0	357.0	123.0	1.0	106.0	132.0	6.0	6.0	1.0			6.0			126.0											1.0			108.0	113.0	134.0	6.0
NC_060935.1	-3::NC_060935.1:1074441-1088730(-)	14289	False	0.5618	2	2.0	75.0	9.0	31.0	153.0	42.0	36.0	44.0	151.0	5.0	244.0	2.0	145.0	35.0	32.0	3.0	257.0	1.0	19.0	39.0	167.0	92.0	31.0	18.0	50.0	3.0	77.0	1.0	18.0	3.0	66.0	79.0	24.0	13.0	28.0	62.0	29.0	57.0	108.0	277.0	25.0	280.0	634.0	416.0	95.0	190.0	94.0	200.0	48.0	32.0	5.0	40.0	28.0	6.0	71.0	26.0	4.0	14.0	15.0	8.0	4.0
NC_060935.1	2::NC_060935.1:1162462-1171780(+)	9318	False	0.6165	2	14.0	2.0	9.0	15.0	13.0	9.0	4.0	9.0	225.0	14.0	112.0	3.0	10.0	5.0	8.0	12.0	7.0	8.0	14.0	9.0	59.0	18.0	6.0	7.0	98.0	15.0	10.0	13.0	6.0	1.0	107.0	23.0	23.0	1.0	7.0	9.0	4.0	9.0	112.0	367.0	23.0	24.0	869.0	390.0	141.0	25.0	6.0	60.0	6.0	9.0	2.0	5.0	27.0	3.0	103.0	1.0	1.0	9.0	4.0		1.0
NC_060935.1	2::NC_060935.1:1253320-1263772(+)	10452	False	0.5765	1	80.0	18.0	7.0	36.0	207.0	27.0	25.0	44.0	123.0	23.0	136.0	5.0	27.0	26.0	47.0	12.0	31.0	7.0	55.0	6.0	311.0	22.0	35.0	10.0	34.0	60.0	29.0	42.0	90.0	11.0	79.0	15.0	34.0	2.0	8.0	21.0	44.0	19.0	65.0	56.0	17.0	82.0	450.0	373.0	30.0	108.0	24.0	211.0	2.0	7.0	16.0	10.0	24.0	23.0	85.0	5.0	12.0	19.0	32.0	1.0	24.0
NC_060935.1	2::NC_060935.1:1312036-1323970(+)	11934	False	0.6449	2	55.0	6.0	4.0	27.0	42.0	48.0	21.0	39.0	226.0	65.0	148.0	2.0	38.0	38.0	27.0	27.0	82.0	2.0	33.0	1.0	133.0	32.0	21.0	25.0	97.0	85.0	95.0	38.0	36.0	22.0	122.0	49.0	123.0	13.0	12.0	46.0	9.0	61.0	74.0	114.0	24.0	256.0	518.0	255.0	149.0	243.0	32.0	59.0	12.0	31.0	3.0	6.0	67.0	29.0	81.0	5.0	26.0	9.0	18.0	1.0	16.0
NC_060935.1	-1::NC_060935.1:62506196-62523704(-)	17508	False	0.4913	2	1.0	42.0	76.0	394.0	88.0	45.0	430.0	67.0	258.0	32.0	34.0	52.0	53.0	10.0	159.0	10.0	54.0	376.0	152.0	127.0	60.0	47.0	198.0	62.0	204.0	141.0	117.0	228.0	78.0	7.0	298.0	254.0	152.0	11.0	93.0	94.0	157.0	56.0	125.0	229.0	11.0	61.0	25.0	30.0	7.0	71.0	88.0	213.0	23.0	55.0	4.0	29.0	19.0	4.0	35.0	5.0	3.0	33.0	14.0	30.0	5.0
NC_060932.1	-3::NC_060932.1:145014680-145031633(-)	16953	False	0.6968	2	33.0	6.0	2.0	128.0	22.0	172.0	12.0	53.0	166.0	49.0	22.0	5.0	9.0	72.0	18.0	17.0	87.0	22.0	24.0	12.0	114.0	11.0	24.0	16.0	307.0	450.0	145.0	258.0	40.0	25.0	292.0	83.0	471.0	90.0	20.0	135.0	8.0	39.0	148.0	53.0	60.0	102.0	175.0	36.0	103.0	439.0	104.0	19.0	13.0	17.0	21.0	16.0	41.0	113.0	351.0	13.0	193.0	3.0	23.0	1.0	148.0
NC_060925.1	3::NC_060925.1:15369251-15377615(+)	8364	False	0.5179	2	6.0	26.0	36.0	97.0	92.0	29.0	121.0	37.0	72.0	7.0	44.0	25.0	46.0	57.0	24.0	5.0	30.0	85.0	23.0	32.0	53.0	53.0	143.0	25.0	32.0	127.0	41.0	67.0	69.0	19.0	89.0	33.0	54.0	18.0	25.0	53.0	37.0	73.0	36.0	90.0	8.0	54.0	48.0	61.0	15.0	77.0	10.0	109.0	13.0	30.0	31.0	38.0	19.0	19.0	89.0	26.0	14.0	17.0	38.0	17.0	24.0
NC_060925.1	-3::NC_060925.1:151336645-151357084(-)	20439	False	0.5787	1	3.0	350.0	5.0	7.0	1030.0	1.0	8.0	10.0	15.0	42.0	24.0		394.0	60.0	426.0	35.0	309.0	11.0	272.0	1.0	366.0	133.0	49.0	61.0	707.0	113.0	329.0	19.0	29.0	93.0	3.0	1.0	8.0		27.0	16.0	2.0	7.0	3.0	58.0	56.0	418.0	30.0	35.0	2.0	3.0	15.0	61.0		4.0	131.0	210.0		127.0	448.0	117.0	66.0	3.0	21.0	26.0	13.0
NC_060925.1	-1::NC_060925.1:151438278-151451310(-)	13032	False	0.5548	1		189.0	29.0	17.0	194.0	13.0	31.0	33.0	36.0	23.0	65.0	20.0	284.0	123.0	51.0	2.0	261.0	64.0	284.0	24.0	147.0	139.0	128.0	6.0	75.0	141.0	153.0	175.0	75.0	75.0	36.0	4.0	5.0	17.0	5.0	19.0	15.0	118.0	7.0	14.0	25.0	266.0	37.0	65.0	10.0	57.0	16.0	9.0	5.0	5.0	22.0	114.0	14.0	30.0	284.0	24.0	23.0	6.0	206.0	5.0	24.0
NC_060925.1	1::NC_060925.1:200463003-200470914(+)	7911	False	0.5462	2	9.0	11.0	39.0	99.0	79.0	12.0	32.0	3.0	16.0	33.0	16.0	15.0	99.0	119.0	201.0	3.0	13.0	127.0	146.0	6.0	47.0	62.0	89.0	24.0	84.0	110.0	224.0	35.0	78.0	1.0	35.0	84.0	29.0	5.0	37.0	5.0	12.0	93.0	9.0	31.0	3.0	27.0	10.0	23.0	5.0	32.0	15.0	69.0	8.0	18.0	6.0	15.0	1.0	11.0	47.0	54.0		25.0	51.0	38.0	7.0
NC_060933.1	2::NC_060933.1:35318932-35327653(+)	8721	False	0.3919	2	9.0	49.0	122.0	78.0	117.0	19.0	135.0	57.0	26.0	18.0	78.0	37.0	109.0	19.0	38.0	37.0	14.0	125.0	34.0	60.0	31.0	96.0	156.0	91.0	20.0	108.0	38.0	54.0	48.0	7.0	31.0	35.0	24.0	1.0	55.0	14.0	50.0	47.0	20.0	78.0	4.0	52.0	32.0	53.0	7.0	31.0	38.0	62.0	29.0	57.0		66.0	2.0	13.0	80.0	32.0	2.0	48.0	43.0	71.0	
NC_060939.1	3::NC_060939.1:40491107-40501358(+)	10251	False	0.5165	2	34.0	49.0	60.0	77.0	112.0	53.0	67.0	45.0	74.0	32.0	77.0	35.0	74.0	105.0	42.0	39.0	63.0	91.0	51.0	23.0	98.0	77.0	134.0	46.0	62.0	142.0	57.0	77.0	83.0	13.0	55.0	46.0	82.0	8.0	53.0	34.0	44.0	66.0	28.0	105.0	5.0	74.0	58.0	64.0	9.0	76.0	39.0	110.0	24.0	45.0	11.0	62.0	11.0	18.0	156.0	23.0	5.0	16.0	58.0	37.0	3.0
NC_060939.1	3::NC_060939.1:41328674-41337347(+)	8673	False	0.5563	2	14.0	21.0	22.0	141.0	56.0	46.0	75.0	21.0	92.0	30.0	46.0	21.0	56.0	35.0	22.0	13.0	34.0	71.0	46.0	17.0	65.0	36.0	130.0	20.0	59.0	220.0	66.0	95.0	78.0	18.0	62.0	30.0	83.0	6.0	25.0	35.0	18.0	52.0	39.0	119.0	4.0	58.0	46.0	59.0	8.0	94.0	33.0	106.0	35.0	38.0	11.0	30.0	11.0	21.0	82.0	20.0	18.0	9.0	25.0	20.0	28.0
NC_060944.1	1::NC_060944.1:1893108-1907463(+)	14355	False	0.6485	1	5.0	284.0	1.0	1.0	4.0	6.0		3.0	1160.0	2.0	2.0	138.0	4.0	1.0	2.0	405.0	52.0				3.0	1.0	1.0	2.0	3.0	3.0	2.0	2.0	3.0	133.0	203.0	2.0	215.0		2.0	202.0		3.0	409.0	336.0	1.0	617.0	62.0	4.0		3.0	6.0	213.0		6.0			130.0	1.0	6.0	135.0		2.0	2.0	2.0	
NC_060944.1	-1::NC_060944.1:1893330-1907433(-)	14103	False	0.6499	1	1.0			3.0	1.0	1.0				334.0		1.0		208.0	61.0	2.0	202.0	409.0	613.0		1.0	2.0	3.0			1.0	1157.0	201.0	2.0		52.0	284.0	2.0			1.0	1.0	3.0						405.0	133.0	1.0	1.0					1.0		136.0	211.0	2.0		135.0	1.0		129.0
NC_060944.1	2::NC_060944.1:1893379-1907482(+)	14103	False	0.6498	1		277.0			1.0	4.0	1.0		1169.0	1.0		133.0	3.0			413.0	61.0				1.0			3.0		1.0		1.0	1.0	128.0	206.0		205.0			198.0			418.0	337.0		609.0	53.0	2.0	1.0	1.0	1.0	199.0		1.0			129.0		1.0	139.0	1.0	1.0	1.0		
NC_060944.1	3::NC_060944.1:1893398-1907567(+)	14169	False	0.6491	1	1.0	277.0	1.0			2.0	1.0	1.0	1154.0		2.0	137.0	1.0	4.0		412.0	62.0			1.0		2.0		5.0	1.0	2.0		1.0	3.0	128.0	206.0	1.0	197.0		4.0	200.0			414.0	336.0		617.0	59.0	1.0		1.0		211.0	1.0	2.0	1.0		133.0		5.0	133.0	1.0		2.0		
NC_060944.1	-2::NC_060944.1:1893422-1907585(-)	14163	False	0.6493	1	1.0		1.0	2.0	2.0	2.0	5.0			336.0	2.0			211.0	59.0	1.0	206.0	413.0	616.0	1.0	2.0	2.0		1.0	1.0	2.0	1154.0	200.0			62.0	275.0	5.0	1.0	1.0	1.0	1.0	2.0			1.0			412.0	128.0	2.0		4.0		1.0		4.0		137.0	197.0			133.0		1.0	133.0
