clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_AAC	codon_TAC	codon_CTA	codon_ACC	codon_TAT	codon_CAC	codon_CGC	codon_CAT	codon_CTG	codon_GAA	codon_GGG	codon_AAT	codon_ATC	codon_TGC	codon_GTC	codon_TGT	codon_ATG	codon_AAG	codon_ATA	codon_TCT	codon_ACA	codon_ACG	codon_CCA	codon_GTA	codon_TTA	codon_AGA	codon_TGG	codon_AAA	codon_GGA	codon_GCT	codon_CGT	codon_TTG	codon_TCG	codon_ACT	codon_TAA	codon_CCC	codon_GCC	codon_GCA	codon_CCG	codon_TGA	codon_CAA	codon_ATT	codon_AGT	codon_CAG	codon_CTC	codon_TCC	codon_TTC	codon_CGG	codon_GGT	codon_CTT	codon_CGA	codon_TCA	codon_GAG	codon_TTT	codon_GGC	codon_AGC	codon_GAT	codon_AGG	codon_GAC	codon_GTT	codon_GTG	codon_GCG	codon_TAG
NC_073228.2	3::NC_073228.2:54143870-54149012	5142	False	0.5696	2	43.0	12.0	5.0	17.0	29.0	6.0	18.0	7.0	9.0	46.0	94.0	46.0	10.0	24.0	15.0	19.0	21.0	27.0	57.0	3.0	26.0	20.0	7.0	58.0	8.0	6.0	31.0	32.0	50.0	42.0	56.0	3.0	13.0	6.0	21.0		53.0	52.0	53.0	5.0		36.0	7.0	29.0	61.0	22.0	35.0	18.0	17.0	21.0	12.0	6.0	32.0	105.0	5.0	36.0	41.0	28.0	51.0	44.0	10.0	39.0	9.0	
NC_073228.2	3::NC_073228.2:82622897-82629197	6300	False	0.6406	2	38.0	34.0	26.0	6.0	63.0	11.0	35.0	15.0	13.0	91.0	21.0	68.0	10.0	14.0	38.0	25.0	24.0	21.0	109.0	2.0	34.0	24.0	15.0	56.0	3.0	3.0	10.0	15.0	30.0	12.0	37.0	9.0	14.0	19.0	18.0		106.0	102.0	29.0	36.0		10.0	4.0	14.0	109.0	58.0	72.0	32.0	45.0	26.0	15.0	11.0	20.0	97.0	11.0	77.0	79.0	18.0	32.0	65.0	6.0	48.0	15.0	
NC_073228.2	3::NC_073228.2:87613826-87619217	5391	False	0.4218	2	49.0	14.0	11.0	11.0	32.0	20.0	12.0		25.0	21.0	165.0	13.0	35.0	20.0	2.0	17.0	2.0	27.0	21.0	29.0	79.0	97.0	8.0	55.0	27.0	36.0	18.0	10.0	41.0	31.0	41.0	4.0	18.0	3.0	79.0		22.0	16.0	47.0			39.0	49.0	44.0	29.0	11.0	21.0	21.0		24.0	13.0	2.0	55.0	64.0	45.0	16.0	23.0	60.0	16.0	36.0	34.0	34.0	3.0	
NC_073228.2	3::NC_073228.2:116678870-116685455	6585	False	0.4065	2	70.0	30.0	13.0	18.0	27.0	26.0	13.0	5.0	38.0	10.0	119.0	12.0	98.0	11.0	4.0	9.0	20.0	32.0	52.0	36.0	93.0	49.0	4.0	67.0	16.0	36.0	60.0	9.0	114.0	50.0	50.0	10.0	19.0	6.0	55.0		23.0	28.0	47.0	4.0		55.0	45.0	93.0	62.0	14.0	40.0	10.0	4.0	34.0	28.0	15.0	101.0	33.0	31.0	13.0	36.0	87.0	23.0	28.0	34.0	23.0	3.0	
NC_073228.2	3::NC_073228.2:158858669-158868704	10035	False	0.2357	0			213.0			561.0	187.0		298.0				7.0		87.0		217.0	107.0		559.0		397.0	1.0		117.0	107.0							96.0						88.0			2.0	205.0																			96.0		
NC_073228.2	1::NC_073228.2:158859195-158868738	9543	False	0.2378	0			201.0			535.0	181.0		286.0				3.0		88.0		196.0	99.0		531.0		383.0	1.0		108.0	101.0						1.0	94.0						87.0			2.0	192.0																			92.0		
NC_073228.2	2::NC_073228.2:158859259-158868676	9417	False	0.2391	0			197.0			528.0	182.0		282.0				2.0		88.0		195.0	103.0		515.0		379.0			105.0	98.0						1.0	93.0						88.0			2.0	192.0																			89.0		
NC_073235.2	-1::NC_073235.2:4143-10227	6084	False	0.5002	0	487.0	486.0	1.0		2.0																															526.0	526.0																											
NC_073235.2	2::NC_073235.2:4144-10228	6084	False	0.5003	0	527.0	526.0		487.0	487.0																																1.0																											
NC_073235.2	2::NC_073235.2:69716140-69725548	9408	False	0.3888	2	64.0	41.0	13.0	21.0	48.0	41.0	24.0	5.0	58.0	35.0	244.0	23.0	92.0	46.0	11.0	35.0	20.0	60.0	107.0	62.0	84.0	107.0	8.0	67.0	41.0	45.0	63.0	24.0	205.0	57.0	45.0	11.0	33.0	6.0	81.0		31.0	21.0	49.0	6.0		111.0	92.0	66.0	78.0	22.0	46.0	21.0	4.0	37.0	50.0	11.0	64.0	83.0	71.0	19.0	30.0	111.0	29.0	49.0	67.0	39.0	2.0	
NC_073235.2	-1::NC_073235.2:81001899-81007548	5649	False	0.4395	1	24.0	38.0	29.0		26.0	16.0	36.0	4.0	34.0	39.0	23.0	12.0	44.0	49.0	33.0	38.0	57.0	20.0	21.0	47.0	53.0	11.0	19.0	15.0	32.0		48.0	56.0	38.0	22.0	18.0	7.0	31.0	14.0	32.0	21.0	15.0	14.0	7.0	14.0	42.0	12.0	21.0	41.0	33.0	67.0	24.0	120.0	3.0	46.0	62.0	5.0		23.0	92.0	19.0	47.0	36.0	29.0	33.0	21.0	24.0	16.0	10.0
NC_073235.2	-2::NC_073235.2:81030956-81048194	17238	False	0.4266	2	30.0	209.0	114.0		127.0	90.0	105.0	7.0	58.0	67.0	70.0	41.0	197.0	209.0	117.0	90.0	185.0	39.0	104.0	138.0	133.0	43.0	48.0	97.0	51.0		103.0	213.0	74.0	39.0	62.0	13.0	58.0	33.0	115.0	57.0	33.0	92.0	33.0	22.0	87.0	40.0	144.0	171.0	68.0	118.0	160.0	331.0	6.0	110.0	148.0	3.0		44.0	282.0	82.0	134.0	83.0	152.0	103.0	88.0	20.0	19.0	37.0
NC_073235.2	-1::NC_073235.2:81217044-81223620	6576	False	0.3811	2	21.0	38.0	33.0		35.0	41.0	37.0		42.0	42.0	21.0	22.0	64.0	65.0	41.0	37.0	64.0	39.0	32.0	56.0	55.0	28.0	11.0	11.0	16.0		71.0	57.0	78.0	28.0	19.0	5.0	70.0	5.0	53.0	48.0	17.0	8.0	6.0	2.0	52.0	17.0	59.0	53.0	17.0	76.0	39.0	189.0	2.0	17.0	40.0			7.0	102.0	17.0	36.0	23.0	45.0	15.0	26.0	15.0	2.0	25.0
NC_073235.2	2::NC_073235.2:88232227-88241236	9009	False	0.3484	2	52.0	53.0	17.0	32.0	35.0	50.0	22.0	1.0	49.0	24.0	187.0	15.0	129.0	38.0	11.0	24.0	37.0	68.0	91.0	74.0	97.0	78.0	5.0	57.0	38.0	87.0	48.0	8.0	194.0	31.0	60.0	6.0	66.0	3.0	75.0		11.0	22.0	52.0	2.0		92.0	111.0	67.0	43.0	24.0	39.0	19.0	3.0	22.0	62.0	4.0	99.0	55.0	89.0	16.0	36.0	88.0	23.0	58.0	69.0	34.0	1.0	
NC_073235.2	1::NC_073235.2:88243368-88252827	9459	False	0.3367	1	38.0	43.0	19.0	36.0	28.0	70.0	17.0	1.0	53.0	30.0	176.0	13.0	131.0	36.0	9.0	19.0	36.0	58.0	71.0	101.0	114.0	77.0	2.0	61.0	52.0	86.0	62.0	7.0	199.0	33.0	47.0	2.0	60.0	4.0	60.0		14.0	18.0	54.0	2.0		102.0	139.0	65.0	48.0	27.0	40.0	35.0	1.0	22.0	55.0	7.0	122.0	66.0	85.0	10.0	40.0	135.0	24.0	49.0	93.0	47.0	2.0	
NC_073235.2	2::NC_073235.2:108924619-108931546	6927	False	0.3912	1	62.0	36.0	11.0	14.0	13.0	39.0	20.0	4.0	55.0	34.0	141.0	10.0	73.0	8.0	8.0	26.0	44.0	32.0	93.0	36.0	100.0	26.0	3.0	35.0	40.0	26.0	35.0	13.0	129.0	18.0	52.0	16.0	35.0	7.0	43.0		25.0	14.0	26.0	5.0		60.0	59.0	64.0	57.0	2.0	21.0	10.0	10.0	36.0	47.0	8.0	59.0	62.0	54.0	10.0	30.0	132.0	19.0	42.0	75.0	39.0	6.0	
NC_073245.2	-1::NC_073245.2:1907-8270	6363	False	0.5034	0	673.0	693.0	1.0		1.0																															366.0	387.0																											
NC_073245.2	1::NC_073245.2:1908-8271	6363	False	0.5035	0	366.0	366.0		672.0	694.0																			21.0													1.0														1.0													
NC_073234.2	-3::NC_073234.2:2880-8256	5376	False	0.5011	0	874.0	867.0			8.0																															22.0	21.0																											
NC_073234.2	2::NC_073234.2:2881-8257	5376	False	0.5013	0	22.0	22.0		874.0	867.0																																7.0																											
NC_073234.2	-1::NC_073234.2:3011-8267	5256	False	0.5013	0	2.0	1.0	7.0		2.0																															867.0	873.0																											
NC_073234.2	1::NC_073234.2:3012-8268	5256	False	0.5015	0	874.0	867.0		2.0	8.0																																1.0																											
NC_073234.2	3::NC_073234.2:44636453-44642159	5706	False	0.5568	2	131.0	13.0	4.0	21.0	66.0	5.0	8.0	2.0	6.0	23.0	19.0	37.0	16.0	11.0	8.0	20.0	11.0	16.0	34.0	14.0	91.0	39.0	2.0	149.0	16.0	16.0	7.0	3.0	99.0	38.0	105.0	2.0	12.0	3.0	100.0		156.0	70.0	51.0	10.0		17.0	22.0	18.0	19.0	27.0	88.0	9.0	1.0	30.0	29.0	1.0	34.0	24.0	16.0	19.0	11.0	14.0	3.0	14.0	31.0	35.0	6.0	
NC_073234.2	1::NC_073234.2:50983038-50989911	6873	False	0.5206	2	165.0	14.0	10.0	19.0	90.0	18.0	10.0		14.0	70.0	109.0	83.0	16.0	85.0	1.0	20.0	4.0	38.0	66.0	30.0	49.0	34.0	2.0	32.0	17.0	21.0	23.0	18.0	90.0	30.0	58.0	5.0	41.0	3.0	56.0		25.0	78.0	20.0	6.0		53.0	25.0	25.0	277.0	100.0	25.0	16.0	3.0	9.0	25.0	6.0	39.0	60.0	20.0	8.0	10.0	28.0	19.0	20.0	20.0	15.0	18.0	
NC_073234.2	-2::NC_073234.2:60790981-60802768	11787	False	0.4909	0	21.0	56.0	42.0		41.0	74.0	262.0	2.0	8.0	6.0	1.0		42.0	9.0	68.0		608.0	2.0	5.0	2.0	82.0		1.0	1.0	4.0		62.0	132.0	12.0	3.0	3.0	13.0	30.0	1.0	30.0	43.0	323.0	13.0	1.0	7.0	432.0	11.0	23.0	285.0	12.0	47.0	456.0	138.0	1.0	19.0	3.0	4.0		6.0	45.0	5.0	267.0	3.0	22.0	10.0	1.0			129.0
NC_073234.2	3::NC_073234.2:60790982-60799271	8289	False	0.5091	0	247.0	1.0		28.0	95.0	1.0				4.0	1.0	9.0	21.0	32.0		386.0	8.0	2.0		14.0	45.0	30.0	3.0	371.0	28.0	3.0	3.0			1.0	238.0	2.0	1.0	3.0	143.0		7.0	12.0	16.0	1.0		1.0	51.0	123.0		8.0	1.0	15.0		76.0	37.0	4.0	71.0	6.0	27.0	4.0	12.0	290.0		21.0	247.0	12.0	1.0	
NC_073234.2	-2::NC_073234.2:69237385-69242428	5043	False	0.3877	0	12.0	43.0	35.0		15.0	27.0	23.0	1.0	35.0	70.0	7.0	19.0	27.0	52.0	36.0	24.0	50.0	23.0	18.0	21.0	19.0	25.0	6.0	7.0	13.0		59.0	45.0	26.0	11.0	23.0	4.0	65.0	5.0	41.0	34.0	8.0	9.0	9.0	3.0	61.0	29.0	80.0	45.0	17.0	34.0	25.0	71.0	4.0	24.0	55.0	2.0		6.0	107.0	6.0	28.0	15.0	44.0	11.0	34.0	15.0		18.0
NC_073234.2	2::NC_073234.2:146051227-146059474	8247	False	0.5236	0	140.0	2.0	10.0	1.0	461.0	5.0	482.0		315.0	2.0		1.0		304.0	2.0	3.0	3.0	1.0	1.0	2.0	4.0	9.0	1.0	349.0	3.0	4.0			2.0	1.0	1.0	2.0			5.0		1.0	1.0				4.0	7.0		3.0	137.0	1.0	3.0			4.0	1.0	451.0	2.0	9.0		2.0	2.0		1.0	3.0	1.0		
NC_073234.2	1::NC_073234.2:146051436-146059089	7653	False	0.5329	0	136.0	2.0	1.0	1.0	470.0	1.0	449.0		280.0					299.0			2.0			1.0		1.0	1.0	337.0																			1.0			135.0				2.0			432.0											
NC_073234.2	3::NC_073234.2:146051453-146059319	7866	False	0.5283	0	137.0	1.0	2.0	3.0	476.0	2.0	474.0		306.0					302.0				2.0			2.0	3.0		316.0	2.0	4.0		1.0	1.0				1.0		5.0					2.0		1.0	3.0			136.0	2.0	1.0	1.0		1.0		429.0		5.0					1.0				
NC_073237.2	-1::NC_073237.2:27666313-27675031	8718	False	0.3931	2	19.0	50.0	34.0		38.0	49.0	32.0	3.0	36.0	76.0	40.0	27.0	62.0	120.0	46.0	53.0	54.0	52.0	55.0	30.0	43.0	37.0	7.0	18.0	13.0		116.0	80.0	90.0	55.0	31.0	8.0	67.0	1.0	94.0	71.0	36.0	19.0	8.0	2.0	106.0	55.0	122.0	75.0	27.0	107.0	35.0	160.0	2.0	29.0	79.0	5.0		19.0	136.0	33.0	47.0	21.0	64.0	15.0	57.0	13.0	2.0	25.0
NC_073237.2	-2::NC_073237.2:30587988-30593496	5508	False	0.4635	2	15.0	24.0	8.0		22.0	10.0	40.0	2.0	54.0	60.0	20.0	23.0	43.0	101.0	32.0	35.0	35.0	25.0	32.0	37.0	14.0	18.0	15.0	21.0	16.0		38.0	45.0	43.0	23.0	18.0	5.0	26.0	14.0	25.0	12.0	35.0	21.0	9.0	23.0	29.0	35.0	33.0	29.0	42.0	82.0	33.0	91.0	2.0	20.0	77.0	2.0		16.0	70.0	29.0	35.0	35.0	46.0	19.0	27.0	16.0	15.0	14.0
NC_073237.2	-1::NC_073237.2:72911944-72918643	6699	False	0.4734	2	17.0	26.0	17.0		53.0	24.0	33.0	7.0	33.0	59.0	23.0	38.0	34.0	106.0	51.0	79.0	51.0	32.0	22.0	17.0	26.0	16.0	2.0	38.0	17.0		86.0	68.0	39.0	52.0	47.0	9.0	46.0	6.0	57.0	19.0	33.0	23.0	16.0	3.0	58.0	27.0	75.0	39.0	42.0	98.0	32.0	136.0	6.0	27.0	43.0	9.0		21.0	41.0	32.0	38.0	21.0	56.0	16.0	43.0	28.0	3.0	17.0
NC_073237.2	3::NC_073237.2:103176044-103181861	5817	False	0.5016	2	31.0	52.0	48.0	11.0	39.0	32.0	61.0	12.0	25.0	44.0	51.0	20.0	46.0	43.0	32.0	26.0	31.0	49.0	70.0	18.0	36.0	20.0	16.0	59.0	11.0	9.0	24.0	10.0	55.0	16.0	38.0	6.0	29.0	7.0	36.0		55.0	38.0	26.0	16.0		26.0	20.0	18.0	76.0	23.0	50.0	36.0	15.0	20.0	15.0	13.0	29.0	78.0	35.0	27.0	39.0	38.0	28.0	43.0	19.0	39.0	4.0	
NC_073237.2	-3::NC_073237.2:125847164-125852939	5775	False	0.6519	2	15.0	2.0	1.0		5.0	1.0	5.0		2.0	10.0	16.0	135.0	3.0	3.0	7.0	2.0	7.0	39.0	14.0	4.0	9.0	3.0	5.0	8.0	2.0		15.0	347.0	4.0	181.0	4.0	6.0	12.0	2.0	2.0	2.0	7.0	6.0	8.0	1.0	13.0	1.0	2.0	5.0	12.0	16.0	6.0	6.0	5.0	325.0	6.0	3.0		121.0	3.0	13.0	4.0	47.0	139.0	8.0	7.0	278.0	4.0	6.0
NC_073246.2	3::NC_073246.2:35451869-35457812	5943	False	0.494	2	80.0	9.0	13.0	10.0	39.0	22.0	5.0	28.0	22.0	40.0	71.0	31.0	16.0	9.0	1.0	11.0	4.0	110.0	35.0	11.0	96.0	55.0	11.0	84.0	38.0	49.0	49.0	1.0	41.0	15.0	49.0	17.0	43.0	19.0	51.0		31.0	14.0	67.0	10.0		10.0	21.0	30.0	51.0	3.0	53.0	2.0	8.0	18.0	15.0	11.0	74.0	108.0	14.0	8.0	37.0	49.0	22.0	30.0	31.0	61.0	18.0	
NC_073246.2	-2::NC_073246.2:59499021-59507247	8226	False	0.5006	1												3.0																					1.0																	332.0									1038.0		1037.0			331.0
NC_073246.2	2::NC_073246.2:59499022-59507248	8226	False	0.5005	1												1039.0													1.0	1037.0		1.0																						2.0									331.0		331.0			
NC_073246.2	-3::NC_073246.2:59501273-59507312	6039	False	0.5004	1												2.0																																						994.0									11.0		11.0			995.0
NC_073246.2	1::NC_073246.2:59501274-59507314	6040	False	0.5003	1												12.0														11.0																								1.0									995.0		994.0			
NC_073244.2	3::NC_073244.2:128-6071	5943	False	0.5033	0	58.0	57.0	1.0	913.0	932.0					12.0																											1.0									6.0					1.0													
NC_073244.2	-3::NC_073244.2:133-6070	5937	False	0.5033	0	932.0	913.0	1.0				6.0																													57.0	58.0																							12.0				
NC_073244.2	2::NC_073244.2:607-6064	5457	False	0.5036	0	909.0	890.0	1.0				6.0																														1.0																							12.0				
NC_073244.2	-1::NC_073244.2:612-5787	5175	False	0.5003	0																																				862.0	863.0																											
NC_073244.2	-3::NC_073244.2:6255187-6266410	11223	False	0.502	0		10.0			2.0		1.0		1.0	2.0	317.0	324.0	15.0		1.0		15.0	533.0	292.0	3.0		3.0	12.0		2.0		67.0	312.0	11.0	577.0		1.0	1.0	2.0		4.0		2.0	1.0		303.0	3.0	3.0		1.0	2.0			1.0	5.0		16.0		52.0		1.0	1.0	550.0	261.0	5.0	6.0	19.0		1.0
NC_073244.2	-2::NC_073244.2:6255194-6266432	11238	False	0.5019	0		14.0					1.0		2.0		296.0	338.0	21.0	1.0	1.0	1.0	13.0	560.0	284.0	5.0	1.0	3.0	12.0	2.0			60.0	277.0	16.0	548.0	1.0		9.0		1.0	1.0	1.0		1.0	1.0	264.0	4.0			1.0				1.0	11.0	1.0	13.0		69.0		2.0	1.0	592.0	284.0	6.0	2.0	18.0	2.0	4.0
NC_073244.2	-1::NC_073244.2:6255255-6266448	11193	False	0.5009	0		7.0			1.0	2.0			1.0		302.0	315.0	19.0	3.0		1.0	12.0	609.0	268.0	3.0		2.0	17.0	1.0	2.0		67.0	297.0	21.0	568.0	1.0		2.0			2.0			1.0		278.0	3.0		1.0	2.0	2.0		1.0	1.0	14.0		10.0		57.0		1.0		517.0	289.0	9.0	1.0	19.0		2.0
NC_073244.2	1::NC_073244.2:7247730-7252887	5157	False	0.7359	2	18.0	15.0	11.0	2.0	46.0	4.0	30.0	61.0	5.0	105.0	9.0	42.0	2.0	21.0	23.0	18.0	4.0	9.0	47.0		11.0	7.0	23.0	25.0	4.0		4.0	10.0	6.0	15.0	18.0	11.0	4.0	37.0	8.0		114.0	139.0	29.0	60.0		3.0	3.0	5.0	59.0	28.0	60.0	17.0	61.0	7.0	9.0	15.0	7.0	92.0	6.0	79.0	78.0	11.0	15.0	56.0	1.0	53.0	57.0	
NC_073244.2	-3::NC_073244.2:15006751-15029494	22743	False	0.4878	2	86.0	82.0	45.0		74.0	91.0	184.0	15.0	238.0	95.0	62.0	120.0	98.0	101.0	121.0	136.0	543.0	97.0	107.0	31.0	98.0		7.0	41.0	21.0		422.0	197.0	75.0	381.0	215.0	36.0	75.0	3.0	138.0	59.0	85.0	63.0		6.0	372.0	100.0	78.0	364.0	127.0	226.0	99.0	234.0	13.0	473.0	81.0	17.0		64.0	106.0	132.0	119.0	148.0	305.0	99.0	73.0	63.0	7.0	33.0
NC_073244.2	-3::NC_073244.2:15033826-15043543	9717	False	0.4917	2	30.0	37.0	23.0		26.0	30.0	42.0	4.0	72.0	41.0	26.0	69.0	36.0	46.0	80.0	39.0	223.0	33.0	50.0	14.0	57.0		1.0	27.0	12.0		173.0	119.0	38.0	114.0	92.0	23.0	18.0		95.0	24.0	46.0	33.0	3.0	4.0	159.0	46.0	39.0	172.0	46.0	86.0	74.0	90.0	7.0	159.0	43.0	8.0		51.0	40.0	62.0	77.0	50.0	94.0	48.0	38.0	28.0	1.0	21.0
NC_073244.2	-2::NC_073244.2:21077297-21084200	6903	False	0.6305	2	145.0	1.0	1.0		3.0	2.0	49.0	72.0	9.0	58.0	2.0	174.0	3.0	65.0	19.0	89.0	25.0	4.0	26.0	16.0	9.0	15.0	5.0	10.0	1.0		2.0	141.0	12.0	8.0	53.0	10.0	32.0		1.0	11.0	11.0	1.0	2.0	112.0	109.0	11.0	21.0	33.0	33.0	147.0	3.0	63.0	89.0	9.0	37.0	27.0		63.0	118.0	103.0	121.0	2.0	72.0	20.0	2.0	5.0	9.0	5.0
NC_073244.2	-3::NC_073244.2:49587427-49592764	5337	False	0.4568	1	48.0	14.0	18.0		19.0	21.0	15.0	2.0	39.0	55.0	17.0	17.0	30.0	32.0	23.0	24.0	21.0	18.0	19.0	11.0	37.0	3.0	4.0	28.0	8.0		12.0	32.0	24.0	18.0	28.0	8.0	34.0	5.0	33.0	32.0	21.0	12.0	1.0	4.0	12.0	36.0	12.0	22.0	59.0	245.0	22.0	143.0	1.0	16.0	99.0	2.0		14.0	144.0	32.0	41.0	15.0	16.0	12.0	6.0	12.0	4.0	27.0
NC_073244.2	-2::NC_073244.2:49647083-49652570	5487	False	0.4491	2	43.0	26.0	16.0		10.0	29.0	32.0	1.0	51.0	70.0	9.0	13.0	21.0	30.0	30.0	25.0	30.0	18.0	22.0	7.0	47.0	3.0	3.0	37.0	12.0		22.0	27.0	32.0	18.0	20.0	2.0	50.0	7.0	19.0	20.0	13.0	9.0	5.0	8.0	22.0	37.0	11.0	19.0	65.0	151.0	29.0	159.0	5.0	22.0	122.0	2.0		23.0	139.0	43.0	31.0	20.0	19.0	15.0	12.0	14.0	5.0	27.0
NC_073244.2	2::NC_073244.2:67096378-67103458	7080	False	0.5924	0	78.0	1.0	1.0	2.0	202.0		372.0	38.0	21.0	5.0	1.0	3.0		14.0	3.0	61.0					75.0	139.0	22.0	128.0	1.0		2.0	2.0		2.0	28.0	53.0		1.0	2.0		185.0	3.0	43.0	73.0			1.0	40.0	73.0	32.0	76.0	188.0	2.0		148.0		147.0		1.0	1.0	36.0		1.0	2.0	48.0		3.0	
NC_073244.2	3::NC_073244.2:67096415-67103447	7032	False	0.5927	0	77.0		1.0		208.0		363.0	45.0	16.0	3.0		2.0		21.0	1.0	52.0	3.0				73.0	142.0	23.0	133.0		1.0		1.0			36.0	54.0	1.0		2.0		180.0	2.0	33.0	73.0				43.0	77.0	32.0	72.0	195.0		2.0	147.0		147.0	2.0		3.0	30.0			1.0	39.0	1.0	7.0	
NC_073244.2	1::NC_073244.2:67096437-67103466	7029	False	0.5921	0	74.0				205.0		365.0	43.0	14.0	5.0		1.0		15.0	2.0	59.0	3.0			1.0	74.0	136.0	20.0	138.0		1.0			1.0		30.0	58.0			4.0		179.0	1.0	44.0	70.0				48.0	75.0	38.0	77.0	186.0	1.0		147.0	1.0	148.0			1.0	29.0		2.0		42.0	2.0	3.0	
NC_086018.1	-2::NC_086018.1:8126564-8132009	5445	False	0.5651	0	3.0	3.0				1.0			3.0	80.0	16.0	61.0	3.0		76.0	6.0	19.0	222.0	12.0	1.0	2.0	3.0	79.0	1.0	1.0		9.0	29.0	1.0	59.0	71.0	5.0	4.0	3.0	3.0	4.0		10.0	5.0	3.0	227.0	4.0	2.0	2.0	13.0			1.0	44.0	23.0	2.0	89.0		55.0		62.0	6.0	228.0	79.0	73.0	1.0	39.0	60.0	7.0
NC_086018.1	-2::NC_086018.1:8168714-8174924	6210	False	0.5633	1	4.0	3.0	1.0			2.0		2.0	2.0	91.0	14.0	64.0	1.0	1.0	95.0	9.0	20.0	269.0	9.0	3.0	7.0	1.0	85.0	1.0	1.0		8.0	14.0		74.0	88.0	12.0	3.0		2.0	1.0		3.0	7.0	3.0	266.0	5.0			9.0	2.0	2.0	2.0	55.0	24.0		93.0		60.0		66.0	5.0	277.0	88.0	95.0	1.0	33.0	79.0	8.0
