clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_AAC	codon_TAC	codon_CTA	codon_ACC	codon_TAT	codon_CAC	codon_CGC	codon_CAT	codon_CTG	codon_GAA	codon_GGG	codon_AAT	codon_ATC	codon_TGC	codon_GTC	codon_TGT	codon_ATG	codon_AAG	codon_ATA	codon_TCT	codon_ACA	codon_ACG	codon_CCA	codon_GTA	codon_TTA	codon_AGA	codon_TGG	codon_AAA	codon_GGA	codon_GCT	codon_CGT	codon_TTG	codon_TCG	codon_CGG	codon_TCC	codon_GTT	codon_GAT	codon_GGC	codon_GGT	codon_AGT	codon_CCG	codon_TTT	codon_CAA	codon_TTC	codon_CTT	codon_ATT	codon_CAG	codon_GTG	codon_TCA	codon_AGG	codon_GCC	codon_CTC	codon_CCC	codon_CGA	codon_GAG	codon_GAC	codon_GCA	codon_GCG	codon_AGC	codon_ACT
NC_073244.2	-3::NC_073244.2:6255187-6266410(-)	11223	False	0.502	0	261.0	6.0	2.0	1.0	5.0	3.0	19.0		533.0	1.0			3.0	550.0	1.0	5.0	3.0	1.0			67.0	15.0	1.0	312.0		4.0					1.0	12.0	3.0	16.0		577.0	10.0		2.0	2.0		1.0	11.0	1.0	317.0	292.0	15.0	2.0	1.0	303.0		1.0	52.0	324.0	2.0	2.0		1.0			
NC_073244.2	-2::NC_073244.2:6255194-6266432(-)	11238	False	0.5019	0	284.0	2.0		4.0	11.0	5.0	18.0	2.0	560.0	1.0		1.0		592.0	1.0	6.0	3.0	2.0	1.0		60.0	13.0		277.0		1.0	1.0	2.0			1.0	12.0	4.0	13.0	1.0	548.0	14.0	1.0			1.0	1.0	16.0	9.0	296.0	284.0	21.0		1.0	264.0		2.0	69.0	338.0			1.0	1.0		1.0	
NC_073244.2	-1::NC_073244.2:6255255-6266448(-)	11193	False	0.5009	0	289.0	1.0	2.0	2.0	14.0	3.0	19.0		609.0	2.0	1.0			517.0	1.0	9.0	2.0	1.0		2.0	67.0	12.0		297.0		2.0		1.0				17.0	3.0	10.0		568.0	7.0	3.0		1.0		1.0	21.0	2.0	302.0	268.0	19.0			278.0		1.0	57.0	315.0		2.0	1.0			1.0	1.0
NC_073244.2	2::NC_073244.2:67096378-67103458(+)	7080	False	0.5924	0	78.0	1.0	1.0	2.0	202.0		372.0	38.0	21.0	5.0	1.0	3.0		14.0	3.0	61.0					75.0	139.0	22.0	128.0	1.0		2.0	2.0		2.0	28.0	53.0		1.0	2.0	76.0	48.0		1.0		40.0	73.0	1.0		188.0	148.0	1.0	73.0		147.0	1.0	3.0	32.0	185.0			2.0	43.0	3.0	36.0	2.0
NC_073244.2	3::NC_073244.2:67096415-67103447(+)	7032	False	0.5927	0	77.0		1.0		208.0		363.0	45.0	16.0	3.0		2.0		21.0	1.0	52.0	3.0				73.0	142.0	23.0	133.0		1.0		1.0			36.0	54.0	1.0			72.0	39.0		3.0	2.0	43.0	73.0			195.0	147.0		77.0	1.0	147.0		2.0	32.0	180.0		2.0	1.0	33.0	7.0	30.0	2.0
NC_073244.2	1::NC_073244.2:67096437-67103466(+)	7029	False	0.5921	0	74.0				205.0		365.0	43.0	14.0	5.0		1.0		15.0	2.0	59.0	3.0			1.0	74.0	136.0	20.0	138.0		1.0			1.0		30.0	58.0			1.0	77.0	42.0		1.0		48.0	70.0			186.0	147.0		75.0	2.0	148.0	2.0	1.0	38.0	179.0	1.0			44.0	3.0	29.0	4.0
NC_086018.1	-2::NC_086018.1:8126564-8132009(-)	5445	False	0.5651	0	79.0	1.0	1.0	7.0	23.0	1.0	39.0	60.0	222.0	13.0	1.0		2.0	228.0	5.0	73.0	3.0	3.0	2.0	1.0	9.0	19.0	5.0	29.0		4.0	2.0	1.0			6.0	79.0	4.0	89.0	3.0	59.0	3.0		10.0		3.0	44.0	1.0	4.0	16.0	12.0	3.0	80.0		227.0	3.0	62.0	55.0	61.0	3.0		6.0	76.0		71.0	2.0
NC_086018.1	-2::NC_086018.1:8168714-8174924(-)	6210	False	0.5633	1	88.0	1.0	1.0	8.0	24.0	3.0	33.0	79.0	269.0	9.0	2.0			277.0	7.0	95.0	1.0	2.0		2.0	8.0	20.0	12.0	14.0	1.0	1.0	7.0	1.0		2.0	5.0	85.0	5.0	93.0	3.0	74.0	3.0	1.0	3.0		2.0	55.0		3.0	14.0	9.0	1.0	91.0		266.0	4.0	66.0	60.0	64.0		2.0	9.0	95.0	2.0	88.0	
NC_086018.1	-3::NC_086018.1:8564839-8572612(-)	7773	False	0.5564	1	96.0	5.0	5.0	3.0	20.0	4.0	53.0	77.0	338.0	10.0	1.0		4.0	340.0	12.0	124.0	4.0	3.0		1.0	6.0	36.0	15.0	46.0	5.0	4.0	12.0		2.0	4.0	5.0	110.0	4.0	116.0	1.0	83.0	1.0	2.0	5.0		2.0	54.0		5.0	15.0	17.0	6.0	118.0		331.0	10.0	90.0	73.0	90.0		2.0	10.0	91.0	5.0	113.0	2.0
NC_086018.1	-1::NC_086018.1:8584728-8591631(-)	6903	False	0.5618	1	85.0	6.0	2.0	8.0	30.0	3.0	59.0	70.0	288.0	7.0	2.0		3.0	289.0	7.0	105.0	5.0	2.0	2.0	5.0	8.0	38.0	12.0	33.0	2.0	1.0	5.0	1.0			8.0	106.0	2.0	103.0	1.0	84.0	1.0	3.0	4.0		4.0	49.0		7.0	8.0	12.0		104.0	1.0	291.0	5.0	73.0	76.0	85.0	5.0		8.0	81.0	5.0	95.0	2.0
NC_086018.1	-3::NC_086018.1:8588416-8594950(-)	6534	False	0.5725	1	81.0	8.0	3.0	3.0	26.0	4.0	47.0	78.0	263.0	2.0	4.0		3.0	266.0	3.0	100.0	3.0	3.0	3.0	4.0	4.0	21.0	9.0	26.0		1.0	5.0	1.0	1.0		5.0	105.0	7.0	92.0		78.0		1.0	1.0		3.0	73.0		5.0	8.0	9.0	1.0	101.0	1.0	277.0	4.0	76.0	81.0	79.0	3.0		4.0	94.0	5.0	90.0	3.0
NC_086018.1	-3::NC_086018.1:8616355-8622826(-)	6471	False	0.561	1	76.0	3.0	4.0	2.0	20.0	4.0	42.0	66.0	274.0	7.0			3.0	281.0	10.0	106.0	4.0	4.0			4.0	24.0	17.0	33.0	5.0	2.0	9.0		2.0	5.0	6.0	93.0	3.0	99.0		73.0	1.0	1.0	5.0		2.0	43.0		4.0	13.0	14.0	4.0	97.0		278.0	9.0	78.0	60.0	80.0		1.0	8.0	79.0	5.0	93.0	1.0
NC_086018.1	-3::NC_086018.1:8624017-8630455(-)	6438	False	0.5606	1	79.0	1.0	3.0	4.0	20.0	3.0	46.0	65.0	272.0	8.0	1.0		3.0	275.0	12.0	103.0	3.0	2.0		1.0	8.0	26.0	10.0	35.0	4.0	3.0	5.0	1.0	1.0	4.0	5.0	96.0	2.0	97.0	2.0	69.0	1.0	1.0	5.0		3.0	49.0		3.0	13.0	9.0	5.0	100.0		280.0	5.0	71.0	64.0	72.0	1.0	2.0	8.0	89.0	2.0	93.0	1.0
NC_086018.1	-2::NC_086018.1:8626001-8632265(-)	6264	False	0.5594	1	74.0	4.0	4.0	3.0	11.0	3.0	43.0	63.0	272.0	7.0	1.0		3.0	272.0	7.0	101.0	2.0	4.0		1.0	5.0	28.0	11.0	32.0	2.0	3.0	9.0	1.0	1.0	2.0	6.0	94.0	4.0	97.0	2.0	63.0		2.0	4.0		2.0	51.0		3.0	10.0	14.0	5.0	98.0		267.0	9.0	70.0	64.0	76.0		2.0	5.0	77.0	3.0	90.0	1.0
NC_086018.1	-3::NC_086018.1:8643835-8650738(-)	6903	False	0.5614	1	85.0	6.0	2.0	8.0	30.0	3.0	59.0	69.0	289.0	7.0	2.0		3.0	289.0	7.0	105.0	5.0	2.0	2.0	5.0	8.0	38.0	12.0	33.0	2.0	1.0	5.0	1.0			8.0	106.0	2.0	103.0	1.0	85.0	1.0	3.0	4.0		4.0	49.0		7.0	8.0	12.0		104.0	1.0	291.0	5.0	73.0	76.0	84.0	5.0		8.0	81.0	5.0	95.0	2.0
NC_086018.1	-1::NC_086018.1:8654946-8661849(-)	6903	False	0.5614	1	85.0	6.0	2.0	8.0	30.0	3.0	59.0	69.0	289.0	7.0	2.0		3.0	289.0	7.0	105.0	5.0	2.0	2.0	5.0	8.0	38.0	12.0	33.0	2.0	1.0	5.0	1.0			8.0	106.0	2.0	103.0	1.0	85.0	1.0	3.0	4.0		4.0	49.0		7.0	8.0	12.0		104.0	1.0	291.0	5.0	73.0	76.0	84.0	5.0		8.0	81.0	5.0	95.0	2.0
NC_086018.1	-3::NC_086018.1:18680650-18687487(-)	6837	False	0.7145	0		106.0	2.0	4.0	52.0	1.0	81.0		7.0	4.0	7.0	4.0	3.0	261.0		54.0	1.0	4.0	60.0	1.0		6.0	2.0	1.0	4.0		1.0		3.0	37.0	16.0		1.0	2.0			2.0	34.0	227.0		2.0	1.0		1.0		2.0	4.0	160.0	19.0	1.0	5.0	620.0	2.0	1.0		218.0	199.0	1.0	6.0	47.0	2.0
NC_086018.1	3::NC_086018.1:18680729-18687488(+)	6759	False	0.7171	0			2.0		18.0					51.0				4.0	1.0	3.0	4.0	225.0			8.0	3.0	55.0	8.0		4.0	2.0	242.0		1.0	4.0		166.0	162.0		280.0		3.0		1.0	3.0	99.0					39.0	1.0	54.0	4.0	2.0	3.0	3.0	161.0				45.0	588.0	4.0	
NC_086018.1	-1::NC_086018.1:18680769-18687471(-)	6702	False	0.7192	0			3.0	2.0		1.0	1.0	3.0	1.0	12.0	37.0				1.0		1.0	43.0	11.0			18.0	363.0	252.0		2.0		20.0		6.0			2.0	240.0	4.0	46.0						225.0							2.0	30.0	436.0	3.0	1.0	195.0	1.0		1.0	195.0	76.0		
NC_086018.1	2::NC_086018.1:18680797-18687472(+)	6675	False	0.7199	0		1.0	2.0			1.0	18.0	5.0	1.0	160.0		1.0	3.0	34.0		196.0	1.0	7.0			1.0										47.0		1.0			37.0	105.0	261.0	620.0	51.0	2.0		3.0		7.0	59.0	2.0	2.0	79.0			227.0	217.0	4.0		1.0	54.0			13.0	2.0
NC_086018.1	1::NC_086018.1:19285923-19293849(+)	7926	False	0.6802	0	64.0		2.0	2.0	73.0		183.0	4.0	1.0	72.0	1.0	207.0	1.0	1.0	21.0			2.0	1.0		2.0	3.0	2.0	365.0	1.0	2.0	64.0		1.0		135.0	1.0	1.0	1.0	1.0	133.0			76.0	1.0	1.0	3.0	4.0	2.0	53.0	113.0		137.0	1.0	52.0	73.0	1.0	379.0	133.0	8.0	171.0	1.0	20.0	1.0	64.0	1.0
NC_086018.1	3::NC_086018.1:19285946-19293812(+)	7866	False	0.6819	0	189.0	1.0	2.0		70.0		73.0	1.0	1.0	21.0		79.0		1.0	20.0		1.0		2.0		1.0	3.0	1.0	139.0		2.0	165.0		1.0	1.0	372.0			4.0		125.0	3.0	1.0	70.0		1.0	8.0	2.0	1.0	53.0	52.0		132.0		107.0	205.0	3.0	132.0	365.0	5.0	67.0		72.0	1.0	65.0	2.0
NC_086018.1	2::NC_086018.1:19285963-19293832(+)	7869	False	0.6818	0	67.0	2.0	3.0		182.0		72.0	3.0	1.0	22.0		71.0			71.0	2.0	1.0		1.0		2.0	3.0		130.0		2.0	63.0	2.0	1.0	2.0	138.0			1.0		378.0			206.0	2.0		5.0	4.0	2.0	110.0	53.0	1.0	362.0		51.0	76.0	5.0	125.0	137.0	3.0	72.0		21.0		168.0	
NC_073229.2	-3::NC_073229.2:615-8445(-)	7830	False	0.5003	1												432.0														431.0											873.0			1.0											873.0										
NC_073229.2	2::NC_073229.2:616-8446(+)	7830	False	0.5004	1	431.0	431.0		873.0	873.0																																																	2.0							
NC_073229.2	-1::NC_073229.2:3200-8735(-)	5535	False	0.5006	1												875.0														873.0											48.0			1.0											48.0										
NC_073229.2	1::NC_073229.2:3201-8736(+)	5535	False	0.5008	1	873.0	873.0		48.0	48.0																																																	3.0							
NC_073229.2	-2::NC_073229.2:191756350-191770492(-)	14142	False	0.5721	0	113.0	2.0	177.0	178.0	765.0	1.0	929.0	1.0	186.0	4.0	2.0		4.0	193.0	5.0		1.0	1.0	1.0	4.0	189.0	183.0	3.0	937.0	1.0	1.0		1.0	6.0	1.0	1.0	2.0	3.0	1.0	1.0	286.0	2.0	2.0		1.0		3.0	2.0	6.0	1.0	1.0	2.0	2.0		6.0		4.0	304.0	6.0	2.0		2.0	2.0	1.0	3.0	179.0
NC_073229.2	-3::NC_073229.2:191756409-191770125(-)	13716	False	0.5738	0	104.0	5.0	178.0	180.0	732.0		920.0	1.0	183.0	3.0				183.0	3.0	1.0		3.0	1.0		182.0	179.0	2.0	916.0				1.0	1.0							292.0	1.0				1.0	1.0			1.0	1.0		1.0		11.0		3.0	284.0	10.0	4.0		1.0	4.0		1.0	178.0
NC_073229.2	-1::NC_073229.2:191756441-191770418(-)	13977	False	0.5744	0	120.0		182.0	177.0	748.0	1.0	939.0	2.0	192.0	4.0				186.0	2.0	2.0		1.0			180.0	187.0	1.0	928.0			1.0							1.0		295.0		1.0	1.0			2.0	1.0	3.0	1.0	1.0	1.0	2.0		5.0		5.0	291.0	7.0	1.0		4.0				184.0
NC_073229.2	-3::NC_073229.2:199443150-199451427(-)	8277	False	0.5002	0	68.0	68.0		1311.0	1311.0																																																	1.0							
NC_073229.2	2::NC_073229.2:199443151-199451428(+)	8277	False	0.5001	0												68.0														68.0											1311.0			1.0											1311.0										
NC_073229.2	-2::NC_073229.2:199443391-199451260(-)	7869	False	0.5002	0	1311.0	1311.0																																																				1.0							
NC_073229.2	3::NC_073229.2:199443392-199451261(+)	7869	False	0.5001	0												1311.0														1311.0														1.0																					
NC_073230.2	1::NC_073230.2:7315230-7320252(+)	5022	False	0.5808	0	344.0	10.0	4.0	137.0	278.0	2.0		12.0	6.0	129.0	15.0	2.0	2.0	1.0	6.0	8.0		4.0	3.0	14.0	11.0	94.0	4.0	13.0	3.0	3.0	5.0		144.0	11.0	6.0	8.0	8.0	3.0	5.0	1.0			179.0			5.0				3.0		2.0				3.0	2.0	7.0		63.0	96.0			8.0	10.0
NC_073230.2	-3::NC_073230.2:8363013-8370960(-)	7947	False	0.7072	2	252.0				4.0	1.0	3.0		11.0	13.0		3.0		5.0	93.0	147.0	28.0	5.0	1.0	1.0	87.0		1.0	16.0	1.0	1.0		4.0	2.0	2.0	4.0	113.0	80.0		1.0	321.0	3.0		6.0	3.0	3.0	155.0	69.0	1.0	91.0	155.0	1.0	4.0	19.0		4.0	78.0	137.0	702.0		4.0	2.0	1.0	1.0	7.0	3.0
NC_073230.2	1::NC_073230.2:164188677-164197260(+)	8583	False	0.5645	1	196.0	10.0	1.0	2.0	100.0		176.0	5.0	154.0		1.0		1.0	144.0		1.0			78.0		192.0	171.0	4.0	164.0			83.0		106.0		1.0					281.0						9.0		94.0	1.0		1.0	1.0		71.0		3.0	390.0	324.0	10.0		86.0				
NC_073230.2	2::NC_073230.2:164190811-164197744(+)	6933	False	0.563	1	165.0	14.0		2.0	81.0		140.0	3.0	123.0	1.0	1.0			129.0					63.0	1.0	153.0	131.0	3.0	126.0			62.0		89.0					1.0		214.0		1.0				5.0		73.0			2.0			60.0		2.0	315.0	267.0	9.0		73.0	1.0		1.0	
NC_073230.2	3::NC_073230.2:164191070-164197355(+)	6285	False	0.5653	1	144.0	12.0		1.0	70.0	1.0	127.0	3.0	100.0		2.0			112.0	1.0				61.0	1.0	137.0	132.0	2.0	123.0			58.0		73.0			1.0				203.0						6.0	1.0	64.0	1.0					58.0		3.0	286.0	241.0	5.0		64.0		1.0		1.0
NC_073230.2	2::NC_073230.2:164197747-164205070(+)	7323	False	0.5648	1	175.0	9.0		2.0	78.0		141.0	3.0	127.0		2.0			119.0		1.0			75.0		160.0	161.0	1.0	155.0			63.0		86.0		2.0					241.0						9.0	1.0	73.0			1.0	1.0		70.0		6.0	327.0	273.0	5.0		72.0		1.0		1.0
NC_073230.2	3::NC_073230.2:164199461-164204975(+)	5514	False	0.5658	1	131.0	8.0		1.0	60.0		122.0	1.0	102.0	1.0				96.0					52.0		120.0	102.0	5.0	101.0			59.0		60.0					2.0		171.0						4.0		66.0	1.0			1.0		48.0			250.0	214.0	8.0		51.0	1.0			
NC_073230.2	1::NC_073230.2:164199720-164211564(+)	11844	False	0.5653	1	270.0	16.0		1.0	145.0		229.0	8.0	204.0	1.0	4.0			206.0	1.0	2.0	1.0		110.0		263.0	244.0	1.0	228.0		1.0	107.0		146.0		1.0	2.0				378.0				1.0	1.0	10.0		120.0			2.0		1.0	105.0		7.0	531.0	456.0	9.0		131.0		1.0	1.0	3.0
NC_073230.2	2::NC_073230.2:164205073-164211541(+)	6468	False	0.5654	1	158.0	11.0		2.0	67.0		143.0		115.0	3.0				117.0		1.0			63.0		135.0	123.0	5.0	121.0			64.0	1.0	72.0					1.0		200.0						5.0		74.0			1.0	1.0		60.0		1.0	290.0	250.0	8.0		62.0	1.0			1.0
NC_073230.2	3::NC_073230.2:164205332-164211560(+)	6228	False	0.566	1	135.0	10.0	1.0		81.0	1.0	132.0	4.0	100.0		1.0			112.0	3.0		1.0	1.0	55.0		141.0	121.0	2.0	116.0			61.0	1.0	75.0	1.0		2.0		1.0		194.0						4.0		64.0	1.0	1.0				53.0			281.0	242.0	5.0	1.0	69.0			1.0	2.0
NC_073230.2	3::NC_073230.2:168412364-168417977(+)	5613	False	0.4115	1	79.0	33.0	7.0	83.0	78.0	1.0	81.0	2.0	6.0	1.0	4.0	1.0	161.0	191.0	84.0	39.0	3.0	4.0		145.0	5.0	86.0	2.0	77.0	99.0	5.0	3.0	7.0	3.0	3.0	64.0		1.0	5.0		155.0	5.0	79.0	1.0	5.0	22.0	5.0			4.0	10.0	9.0	2.0	7.0	2.0		12.0	1.0	4.0	1.0	2.0	5.0	10.0		5.0	162.0
NC_073230.2	2::NC_073230.2:170793268-170800978(+)	7710	False	0.5003	0			1.0			3.0			1.0			62.0					2.0	1.0		1.0		2.0		1.0	2.0	63.0	2.0			1.0					15.0	2.0	1207.0	1.0		1.0			2.0				2.0	3.0			1192.0						1.0		1.0	1.0	
NC_073230.2	-3::NC_073230.2:170793315-170800977(-)	7662	False	0.5014	0	63.0	63.0	1.0	1192.0	1207.0					1.0	1.0					1.0	1.0	1.0		2.0	2.0				1.0						1.0											1.0													15.0						1.0
NC_073230.2	-2::NC_073230.2:170793553-170800720(-)	7167	False	0.5022	0	1179.0	1193.0																											1.0													15.0												1.0							
NC_073230.2	3::NC_073230.2:170793554-170800721(+)	7167	False	0.502	0												1193.0														1179.0														2.0					15.0																
NC_073241.2	-3::NC_073241.2:1526-11213(-)	9687	False	0.5025	0	1.0	1.0		1.0	1.0		3.0		1.0	3.0		187.0			3.0		2.0	1.0			1.0	1.0			1.0	172.0			1.0		2.0		1.0	1.0	4.0	2.0	1417.0	2.0		2.0	2.0		1.0				2.0	1.0		2.0	1400.0	3.0	3.0	1.0	1.0		1.0			1.0	
NC_073241.2	1::NC_073241.2:1527-11160(+)	9633	False	0.5023	0	172.0	172.0		1399.0	1417.0						2.0			1.0							1.0			16.0	2.0		1.0	3.0	1.0	1.0	2.0		1.0	1.0	1.0											1.0	1.0	3.0			2.0			1.0	4.0	2.0		2.0		1.0	1.0
NC_073241.2	-1::NC_073241.2:2557-11068(-)	8511	False	0.5019	0												1417.0														1399.0							15.0							1.0			1.0		4.0																
