clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_GGG	codon_TGT	codon_GTG	codon_GAG	codon_ATA	codon_TGG	codon_GCT	codon_GGA	codon_GGT	codon_GAT	codon_GGC	codon_AGG	codon_TGA	codon_TTG	codon_CTG	codon_ATG	codon_GTA	codon_GAC	codon_TCT	codon_TAT	codon_CAG	codon_TTT	codon_GCG	codon_TAG	codon_CGG	codon_GTC	codon_AAG	codon_ATT	codon_GAA	codon_AGA	codon_ACG	codon_CGA	codon_GCC	codon_AGC	codon_AGT	codon_ACT	codon_GTT	codon_TGC	codon_ACA	codon_CAC	codon_ACC	codon_TAA	codon_GCA	codon_CCT	codon_TTC	codon_CCA	codon_AAA	codon_TCG	codon_CTT	codon_CAA	codon_CGT	codon_CAT	codon_TAC	codon_CTC	codon_TCC	codon_CCC	codon_CCG	codon_AAC	codon_AAT	codon_ATC	codon_CGC	codon_TCA	codon_CTA	codon_TTA
NC_071997.2	3::NC_071997.2:124426586-124445267	18681	False	0.4216	0				2.0			1.0									1.0										243.0		221.0					82.0	1.0	1.0	940.0			2.0		1450.0			6.0	3.0									2.0				1.0		3271.0				
NC_071997.2	2::NC_071997.2:124426603-124445278	18675	False	0.4214	0		202.0			1.0					1.0						1.0				962.0	1.0	3.0								1.0										2391.0				2.0							41.0	2529.0				6.0		2.0			82.0			
NC_071996.2	2::NC_071996.2:144422803-144433750	10947	False	0.5275	2	4.0	10.0	6.0	7.0	3.0	4.0	17.0	3.0	24.0	3.0	14.0	6.0		3.0	22.0	5.0	40.0	4.0	17.0		143.0	9.0	10.0		19.0	13.0	2.0	3.0	1.0	7.0	25.0	4.0	16.0	15.0	180.0	128.0	362.0	8.0	141.0	501.0	8.0		11.0	209.0	147.0	212.0	6.0	13.0	24.0	5.0	11.0	7.0	4.0	282.0	258.0	68.0	19.0	3.0	1.0	3.0	26.0	540.0	3.0	10.0
NC_071996.2	1::NC_071996.2:144423375-144433509	10134	False	0.5204	2	4.0	8.0	3.0	3.0		4.0	14.0		10.0	3.0	10.0	3.0		1.0	10.0			2.0	3.0		188.0	5.0	10.0		21.0	10.0	2.0	3.0	2.0	3.0	18.0	7.0	10.0	9.0	383.0	181.0	130.0	3.0	266.0	238.0	62.0		13.0	104.0	226.0	49.0	1.0	2.0	15.0	3.0	7.0	1.0	35.0	549.0	358.0	41.0	12.0	2.0	3.0	9.0	15.0	300.0		4.0
NC_071990.2	-3::NC_071990.2:23816269-23827528	11259	False	0.6359	1	500.0	3.0	8.0	1064.0	3.0	4.0	4.0	272.0	3.0	2.0	164.0	441.0	5.0	3.0	3.0	2.0	1.0	7.0	1.0		81.0		21.0	2.0	10.0		17.0	2.0	11.0	921.0	3.0	19.0	3.0	5.0	3.0	1.0	1.0	1.0	8.0	6.0	3.0	1.0	94.0	4.0	1.0	1.0	16.0	1.0	2.0	5.0		1.0	2.0	4.0	1.0	2.0		4.0	2.0	3.0	1.0			
NC_071990.2	-2::NC_071990.2:23816555-23827538	10983	False	0.6414	1	424.0		3.0	1187.0		3.0	4.0	429.0	1.0		98.0	374.0	4.0	2.0	6.0	1.0		10.0			94.0		26.0		2.0		10.0		14.0	775.0	2.0	20.0	1.0	3.0	1.0	1.0		1.0	11.0	7.0		1.0	137.0			1.0	2.0		1.0						1.0	1.0		1.0	1.0	1.0				
NC_071990.2	-1::NC_071990.2:23816625-23827563	10938	False	0.641	1	351.0	1.0	2.0	1208.0	2.0	5.0	2.0	335.0	2.0		111.0	573.0	3.0		1.0			8.0			144.0	2.0	20.0		2.0		10.0		9.0	710.0	9.0	26.0	1.0	3.0	1.0	3.0		1.0	7.0	4.0	1.0	1.0	79.0			1.0	4.0		1.0	2.0								1.0						
NC_071990.2	2::NC_071990.2:23816662-23827555	10893	False	0.6414	1	499.0		4.0	1057.0		2.0	3.0	269.0	1.0	1.0	161.0	439.0		1.0	1.0			7.0			80.0		20.0		9.0		10.0		8.0	918.0	2.0	19.0		2.0	2.0	1.0			8.0	4.0			91.0		1.0		3.0		1.0	1.0								2.0	1.0		1.0		1.0	1.0
NC_071991.2	3::NC_071991.2:12251345-12263321	11976	False	0.6455	2	3.0	2.0		2.0	25.0	6.0	2.0	1.0		1.0	3.0				4.0	1.0		2.0	2.0	7.0	33.0	1.0				1.0		1.0	3.0	1.0	6.0	4.0	10.0	35.0	1.0	32.0	1.0	3.0	654.0	1058.0	447.0		31.0	133.0	1.0	494.0	1.0		3.0	11.0	3.0	22.0	14.0	136.0	157.0	585.0	2.0	15.0		18.0	5.0	7.0	2.0	
NC_071991.2	2::NC_071991.2:12251383-12263269	11886	False	0.6462	1	1.0		1.0		17.0		1.0	2.0		1.0	2.0	1.0			3.0	2.0		4.0	1.0	6.0	32.0		1.0			1.0	1.0			3.0	7.0		7.0	32.0		13.0		6.0	650.0	1090.0	459.0		30.0	128.0		442.0	1.0		1.0	14.0	1.0	35.0	17.0	147.0	169.0	578.0	3.0	27.0	1.0	16.0	2.0	2.0	4.0	
NC_072003.2	2::NC_072003.2:688180-698353	10173	False	0.5888	0	153.0	140.0	153.0	1.0		305.0	306.0	2.0			2.0			153.0	3.0	117.0	3.0	80.0	154.0		152.0	150.0			151.0	317.0	36.0	6.0	152.0	4.0						2.0		4.0	152.0	1.0			3.0	3.0	3.0			51.0	2.0		12.0	1.0	1.0		360.0	196.0			1.0	58.0				1.0
NC_072003.2	1::NC_072003.2:6034113-6045801	11688	False	0.7652	2	614.0	1.0		182.0		53.0	181.0		91.0	1.0	107.0	107.0			144.0						53.0		146.0		53.0	53.0	144.0			53.0			251.0	182.0				90.0	1.0	53.0	1.0			198.0		91.0		53.0		91.0				235.0	1.0	378.0					91.0	144.0	53.0	
NC_072009.2	2::NC_072009.2:5150008-5161756	11748	False	0.6181	1		5.0			5.0		2.0							3.0	18.0		1.0	3.0	152.0	5.0	7.0	8.0				9.0		5.0	1.0	2.0	9.0	6.0	31.0	1.0	2.0	27.0	4.0	19.0	270.0	439.0	184.0		8.0	492.0	162.0	216.0	7.0	8.0	188.0	32.0	7.0	31.0	18.0	498.0	471.0	434.0	13.0	22.0	2.0	33.0	13.0	30.0	12.0	1.0
NC_072009.2	1::NC_072009.2:5151678-5162256	10578	False	0.6191	1		6.0	1.0		4.0		2.0			1.0				7.0	16.0		1.0	7.0	155.0	4.0	6.0	8.0				10.0		4.0	3.0	2.0	5.0	2.0	22.0	3.0		22.0	2.0	17.0	228.0	394.0	194.0		6.0	459.0	129.0	200.0	7.0	13.0	141.0	18.0	7.0	23.0	12.0	439.0	457.0	364.0	7.0	30.0	3.0	30.0	15.0	27.0	12.0	1.0
NC_072009.2	-2::NC_072009.2:5518024-5533807	15783	False	0.6216	1	582.0	340.0	625.0	663.0	5.0	298.0		672.0	288.0	42.0	22.0	660.0	32.0	38.0	8.0	35.0	26.0	16.0	4.0	7.0	22.0	12.0	11.0	14.0	14.0	5.0	203.0	1.0	215.0	224.0	15.0	15.0	2.0	5.0	33.0	5.0	24.0	7.0	3.0			3.0	24.0				14.0	4.0		4.0	5.0		4.0	1.0			1.0	3.0	5.0					
NC_072009.2	-3::NC_072009.2:5518041-5536239	18198	False	0.6195	1	668.0	399.0	694.0	774.0	6.0	344.0	4.0	750.0	327.0	38.0	28.0	752.0	38.0	47.0	12.0	41.0	29.0	20.0	6.0	4.0	31.0	18.0	13.0	17.0	19.0	11.0	242.0	2.0	243.0	265.0	14.0	11.0	2.0	8.0	39.0	4.0	43.0	5.0	9.0		1.0	3.0	25.0	1.0	3.0	1.0	18.0	6.0	1.0	3.0	7.0	2.0	3.0	1.0	1.0	1.0	2.0	2.0	7.0	1.0				
NC_072009.2	-1::NC_072009.2:5526146-5536157	10011	False	0.6184	1	371.0	224.0	371.0	432.0	3.0	188.0	3.0	413.0	186.0	14.0	15.0	402.0	14.0	22.0	5.0	25.0	10.0	9.0	2.0	5.0	15.0	15.0	8.0	14.0	9.0	10.0	141.0	1.0	140.0	140.0	7.0	6.0	1.0	5.0	23.0	1.0	29.0	3.0	6.0		2.0	2.0	15.0	1.0		1.0	8.0	4.0		2.0	2.0		3.0				2.0	2.0	4.0	1.0				
NW_026946741.1	3::NW_026946741.1:52709-63428	10719	False	0.7743	2	645.0	1.0	8.0	247.0			123.0		245.0	1.0	19.0	17.0			76.0				1.0		1.0		132.0		16.0	9.0	132.0			9.0		1.0	149.0	246.0				124.0	1.0	8.0	2.0		31.0	203.0		61.0		8.0		123.0				254.0	1.0	387.0	58.0				125.0	100.0	9.0	
NC_072008.2	-3::NC_072008.2:162571334-162581726	10392	False	0.5168	0	1.0	1.0							1708.0	1.0		22.0												1532.0			2.0										22.0											175.0																
NC_072008.2	1::NC_072008.2:162571335-162581727	10392	False	0.5167	0	22.0				1.0				1.0			1534.0					1.0								175.0												1708.0																											22.0
NC_072008.2	-2::NC_072008.2:162571341-162581601	10260	False	0.5171	0	1.0				1.0							1534.0					1.0								175.0												1708.0																											
NC_072008.2	2::NC_072008.2:162571354-162581602	10248	False	0.5171	0	1707.0								1.0					1.0																															175.0																			1532.0
NC_071994.2	2::NC_071994.2:1161730-1175959	14229	False	0.6346	2	104.0	23.0	117.0	72.0	5.0	54.0	62.0	18.0	19.0	3.0	124.0	67.0		10.0	152.0	68.0	5.0	44.0	27.0	1.0	80.0	23.0	21.0		12.0	46.0	25.0	8.0	35.0	13.0	178.0	4.0	318.0	133.0	37.0	232.0	5.0	49.0	380.0	67.0	676.0		100.0	39.0	50.0	163.0	43.0	20.0	33.0	9.0	12.0	9.0	28.0	63.0	347.0	266.0	32.0	51.0	12.0	70.0	22.0	35.0	21.0	1.0
NC_072000.2	1::NC_072000.2:3555-13788	10233	False	0.4997	1	2.0			2.0	1.0			1.0						1.0	1.0	3.0	1.0				2.0	3.0			3.0	3.0	1.0		3.0	1.0	1.0	1.0	1.0		1.0	1.0			2.0	1.0	1428.0			248.0	3.0	2.0	2.0	1.0	1.0	1.0	1.0		1.0	1.0		2.0		249.0	2.0		1.0	2.0	1429.0	1.0
NC_072000.2	-1::NC_072000.2:3560-13805	10245	False	0.4991	1	3.0	1.0		1.0			1.0	2.0	2.0						1.0			1.0	1.0	1.0		2.0	1.0				1.0	2.0	2.0	3.0	3.0	1.0		1.0	1.0	2.0	1.0			2.0	1.0	248.0	3.0	1429.0	2.0	1.0	6.0	1.0	3.0	1.0		1.0	1.0		1.0	249.0	1.0	1428.0	2.0	1.0				
