clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCA	codon_GAT	codon_GCG	codon_TTT	codon_ACT	codon_ACC	codon_TGC	codon_CAC	codon_ATC	codon_TGG	codon_CCC	codon_CAT	codon_CCT	codon_TCG	codon_GTG	codon_GGC	codon_AGG	codon_GGA	codon_GGG	codon_GCC	codon_CAG	codon_GCT	codon_AAC	codon_CCG	codon_TGT	codon_TAC	codon_CTC	codon_CGG	codon_CTG	codon_ACG	codon_AGC	codon_CGC	codon_CGT	codon_GAC	codon_GAG	codon_ATG	codon_CTA	codon_AAT	codon_TCC	codon_AAG	codon_GCA	codon_TTG	codon_CGA	codon_CAA	codon_TCA	codon_TTC	codon_GGT	codon_AGT	codon_CTT	codon_TCT	codon_GAA	codon_ACA	codon_TAT	codon_GTT	codon_AAA	codon_GTA	codon_ATT	codon_GTC	codon_AGA	codon_ATA	codon_TTA
NC_072410.2	-3::NC_072410.2:49290683-49296839(-)	6156	False	0.4464	1	93.0	42.0	2.0	24.0	102.0	22.0	5.0	16.0	8.0	3.0	24.0	47.0	66.0	6.0	15.0	20.0	7.0	41.0	17.0	16.0	83.0	75.0	9.0	4.0	2.0	47.0	12.0	7.0	33.0	6.0	14.0		2.0	43.0	82.0	8.0	31.0	30.0	36.0	73.0	33.0	39.0	5.0	48.0	80.0	33.0	36.0	67.0	22.0	75.0	67.0	46.0	15.0	71.0	53.0	35.0	51.0	12.0	34.0	32.0	25.0
NC_072410.2	-3::NC_072410.2:95277515-95293250(-)	15735	False	0.4378	2	259.0	113.0	14.0	77.0	106.0	70.0	25.0	59.0	40.0	28.0	61.0	101.0	107.0	16.0	134.0	28.0	83.0	94.0	121.0	25.0	162.0	40.0	61.0	8.0	42.0	10.0	32.0	12.0	68.0	8.0	65.0	16.0	16.0	35.0	211.0	138.0	77.0	74.0	55.0	142.0	75.0	148.0	16.0	271.0	167.0	61.0	75.0	100.0	93.0	259.0	176.0	117.0	47.0	53.0	263.0	104.0	64.0	45.0	98.0	82.0	98.0
NC_072410.2	-2::NC_072410.2:101733579-101739384(-)	5805	False	0.339	1	41.0	70.0	2.0	76.0	27.0	7.0	10.0	4.0	19.0	25.0	8.0	30.0	35.0	5.0	28.0	10.0	15.0	35.0	6.0	14.0	37.0	36.0	29.0	3.0	42.0	16.0	11.0	1.0	18.0	2.0	5.0	2.0	6.0	23.0	36.0	33.0	18.0	80.0	10.0	39.0	37.0	56.0	3.0	48.0	52.0	21.0	24.0	36.0	47.0	57.0	100.0	28.0	64.0	49.0	122.0	50.0	71.0	10.0	37.0	51.0	58.0
NC_072410.2	3::NC_072410.2:101866088-101873753(+)	7665	False	0.4091	1	33.0	82.0	2.0	75.0	46.0	57.0	2.0	34.0	60.0	21.0	21.0	37.0	32.0	5.0	32.0	30.0	20.0	45.0	21.0	37.0	64.0	62.0	69.0	3.0	5.0	30.0	36.0	6.0	74.0	8.0	29.0	5.0	11.0	49.0	66.0	36.0	41.0	91.0	44.0	75.0	52.0	37.0	7.0	52.0	50.0	66.0	13.0	47.0	53.0	62.0	87.0	60.0	49.0	45.0	124.0	33.0	77.0	33.0	30.0	33.0	49.0
NC_072410.2	-2::NC_072410.2:120862920-120874362(-)	11442	False	0.4678	0			15.0	239.0	1.0		250.0	78.0	1.0	2.0	1.0	132.0	255.0		84.0	93.0	72.0			24.0	84.0	6.0	1.0		73.0	57.0			237.0	106.0			145.0	1.0		23.0			236.0	2.0	288.0	9.0			2.0	419.0	9.0	1.0	188.0	185.0		11.0	54.0	142.0			155.0			77.0	56.0
NC_072410.2	-3::NC_072410.2:120862925-120874493(-)	11568	False	0.4686	0		1.0	13.0	239.0	3.0	1.0	258.0	63.0	1.0		4.0	139.0	262.0	1.0	64.0	74.0	86.0		1.0	15.0	103.0	11.0			97.0	76.0	1.0		236.0	126.0	5.0		121.0			27.0	2.0	1.0	239.0	1.0	306.0	9.0		1.0	4.0	401.0	1.0	1.0	210.0	183.0		10.0	56.0	164.0			107.0	1.0		53.0	78.0
NC_072410.2	-1::NC_072410.2:120862939-120874378(-)	11439	False	0.4676	0			21.0	238.0		2.0	253.0	64.0				180.0	251.0		59.0	78.0	102.0			18.0	72.0	9.0			81.0	54.0	2.0		236.0	124.0	1.0	1.0	139.0			24.0	1.0		236.0		283.0	7.0		1.0	1.0	421.0	6.0		214.0	163.0		10.0	76.0	157.0	1.0	2.0	114.0		1.0	57.0	53.0
NC_072410.2	-1::NC_072410.2:122843980-122852263(-)	8283	False	0.5002	0						1337.0					1.0		43.0										43.0														1337.0																								
NC_072410.2	3::NC_072410.2:122843981-122852264(+)	8283	False	0.5001	0																	1337.0		43.0																												1.0							1337.0							43.0
NC_072410.2	-3::NC_072410.2:122843993-122852018(-)	8025	False	0.5002	0											1.0		1337.0										1337.0																																						
NC_072410.2	1::NC_072410.2:122843994-122852019(+)	8025	False	0.5001	0																			1337.0																												1.0														1337.0
NC_072413.2	-2::NC_072413.2:0-7681(-)	7681	False	0.5055	1				1.0											24.0		632.0		640.0		5.0															2.0									6.0		6.0							598.0				11.0			635.0
NC_072413.2	3::NC_072413.2:2-7652(+)	7650	False	0.505	1					1.0	632.0			2.0		2.0		639.0										635.0				22.0		11.0					6.0			599.0																		1.0						
NC_072413.2	2::NC_072413.2:98688820-98694688(+)	5868	False	0.7076	2	101.0			1.0	2.0	141.0	3.0	120.0	5.0	3.0	352.0		207.0	4.0	2.0	8.0	5.0	2.0	7.0	121.0	98.0	6.0	1.0	2.0	2.0	2.0	268.0	4.0	3.0	1.0	106.0		1.0	2.0	2.0	1.0	2.0		137.0	3.0	1.0	1.0		9.0	134.0	5.0	3.0		12.0	46.0	4.0		1.0	1.0	2.0		1.0	2.0	4.0	1.0	4.0
NC_072413.2	3::NC_072413.2:98688896-98694650(+)	5754	False	0.7112	2	139.0			2.0	4.0	120.0	4.0	112.0	1.0	1.0	348.0		262.0	1.0		3.0	5.0	4.0	5.0	110.0	122.0	2.0	9.0			3.0	246.0	4.0	5.0		90.0	1.0		1.0	3.0		2.0	2.0	111.0	1.0	3.0	4.0			109.0	6.0	3.0	3.0	2.0	55.0	2.0	1.0			2.0			4.0	1.0		
NC_072413.2	1::NC_072413.2:98689020-98695113(+)	6093	False	0.7064	2	117.0	3.0	2.0	3.0	3.0	114.0	5.0	140.0	2.0	5.0	356.0	5.0	228.0	2.0	2.0	4.0	7.0	7.0	18.0	93.0	115.0	5.0	1.0	2.0	2.0	4.0	319.0	1.0	14.0		123.0	1.0		2.0	8.0	2.0	4.0	1.0	108.0	4.0	4.0	1.0		4.0	101.0	4.0	3.0	1.0	6.0	53.0	1.0	3.0		1.0	5.0	1.0	2.0	4.0	3.0		2.0
NC_072413.2	1::NC_072413.2:99722982-99729606(+)	6624	False	0.633	1	205.0	6.0			20.0	246.0		279.0	123.0		323.0	106.0	4.0								1.0		2.0	94.0	26.0	2.0	151.0		24.0		1.0	3.0	75.0	3.0	16.0		2.0	1.0	52.0	6.0			8.0	3.0	165.0					158.0		2.0	1.0			1.0		82.0	17.0		
NC_072413.2	-2::NC_072413.2:102980878-102995764(-)	14886	False	0.5854	2	96.0	136.0	39.0	37.0	62.0	38.0	9.0	47.0	41.0	17.0	251.0	14.0	94.0	43.0	319.0	152.0	43.0	80.0	119.0	191.0	184.0	83.0	8.0	49.0	9.0	5.0	136.0	21.0	222.0	21.0	110.0	11.0	2.0	269.0	248.0	163.0	13.0	10.0	139.0	330.0	64.0	27.0	6.0	36.0	39.0	87.0	48.0	50.0	39.0	96.0	115.0	69.0	2.0	40.0	175.0	15.0	38.0	74.0	37.0	29.0	15.0
NC_072413.2	-3::NC_072413.2:103506312-103513221(-)	6909	False	0.6629	1	52.0		3.0		6.0	130.0	31.0	435.0	3.0	1.0	303.0	2.0	114.0	2.0	2.0	1.0		1.0	1.0	30.0		93.0	18.0	123.0	1.0	2.0	88.0	2.0	16.0	3.0		117.0		5.0		2.0	1.0	1.0	147.0		2.0		2.0	5.0	65.0	85.0			94.0	6.0		300.0			1.0			1.0		3.0	3.0
NC_072413.2	-2::NC_072413.2:103506370-103513237(-)	6867	False	0.6626	1	77.0		17.0		2.0	126.0	11.0	431.0		1.0	307.0	6.0	95.0	1.0		1.0	1.0	1.0		31.0		92.0	3.0	101.0		1.0	120.0	1.0	30.0	1.0	1.0	114.0	1.0	2.0		2.0			125.0		2.0	1.0	1.0	18.0	72.0	97.0		2.0	86.0	7.0		291.0			1.0		2.0	3.0	2.0	1.0	1.0
NC_072413.2	-1::NC_072413.2:103506863-103514219(-)	7356	False	0.6756	2	73.0	5.0	5.0	2.0	7.0	119.0	14.0	396.0		7.0	310.0		111.0	5.0	7.0	16.0	11.0	2.0	29.0	56.0	13.0	105.0	3.0	121.0	1.0	4.0	110.0	16.0	12.0	3.0	3.0	138.0	3.0	5.0	10.0	1.0			108.0	2.0	7.0	3.0	3.0	3.0	54.0	96.0	5.0	1.0	100.0	9.0	3.0	315.0		1.0	3.0	3.0		10.0	2.0		1.0
NC_072413.2	3::NC_072413.2:104686418-104692112(+)	5694	False	0.5	0				3.0			1.0			2.0						1.0	787.0		154.0							1.0																3.0				3.0	4.0						1.0	787.0							151.0
NC_072413.2	-2::NC_072413.2:104686504-104692111(-)	5607	False	0.4997	0						785.0							148.0										148.0	1.0													785.0																		2.0						
NC_072415.2	3::NC_072415.2:1221812-1226873(+)	5061	False	0.7591	2	30.0	6.0	78.0	3.0	5.0	46.0	8.0	55.0	5.0	8.0	88.0	5.0	27.0	23.0	12.0	85.0	40.0	67.0	96.0	74.0	51.0	18.0	14.0	96.0	2.0	1.0	34.0	102.0	11.0	51.0	31.0	90.0	8.0	51.0	49.0	3.0	1.0	4.0	26.0	26.0	33.0	2.0	40.0	18.0	10.0	4.0	16.0	5.0	3.0	12.0	16.0	29.0	1.0	2.0	13.0	3.0	1.0	26.0	21.0	2.0	
NC_072415.2	3::NC_072415.2:1263356-1268507(+)	5151	False	0.7533	2	31.0	8.0	78.0	4.0	6.0	47.0	7.0	55.0	4.0	10.0	88.0	6.0	28.0	22.0	11.0	88.0	48.0	64.0	94.0	74.0	51.0	19.0	14.0	97.0	2.0	1.0	34.0	106.0	10.0	53.0	31.0	89.0	8.0	54.0	46.0	2.0	1.0	6.0	25.0	22.0	31.0	3.0	39.0	17.0	11.0	5.0	15.0	5.0	4.0	11.0	25.0	29.0	1.0	2.0	18.0	2.0	1.0	28.0	24.0	1.0	1.0
NC_072415.2	2::NC_072415.2:36143329-36148798(+)	5469	False	0.5449	1	94.0	1.0		109.0	95.0	75.0	3.0	89.0	25.0	2.0	254.0	63.0	129.0	39.0		1.0				2.0	1.0	12.0		13.0		83.0	127.0		1.0	1.0		12.0	40.0			1.0	1.0	4.0	148.0		3.0			4.0	64.0	106.0	1.0	2.0	105.0	6.0		2.0	5.0	1.0	3.0	40.0	7.0	2.0	1.0	41.0	5.0
NC_072415.2	3::NC_072415.2:36143396-36148856(+)	5460	False	0.5487	1	92.0		1.0	99.0	91.0	80.0	2.0	93.0	22.0	1.0	252.0	65.0	125.0	40.0		1.0			1.0	3.0		12.0	1.0	12.0		79.0	126.0		4.0		1.0	12.0	41.0		1.0	3.0	3.0	5.0	153.0		1.0	5.0		2.0	64.0	110.0		1.0	110.0	4.0	3.0		3.0	1.0	1.0	40.0	5.0	1.0		43.0	5.0
NC_072415.2	1::NC_072415.2:36143433-36148770(+)	5337	False	0.5535	1	91.0			103.0	90.0	82.0	4.0	91.0	20.0	1.0	250.0	63.0	131.0	39.0		1.0				3.0		10.0		13.0	1.0	82.0	127.0		1.0			11.0	41.0			2.0	2.0	2.0	154.0		1.0	1.0		1.0	63.0	107.0			98.0	2.0			2.0			40.0	7.0	1.0		41.0	
NC_072415.2	-3::NC_072415.2:89967297-89973132(-)	5835	False	0.8408	1	4.0		158.0			3.0	42.0	1.0	2.0	135.0	4.0	5.0	3.0	1.0	92.0	248.0	5.0	4.0	529.0	6.0	6.0	113.0		11.0	84.0	2.0	1.0	214.0	161.0	1.0	4.0	1.0	2.0	3.0	8.0	3.0	2.0	1.0	3.0	6.0	2.0	2.0	4.0	8.0	4.0	2.0	25.0	2.0	1.0	5.0	2.0	2.0		4.0	2.0	2.0	2.0	3.0	3.0		2.0
NC_072415.2	-2::NC_072415.2:89967418-89972971(-)	5553	False	0.855	1	1.0		211.0	1.0	2.0		40.0	2.0		105.0		1.0	1.0		136.0	231.0	4.0	5.0	523.0	12.0	4.0	156.0		7.0	73.0		2.0	165.0	117.0		1.0			1.0	2.0	1.0	1.0			2.0	5.0	3.0	1.0	2.0	1.0		20.0	1.0		1.0		2.0		2.0	1.0		2.0	1.0	1.0	1.0	
NC_072415.2	2::NC_072415.2:89967427-89972938(+)	5511	False	0.8581	1	105.0			1.0		20.0	5.0	136.0			523.0	1.0	4.0	1.0	2.0	12.0	1.0			231.0	117.0	1.0	2.0	165.0			2.0	6.0	3.0		154.0	211.0		1.0	2.0			1.0	4.0		40.0	2.0		3.0				2.0	2.0	1.0		73.0			1.0			1.0	1.0		
NC_072415.2	3::NC_072415.2:89967437-89972948(+)	5511	False	0.8581	1	90.0	1.0				23.0	2.0	106.0		2.0	518.0		3.0			7.0	2.0	1.0		334.0	111.0	5.0	3.0	167.0	1.0		1.0	3.0	3.0	1.0	116.0	163.0					2.0		1.0		43.0	1.0		1.0		1.0		2.0		2.0		115.0			1.0		1.0	2.0		2.0	
NC_072415.2	-3::NC_072415.2:90286116-90292299(-)	6183	False	0.5583	0	77.0		3.0		48.0		110.0	266.0	56.0		52.0	18.0	53.0		69.0		7.0			48.0	6.0		72.0	36.0	93.0	3.0	1.0		107.0	97.0		40.0	86.0			17.0		1.0	95.0		100.0			89.0			6.0			2.0		187.0	52.0	55.0		3.0		56.0			50.0
NC_072421.2	-2::NC_072421.2:2524-9778(-)	7254	False	0.4999	0																	539.0		669.0																												1.0							539.0							670.0
NC_072421.2	3::NC_072421.2:2525-9779(+)	7254	False	0.5	0						539.0							670.0										670.0														539.0																								
NC_072421.2	2::NC_072421.2:791308-797470(+)	6162	False	0.6732	0	20.0		131.0		3.0	81.0		44.0		2.0			136.0	1.0	78.0	69.0	55.0	246.0	151.0		93.0	1.0	5.0				5.0	122.0		71.0	14.0			4.0	230.0					2.0	67.0		2.0	137.0	86.0			46.0			3.0				2.0				147.0		
NC_072421.2	-1::NC_072421.2:791492-797450(-)	5958	False	0.6741	0			1.0	1.0				46.0		1.0	157.0		140.0		17.0		71.0			1.0		93.0		198.0			257.0	4.0	67.0		14.0	67.0	1.0		135.0				156.0			85.0			76.0		43.0		17.0	86.0				118.0				134.0			
NC_072421.2	-2::NC_072421.2:1352923-1367350(-)	14427	False	0.5613	0	5.0	3.0		59.0	1.0	1.0	6.0	2.0	1.0	3.0	637.0	1.0	931.0	39.0	1.0				1.0	1.0	2.0	1.0	2.0	2.0	5.0	1.0	102.0		7.0	1.0	1.0		37.0	1.0	1.0	5.0		2.0	938.0	3.0	1.0	1.0	1.0		2.0	956.0	1.0		905.0	92.0	2.0	2.0	4.0	26.0	4.0	1.0	4.0		2.0	1.0	1.0
NC_072421.2	-1::NC_072421.2:1353020-1367336(-)	14316	False	0.5626	0	2.0	3.0		67.0	3.0		1.0	1.0	2.0		648.0	3.0	921.0	36.0				1.0		6.0			1.0	1.0	2.0		126.0		8.0		1.0	1.0	24.0		1.0		1.0	1.0	919.0	1.0		3.0	2.0	1.0		941.0		1.0	906.0	87.0	2.0	1.0		40.0	2.0		1.0	1.0		1.0	2.0
NC_072421.2	-3::NC_072421.2:1353087-1367346(-)	14259	False	0.563	0		1.0		57.0	1.0		5.0	1.0	5.0		617.0	3.0	956.0	26.0					1.0	4.0	1.0	2.0		1.0	1.0		104.0		1.0		1.0		40.0			1.0			948.0				1.0	1.0	3.0	931.0		1.0	918.0	81.0				37.0	1.0	1.0		1.0			
NC_072421.2	2::NC_072421.2:1353172-1362571(+)	9399	False	0.5642	0		1.0							1.0					1.0		1.0	620.0	634.0	414.0		5.0		13.0					2.0		21.0	1.0				64.0			2.0		601.0	4.0		22.0	1.0							631.0	1.0			33.0				59.0	1.0	
NC_072421.2	3::NC_072421.2:1353281-1365893(+)	12612	False	0.5653	0		1.0	1.0						1.0					2.0		5.0	823.0	822.0	573.0		5.0		33.0					1.0		18.0				1.0	112.0	2.0		1.0		814.0	1.0		32.0	1.0							838.0				50.0				67.0		
NC_072421.2	1::NC_072421.2:1356963-1367256(+)	10293	False	0.5677	0		2.0							1.0					1.0		1.0	690.0	691.0	456.0		1.0		31.0							35.0	1.0				78.0	1.0				657.0	1.0		24.0					1.0			680.0				24.0				55.0		
NC_072421.2	2::NC_072421.2:1362574-1367623(+)	5049	False	0.5575	1			1.0	2.0				2.0	1.0	3.0	1.0	2.0	1.0	1.0	5.0	3.0	311.0	303.0	223.0	2.0	1.0	1.0	13.0		1.0		4.0		3.0	15.0	2.0		2.0	1.0	38.0	2.0	2.0	9.0	2.0	298.0	2.0		17.0	3.0	2.0	1.0	1.0	1.0	2.0		327.0	5.0	2.0	1.0	23.0	2.0	4.0	1.0	30.0	3.0	1.0
NC_072421.2	-2::NC_072421.2:3858472-3863629(-)	5157	False	0.4669	2	66.0	45.0	4.0	35.0	48.0	43.0	6.0	21.0	19.0	17.0	33.0	20.0	51.0	4.0	34.0	20.0	19.0	31.0	18.0	17.0	44.0	26.0	34.0	5.0	8.0	21.0	15.0	6.0	24.0	6.0	26.0	8.0	4.0	38.0	57.0	37.0	17.0	29.0	54.0	57.0	32.0	37.0	5.0	30.0	31.0	15.0	21.0	30.0	32.0	47.0	61.0	66.0	16.0	28.0	53.0	11.0	31.0	26.0	41.0	24.0	15.0
NC_072421.2	-3::NC_072421.2:73563987-73570284(-)	6297	False	0.4185	2	51.0	70.0	33.0	51.0	32.0	16.0	17.0	26.0	19.0	21.0	21.0	25.0	34.0	4.0	38.0	18.0	10.0	33.0	19.0	35.0	54.0	40.0	41.0	11.0	47.0	18.0	15.0	9.0	27.0	5.0	23.0	6.0	10.0	37.0	61.0	33.0	22.0	59.0	15.0	81.0	50.0	42.0	6.0	49.0	42.0	22.0	27.0	32.0	44.0	55.0	111.0	32.0	47.0	26.0	123.0	25.0	54.0	18.0	35.0	38.0	34.0
NC_072421.2	1::NC_072421.2:99053844-99061218(+)	7374	False	0.5433	1	17.0	65.0	1.0	22.0	62.0	40.0	10.0	7.0	11.0	56.0	22.0	13.0	54.0	1.0	65.0	43.0	51.0	68.0	169.0	109.0	97.0	195.0	21.0	2.0	21.0	11.0	10.0	5.0	12.0	6.0	14.0	2.0	5.0	34.0	121.0	47.0	9.0	90.0	63.0	90.0	58.0	32.0	3.0	21.0	15.0	14.0	64.0	64.0	25.0	68.0	57.0	35.0	11.0	52.0	50.0	10.0	42.0	35.0	32.0	18.0	11.0
NC_072421.2	2::NC_072421.2:133783489-133789621(+)	6132	False	0.4297	1	58.0	33.0	1.0	52.0	134.0	74.0	3.0	15.0	22.0	11.0	24.0	23.0	84.0	6.0	36.0	9.0	17.0	21.0	15.0	30.0	21.0	51.0	21.0	1.0	3.0	7.0	21.0	1.0	24.0	9.0	16.0		3.0	18.0	45.0	57.0	17.0	48.0	81.0	26.0	46.0	36.0	1.0	25.0	84.0	27.0	20.0	25.0	27.0	120.0	51.0	170.0	17.0	47.0	43.0	30.0	42.0	13.0	19.0	42.0	21.0
NC_072421.2	3::NC_072421.2:139382633-139387994(+)	5361	False	0.5286	2	15.0	25.0	4.0	60.0	57.0	12.0	6.0	18.0	9.0	6.0	39.0	7.0	189.0	13.0	37.0	7.0	6.0	2.0	38.0	14.0	157.0	10.0	6.0	2.0	4.0	22.0	53.0	2.0	34.0	2.0	54.0	7.0	10.0	40.0	113.0	12.0	5.0	4.0	156.0	15.0	10.0	22.0		11.0	11.0	58.0	18.0	118.0	28.0	94.0	14.0	8.0	9.0	3.0	5.0	5.0	43.0	8.0	23.0	7.0	20.0
NC_072403.2	1::NC_072403.2:18067071-18073134(+)	6063	False	0.4442	1	60.0	44.0		37.0	44.0	24.0	10.0	26.0	22.0	7.0	36.0	43.0	54.0	10.0	40.0	20.0	22.0	35.0	17.0	27.0	86.0	42.0	23.0	8.0	28.0	10.0	14.0	10.0	43.0	10.0	29.0	4.0	7.0	35.0	47.0	26.0	16.0	75.0	41.0	57.0	33.0	43.0	9.0	57.0	74.0	17.0	19.0	57.0	37.0	70.0	78.0	51.0	18.0	38.0	79.0	19.0	20.0	18.0	31.0	32.0	32.0
NC_072403.2	1::NC_072403.2:36904509-36910260(+)	5751	False	0.5489	1	2.0	8.0	1.0	10.0	166.0	345.0	2.0	3.0	23.0		11.0	5.0	7.0	2.0	5.0	133.0	2.0	3.0	8.0	99.0	4.0	13.0	13.0		4.0		2.0		3.0	11.0	20.0			12.0	159.0	28.0		4.0	72.0	8.0	57.0	6.0		1.0	23.0	10.0	9.0	4.0		259.0	48.0	192.0	7.0	6.0	12.0	4.0	9.0	63.0	1.0	14.0	4.0
NC_072403.2	3::NC_072403.2:52569716-52575818(+)	6102	False	0.4379	2	29.0	71.0	10.0	47.0	27.0	16.0	24.0	11.0	15.0	26.0	20.0	27.0	38.0	13.0	56.0	29.0	20.0	38.0	22.0	32.0	64.0	36.0	27.0	13.0	33.0	17.0	20.0	15.0	57.0	8.0	22.0	14.0	6.0	43.0	69.0	31.0	18.0	61.0	18.0	52.0	35.0	38.0	5.0	29.0	29.0	24.0	16.0	38.0	46.0	41.0	105.0	41.0	53.0	36.0	77.0	38.0	56.0	26.0	32.0	40.0	34.0
NC_072403.2	-2::NC_072403.2:62470121-62475659(-)	5538	False	0.3738	2	30.0	107.0	4.0	39.0	48.0	13.0	7.0	8.0	19.0	6.0	13.0	27.0	32.0	2.0	15.0	15.0	14.0	52.0	11.0	18.0	43.0	28.0	27.0	1.0	27.0	9.0	10.0	1.0	28.0	5.0	27.0		5.0	38.0	44.0	39.0	21.0	86.0	16.0	29.0	27.0	32.0	2.0	47.0	48.0	13.0	25.0	51.0	47.0	51.0	133.0	47.0	27.0	34.0	89.0	25.0	66.0	9.0	28.0	34.0	47.0
