clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TTC	codon_CTC	codon_TCC	codon_CCC	codon_AGA	codon_TGC	codon_GTC	codon_CCT	codon_CAG	codon_ACA	codon_GAG	codon_TCT	codon_CAC	codon_GGC	codon_GGA	codon_TAC	codon_CCA	codon_CAT	codon_CGA	codon_TCA	codon_GAC	codon_GCT	codon_GAT	codon_ACC	codon_CTG	codon_CTT	codon_AGG	codon_ATT	codon_CCG	codon_ATA	codon_ACG	codon_ATG	codon_GCC	codon_ACT	codon_AGC	codon_TTT	codon_GTT	codon_TTG	codon_AAG	codon_GGG	codon_AAC	codon_CGT	codon_CTA	codon_GAA	codon_CAA	codon_CGG	codon_GCA	codon_TGG	codon_CGC	codon_AGT	codon_ATC	codon_AAA	codon_GTA	codon_GGT	codon_TTA	codon_TGT	codon_TAT	codon_GCG	codon_GTG	codon_TCG	codon_AAT
NC_072407.2	2::NC_072407.2:16-10504(+)	10488	False	0.5	0				1.0				1730.0																16.0										1.0							1731.0		17.0																		
NC_072407.2	-3::NC_072407.2:415-10516(-)	10101	False	0.5	0																											1680.0										1681.0			3.0										1.0					2.0						
NC_072407.2	3::NC_072407.2:416-10517(+)	10101	False	0.5001	0				1.0				2.0																1681.0																	2.0		1681.0																		
NC_072411.2	-1::NC_072411.2:144465334-144476758(-)	11424	False	0.5004	0				1.0	1.0			851.0													1.0			1050.0	4.0	1.0			1.0												851.0		1046.0									1.0									
NC_072411.2	3::NC_072411.2:144465335-144476759(+)	11424	False	0.5004	0	1.0						4.0													1.0							1051.0									2.0	1045.0			851.0			1.0										1.0	2.0	849.0						
NC_072419.2	-2::NC_072419.2:5967-16329(-)	10362	False	0.5093	0																				88.0							704.0										705.0			1022.0										1.0			9.0		925.0						
NC_072419.2	2::NC_072419.2:5968-16330(+)	10362	False	0.5094	0				1.0				1021.0													88.0			713.0										1.0							925.0		705.0																		
NC_072402.2	-3::NC_072402.2:49-11809(-)	11760	False	0.4998	0																											162.0									1.0	163.0		1.0	1795.0						1.0								1.0	1796.0						
NC_072402.2	3::NC_072402.2:50-11810(+)	11760	False	0.4999	0				2.0				1794.0																162.0										1.0							1796.0	1.0	162.0									1.0			1.0						
NC_072402.2	-2::NC_072402.2:866-11639(-)	10773	False	0.4999	0																											1794.0									1.0	1794.0													1.0				1.0							
NC_072402.2	1::NC_072402.2:867-11640(+)	10773	False	0.5	0				1.0																				1794.0																			1795.0									1.0									
NC_072420.2	-2::NC_072420.2:759-10962(-)	10203	False	0.5017	0							12.0		14.0																		1682.0									1.0	1668.0			1.0												5.0		16.0	2.0						
NC_072420.2	2::NC_072420.2:760-10879(+)	10119	False	0.5004	0	1.0			1.0				2.0																1680.0	12.0	1.0										4.0					2.0		1669.0									1.0									
NC_072420.2	-3::NC_072420.2:764-10871(-)	10107	False	0.5004	0															1.0					12.0																				1680.0												5.0		2.0	1669.0						
NC_072420.2	1::NC_072420.2:765-10872(+)	10107	False	0.5005	0				1.0				1682.0													12.0															5.0					1668.0											1.0									
NC_072409.2	3::NC_072409.2:1037-11111(+)	10074	False	0.5071	0		33.0		1.0				1428.0		1.0			36.0											252.0																	1390.0		217.0																		
NC_072412.2	-3::NC_072412.2:459-10710(-)	10251	False	0.5	0																											1687.0										1687.0			21.0														1.0	21.0						
NC_072412.2	2::NC_072412.2:460-10711(+)	10251	False	0.5001	0				1.0				21.0																1687.0																	21.0		1687.0																		
NC_072412.2	-1::NC_072412.2:488-10613(-)	10125	False	0.5	0																																								1687.0														1.0	1687.0						
NC_072412.2	1::NC_072412.2:489-10614(+)	10125	False	0.5001	0				1.0				1687.0																																	1687.0																				
NC_072398.2	-3::NC_072398.2:169-10204(-)	10035	False	0.5	0																											1661.0									1.0	1660.0			11.0										1.0			1.0		9.0		1.0				
NC_072398.2	3::NC_072398.2:170-10628(+)	10458	False	0.5027	0		2.0		3.0				42.0		1.0			1.0			1.0				1.0	11.0			1697.0	14.0																29.0		1682.0									2.0									
NC_072398.2	3::NC_072398.2:96981866-96993533(+)	11667	False	0.5729	1	6.0	1.0	235.0	11.0	22.0	7.0	7.0	36.0	240.0	19.0	65.0	571.0	161.0	432.0	152.0	67.0	36.0	204.0	59.0	231.0	9.0	24.0	11.0	12.0	5.0	6.0	38.0	1.0	3.0	3.0		4.0	7.0	12.0	206.0	30.0	2.0	10.0	10.0	176.0	8.0	53.0	1.0	24.0	140.0	15.0	5.0	13.0	27.0	81.0	3.0	7.0	1.0	200.0	14.0	24.0	85.0		6.0	37.0	14.0
