clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_AAA	codon_ACC	codon_CCT	codon_GGA	codon_AGA	codon_CTG	codon_TAT	codon_CAA	codon_GGG	codon_GTT	codon_GGT	codon_GGC	codon_ACT	codon_GTG	codon_ATA	codon_ATG	codon_GAT	codon_TTC	codon_ATT	codon_GCA	codon_GTC	codon_ACA	codon_GTA	codon_TTT	codon_GCG	codon_AGG	codon_AAG	codon_GAA	codon_ATC	codon_TGA	codon_TGG	codon_GAG	codon_TAG	codon_TGC	codon_CGG	codon_TGT	codon_CGA	codon_TCG	codon_TTG	codon_AGT	codon_GCT	codon_CGT	codon_GAC	codon_AAC	codon_AGC	codon_CAG	codon_CAC	codon_AAT	codon_TCT	codon_CAT	codon_TAC	codon_CCA	codon_TAA	codon_GCC	codon_CCC	codon_CTC	codon_TCC	codon_CTT	codon_CCG	codon_CGC	codon_ACG	codon_TTA	codon_TCA	codon_CTA
NC_060931.1	3::NC_060931.1:159805334-159822644	17310	False	0.5444	1	4.0		1.0	379.0	367.0	19.0	349.0		6.0	25.0	3418.0	3.0		124		29.0	539.0	1.0		3.0		1.0	5.0	1.0			12.0	5.0			6.0	28.0		2.0	1.0	16.0				381.0	10.0		4.0			2.0	1.0		1.0	3.0	4.0				1.0		1.0	2.0			1.0	14.0	1.0	
NC_060931.1	1::NC_060931.1:159806178-159822525	16347	False	0.5438	0						7.0			1.0	365.0	4.0			2675		884.0							743.0		2.0		4.0	1.0			3.0	742.0							6.0	1.0					1.0						1.0										6.0	3.0		
NC_060931.1	-2::NC_060931.1:159806198-159822557	16359	False	0.5438	0	2.0			376.0	367.0	1.0	348.0			9.0	3391.0	2.0		4		1.0	536.0					1.0	1.0					3.0			3.0	2.0			1.0	14.0				378.0	7.0		3.0								3.0													
NC_060931.1	-1::NC_060931.1:159806340-159822717	16377	False	0.5434	0						5.0			1.0	363.0		2.0	2.0	2656	1.0	880.0		1.0	2.0	2.0		1.0	743.0	3.0	1.0	3.0	4.0	1.0	2.0	2.0	6.0	737.0	1.0	2.0		3.0			5.0		2.0			1.0	2.0	2.0	2.0	1.0	1.0	1.0		1.0	1.0	2.0	3.0	2.0	2.0	1.0			6.0			
NC_060940.1	2::NC_060940.1:94495414-94507291	11877	False	0.6742	2	40.0	95.0	110.0	71.0	42.0	172.0	6.0	24.0	140.0	14.0	49.0	165.0	33.0	68	2.0	33.0	45.0	74.0	7.0	64.0	34.0	39.0	6.0	26.0	57.0	108.0	116.0	54.0	16.0		26.0	207.0		52.0	56.0	23.0	14.0	26.0	26.0	34.0	70.0	15.0	120.0	42.0	168.0	159.0	87.0	13.0	41.0	18.0	22.0	115.0		219.0	275.0	81.0	86.0	22.0	100.0	48.0	33.0	7.0	35.0	9.0
NC_060927.1	2::NC_060927.1:198566581-198586597	20016	False	0.5742	2	11.0	873.0	654.0	34.0	9.0	12.0	1.0	21.0	19.0	22.0	345.0	29.0	212.0	36	16.0	22.0	20.0	15.0	8.0	228.0	367.0	408.0	106.0	12.0	5.0	12.0	9.0	24.0	28.0		11.0	23.0		2.0	4.0	1.0	2.0	27.0	1.0	22.0	120.0	18.0	310.0	28.0	159.0	73.0	199.0	14.0	114.0	51.0	6.0	35.0		205.0	21.0	14.0	705.0	446.0	14.0	1.0	40.0	12.0	428.0	8.0
NC_060938.1	-2::NC_060938.1:99184539-99199485	14946	False	0.5867	2	38.0	47.0	45.0	131.0	100.0	183.0	23.0	26.0	260.0	12.0	38.0	198.0	47.0	46	1.0	14.0	38.0	115.0	8.0	8.0	257.0	11.0	5.0	180.0	9.0	83.0	43.0	90.0	144.0	39.0	102.0	131.0	12.0	56.0	51.0	75.0	42.0	7.0	39.0	64.0	119.0	20.0	79.0	35.0	75.0	224.0	319.0	42.0	39.0	164.0	15.0	17.0	14.0	157.0	123.0	246.0	75.0	327.0	22.0	51.0	1.0			
NC_060938.1	3::NC_060938.1:99472982-99484097	11115	False	0.6759	1		110.0	217.0	110.0	110.0	219.0		216.0	218.0			110.0	109.0	1						108.0	215.0	3.0	109.0		109.0				111.0		108.0	217.0											108.0		217.0	218.0	217.0			1.0				217.0	2.0	1.0			106.0	109.0			109.0	
NC_060947.1	1::NC_060947.1:7722645-7734708	12063	False	0.6604	1		197.0	608.0	2.0	3.0	2.0	2.0	1.0				2.0	5.0	2		1.0		145.0	2.0	1.0	2.0	256.0		2.0		1.0		1.0	3.0		2.0					2.0			1.0				1.0	1.0	1.0	1.0	464.0	2.0	123.0	1.0		181.0		1.0	616.0	670.0	575.0	122.0	1.0	1.0	2.0		14.0	1.0
NC_060947.1	2::NC_060947.1:7722679-7734679	12000	False	0.6609	1		227.0	587.0		1.0			2.0					3.0	1				123.0	3.0	1.0	1.0	235.0						1.0			2.0	2.0		1.0	1.0							1.0	1.0	2.0			450.0		145.0			214.0			587.0	608.0	662.0	122.0		1.0	1.0	3.0	12.0	
NC_060947.1	3::NC_060947.1:7722698-7735070	12372	False	0.6604	2	1.0	183.0	665.0	4.0	2.0	10.0	2.0	2.0	5.0	1.0	3.0	6.0	5.0	2			2.0	126.0		1.0	5.0	267.0		4.0	1.0	4.0	1.0	1.0	1.0		5.0	3.0		3.0	4.0	1.0				3.0	10.0	1.0	1.0	3.0	1.0	8.0	463.0	1.0	126.0	4.0		195.0		1.0	621.0	599.0	604.0	151.0		4.0	1.0	1.0	5.0	1.0
NC_060935.1	-3::NC_060935.1:1074441-1088730	14289	False	0.5618	2	18.0	32.0	35.0	280.0	153.0	71.0	14.0	28.0	151.0	44.0	634.0	190.0	92.0	257	26.0	75.0	108.0	31.0	9.0	2.0	1.0	3.0	6.0	36.0	4.0	200.0	32.0	94.0	1.0	145.0	277.0	42.0	48.0	57.0	28.0	416.0	25.0	5.0	40.0	244.0	167.0	95.0	62.0	29.0	18.0	24.0	66.0	39.0	15.0	79.0	2.0	5.0	8.0	50.0	77.0	3.0	19.0	31.0	4.0	13.0	3.0			
NC_060935.1	2::NC_060935.1:1253320-1263772	10452	False	0.5765	1	25.0	450.0	211.0	55.0	32.0	34.0	5.0	10.0	29.0	44.0	47.0	34.0	136.0	79	19.0	15.0	7.0	24.0	6.0	19.0	21.0	373.0	5.0	10.0	2.0	26.0	36.0	35.0	65.0		23.0	60.0		80.0	24.0	12.0	16.0	17.0	8.0	22.0	90.0	11.0	42.0	44.0	311.0	85.0	31.0	7.0	207.0	18.0	23.0	56.0		108.0	123.0	27.0	82.0	7.0	24.0	12.0	30.0	1.0	27.0	2.0
NC_060935.1	2::NC_060935.1:1312036-1323970	11934	False	0.6449	2	21.0	518.0	59.0	33.0	18.0	123.0	5.0	6.0	95.0	9.0	27.0	97.0	148.0	122	9.0	49.0	2.0	32.0	1.0	61.0	46.0	255.0	2.0	25.0	13.0	38.0	27.0	21.0	74.0		65.0	85.0		55.0	16.0	27.0	3.0	24.0	12.0	32.0	36.0	22.0	38.0	39.0	133.0	81.0	82.0	4.0	42.0	6.0	29.0	114.0		243.0	226.0	48.0	256.0	31.0	67.0	26.0	149.0	1.0	38.0	12.0
NC_060935.1	-1::NC_060935.1:62506196-62523704	17508	False	0.4913	2	62.0	159.0	10.0	61.0	88.0	35.0	33.0	93.0	258.0	67.0	25.0	71.0	47.0	54	5.0	42.0	125.0	198.0	76.0	1.0	228.0	10.0	4.0	430.0	3.0	213.0	55.0	88.0	376.0	53.0	229.0	45.0	23.0	56.0	19.0	30.0	11.0	4.0	29.0	34.0	60.0	7.0	94.0	157.0	78.0	152.0	298.0	127.0	14.0	254.0	52.0	32.0	30.0	204.0	117.0	141.0	152.0	394.0	5.0	11.0	7.0			
NC_060932.1	-3::NC_060932.1:145014680-145031633	16953	False	0.6968	2	16.0	18.0	72.0	102.0	22.0	351.0	3.0	20.0	166.0	53.0	175.0	439.0	11.0	87	13.0	6.0	148.0	24.0	2.0	33.0	258.0	17.0	113.0	12.0	193.0	19.0	17.0	104.0	22.0	9.0	53.0	172.0	13.0	39.0	41.0	36.0	60.0	21.0	16.0	22.0	114.0	103.0	135.0	8.0	40.0	471.0	292.0	12.0	23.0	83.0	5.0	49.0	1.0	307.0	145.0	450.0	24.0	128.0	148.0	90.0	25.0			
NC_060925.1	-3::NC_060925.1:151336645-151357084	20439	False	0.5787	1	61.0	426.0	60.0	418.0	1030.0	448.0	3.0	27.0	15.0	10.0	30.0	3.0	133.0	309	117.0	350.0	3.0	49.0	5.0	3.0	19.0	35.0	127.0	8.0	66.0	61.0	4.0	15.0	11.0	394.0	58.0	1.0		7.0		35.0	56.0	131.0	210.0	24.0	366.0	2.0	16.0	2.0	29.0	8.0	3.0	1.0	21.0	1.0		42.0	26.0	707.0	329.0	113.0	272.0	7.0	13.0		93.0			
NC_060925.1	-1::NC_060925.1:151438278-151451310	13032	False	0.5548	1	6.0	51.0	123.0	266.0	194.0	284.0	6.0	5.0	36.0	33.0	37.0	57.0	139.0	261	24.0	189.0	7.0	128.0	29.0		175.0	2.0	30.0	31.0	23.0	9.0	5.0	16.0	64.0	284.0	14.0	13.0	5.0	118.0	14.0	65.0	25.0	22.0	114.0	65.0	147.0	10.0	19.0	15.0	75.0	5.0	36.0	24.0	206.0	4.0	20.0	23.0	5.0	75.0	153.0	141.0	284.0	17.0	24.0	17.0	75.0			
NC_060939.1	3::NC_060939.1:40491107-40501358	10251	False	0.5165	2	67.0	58.0	110.0	51.0	58.0	82.0	23.0	62.0	57.0	44.0	42.0	62.0	77.0	55	16.0	46.0	91.0	39.0	23.0	66.0	34.0	64.0	35.0	46.0	8.0	105.0	77.0	134.0	28.0		32.0	142.0		34.0	3.0	39.0	11.0	5.0	53.0	77.0	83.0	13.0	77.0	45.0	98.0	156.0	63.0	60.0	112.0	49.0	18.0	105.0		76.0	74.0	53.0	74.0	45.0	11.0	5.0	9.0	37.0	74.0	24.0
NC_060944.1	1::NC_060944.1:1893108-1907463	14355	False	0.6485	1		62.0	213.0		2.0	215.0	135.0		2.0		2.0	3.0	2.0	203	2.0	2.0		6.0		3.0	202.0	4.0	138.0	2.0		1.0	1.0	1.0	409.0		2.0	3.0		5.0		405.0		1.0	2.0	1.0	3.0	133.0	2.0	3.0	3.0	6.0	52.0	1.0	4.0	284.0	1.0	336.0		3.0	1160.0	6.0	617.0	6.0	130.0			2.0	4.0	
NC_060944.1	-1::NC_060944.1:1893330-1907433	14103	False	0.6499	1		61.0	208.0		1.0	211.0	135.0					1.0	2.0	202	2.0			3.0		1.0	201.0	2.0	136.0					1.0	409.0			1.0		3.0		405.0			1.0		1.0	133.0	1.0	1.0	2.0	2.0	52.0		1.0	284.0	1.0	334.0			1157.0	1.0	613.0	3.0	129.0					
NC_060944.1	2::NC_060944.1:1893379-1907482	14103	False	0.6498	1	1.0	53.0	199.0		1.0	205.0	139.0							206	1.0			1.0			198.0	2.0	133.0	3.0					418.0		1.0	1.0				413.0					1.0	128.0	1.0		1.0	1.0	61.0		1.0	277.0		337.0		1.0	1169.0	4.0	609.0	1.0	129.0	1.0	1.0		3.0	
NC_060944.1	3::NC_060944.1:1893398-1907567	14169	False	0.6491	1	1.0	59.0	211.0		2.0	197.0	133.0					1.0	2.0	206		1.0			1.0		200.0	1.0	137.0	5.0		4.0			414.0			2.0		1.0		412.0	1.0		4.0	2.0	3.0	128.0	1.0	1.0		5.0	62.0	1.0		277.0		336.0		1.0	1154.0	2.0	617.0	2.0	133.0	1.0			1.0	1.0
NC_060944.1	-2::NC_060944.1:1893422-1907585	14163	False	0.6493	1	1.0	59.0	211.0		2.0	197.0	133.0	1.0				2.0	2.0	206					1.0	1.0	200.0	1.0	137.0	5.0		4.0	1.0		413.0			2.0		2.0		412.0	1.0		4.0	2.0	2.0	128.0	1.0	1.0		5.0	62.0	1.0		275.0		336.0	1.0	1.0	1154.0	2.0	616.0	2.0	133.0	1.0				
NC_060944.1	-3::NC_060944.1:1893463-1907521	14058	False	0.6502	1		51.0	197.0		1.0	205.0	137.0			1.0	1.0	1.0		206							197.0		133.0	3.0			1.0	1.0	418.0	1.0		1.0				413.0			2.0	1.0		128.0	1.0		1.0	1.0	60.0		1.0	277.0		337.0		1.0	1169.0	1.0	608.0	1.0	128.0		1.0			
NC_060928.1	-1::NC_060928.1:169925786-169936622	10836	False	0.2805	0			26.0	1.0	1.0	25.0	540.0	26.0					144.0	78	371.0	124.0			55.0	29.0	72.0	97.0	388.0	195.0			99.0	27.0		72.0			26.0			443.0			154.0	118.0		1.0	1.0		35.0	25.0	27.0		26.0	11.0	126.0	26.0	1.0	72.0		26.0	72.0	51.0	1.0					
NC_060928.1	-3::NC_060928.1:169925808-169937574	11766	False	0.281	0			73.0		1.0	26.0	652.0	26.0		1.0			75.0	169	402.0	138.0	1.0		53.0	13.0	38.0	110.0	404.0	172.0		1.0	63.0	72.0		37.0	1.0		72.0	1.0		396.0			159.0	124.0		1.0			36.0	72.0	25.0		71.0	29.0	91.0	72.0	1.0	36.0		26.0	38.0	144.0						
NC_060929.1	3::NC_060929.1:80212841-80223371	10530	False	0.4124	1	182.0	37.0	86.0	57.0	42.0	36.0	45.0	73.0	13.0	70.0	45.0	22.0	72.0	63	47.0	44.0	109.0	26.0	72.0	103.0	29.0	101.0	62.0	61.0	7.0	21.0	122.0	324.0	33.0		11.0	154.0		7.0	3.0	14.0	4.0	6.0	60.0	66.0	75.0	10.0	57.0	27.0	26.0	68.0	25.0	69.0	148.0	53.0	13.0	138.0		24.0	29.0	22.0	58.0	39.0	19.0	2.0	3.0	70.0	171.0	35.0
NC_060926.1	3::NC_060926.1:27609683-27625610	15927	False	0.4389	2	261.0	69.0	113.0	91.0	112.0	64.0	47.0	264.0	124.0	53.0	77.0	28.0	107.0	136	85.0	135.0	112.0	60.0	65.0	71.0	46.0	117.0	104.0	80.0	13.0	82.0	140.0	180.0	41.0		29.0	220.0		29.0	13.0	45.0	20.0	13.0	148.0	104.0	40.0	12.0	35.0	61.0	66.0	163.0	62.0	76.0	262.0	108.0	10.0	257.0		26.0	67.0	34.0	57.0	90.0	10.0	19.0	9.0	100.0	170.0	77.0
NC_060926.1	-3::NC_060926.1:179042096-179059334	17238	False	0.4271	2	72.0	128.0	29.0	39.0	102.0	67.0	95.0	40.0	42.0	87.0	113.0	82.0	114.0	20	137.0	39.0	81.0	329.0	145.0	33.0	95.0	44.0	52.0	281.0	19.0	152.0	103.0	70.0	206.0	87.0	211.0	44.0	35.0	117.0	7.0	182.0	2.0	33.0	59.0	168.0	64.0	14.0	98.0	212.0	134.0	69.0	108.0	199.0	133.0	57.0	112.0	97.0	58.0	92.0	35.0	116.0	159.0	150.0	22.0	8.0	48.0			
