clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_AGG	codon_CCA	codon_CTG	codon_TAG	codon_AGA	codon_CAA	codon_GCC	codon_ATT	codon_CAT	codon_TGT	codon_GGA	codon_AAA	codon_GTA	codon_GAA	codon_CCC	codon_TTT	codon_TGG	codon_CCT	codon_TTC	codon_CTC	codon_GAG	codon_TCT	codon_GAC	codon_CAG	codon_ACA	codon_AGC	codon_AAC	codon_CAC	codon_AAG	codon_GAT	codon_ATA	codon_CTT	codon_ACT	codon_CGG	codon_TCC	codon_TGC	codon_GGG	codon_GCT	codon_GTG	codon_ATC	codon_GGT	codon_AGT	codon_GCG	codon_TCG	codon_GGC	codon_CCG	codon_ACC	codon_TGA	codon_ACG	codon_CGC	codon_TAC	codon_GTC	codon_GCA	codon_GTT	codon_ATG	codon_CGT	codon_AAT	codon_CGA	codon_TAA	codon_TTG	codon_TAT	codon_TTA	codon_CTA	codon_TCA
NC_072430.2	-2::NC_072430.2:82645483-82662652	17169	False	0.4276	2	153.0	97.0	61.0	36.0	99.0	43.0	92.0	145.0	56.0	185.0	42.0	73.0	58.0	66.0	34.0	281.0	211.0	30.0	336.0	114.0	45.0	131.0	100.0	69.0	44.0	135.0	210.0	103.0	103.0	83.0	131.0	147.0	113.0	10.0	161.0	116.0	38.0	64.0	20.0	209.0	114.0	167.0	18.0	32.0	81.0	23.0	126.0	84.0	49.0	8.0	118.0	90.0	32.0	83.0	38.0	12.0	199.0	5.0	53.0	58.0	89.0			
NC_072430.2	3::NC_072430.2:89908106-89917178	9072	False	0.3478	1	25.0	65.0	23.0		52.0	93.0	19.0	107.0	54.0	43.0	30.0	195.0	39.0	187.0	12.0	90.0	9.0	50.0	21.0	23.0	52.0	96.0	60.0	42.0	73.0	37.0	57.0	23.0	91.0	83.0	74.0	61.0	75.0	1.0	36.0	9.0	14.0	63.0	35.0	37.0	23.0	66.0	2.0	3.0	16.0	1.0	38.0		5.0		18.0	24.0	58.0	71.0	68.0	5.0	135.0	2.0		67.0	46.0	92.0	31.0	97.0
NC_072430.2	1::NC_072430.2:89919294-89928762	9468	False	0.3391	1	25.0	61.0	29.0		64.0	98.0	17.0	133.0	51.0	35.0	34.0	201.0	51.0	182.0	14.0	89.0	6.0	40.0	35.0	23.0	66.0	112.0	45.0	49.0	78.0	41.0	46.0	19.0	65.0	134.0	98.0	58.0	63.0	2.0	36.0	10.0	11.0	46.0	45.0	38.0	24.0	64.0	6.0	8.0	12.0	4.0	26.0		1.0	2.0	20.0	21.0	52.0	98.0	57.0	7.0	128.0	6.0		57.0	67.0	85.0	39.0	122.0
NC_072430.2	-2::NC_072430.2:153280126-153289372	9246	False	0.5001	0	1518.0			22.0													1.0																								23.0													1518.0										
NC_072430.2	3::NC_072430.2:153280127-153289373	9246	False	0.5	0	22.0																																				1518.0				1.0													23.0								1518.0		
NC_072430.2	-3::NC_072430.2:153280257-153291897	11640	False	0.5001	0	421.0			1518.0																																	1.0				1518.0													421.0						1.0				
NC_072430.2	2::NC_072430.2:153280258-153291898	11640	False	0.5	0	1518.0																1.0																				420.0				2.0													1518.0								421.0		
NC_072448.2	-3::NC_072448.2:7243394-7270601	27207	False	0.4928	0	22.0	6.0	1.0	1.0	2257.0	1.0	1.0			1.0	189.0	93.0	2.0	88.0	11.0	1.0	182.0		1.0		1147.0	1.0	1056.0	1053.0	1753.0	1.0	3.0	699.0	98.0	173.0				2.0		2.0	3.0	1.0		2.0	3.0	4.0	2.0	1.0	5.0	1.0	7.0	2.0	2.0			2.0	6.0	1.0	175.0	2.0	2.0	2.0		1.0				
NC_072448.2	1::NC_072448.2:7243476-7270779	27303	False	0.4928	0	25.0	8.0	1.0		2273.0	1.0	2.0	1.0	2.0	1.0	194.0	88.0		96.0	10.0	3.0	175.0	3.0	5.0	1.0	1128.0	1.0	1045.0	1066.0	1746.0	3.0	1.0	701.0	95.0	177.0	1.0	1.0	2.0	1.0	3.0	1.0	3.0	1.0	4.0	2.0	3.0	1.0	2.0	1.0	8.0	3.0	6.0		3.0	1.0	1.0	4.0	5.0	2.0	173.0	2.0	1.0	5.0			1.0		2.0	6.0
NC_072448.2	-1::NC_072448.2:7243525-7270459	26934	False	0.4923	0	15.0	7.0	2.0		2254.0	1.0				1.0	189.0	92.0		94.0	7.0		172.0				1132.0		1051.0	1045.0	1734.0		1.0	706.0	86.0	175.0		1.0		3.0	1.0	1.0	3.0	1.0	1.0		1.0			2.0	4.0		7.0	1.0	2.0			1.0	4.0		178.0		1.0	1.0		1.0				
NC_072448.2	-2::NC_072448.2:7243611-7270485	26874	False	0.4919	0	19.0	6.0			2259.0						190.0	85.0		93.0	7.0		174.0				1117.0	1.0	1042.0	1061.0	1742.0			700.0	93.0	177.0			1.0	1.0			2.0		2.0		1.0		1.0		2.0		5.0					1.0	3.0	1.0	171.0						1.0			
NC_072448.2	3::NC_072448.2:7243625-7270745	27120	False	0.4922	0	19.0	9.0	1.0		2255.0		1.0		2.0		184.0	92.0	1.0	91.0	9.0	3.0	178.0			2.0	1145.0		1055.0	1053.0	1753.0	2.0	1.0	696.0	97.0	172.0	1.0	2.0	1.0	1.0		1.0	1.0	2.0		2.0	2.0	1.0	1.0	2.0	3.0	1.0	9.0		2.0		1.0	2.0	5.0		174.0		1.0	2.0						2.0
NC_072448.2	2::NC_072448.2:7243639-7270552	26913	False	0.4919	0	13.0	7.0			2263.0						189.0	92.0		94.0	5.0		171.0				1136.0		1052.0	1047.0	1734.0		1.0	707.0	86.0	174.0				1.0			2.0				1.0	1.0			4.0		7.0		1.0				3.0		178.0			1.0						1.0
NC_072446.2	-3::NC_072446.2:79415333-79423268	7935	False	0.5013	0	26.0			1288.0													8.0																				1.0				1297.0													25.0										
NC_072446.2	1::NC_072446.2:79415334-79423269	7935	False	0.5012	0	1288.0												1.0																								34.0				1.0													1296.0								25.0		
NC_072446.2	-2::NC_072446.2:79415340-79423125	7785	False	0.5013	0	1288.0												1.0																								10.0																	1296.0										
NC_072424.2	-1::NC_072424.2:1203-13038	11835	False	0.5	0															73.0			1899.0									1899.0																				1.0												73.0					
NC_072424.2	2::NC_072424.2:1204-13039	11835	False	0.5001	0															1.0			73.0									73.0																				1899.0																1899.0	
NC_072424.2	-2::NC_072424.2:1568-12965	11397	False	0.5	0															1899.0																																1.0												1899.0					
NC_072424.2	1::NC_072424.2:1569-12966	11397	False	0.5001	0															1.0			1899.0									1899.0																																					
NC_072424.2	1::NC_072424.2:10315458-10323864	8406	False	0.4895	2	54.0	165.0	60.0		62.0	48.0	54.0	11.0	8.0	6.0	42.0	195.0	48.0	143.0	47.0	37.0	3.0	47.0	40.0	59.0	99.0	32.0	100.0	90.0	120.0	56.0	35.0	35.0	149.0	44.0	22.0	2.0	105.0	20.0	26.0	24.0	26.0	33.0	48.0	28.0	31.0	29.0	5.0	1.0	61.0	5.0	44.0		29.0	3.0	4.0	14.0	107.0	8.0	49.0	8.0	22.0	12.0		13.0	4.0	25.0	38.0	67.0
NC_072437.2	-2::NC_072437.2:1476-10929	9453	False	0.5011	0															425.0			1150.0									1160.0																				1.0												415.0					
NC_072437.2	2::NC_072437.2:1477-10930	9453	False	0.5012	0		10.0													1.0			415.0									415.0																				1160.0																1150.0	
NC_072437.2	1::NC_072437.2:17553444-17571741	18297	False	0.3874	2	71.0	157.0	82.0		140.0	232.0	31.0	138.0	119.0	64.0	107.0	439.0	89.0	353.0	54.0	107.0	29.0	111.0	60.0	56.0	190.0	139.0	91.0	141.0	201.0	64.0	102.0	60.0	221.0	189.0	127.0	103.0	118.0	9.0	54.0	22.0	61.0	61.0	65.0	61.0	79.0	139.0	7.0	14.0	41.0	13.0	40.0		18.0	10.0	31.0	39.0	144.0	79.0	146.0	16.0	171.0	9.0		81.0	76.0	125.0	84.0	219.0
NC_072437.2	3::NC_072437.2:70465352-70476911	11559	False	0.3762	1	33.0	91.0	55.0		77.0	70.0	31.0	125.0	67.0	50.0	67.0	214.0	50.0	186.0	23.0	139.0	44.0	80.0	55.0	37.0	70.0	75.0	65.0	88.0	84.0	34.0	44.0	33.0	94.0	155.0	72.0	127.0	72.0	5.0	31.0	36.0	21.0	66.0	56.0	48.0	36.0	73.0	8.0	5.0	25.0	4.0	25.0		8.0	9.0	37.0	23.0	89.0	100.0	72.0	12.0	137.0	21.0		100.0	77.0	97.0	45.0	80.0
NC_072437.2	-3::NC_072437.2:120300020-120310838	10818	False	0.5003	0	1.0			1801.0																																	2.0				1801.0													1.0										
NC_072437.2	1::NC_072437.2:120300021-120310839	10818	False	0.5002	0	1801.0																																				2.0				1.0													1801.0								1.0		
NC_072437.2	-2::NC_072437.2:120300027-120311058	11031	False	0.5001	0	1832.0			6.0																																	1.0				6.0													1832.0										
NC_072437.2	2::NC_072437.2:120300028-120311059	11031	False	0.5	0	6.0																																				1832.0				1.0													6.0								1832.0		
NC_072441.2	3::NC_072441.2:158-11927	11769	False	0.4998	0												1.0			1.0			43.0							1.0		42.0																				1915.0				1.0		1.0		1.0		1.0						1916.0	
NC_072441.2	-2::NC_072441.2:208-11956	11748	False	0.4995	0								1.0				1.0			39.0	1.0		1912.0					1.0		1.0	2.0	1913.0												1.0	1.0							2.0										1.0		40.0					
NC_072441.2	-3::NC_072441.2:441-11973	11532	False	0.4993	0		1.0			1.0	2.0		1.0	1.0	2.0		1.0			1911.0	1.0							1.0	3.0				2.0			1.0	1.0			1.0												1.0												1912.0		1.0			
NC_072441.2	2::NC_072441.2:442-11914	11472	False	0.4999	0												1.0						1912.0									1911.0																																					
NC_072441.2	-3::NC_072441.2:80570022-80586390	16368	False	0.5706	1	55.0	14.0	343.0	1.0	797.0	13.0	576.0	17.0	1.0	19.0	329.0	36.0	74.0	5.0	252.0	19.0	56.0	63.0	25.0	82.0	1.0	25.0	6.0	5.0	33.0	22.0	5.0	6.0	6.0	6.0	126.0	12.0	118.0	1.0	215.0	8.0	13.0	294.0	198.0	25.0	19.0	16.0	40.0	86.0	3.0	13.0	303.0	315.0	75.0	1.0	2.0	16.0	9.0	9.0	308.0	9.0	3.0	89.0	15.0	221.0	2.0			
NC_072441.2	-1::NC_072441.2:80644604-80661518	16914	False	0.5616	2	10.0	19.0	356.0	2.0	281.0	3.0	97.0	42.0	4.0	79.0	320.0	7.0	33.0	31.0	184.0	25.0	25.0	141.0	199.0	224.0	16.0	250.0	26.0	8.0	1.0	113.0	22.0	40.0	3.0	1.0	35.0	14.0	166.0	14.0	380.0	133.0	57.0	213.0	392.0	81.0	47.0	84.0	33.0	26.0	52.0	85.0	57.0	374.0	126.0	43.0	9.0	187.0		32.0	177.0	2.0	31.0	33.0	6.0	170.0	17.0			
NC_072441.2	-1::NC_072441.2:146695433-146713406	17973	False	0.5001	0	1400.0			1595.0																																	1.0				1595.0													1400.0										
NC_072441.2	1::NC_072441.2:146695434-146713407	17973	False	0.5	0	1595.0																																				1400.0				1.0													1595.0								1400.0		
NC_072441.2	-3::NC_072441.2:146697192-146706765	9573	False	0.5002	0	1595.0																																				1.0																	1595.0										
NC_072441.2	2::NC_072441.2:146697193-146706766	9573	False	0.5001	0																																					1595.0				1.0																					1595.0		
NC_072439.2	-1::NC_072439.2:2712-10515	7803	False	0.5017	0															415.0			885.0									897.0																				1.0				1.0								402.0					
NC_072439.2	2::NC_072439.2:2713-10516	7803	False	0.5019	0		12.0													1.0			403.0									402.0																				898.0																885.0	
NC_072439.2	1::NC_072439.2:41451441-41460963	9522	False	0.4855	0	21.0	107.0	12.0		77.0	29.0	5.0	26.0			367.0	31.0	45.0	113.0		12.0	3.0	22.0	2.0	4.0	48.0	57.0	1.0	9.0	491.0	2.0	2.0		5.0	10.0	48.0	5.0	239.0	3.0	3.0		239.0	192.0	199.0	3.0	30.0	24.0	2.0	2.0	11.0	1.0	17.0		6.0		4.0	9.0	53.0	50.0	12.0		19.0	3.0		8.0	4.0	43.0	88.0	356.0
NC_072439.2	-2::NC_072439.2:41451578-41460950	9372	False	0.4864	0	269.0	3.0		44.0	70.0	2.0	4.0	48.0	3.0	51.0	3.0	35.0	1.0	12.0	6.0	8.0	360.0		18.0	7.0	11.0	5.0	367.0	11.0	28.0	202.0	325.0	11.0	57.0	26.0	2.0	1.0	95.0	5.0	4.0	29.0	7.0	7.0		366.0	72.0	170.0		3.0	19.0		114.0	96.0	3.0		44.0	23.0	4.0	3.0	2.0	5.0	44.0		3.0	1.0	15.0			
NC_072439.2	-2::NC_072439.2:106244456-106255763	11307	False	0.5001	0	73.0			1810.0												1.0																					2.0				1810.0													73.0										
NC_072439.2	1::NC_072439.2:106244457-106255764	11307	False	0.5	0	1810.0																																				73.0				2.0													1810.0						1.0		73.0		
NC_072439.2	-1::NC_072439.2:106244535-106255398	10863	False	0.5001	0	1810.0																																				1.0																	1810.0										
NC_072439.2	2::NC_072439.2:106244536-106255399	10863	False	0.5	0																																					1810.0				1.0																					1810.0		
NC_072438.2	-3::NC_072438.2:4901-13502	8601	False	0.5238	0															483.0			950.0					205.0				744.0																				1.0												484.0					
NC_072438.2	1::NC_072438.2:4902-13503	8601	False	0.5238	0			205.0															484.0									484.0					1.0															949.0																744.0	
NC_072435.2	-1::NC_072435.2:35210777-35232653	21876	False	0.4887	2	285.0	44.0	88.0	33.0	427.0	92.0	60.0	68.0	220.0	536.0	353.0	70.0	18.0	61.0	78.0	102.0	186.0	84.0	225.0	214.0	69.0	94.0	106.0	119.0		114.0	81.0	189.0	104.0	132.0	31.0	83.0	135.0	11.0	92.0	114.0	112.0	200.0	64.0	101.0	464.0	343.0	7.0	5.0	135.0	3.0	70.0	357.0	7.0	8.0	46.0	130.0		79.0	88.0	38.0	89.0	24.0	57.0	75.0	72.0			
NC_072435.2	-3::NC_072435.2:35237292-35246931	9639	False	0.4915	2	91.0	30.0	39.0	16.0	170.0	47.0	35.0	38.0	74.0	227.0	114.0	40.0	14.0	27.0	46.0	41.0	117.0	26.0	88.0	89.0	52.0	53.0	50.0	48.0		76.0	35.0	39.0	44.0	51.0	11.0	42.0	90.0	8.0	72.0	80.0	66.0	98.0	26.0	49.0	151.0	180.0	3.0		61.0	3.0	26.0	160.0	3.0	3.0	25.0	39.0	1.0	36.0	32.0	15.0	35.0	9.0	23.0	21.0	28.0			
NC_072429.2	-1::NC_072429.2:1356-11205	9849	False	0.5161	0															70.0			1571.0								157.0	1414.0																				1.0				1.0								69.0					
NC_072429.2	2::NC_072429.2:1357-11206	9849	False	0.5162	0							157.0								1.0			70.0									69.0																				1415.0																1571.0	
NC_072429.2	1::NC_072429.2:1764-11199	9435	False	0.5169	0															2.0			1571.0								157.0	1414.0																								1.0													
NC_072429.2	-2::NC_072429.2:1769-11198	9429	False	0.5168	0				157.0											1572.0																																												1414.0					
NC_072429.2	-1::NC_072429.2:142680906-142691427	10521	False	0.6704	2	20.0	28.0	206.0	15.0	23.0	15.0	174.0	4.0	58.0	35.0	55.0	15.0	70.0	65.0	88.0	12.0	34.0	62.0	25.0	253.0	111.0	18.0	81.0	296.0	12.0	41.0	8.0	175.0	16.0	90.0	10.0	90.0	13.0	24.0	20.0	47.0	99.0	71.0	60.0	19.0	90.0	23.0	89.0	9.0	237.0	76.0	18.0	12.0	12.0	44.0	5.0	145.0	24.0	39.0	6.0	58.0	14.0	26.0	1.0	19.0	2.0			
NC_072433.2	-1::NC_072433.2:1798-13666	11868	False	0.5161	0															1591.0			385.0									386.0					1.0															1.0	193.0											1399.0					
NC_072433.2	3::NC_072433.2:1799-13667	11868	False	0.5162	0															1.0			1591.0					193.0				1399.0						1.0														385.0															1.0	385.0	
NC_072433.2	-3::NC_072433.2:4124-13673	9549	False	0.5203	0															2.0			1589.0					193.0				1397.0						1.0																										1.0					
NC_072433.2	1::NC_072433.2:4125-13674	9549	False	0.5204	0			193.0												1.0			1.0									1.0																				1590.0																1397.0	
NC_072433.2	1::NC_072433.2:67270836-67281090	10254	False	0.4135	0	21.0	133.0	34.0		39.0	73.0	22.0	76.0	48.0	14.0	54.0	171.0	57.0	314.0	27.0	62.0	10.0	87.0	23.0	23.0	151.0	150.0	58.0	67.0	99.0	25.0	23.0	24.0	121.0	102.0	44.0	35.0	71.0	4.0	55.0	7.0	18.0	77.0	65.0	29.0	48.0	60.0	4.0	8.0	20.0	16.0	34.0		6.0		12.0	29.0	103.0	65.0	42.0	11.0	68.0	3.0		55.0	44.0	68.0	39.0	170.0
NC_072433.2	2::NC_072433.2:133900369-133912264	11895	False	0.6635	2	105.0	120.0	170.0		48.0	27.0	204.0	9.0	28.0	23.0	65.0	41.0	5.0	60.0	265.0	28.0	25.0	112.0	72.0	82.0	200.0	38.0	129.0	163.0	44.0	157.0	46.0	81.0	121.0	43.0	1.0	23.0	38.0	52.0	93.0	57.0	143.0	75.0	70.0	19.0	46.0	41.0	48.0	24.0	155.0	84.0	95.0		30.0	49.0	23.0	35.0	70.0	13.0	35.0	15.0	15.0	14.0		32.0	6.0	6.0	11.0	36.0
NC_072433.2	-1::NC_072433.2:142576030-142584793	8763	False	0.5079	0	1214.0			206.0												1.0								20.0										12.0			9.0				229.0											26.0		1204.0										
NC_072433.2	3::NC_072433.2:142576031-142584794	8763	False	0.5079	0	226.0																																		9.0		1233.0				2.0			9.0								23.0		206.0								1205.0		8.0
NC_072433.2	-2::NC_072433.2:142577574-142585212	7638	False	0.4999	0	70.0			1203.0																																					1202.0													71.0										
NC_072433.2	2::NC_072433.2:142577575-142585213	7638	False	0.4997	0	1203.0															1.0																					69.0				1.0													1202.0								70.0		
NC_072447.2	1::NC_072447.2:158205435-158213472	8037	False	0.7244	0	59.0	50.0	4.0		104.0	1.0	60.0	5.0	4.0		32.0				61.0	9.0	63.0	89.0	80.0	164.0	72.0	24.0	64.0	100.0		2.0		76.0		39.0	3.0	71.0	49.0	176.0	135.0	4.0	178.0	72.0	34.0		56.0	1.0	101.0	2.0	235.0	98.0	21.0		59.0	50.0	1.0		72.0	3.0	27.0	3.0		9.0						57.0
NC_072447.2	3::NC_072447.2:158205572-158215793	10221	False	0.725	1	96.0	54.0	5.0		144.0	1.0	89.0	8.0	7.0		43.0		1.0		95.0	11.0	109.0	118.0	93.0	187.0	75.0	32.0	78.0	127.0	2.0	1.0		92.0	1.0	41.0	1.0	96.0	65.0	205.0	181.0	15.0	233.0	95.0	60.0	1.0	44.0		113.0	5.0	300.0	124.0	3.0		64.0	72.0		2.0	80.0	1.0	19.0	2.0		25.0						91.0
NC_072447.2	-3::NC_072447.2:165562296-165571041	8745	False	0.4998	0	236.0			1221.0												1.0																					1.0				1219.0													237.0										
NC_072447.2	2::NC_072447.2:165562297-165571042	8745	False	0.4997	0	1221.0															2.0																					235.0				2.0													1219.0								236.0		
NC_072442.2	-3::NC_072442.2:72967619-72975500	7881	False	0.5002	0	907.0			406.0																																	1.0				406.0													907.0										
NC_072442.2	1::NC_072442.2:72967620-72975501	7881	False	0.5001	0	406.0																																				907.0				1.0													406.0								907.0		
NC_072443.2	-2::NC_072443.2:36411550-36419173	7623	False	0.7278	0	78.0	57.0	92.0	1.0	27.0		233.0		11.0	3.0	112.0	6.0		109.0	185.0		43.0	70.0		59.0	112.0	97.0		12.0		79.0	3.0	23.0	89.0	1.0			1.0	100.0	45.0	63.0	66.0	2.0	79.0	24.0	1.0	53.0	60.0	5.0	65.0	168.0	24.0	64.0		95.0		62.0	8.0		5.0	41.0	3.0	5.0						
NC_072443.2	-3::NC_072443.2:36413199-36425472	12273	False	0.7279	1	108.0	55.0	162.0	1.0	52.0	3.0	376.0		32.0	3.0	195.0	8.0	2.0	162.0	282.0		52.0	108.0	1.0	119.0	219.0	141.0		11.0	3.0	104.0	3.0	36.0	135.0	2.0			1.0	158.0	66.0	120.0	104.0	6.0	106.0	31.0	7.0	106.0	94.0	4.0	91.0	287.0	48.0	96.0	2.0	174.0	2.0	85.0	19.0	1.0	10.0	85.0	5.0	7.0		1.0				
NC_072443.2	-1::NC_072443.2:85711259-85724189	12930	False	0.5766	1	248.0	36.0	113.0	4.0	207.0	26.0	60.0	5.0	25.0	431.0	111.0	16.0	35.0	30.0	40.0	45.0	77.0	47.0	58.0	80.0	37.0	50.0	33.0	40.0	27.0	124.0	42.0	108.0	12.0	84.0	8.0	59.0	31.0	27.0	56.0	27.0	116.0	396.0	50.0	3.0	526.0	118.0	35.0	24.0	112.0	18.0	40.0	34.0	12.0	2.0	15.0	70.0	107.0	62.0	24.0	32.0	9.0	23.0		15.0	8.0			
NC_072443.2	-3::NC_072443.2:85809717-85819155	9438	False	0.6046	2	64.0	21.0	95.0	8.0	21.0	4.0	78.0	7.0	19.0	358.0	33.0	9.0	3.0	6.0	23.0	9.0	339.0	12.0	5.0	35.0	17.0	9.0	15.0	33.0	16.0	10.0	9.0	95.0	8.0	106.0	1.0	8.0	46.0	57.0	14.0	22.0	210.0	66.0	10.0	8.0	755.0	197.0	3.0	3.0	26.0	5.0	12.0	40.0	2.0	5.0	3.0	13.0	26.0	9.0	1.0	91.0	8.0	7.0		21.0	10.0			
NC_072443.2	1::NC_072443.2:85892640-85907559	14919	False	0.5698	2	44.0	279.0	18.0		8.0	34.0	213.0	47.0	65.0		33.0	36.0	8.0	33.0	193.0	3.0	3.0	210.0	139.0	36.0	14.0	146.0	1.0	91.0	474.0	179.0	52.0	257.0	27.0	1.0	10.0	31.0	272.0	8.0	270.0	3.0	67.0	12.0	94.0	91.0	38.0	101.0	2.0	30.0	60.0	55.0	611.0		80.0	5.0	12.0	65.0	81.0	17.0	59.0	4.0	7.0	2.0		27.0	28.0	2.0	54.0	131.0
NC_072443.2	-3::NC_072443.2:95081058-95091126	10068	False	0.5023	0	1660.0			6.0													1.0																				11.0				7.0			11.0										1660.0										
NC_072443.2	2::NC_072443.2:95081059-95091127	10068	False	0.5022	0	6.0																																	11.0			1660.0				12.0													7.0								1660.0		
