clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_GAT	codon_AGC	codon_TTT	codon_CCT	codon_TGT	codon_CTT	codon_CAC	codon_ATT	codon_TTC	codon_CTA	codon_AGT	codon_TGG	codon_CCC	codon_TCT	codon_ACC	codon_ACA	codon_TTA	codon_CCA	codon_ATG	codon_GAC	codon_ACT	codon_CAA	codon_TCA	codon_GAG	codon_AAA	codon_GAA	codon_CGT	codon_TTG	codon_CAG	codon_GCT	codon_TCC	codon_TAC	codon_AGG	codon_GGG	codon_CTC	codon_CGC	codon_AAG	codon_AAC	codon_CTG	codon_CAT	codon_GGC	codon_TGC	codon_GCC	codon_AGA	codon_GCA	codon_GGA	codon_GTG	codon_GTT	codon_ATC	codon_GCG	codon_ACG	codon_CGA	codon_AAT	codon_TAT	codon_GTC	codon_GTA	codon_GGT	codon_TCG	codon_ATA	codon_CGG	codon_CCG
NC_072448.2	1::NC_072448.2:7243476-7270779(+)	27303	False	0.4928	0	177.0	3.0	3.0	3.0	1.0	1.0	701.0	1.0	5.0	2.0	1.0	175.0	10.0	1.0	6.0	1746.0		8.0	173.0	1045.0	2.0	1.0	6.0	1128.0	88.0	96.0	2.0		1066.0	1.0	3.0	1.0	25.0	3.0	1.0	1.0	95.0	1.0	1.0	2.0	8.0	1.0	2.0	2273.0	5.0	194.0	4.0	2.0	2.0	2.0	3.0	5.0	1.0	1.0	4.0		3.0	1.0	1.0	1.0	3.0
NC_072448.2	-1::NC_072448.2:7243525-7270459(-)	26934	False	0.4923	0		1.0	92.0	15.0	1734.0	86.0	1.0	1.0	94.0			7.0	3.0	2254.0	1.0	1.0		172.0		1.0		1.0	1.0				2.0	1.0	2.0		189.0			7.0	1132.0		1.0		1045.0	178.0		4.0	4.0		1.0	1.0	706.0	1.0	175.0			2.0			1051.0		7.0	1.0			3.0
NC_072448.2	-2::NC_072448.2:7243611-7270485(-)	26874	False	0.4919	0			85.0	19.0	1742.0	93.0	2.0		93.0		1.0	6.0	2.0	2259.0	1.0			174.0		1.0											190.0			7.0	1117.0	1.0		1.0	1061.0	171.0		3.0	2.0	1.0			700.0		177.0						1042.0		5.0		1.0		1.0
NC_072448.2	3::NC_072448.2:7243625-7270745(+)	27120	False	0.4922	0	172.0	2.0	3.0			2.0	696.0				1.0	178.0	9.0		9.0	1753.0		9.0	174.0	1055.0	1.0		2.0	1145.0	92.0	91.0			1053.0	2.0		1.0	19.0	1.0	2.0		97.0	1.0	1.0	2.0	3.0	1.0	1.0	2255.0	5.0	184.0			2.0	1.0	2.0	2.0	1.0		2.0	1.0	2.0	2.0	1.0	1.0	1.0
NC_072448.2	2::NC_072448.2:7243639-7270552(+)	26913	False	0.4919	0	174.0						707.0				1.0	171.0	5.0		7.0	1734.0		7.0	178.0	1052.0			1.0	1136.0	92.0	94.0			1047.0				13.0	2.0			86.0	1.0			4.0			2263.0	3.0	189.0					1.0	1.0					1.0			1.0	
NC_072424.2	-1::NC_072424.2:1203-13038(-)	11835	False	0.5	0																	73.0																1899.0	73.0														1899.0									1.0				
NC_072424.2	2::NC_072424.2:1204-13039(+)	11835	False	0.5001	0				73.0						1899.0			1.0		1899.0																							73.0																							
NC_072424.2	-2::NC_072424.2:1568-12965(-)	11397	False	0.5	0																	1899.0																	1899.0																							1.0				
NC_072424.2	1::NC_072424.2:1569-12966(+)	11397	False	0.5001	0				1899.0									1.0																									1899.0																							
NC_072437.2	1::NC_072437.2:17553444-17571741(+)	18297	False	0.3874	2	189.0	64.0	107.0	111.0	64.0	103.0	60.0	138.0	60.0	84.0	139.0	29.0	54.0	139.0	40.0	201.0	125.0	157.0	146.0	91.0	118.0	232.0	219.0	190.0	439.0	353.0	16.0	81.0	141.0	61.0	54.0	31.0	71.0	61.0	56.0	10.0	221.0	102.0	82.0	119.0	41.0	22.0	31.0	140.0	144.0	107.0	65.0	79.0	61.0	7.0	18.0	9.0	171.0	76.0	39.0	89.0	79.0	14.0	127.0	9.0	13.0
NC_072437.2	3::NC_072437.2:70465352-70476911(+)	11559	False	0.3762	1	155.0	34.0	139.0	80.0	50.0	127.0	33.0	125.0	55.0	45.0	73.0	44.0	23.0	75.0	25.0	84.0	97.0	91.0	72.0	65.0	72.0	70.0	80.0	70.0	214.0	186.0	12.0	100.0	88.0	66.0	31.0	37.0	33.0	21.0	37.0	9.0	94.0	44.0	55.0	67.0	25.0	36.0	31.0	77.0	89.0	67.0	56.0	100.0	48.0	8.0	8.0	21.0	137.0	77.0	23.0	50.0	36.0	5.0	72.0	5.0	4.0
NC_072437.2	-3::NC_072437.2:120300020-120310838(-)	10818	False	0.5003	0				1.0						1801.0			2.0		1801.0																							1.0																							
NC_072437.2	1::NC_072437.2:120300021-120310839(+)	10818	False	0.5002	0																	1.0																1801.0	2.0														1801.0									1.0				
NC_072437.2	-2::NC_072437.2:120300027-120311058(-)	11031	False	0.5001	0				1832.0						6.0			1.0		6.0																							1832.0																							
NC_072437.2	2::NC_072437.2:120300028-120311059(+)	11031	False	0.5	0																	1832.0																6.0	1832.0														6.0									1.0				
NC_072441.2	3::NC_072441.2:158-11927(+)	11769	False	0.4998	0				43.0						1916.0			1.0		1915.0	1.0			1.0						1.0							1.0						42.0							1.0								1.0								
NC_072441.2	-2::NC_072441.2:208-11956(-)	11748	False	0.4995	0	1.0		1.0		1.0		1.0	1.0									40.0								1.0					2.0			1912.0	39.0														1913.0					1.0		1.0		2.0				
NC_072441.2	-3::NC_072441.2:441-11973(-)	11532	False	0.4993	0			1.0									1.0		1.0		2.0	1912.0		1.0						1.0			2.0						1911.0			1.0		3.0							1.0	2.0						1.0	1.0	1.0		1.0		1.0		
NC_072441.2	2::NC_072441.2:442-11914(+)	11472	False	0.4999	0				1912.0																					1.0													1911.0																							
NC_072441.2	-3::NC_072441.2:80570022-80586390(-)	16368	False	0.5706	1	25.0	294.0	36.0	55.0	33.0	6.0	198.0	3.0	5.0	1.0	118.0	14.0	13.0	797.0	19.0	19.0	15.0	56.0	1.0	16.0	16.0	221.0	315.0	82.0	19.0	25.0	75.0	13.0	343.0	22.0	329.0	74.0	63.0	252.0	1.0	40.0	12.0	9.0	5.0	308.0	576.0	9.0	3.0	25.0	8.0	215.0	6.0	5.0	6.0	1.0	9.0	86.0	17.0	126.0	6.0	2.0	303.0	89.0	2.0	13.0	1.0
NC_072441.2	-1::NC_072441.2:80644604-80661518(-)	16914	False	0.5616	2	81.0	213.0	7.0	10.0	1.0	3.0	392.0	31.0	31.0	2.0	166.0	19.0	57.0	281.0	47.0	79.0	6.0	25.0	4.0	187.0	84.0	170.0	374.0	224.0	25.0	199.0	126.0	3.0	356.0	113.0	320.0	33.0	141.0	184.0	16.0	33.0	14.0	32.0	8.0	177.0	97.0		52.0	250.0	133.0	380.0	40.0	22.0	1.0	43.0	2.0	26.0	42.0	35.0	26.0	9.0	57.0	33.0	17.0	85.0	14.0
NC_072441.2	-1::NC_072441.2:146695433-146713406(-)	17973	False	0.5001	0				1400.0						1595.0			1.0		1595.0																							1400.0																							
NC_072441.2	1::NC_072441.2:146695434-146713407(+)	17973	False	0.5	0																	1400.0																1595.0	1400.0														1595.0									1.0				
NC_072439.2	-2::NC_072439.2:106244456-106255763(-)	11307	False	0.5001	0				73.0						1810.0			2.0		1810.0										1.0													73.0																							
NC_072439.2	1::NC_072439.2:106244457-106255764(+)	11307	False	0.5	0																	73.0											1.0					1810.0	73.0														1810.0									2.0				
NC_072439.2	-1::NC_072439.2:106244535-106255398(-)	10863	False	0.5001	0				1810.0									1.0																									1810.0																							
NC_072439.2	2::NC_072439.2:106244536-106255399(+)	10863	False	0.5	0																	1810.0																	1810.0																							1.0				
NC_072435.2	-1::NC_072435.2:35210777-35232653(-)	21876	False	0.4887	2	101.0	200.0	70.0	285.0		104.0	64.0	89.0	61.0	33.0	135.0	44.0	112.0	427.0	464.0	536.0	57.0	186.0	220.0	130.0	343.0	75.0	357.0	214.0	102.0	225.0	7.0	92.0	88.0	114.0	353.0	18.0	84.0	78.0	69.0	7.0	83.0	79.0	119.0	88.0	60.0		135.0	94.0	114.0	92.0	189.0	81.0	132.0	8.0	38.0	5.0	68.0	31.0	106.0	46.0	70.0	24.0	72.0	3.0	11.0
NC_072429.2	-1::NC_072429.2:142680906-142691427(-)	10521	False	0.6704	2	19.0	71.0	15.0	20.0	12.0	16.0	60.0	14.0	65.0	15.0	13.0	28.0	99.0	23.0	90.0	35.0	1.0	34.0	58.0	145.0	23.0	19.0	12.0	253.0	12.0	25.0	12.0	15.0	206.0	41.0	55.0	70.0	62.0	88.0	111.0	89.0	90.0	39.0	296.0	6.0	174.0	24.0	237.0	18.0	47.0	20.0	175.0	8.0	90.0	44.0	58.0	9.0	4.0	10.0	81.0	5.0	18.0	26.0	2.0	76.0	24.0
NC_072433.2	-1::NC_072433.2:1798-13666(-)	11868	False	0.5161	0																	1399.0						193.0										385.0	1591.0			1.0											386.0									1.0				
NC_072433.2	3::NC_072433.2:1799-13667(+)	11868	False	0.5162	0				1591.0						385.0			1.0		385.0		1.0			193.0	1.0																	1399.0																							
NC_072433.2	1::NC_072433.2:67270836-67281090(+)	10254	False	0.4135	0	102.0	25.0	62.0	87.0	14.0	35.0	24.0	76.0	23.0	39.0	60.0	10.0	27.0	150.0	34.0	99.0	68.0	133.0	42.0	58.0	71.0	73.0	170.0	151.0	171.0	314.0	11.0	55.0	67.0	77.0	55.0	12.0	21.0	18.0	23.0		121.0	23.0	34.0	48.0	20.0	7.0	22.0	39.0	103.0	54.0	65.0	65.0	29.0	4.0	6.0	3.0	68.0	44.0	29.0	57.0	48.0	8.0	44.0	4.0	16.0
NC_072433.2	2::NC_072433.2:133900369-133912264(+)	11895	False	0.6635	2	43.0	157.0	28.0	112.0	23.0	23.0	81.0	9.0	72.0	11.0	41.0	25.0	265.0	38.0	95.0	44.0	6.0	120.0	35.0	129.0	38.0	27.0	36.0	200.0	41.0	60.0	15.0	32.0	163.0	75.0	93.0	23.0	105.0	143.0	82.0	49.0	121.0	46.0	170.0	28.0	155.0	57.0	204.0	48.0	70.0	65.0	70.0	13.0	19.0	48.0	30.0	14.0	15.0	6.0	35.0	5.0	46.0	24.0	1.0	52.0	84.0
NC_072447.2	3::NC_072447.2:158205572-158215793(+)	10221	False	0.725	1	41.0	1.0	11.0	118.0		96.0	92.0	8.0	93.0			109.0	95.0	32.0	3.0	2.0		54.0	19.0	78.0	65.0	1.0	91.0	75.0			2.0		127.0	95.0	181.0		96.0	233.0	187.0	72.0	1.0		5.0	7.0	300.0	15.0	89.0	144.0	80.0	43.0	60.0	1.0	1.0	113.0	64.0	25.0			2.0	1.0	44.0	5.0	1.0	205.0	124.0
NC_072443.2	-3::NC_072443.2:36413199-36425472(-)	12273	False	0.7279	1	31.0	6.0	8.0	108.0	3.0	135.0	106.0	5.0	162.0	1.0	1.0	55.0	104.0	52.0	7.0	3.0		52.0	32.0	85.0	106.0	1.0	96.0	119.0		1.0	2.0	3.0	162.0	104.0	195.0	2.0	108.0	282.0	219.0	94.0		1.0	11.0	10.0	376.0	19.0	91.0	141.0	120.0	66.0	36.0	3.0	2.0	174.0	85.0	4.0				2.0	48.0	7.0		287.0	158.0
NC_072443.2	-1::NC_072443.2:85711259-85724189(-)	12930	False	0.5766	1	3.0	396.0	16.0	248.0	27.0	12.0	50.0	9.0	30.0	4.0	31.0	36.0	116.0	207.0	526.0	431.0		77.0	25.0	70.0	118.0	15.0	34.0	80.0	45.0	58.0	12.0	26.0	113.0	124.0	111.0	35.0	47.0	40.0	37.0	35.0	59.0	62.0	40.0	24.0	60.0	107.0	112.0	50.0	27.0	56.0	108.0	42.0	84.0	2.0	32.0	24.0	5.0	8.0	33.0	15.0	40.0	23.0	8.0	18.0	27.0
NC_072443.2	1::NC_072443.2:85892640-85907559(+)	14919	False	0.5698	2	1.0	179.0	3.0	210.0		31.0	257.0	47.0	139.0	54.0	101.0	3.0	193.0	146.0	611.0	474.0	2.0	279.0	59.0	1.0	272.0	34.0	131.0	14.0	36.0	33.0	4.0	27.0	91.0	12.0	270.0	12.0	44.0	67.0	36.0	5.0	27.0	52.0	18.0	65.0	60.0	3.0	213.0	8.0	81.0	33.0	94.0	17.0	91.0	2.0	80.0	2.0	7.0	28.0	65.0	8.0	38.0	30.0	10.0	8.0	55.0
NC_072443.2	-3::NC_072443.2:95081058-95091126(-)	10068	False	0.5023	0				1660.0						6.0			11.0		7.0			1.0																				1660.0														11.0									
NC_072443.2	2::NC_072443.2:95081059-95091127(+)	10068	False	0.5022	0																	1660.0																6.0	1660.0														7.0									12.0			11.0	
NC_072443.2	-1::NC_072443.2:95081159-95092469(-)	11310	False	0.5001	0				224.0						1660.0			1.0		1660.0							1.0																224.0																							
NC_072443.2	1::NC_072443.2:95081160-95092470(+)	11310	False	0.5	0												1.0					224.0																1660.0	223.0														1660.0									2.0				
NC_072431.2	3::NC_072431.2:59300618-59313044(+)	12426	False	0.5026	2	7.0	126.0	33.0	123.0	6.0	30.0	66.0	38.0	85.0	11.0	147.0	12.0	160.0	241.0	510.0	394.0	21.0	94.0	97.0	34.0	362.0	13.0	183.0	71.0	15.0	59.0		50.0	23.0	21.0	183.0	33.0	24.0	13.0	71.0	2.0	19.0	23.0	37.0	18.0	28.0	3.0	94.0	9.0	40.0	13.0	60.0	28.0	143.0	2.0	55.0	5.0	36.0	20.0	51.0	22.0	30.0	17.0	21.0	1.0	9.0
NC_072431.2	1::NC_072431.2:59331933-59369352(+)	37419	False	0.5039	2	28.0	448.0	92.0	318.0	22.0	64.0	344.0	160.0	386.0	17.0	548.0	16.0	478.0	724.0	1712.0	748.0	64.0	177.0	192.0	81.0	1184.0	22.0	653.0	333.0	41.0	113.0	14.0	195.0	82.0	65.0	418.0	67.0	62.0	67.0	137.0	23.0	99.0	74.0	95.0	44.0	114.0	15.0	273.0	55.0	93.0	21.0	117.0	38.0	620.0	29.0	116.0	6.0	140.0	33.0	94.0	30.0	53.0	125.0	62.0	5.0	27.0
NC_072431.2	1::NC_072431.2:59397519-59409645(+)	12126	False	0.5506	0	17.0	305.0	34.0	163.0	2.0	42.0	143.0	8.0	86.0	14.0	126.0	9.0	72.0	114.0	298.0	442.0	34.0	143.0	23.0	56.0	138.0	29.0	246.0	69.0	19.0	156.0	31.0	18.0	39.0	13.0	146.0	43.0	5.0	11.0	73.0	30.0	5.0	7.0	37.0	12.0	191.0	3.0	97.0	20.0	79.0	47.0	20.0	42.0	28.0	22.0	61.0	10.0	9.0	5.0	41.0	4.0	39.0	28.0	12.0	6.0	20.0
NC_072431.2	2::NC_072431.2:59434414-59447518(+)	13104	False	0.4922	1	15.0	284.0	15.0	315.0	5.0	71.0	4.0	35.0	7.0	10.0	265.0	2.0	27.0	232.0	344.0	272.0	64.0	149.0	135.0	70.0	415.0	10.0	181.0	64.0	10.0	200.0	19.0	28.0	4.0	124.0	57.0	1.0	10.0	5.0	8.0	2.0	10.0	49.0	28.0	5.0	16.0		99.0	21.0	49.0	54.0	81.0	88.0	46.0	5.0	64.0	1.0	15.0	8.0	109.0	17.0	61.0	11.0	45.0	1.0	26.0
NC_072431.2	3::NC_072431.2:73473386-73492376(+)	18990	False	0.7127	2	26.0	8.0	21.0	180.0	6.0	264.0	137.0	23.0	191.0	4.0	8.0	157.0	209.0	83.0	25.0	11.0	8.0	60.0	38.0	129.0	117.0	1.0	190.0	142.0			14.0		291.0	137.0	309.0	8.0	206.0	435.0	266.0	172.0	4.0	5.0	30.0	19.0	448.0	45.0	194.0	254.0	160.0	90.0	120.0	8.0	6.0	204.0	106.0	30.0		4.0	14.0	12.0	101.0	21.0		382.0	197.0
NC_072431.2	-3::NC_072431.2:73854899-73866491(-)	11592	False	0.7185	2	40.0	4.0	8.0	125.0		115.0	90.0	10.0	126.0	1.0	5.0	105.0	104.0	45.0	5.0	2.0		52.0	28.0	66.0	79.0	3.0	105.0	106.0		3.0	7.0	6.0	167.0	97.0	211.0	1.0	110.0	256.0	200.0	97.0	1.0		14.0	10.0	324.0	17.0	103.0	156.0	104.0	49.0	62.0	6.0		140.0	70.0	21.0			5.0	1.0	54.0	2.0		222.0	124.0
NC_072440.2	-2::NC_072440.2:84628847-84645497(-)	16650	False	0.4372	2	117.0	62.0	91.0	113.0	49.0	94.0	67.0	68.0	60.0	75.0	120.0	33.0	80.0	281.0	70.0	118.0	107.0	274.0	137.0	36.0	106.0	272.0	173.0	233.0	273.0	179.0	13.0	152.0	170.0	37.0	64.0	13.0	79.0	124.0	34.0	28.0	135.0	60.0	70.0	121.0	32.0	27.0	26.0	129.0	81.0	92.0	138.0	51.0	46.0	12.0	11.0	20.0	95.0	48.0	46.0	107.0	75.0	11.0	93.0	12.0	10.0
NC_072436.2	-2::NC_072436.2:124951166-124961546(-)	10380	False	0.5028	0				1573.0						128.0			4.0		137.0						1.0					1.0												1590.0														8.0	1.0								17.0
NC_072436.2	1::NC_072436.2:124951167-124961547(+)	10380	False	0.5027	0									17.0								1573.0											1.0					128.0	1592.0														136.0								2.0	2.0	1.0		8.0	
NC_072425.2	-3::NC_072425.2:2724-13113(-)	10389	False	0.5015	0			1.0														1615.0						2.0										106.0	1625.0														107.0									1.0	6.0			
NC_072425.2	2::NC_072425.2:2725-13114(+)	10389	False	0.5016	0				1617.0						106.0			7.0		107.0			2.0		8.0																		1616.0																							
NC_072425.2	1::NC_072425.2:86145657-86156364(+)	10707	False	0.7172	1	32.0	4.0		101.0		94.0	88.0	1.0	101.0		2.0	71.0	76.0	25.0	28.0	5.0		67.0	46.0	87.0	90.0	2.0	69.0	118.0			2.0		171.0	85.0	197.0	1.0	84.0	203.0	237.0	62.0			8.0	2.0	303.0	9.0	71.0	134.0	117.0	28.0	55.0		1.0	141.0	111.0	32.0			4.0		86.0	6.0	7.0	212.0	93.0
NC_072425.2	-1::NC_072425.2:160041992-160053038(-)	11046	False	0.5003	0		4.0		10.0						1829.0			2.0		1825.0			1.0																				11.0																							
NC_072425.2	1::NC_072425.2:160041993-160053039(+)	11046	False	0.5002	0			1.0			4.0											10.0																1829.0	12.0														1825.0									1.0				
NC_072425.2	-3::NC_072425.2:160042143-160053174(-)	11031	False	0.5001	0				1815.0						22.0			2.0		22.0										1.0							1.0					4.0	1810.0																							
NC_072425.2	2::NC_072425.2:160042144-160053169(+)	11025	False	0.5	0																	1815.0																22.0	1811.0							4.0							22.0									1.0				
NC_072423.2	2::NC_072423.2:37-11296(+)	11259	False	0.5	1				632.0						1243.0			1.0		1244.0																							632.0																1.0							
NC_072423.2	-2::NC_072423.2:51-11295(-)	11244	False	0.5001	0																	632.0																1241.0	633.0														1241.0								1.0					
NC_072423.2	-1::NC_072423.2:91112305-91130197(-)	17892	False	0.4889	2	392.0	56.0	69.0	221.0	9.0	58.0	51.0	142.0	89.0	23.0	54.0	33.0	261.0	84.0	27.0	29.0	35.0	235.0	260.0	230.0	34.0	30.0	50.0	146.0	439.0	204.0	4.0	95.0	38.0	77.0	67.0	4.0	8.0	125.0	40.0	4.0	406.0	69.0	149.0	46.0	201.0	1.0	71.0	15.0	57.0	152.0	306.0	156.0	127.0	8.0	7.0	1.0	74.0	5.0	99.0	50.0	165.0	13.0	34.0	5.0	24.0
NC_072423.2	-2::NC_072423.2:167641908-167651931(-)	10023	False	0.5037	0				1457.0						177.0			1.0		213.0																				36.0			1457.0																							
NC_072423.2	2::NC_072423.2:167641909-167651932(+)	10023	False	0.5036	0																	1457.0																213.0	1457.0													36.0	177.0									1.0				
NC_072423.2	-3::NC_072423.2:167643224-167653856(-)	10632	False	0.5	0				321.0						1451.0					1451.0																							321.0																							
NC_072423.2	1::NC_072423.2:167643225-167653857(+)	10632	False	0.4999	0																	321.0																1451.0	320.0														1451.0									1.0				
