clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_GGG	codon_GTT	codon_AGG	codon_GGT	codon_TAG	codon_TTA	codon_GTA	codon_ACC	codon_TAA	codon_CCC	codon_CCT	codon_AAC	codon_CTA	codon_AGC	codon_TTT	codon_GCC	codon_CCG	codon_AAG	codon_CGT	codon_TAC	codon_CAA	codon_TGG	codon_TTG	codon_GCA	codon_TGA	codon_AGA	codon_TCT	codon_CGA	codon_GAC	codon_CAC	codon_AGT	codon_GGA	codon_CAG	codon_GAG	codon_AAT	codon_ATG	codon_GCG	codon_ACG	codon_TGC	codon_GGC	codon_ACA	codon_GAT	codon_GCT	codon_TCG	codon_AAA	codon_ATC	codon_GTC	codon_CTG	codon_CGG	codon_TTC	codon_TGT	codon_GAA	codon_CCA	codon_CGC	codon_GTG	codon_TCA	codon_TCC	codon_ACT	codon_TAT	codon_ATA	codon_CTC	codon_CTT	codon_ATT	codon_CAT
NC_072430.2	2::NC_072430.2:811-10456	9645	False	0.5011	0							1.0	1583.0		10.0	3.0	11.0	1594.0	12.0						1.0																																												
NC_072430.2	-3::NC_072430.2:816-10455	9639	False	0.501	0									3.0	12.0	1594.0	1583.0						12.0	1.0		8.0																																											
NC_072430.2	-2::NC_072430.2:153280126-153289372	9246	False	0.5001	0		1518.0	1518.0	23.0	22.0																	1.0																																										
NC_072430.2	3::NC_072430.2:153280127-153289373	9246	False	0.5	0	1518.0	23.0	22.0	1.0		1518.0																																																										
NC_072430.2	-3::NC_072430.2:153280257-153291897	11640	False	0.5001	0	1.0	421.0	421.0	1518.0	1518.0																		1.0																																									
NC_072430.2	2::NC_072430.2:153280258-153291898	11640	False	0.5	0	420.0	1518.0	1518.0	2.0		421.0																1.0																																										
NC_072448.2	-3::NC_072448.2:7243394-7270601	27207	False	0.4928	0	3.0	1.0	22.0	3.0	1.0		2.0	7.0		11.0		3.0		1.0	1.0	1.0	1.0	98.0	2.0		1.0	182.0	1.0	6.0	2.0	2257.0	1.0	2.0	1056.0	699.0	4.0	189.0	1053.0	1147.0	2.0	175.0	2.0	2.0	2.0	5.0	1753.0	173.0	1.0	1.0	93.0	2.0	2.0	1.0	2.0	1.0	1.0	88.0	6.0											
NC_072448.2	1::NC_072448.2:7243476-7270779	27303	False	0.4928	0	3.0	2.0	25.0	3.0				6.0		10.0	3.0	1.0	2.0	3.0	3.0	2.0	3.0	95.0	2.0	1.0	1.0	175.0		5.0		2273.0	1.0	5.0	1045.0	701.0	1.0	194.0	1066.0	1128.0	1.0	173.0	2.0	3.0	1.0	8.0	1746.0	177.0	1.0	1.0	88.0	2.0	4.0	1.0	1.0	5.0	1.0	96.0	8.0	1.0	4.0	6.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0
NC_072448.2	-1::NC_072448.2:7243525-7270459	26934	False	0.4923	0	3.0		15.0	1.0				7.0		7.0		1.0						86.0			1.0	172.0	1.0	4.0	1.0	2254.0		1.0	1051.0	706.0		189.0	1045.0	1132.0	1.0	178.0		2.0	1.0	4.0	1734.0	175.0	1.0	2.0	92.0		1.0	2.0	3.0		1.0	94.0	7.0		1.0		1.0					1.0		
NC_072448.2	-2::NC_072448.2:7243611-7270485	26874	False	0.4919	0	2.0	1.0	19.0	1.0				5.0		7.0								93.0				174.0		3.0		2259.0	1.0		1042.0	700.0		190.0	1061.0	1117.0		171.0	1.0			2.0	1742.0	177.0			85.0		1.0		1.0			93.0	6.0		2.0			1.0	1.0					
NC_072448.2	3::NC_072448.2:7243625-7270745	27120	False	0.4922	0	1.0		19.0	2.0			1.0	9.0		9.0		1.0		2.0	3.0	1.0	1.0	97.0		1.0		178.0		5.0		2255.0		2.0	1055.0	696.0	1.0	184.0	1053.0	1145.0	1.0	174.0	1.0	2.0	1.0	3.0	1753.0	172.0	2.0	2.0	92.0	2.0	2.0	1.0	1.0			91.0	9.0			2.0		1.0		1.0	2.0	2.0		2.0
NC_072448.2	2::NC_072448.2:7243639-7270552	26913	False	0.4919	0	2.0		13.0	1.0				7.0		5.0		1.0						86.0				171.0		3.0		2263.0		1.0	1052.0	707.0	1.0	189.0	1047.0	1136.0		178.0		1.0		4.0	1734.0	174.0			92.0				1.0			94.0	7.0			1.0								
NC_072446.2	-3::NC_072446.2:79415333-79423268	7935	False	0.5013	0	1.0	25.0	26.0	1297.0	1288.0																	8.0																																										
NC_072446.2	1::NC_072446.2:79415334-79423269	7935	False	0.5012	0	34.0	1296.0	1288.0	1.0		25.0	1.0																																																									
NC_072446.2	-2::NC_072446.2:79415340-79423125	7785	False	0.5013	0	10.0	1296.0	1288.0				1.0																																																									
NC_072424.2	-1::NC_072424.2:1203-13038	11835	False	0.5	0								1.0	73.0	73.0	1899.0	1899.0																																																				
NC_072424.2	2::NC_072424.2:1204-13039	11835	False	0.5001	0								1899.0		1.0	73.0	73.0	1899.0																																																			
NC_072424.2	-2::NC_072424.2:1568-12965	11397	False	0.5	0								1.0	1899.0	1899.0																																																						
NC_072424.2	1::NC_072424.2:1569-12966	11397	False	0.5001	0										1.0	1899.0	1899.0																																																				
NC_072437.2	-2::NC_072437.2:1476-10929	9453	False	0.5011	0								1.0	415.0	425.0	1150.0	1160.0																																																				
NC_072437.2	2::NC_072437.2:1477-10930	9453	False	0.5012	0								1160.0		1.0	415.0	415.0	1150.0																																								10.0											
NC_072437.2	-3::NC_072437.2:120300020-120310838	10818	False	0.5003	0	2.0	1.0	1.0	1801.0	1801.0																																																											
NC_072437.2	1::NC_072437.2:120300021-120310839	10818	False	0.5002	0	2.0	1801.0	1801.0	1.0		1.0																																																										
NC_072437.2	-2::NC_072437.2:120300027-120311058	11031	False	0.5001	0	1.0	1832.0	1832.0	6.0	6.0																																																											
NC_072437.2	2::NC_072437.2:120300028-120311059	11031	False	0.5	0	1832.0	6.0	6.0	1.0		1832.0																																																										
NC_072441.2	3::NC_072441.2:158-11927	11769	False	0.4998	0								1915.0		1.0	43.0	42.0	1916.0							1.0				1.0											1.0	1.0					1.0				1.0																			
NC_072441.2	-2::NC_072441.2:208-11956	11748	False	0.4995	0								2.0	40.0	39.0	1912.0	1913.0		2.0	1.0														1.0						1.0						1.0				1.0	1.0									1.0								1.0	
NC_072441.2	-3::NC_072441.2:441-11973	11532	False	0.4993	0								1.0	1912.0	1911.0					1.0						2.0					1.0			1.0	2.0			3.0												1.0						2.0		1.0				1.0		1.0	1.0		1.0	1.0	1.0
NC_072441.2	2::NC_072441.2:442-11914	11472	False	0.4999	0											1912.0	1911.0																																	1.0																			
NC_072441.2	-3::NC_072441.2:80570022-80586390	16368	False	0.5706	1	13.0	9.0	55.0	19.0	1.0		74.0	303.0	15.0	252.0	63.0	5.0		22.0	19.0	576.0	13.0	6.0	9.0	2.0	13.0	56.0	221.0	9.0	315.0	797.0	25.0	89.0	6.0	6.0	16.0	329.0	5.0	1.0	3.0	308.0	40.0	75.0	8.0	3.0	33.0	6.0	294.0	86.0	36.0	25.0	16.0	343.0	1.0	25.0	19.0	5.0	14.0	1.0	198.0		215.0	118.0	2.0	126.0	82.0	12.0	17.0	1.0
NC_072441.2	-1::NC_072441.2:146695433-146713406	17973	False	0.5001	0	1.0	1400.0	1400.0	1595.0	1595.0																																																											
NC_072441.2	1::NC_072441.2:146695434-146713407	17973	False	0.5	0	1400.0	1595.0	1595.0	1.0		1400.0																																																										
NC_072441.2	-3::NC_072441.2:146697192-146706765	9573	False	0.5002	0	1.0	1595.0	1595.0																																																													
NC_072441.2	2::NC_072441.2:146697193-146706766	9573	False	0.5001	0	1595.0			1.0		1595.0																																																										
NC_072439.2	-1::NC_072439.2:2712-10515	7803	False	0.5017	0								1.0	402.0	415.0	885.0	897.0								1.0																																												
NC_072439.2	2::NC_072439.2:2713-10516	7803	False	0.5019	0								898.0		1.0	403.0	402.0	885.0																																								12.0											
NC_072439.2	-2::NC_072439.2:106244456-106255763	11307	False	0.5001	0	2.0	73.0	73.0	1810.0	1810.0										1.0																																																	
NC_072439.2	1::NC_072439.2:106244457-106255764	11307	False	0.5	0	73.0	1810.0	1810.0	2.0		73.0																	1.0																																									
NC_072439.2	-1::NC_072439.2:106244535-106255398	10863	False	0.5001	0	1.0	1810.0	1810.0																																																													
NC_072439.2	2::NC_072439.2:106244536-106255399	10863	False	0.5	0	1810.0			1.0		1810.0																																																										
NC_072438.2	-3::NC_072438.2:4901-13502	8601	False	0.5238	0								1.0	484.0	483.0	950.0	744.0																	205.0																																			
NC_072438.2	1::NC_072438.2:4902-13503	8601	False	0.5238	0								949.0			484.0	484.0	744.0																																			205.0														1.0		
NC_072429.2	-1::NC_072429.2:1356-11205	9849	False	0.5161	0								1.0	69.0	70.0	1571.0	1414.0		157.0						1.0																																												
NC_072429.2	2::NC_072429.2:1357-11206	9849	False	0.5162	0								1415.0		1.0	70.0	69.0	1571.0			157.0																																																
NC_072429.2	1::NC_072429.2:1764-11199	9435	False	0.5169	0										2.0	1571.0	1414.0		157.0						1.0																																												
NC_072429.2	-2::NC_072429.2:1769-11198	9429	False	0.5168	0					157.0				1414.0	1572.0																																																						
NC_072433.2	-1::NC_072433.2:1798-13666	11868	False	0.5161	0								1.0	1399.0	1591.0	385.0	386.0													193.0																																					1.0		
NC_072433.2	3::NC_072433.2:1799-13667	11868	False	0.5162	0						1.0		385.0		1.0	1591.0	1399.0	385.0																193.0																													1.0						
NC_072433.2	-3::NC_072433.2:4124-13673	9549	False	0.5203	0									1.0	2.0	1589.0	1397.0																	193.0																													1.0						
NC_072433.2	1::NC_072433.2:4125-13674	9549	False	0.5204	0								1590.0		1.0	1.0	1.0	1397.0																																			193.0																
NC_072433.2	-1::NC_072433.2:142576030-142584793	8763	False	0.5079	0	9.0	1204.0	1214.0	229.0	206.0										1.0																		20.0														26.0		12.0															
NC_072433.2	3::NC_072433.2:142576031-142584794	8763	False	0.5079	0	1233.0	206.0	226.0	2.0		1205.0																																						9.0			23.0									8.0	9.0							
NC_072433.2	-2::NC_072433.2:142577574-142585212	7638	False	0.4999	0		71.0	70.0	1202.0	1203.0																																																											
NC_072433.2	2::NC_072433.2:142577575-142585213	7638	False	0.4997	0	69.0	1202.0	1203.0	1.0		70.0									1.0																																																	
NC_072447.2	1::NC_072447.2:158205435-158213472	8037	False	0.7244	0	178.0	3.0	59.0	56.0				21.0		61.0	89.0			2.0	9.0	60.0	98.0		3.0	1.0	1.0	63.0		72.0		104.0	24.0	9.0	64.0	76.0	1.0	32.0	100.0	72.0		27.0	101.0	59.0	4.0	235.0		39.0	72.0	2.0				4.0	176.0	80.0			50.0	50.0	34.0	57.0	135.0	49.0		3.0	164.0	71.0	5.0	4.0
NC_072447.2	3::NC_072447.2:158205572-158215793	10221	False	0.725	1	233.0	1.0	96.0	44.0			1.0	3.0		95.0	118.0			1.0	11.0	89.0	124.0	1.0	2.0		1.0	109.0		80.0		144.0	32.0	25.0	78.0	92.0		43.0	127.0	75.0		19.0	113.0	64.0	15.0	300.0	2.0	41.0	95.0	5.0		1.0	2.0	5.0	205.0	93.0			54.0	72.0	60.0	91.0	181.0	65.0		1.0	187.0	96.0	8.0	7.0
NC_072447.2	-3::NC_072447.2:165562296-165571041	8745	False	0.4998	0	1.0	237.0	236.0	1219.0	1221.0										1.0																																																	
NC_072447.2	2::NC_072447.2:165562297-165571042	8745	False	0.4997	0	235.0	1219.0	1221.0	2.0		236.0									2.0																																																	
NC_072442.2	-3::NC_072442.2:72967619-72975500	7881	False	0.5002	0	1.0	907.0	907.0	406.0	406.0																																																											
NC_072442.2	1::NC_072442.2:72967620-72975501	7881	False	0.5001	0	907.0	406.0	406.0	1.0		907.0																																																										
NC_072443.2	-2::NC_072443.2:36411550-36419173	7623	False	0.7278	0	66.0		78.0	1.0	1.0			24.0		185.0	70.0	3.0		79.0		233.0	168.0	89.0	41.0			43.0		8.0	64.0	27.0	97.0	5.0		23.0	53.0	112.0	12.0	112.0	3.0	5.0	60.0		63.0	65.0		1.0	2.0	5.0	6.0	24.0	62.0	92.0	100.0		3.0	109.0	57.0	95.0	79.0		45.0	1.0			59.0			11.0
NC_072443.2	-3::NC_072443.2:36413199-36425472	12273	False	0.7279	1	104.0	1.0	108.0	7.0	1.0		2.0	48.0		282.0	108.0	3.0		104.0		376.0	287.0	135.0	85.0	2.0	3.0	52.0	1.0	19.0	96.0	52.0	141.0	7.0		36.0	106.0	195.0	11.0	219.0	5.0	10.0	94.0	2.0	120.0	91.0	3.0	2.0	6.0	4.0	8.0	31.0	85.0	162.0	158.0	1.0	3.0	162.0	55.0	174.0	106.0		66.0	1.0			119.0			32.0
NC_072443.2	-3::NC_072443.2:95081058-95091126	10068	False	0.5023	0	11.0	1660.0	1660.0	7.0	6.0																	1.0																						11.0																				
NC_072443.2	2::NC_072443.2:95081059-95091127	10068	False	0.5022	0	1660.0	7.0	6.0	12.0		1660.0																																											11.0															
NC_072443.2	-1::NC_072443.2:95081159-95092469	11310	False	0.5001	0	1.0	224.0	224.0	1660.0	1660.0																		1.0																																									
NC_072443.2	1::NC_072443.2:95081160-95092470	11310	False	0.5	0	223.0	1660.0	1660.0	2.0		224.0																1.0																																										
NC_072431.2	2::NC_072431.2:73427017-73434565	7548	False	0.7043	2	150.0	2.0	68.0	50.0			3.0	5.0		59.0	69.0	5.0		6.0	7.0	52.0	72.0	8.0	3.0	5.0	3.0	60.0	1.0	65.0		98.0	35.0	4.0	58.0	66.0	1.0	36.0	106.0	74.0	1.0	20.0	90.0	52.0	9.0	207.0	10.0	21.0	67.0	6.0		7.0	5.0	13.0	152.0	83.0		1.0	47.0	47.0	41.0	59.0	121.0	67.0		2.0	128.0	75.0	7.0	7.0
NC_072431.2	2::NC_072431.2:73463077-73471240	8163	False	0.7053	2	176.0	2.0	79.0	41.0		1.0	4.0	12.0		73.0	68.0	1.0	2.0	5.0	14.0	67.0	78.0	2.0	5.0		6.0	58.0	2.0	67.0		99.0	37.0	8.0	59.0	69.0	4.0	44.0	119.0	71.0	1.0	23.0	93.0	51.0	17.0	212.0	8.0	11.0	64.0	11.0	2.0	3.0	3.0	15.0	171.0	90.0	4.0	6.0	43.0	57.0	47.0	74.0	130.0	60.0	2.0	2.0	128.0	100.0	10.0	10.0
NC_072431.2	3::NC_072431.2:73473386-73492376	18990	False	0.7127	2	435.0	8.0	206.0	101.0		8.0	12.0	25.0		209.0	180.0	5.0	4.0	8.0	21.0	194.0	197.0	4.0	14.0	8.0	1.0	157.0		160.0		254.0	83.0	30.0	129.0	137.0	8.0	90.0	291.0	142.0		38.0	204.0	106.0	45.0	448.0	11.0	26.0	137.0	21.0		6.0	14.0	30.0	382.0	191.0	6.0		60.0	172.0	120.0	190.0	309.0	117.0	4.0		266.0	264.0	23.0	19.0
NC_072431.2	-3::NC_072431.2:73854899-73866491	11592	False	0.7185	2	104.0		125.0	5.0	1.0		1.0	54.0		256.0	110.0	6.0		97.0		324.0	222.0	115.0	70.0	1.0	6.0	52.0	3.0	17.0	105.0	45.0	156.0	2.0	5.0	62.0	79.0	211.0	14.0	200.0	10.0	10.0	97.0	7.0	104.0	103.0			4.0	21.0	8.0	40.0	66.0	167.0	124.0	3.0	2.0	126.0	105.0	140.0	90.0		49.0	5.0			106.0	1.0		28.0
NC_072431.2	-2::NC_072431.2:97794432-97802028	7596	False	0.4075	0	11.0		18.0	1.0	16.0		12.0	1.0	5.0			9.0		3.0	1.0	1.0		28.0		4.0	13.0	327.0	8.0	25.0	18.0	159.0		3.0	8.0		10.0	380.0	18.0	139.0	385.0	348.0		10.0	26.0	2.0	10.0	14.0		11.0	42.0	4.0		9.0	5.0		11.0	388.0	1.0	1.0	8.0			4.0	5.0	17.0		1.0	10.0	2.0
NC_072431.2	-1::NC_072431.2:97794469-97802284	7815	False	0.4069	0	13.0		25.0	5.0	12.0		14.0		4.0			8.0		2.0				29.0		6.0	16.0	347.0	8.0	32.0	15.0	170.0		13.0	8.0	1.0	10.0	352.0	19.0	152.0	385.0	376.0		10.0	20.0	2.0	5.0	13.0	1.0	4.0	42.0	1.0		7.0	8.0	2.0	3.0	402.0			9.0			6.0	6.0	25.0			16.0	1.0
NC_072444.2	-2::NC_072444.2:24528065-24535631	7566	False	0.7234	1	66.0	1.0	70.0	3.0	2.0			38.0		163.0	73.0	2.0		61.0		212.0	182.0	88.0	51.0	2.0	1.0	38.0	1.0	4.0	69.0	30.0	101.0	2.0	6.0	36.0	61.0	134.0	5.0	130.0	3.0	3.0	58.0	4.0	67.0	63.0		1.0	5.0	1.0	2.0	10.0	58.0	108.0	83.0	1.0	3.0	84.0	48.0	98.0	69.0		31.0	3.0	2.0		67.0	1.0	1.0	16.0
NC_072436.2	-2::NC_072436.2:124951166-124961546	10380	False	0.5028	0	4.0	1590.0	1573.0	137.0	128.0																										1.0													8.0					17.0	1.0													1.0	
NC_072436.2	1::NC_072436.2:124951167-124961547	10380	False	0.5027	0	1592.0	136.0	128.0	2.0		1573.0	2.0																1.0																					1.0					8.0	17.0														
NC_072436.2	-3::NC_072436.2:124951297-124960594	9297	False	0.5017	0	1.0			1548.0	1533.0																																							16.0															1.0					
NC_072436.2	3::NC_072436.2:124951298-124960595	9297	False	0.5016	0		1548.0	1532.0	1.0																											1.0																		16.0														1.0	
NC_072445.2	-3::NC_072445.2:4211-13022	8811	False	0.4998	0									1245.0	1245.0	223.0	223.0																																	1.0																			
NC_072445.2	1::NC_072445.2:4212-13023	8811	False	0.4999	0								223.0			1245.0	1246.0	223.0																																																			
NC_072445.2	-2::NC_072445.2:5550-13683	8133	False	0.5012	0									100.0	110.0	1245.0	1246.0																																								10.0												
NC_072445.2	2::NC_072445.2:5551-13684	8133	False	0.5013	0								1245.0		1.0	99.0	110.0	1245.0				10.0																																									1.0						
NC_072445.2	-2::NC_072445.2:78301740-78309384	7644	False	0.5003	0	1.0	649.0	649.0	625.0	624.0																																																											
NC_072445.2	2::NC_072445.2:78301741-78309385	7644	False	0.5001	0	649.0	624.0	624.0	1.0		648.0	1.0																1.0																																									
NC_072425.2	-2::NC_072425.2:2125-10321	8196	False	0.5	0								2.0	100.0	99.0	1265.0	1265.0																																									1.0											
NC_072425.2	3::NC_072425.2:2126-10322	8196	False	0.5001	0								1265.0		1.0	100.0	100.0	1265.0								1.0																																											
NC_072425.2	-3::NC_072425.2:2724-13113	10389	False	0.5015	0								1.0	1615.0	1625.0	106.0	107.0													2.0			6.0																	1.0																			
NC_072425.2	2::NC_072425.2:2725-13114	10389	False	0.5016	0								107.0		7.0	1617.0	1616.0	106.0																8.0																								2.0											
NC_072425.2	1::NC_072425.2:86145657-86156364	10707	False	0.7172	1	203.0		84.0	86.0				28.0		76.0	101.0			4.0		71.0	93.0		2.0	1.0	2.0	71.0		117.0		134.0	25.0	32.0	87.0	88.0	2.0	28.0	171.0	118.0		46.0	141.0	111.0	9.0	303.0	5.0	32.0	85.0	6.0		1.0	4.0	8.0	212.0	101.0			67.0	62.0	55.0	69.0	197.0	90.0		7.0	237.0	94.0	1.0	2.0
NC_072425.2	-1::NC_072425.2:160041992-160053038	11046	False	0.5003	0	2.0	11.0	10.0	1825.0	1829.0																	1.0																					4.0																					
NC_072425.2	1::NC_072425.2:160041993-160053039	11046	False	0.5002	0	12.0	1825.0	1829.0	1.0		10.0									1.0																																															4.0		
NC_072425.2	-3::NC_072425.2:160042143-160053174	11031	False	0.5001	0	2.0	1810.0	1815.0	22.0	22.0		1.0								1.0																																															4.0		
NC_072425.2	2::NC_072425.2:160042144-160053169	11025	False	0.5	0	1811.0	22.0	22.0	1.0		1815.0																																		4.0																								
NC_072423.2	2::NC_072423.2:37-11296	11259	False	0.5	1								1244.0		1.0	632.0	632.0	1243.0																																														1.0					
NC_072423.2	-2::NC_072423.2:51-11295	11244	False	0.5001	0									632.0	633.0	1241.0	1241.0								1.0																																												
NC_072423.2	-3::NC_072423.2:4127-13097	8970	False	0.5002	1								1.0	1215.0	1216.0	279.0	279.0																																																				
NC_072423.2	1::NC_072423.2:4128-13098	8970	False	0.5003	1								279.0		2.0	1215.0	1215.0	279.0																																																			
NC_072423.2	-2::NC_072423.2:167641908-167651931	10023	False	0.5037	0	1.0	1457.0	1457.0	213.0	177.0																													36.0																														
NC_072423.2	2::NC_072423.2:167641909-167651932	10023	False	0.5036	0	1457.0	177.0	213.0	1.0		1457.0																																																	36.0									
NC_072423.2	-3::NC_072423.2:167643224-167653856	10632	False	0.5	0		321.0	321.0	1451.0	1451.0																																																											
NC_072423.2	1::NC_072423.2:167643225-167653857	10632	False	0.4999	0	320.0	1451.0	1451.0	1.0		321.0																																																										
