clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_AAC	codon_TAC	codon_CTA	codon_ACC	codon_TAT	codon_CAC	codon_CGC	codon_CAT	codon_CTG	codon_GAA	codon_GGG	codon_AAT	codon_ATC	codon_TGC	codon_GTC	codon_TGT	codon_ATG	codon_AAG	codon_ATA	codon_TCT	codon_ACA	codon_ACG	codon_CCA	codon_GTA	codon_TTA	codon_AGA	codon_TGG	codon_AAA	codon_GGA	codon_GCT	codon_CGT	codon_TTG	codon_TCG	codon_ATT	codon_CAA	codon_GTG	codon_GCA	codon_GAT	codon_TTC	codon_CCC	codon_ACT	codon_AGT	codon_GAG	codon_TCA	codon_GTT	codon_TCC	codon_AGC	codon_CAG	codon_AGG	codon_TTT	codon_GAC	codon_CTT	codon_GCC	codon_CGG	codon_GGC	codon_GGT	codon_CTC	codon_CCG	codon_CGA	codon_GCG	codon_TAA	codon_TGA	codon_TAG
NC_073237.2	-1::NC_073237.2:27666313-27675031	8718	False	0.3931	2	19.0	50.0	34.0		38.0	49.0	32.0	3.0	36.0	76.0	40.0	27.0	62.0	120.0	46.0	53.0	54.0	52.0	55.0	30.0	43.0	37.0	7.0	18.0	13.0		116.0	80.0	90.0	55.0	31.0	8.0	67.0	1.0	122.0	55.0	13.0	8.0	21.0	160.0	36.0	94.0	75.0	19.0		57.0	35.0	47.0	27.0	64.0	136.0	15.0	79.0	19.0	2.0	33.0	29.0	107.0	2.0	5.0	2.0	71.0	106.0	25.0
NC_073246.2	-2::NC_073246.2:59499021-59507247	8226	False	0.5006	1												3.0																					1.0													1037.0				1038.0							332.0							331.0
NC_073246.2	2::NC_073246.2:59499022-59507248	8226	False	0.5005	1												1039.0													1.0	1037.0		1.0																		331.0				331.0							2.0							
NC_073244.2	-3::NC_073244.2:6255187-6266410	11223	False	0.502	0		10.0			2.0		1.0		1.0	2.0	317.0	324.0	15.0		1.0		15.0	533.0	292.0	3.0		3.0	12.0		2.0		67.0	312.0	11.0	577.0		1.0	1.0	2.0	3.0	3.0	19.0	1.0	550.0					52.0		6.0		1.0	1.0	261.0		5.0		2.0	1.0	1.0	5.0	2.0		16.0		4.0	303.0	1.0
NC_073244.2	-2::NC_073244.2:6255194-6266432	11238	False	0.5019	0		14.0					1.0		2.0		296.0	338.0	21.0	1.0	1.0	1.0	13.0	560.0	284.0	5.0	1.0	3.0	12.0	2.0			60.0	277.0	16.0	548.0	1.0		9.0			4.0	18.0	1.0	592.0		1.0	1.0		69.0		2.0		1.0	1.0	284.0		6.0	1.0		1.0	2.0	11.0		1.0	13.0	2.0	1.0	264.0	4.0
NC_073244.2	-1::NC_073244.2:6255255-6266448	11193	False	0.5009	0		7.0			1.0	2.0			1.0		302.0	315.0	19.0	3.0		1.0	12.0	609.0	268.0	3.0		2.0	17.0	1.0	2.0		67.0	297.0	21.0	568.0	1.0		2.0			3.0	19.0	1.0	517.0	1.0			1.0	57.0		1.0			2.0	289.0		9.0			1.0	1.0	14.0	2.0		10.0		2.0	278.0	2.0
NC_073244.2	-3::NC_073244.2:15006751-15029494	22743	False	0.4878	2	86.0	82.0	45.0		74.0	91.0	184.0	15.0	238.0	95.0	62.0	120.0	98.0	101.0	121.0	136.0	543.0	97.0	107.0	31.0	98.0		7.0	41.0	21.0		422.0	197.0	75.0	381.0	215.0	36.0	75.0	3.0	78.0	100.0	63.0		148.0	234.0	85.0	138.0	364.0	64.0		73.0	99.0	119.0	127.0	305.0	106.0	99.0	81.0	63.0	13.0	132.0	473.0	226.0	6.0	17.0	7.0	59.0	372.0	33.0
NC_073244.2	-3::NC_073244.2:15033826-15043543	9717	False	0.4917	2	30.0	37.0	23.0		26.0	30.0	42.0	4.0	72.0	41.0	26.0	69.0	36.0	46.0	80.0	39.0	223.0	33.0	50.0	14.0	57.0		1.0	27.0	12.0		173.0	119.0	38.0	114.0	92.0	23.0	18.0		39.0	46.0	28.0	3.0	50.0	90.0	46.0	95.0	172.0	51.0		38.0	74.0	77.0	46.0	94.0	40.0	48.0	43.0	33.0	7.0	62.0	159.0	86.0	4.0	8.0	1.0	24.0	159.0	21.0
NC_086018.1	-3::NC_086018.1:8564839-8572612	7773	False	0.5564	1	10.0	1.0	5.0			1.0		5.0	3.0	118.0	15.0	90.0	6.0	2.0	91.0	10.0	36.0	338.0	17.0	4.0	12.0	4.0	110.0		5.0		6.0	46.0		83.0	113.0	15.0	5.0		4.0	4.0	53.0	12.0	340.0	1.0		2.0	2.0	73.0		5.0	4.0	5.0	10.0	96.0	2.0	124.0		5.0	54.0	90.0	20.0	2.0	1.0	116.0	77.0	4.0	331.0	3.0
NC_086018.1	3::NC_086018.1:17831075-17840048	8973	False	0.6952	0		101.0	5.0	7.0	28.0	8.0	83.0	3.0	16.0	4.0	22.0	1.0	8.0	113.0	7.0	364.0	1.0	8.0	54.0			13.0	13.0	3.0	10.0				23.0	1.0	239.0		1.0	4.0	7.0	1.0	13.0	75.0	30.0	2.0	49.0	13.0		383.0	2.0	25.0	5.0	2.0	227.0	8.0	3.0	251.0	2.0	416.0	1.0	283.0	25.0	1.0	3.0		24.0			
NC_086018.1	-2::NC_086018.1:17831090-17839793	8703	False	0.7017	0		100.0	1.0		27.0	5.0	81.0	3.0	16.0		22.0	1.0	7.0	112.0	7.0	364.0		2.0	50.0			2.0	7.0	1.0	7.0				23.0	1.0	236.0				7.0	1.0	13.0	72.0	29.0	2.0	49.0	13.0		382.0		24.0	5.0	2.0	227.0		3.0	249.0		416.0	1.0	283.0	25.0				23.0			
NC_086018.1	1::NC_086018.1:19285923-19293849	7926	False	0.6802	0	64.0		2.0	2.0	73.0		183.0	4.0	1.0	72.0	1.0	207.0	1.0	1.0	21.0			2.0	1.0		2.0	3.0	2.0	365.0	1.0	2.0	64.0		1.0		135.0	1.0	1.0	1.0		2.0	1.0	20.0		53.0	133.0	1.0	1.0	171.0	52.0		133.0	64.0	137.0	73.0	4.0	1.0	113.0	1.0	1.0	76.0	1.0	379.0	3.0	8.0	1.0			
NC_086018.1	3::NC_086018.1:19285946-19293812	7866	False	0.6819	0	189.0	1.0	2.0		70.0		73.0	1.0	1.0	21.0		79.0		1.0	20.0		1.0		2.0		1.0	3.0	1.0	139.0		2.0	165.0		1.0	1.0	372.0			4.0		1.0		72.0	1.0	53.0	365.0	2.0	1.0	67.0	107.0	3.0	125.0	65.0	132.0	205.0	2.0		52.0	3.0		70.0		132.0	8.0	5.0	1.0			
NC_086018.1	2::NC_086018.1:19285963-19293832	7869	False	0.6818	0	67.0	2.0	3.0		182.0		72.0	3.0	1.0	22.0		71.0			71.0	2.0	1.0		1.0		2.0	3.0		130.0		2.0	63.0	2.0	1.0	2.0	138.0			1.0	1.0	2.0		21.0		110.0	137.0			72.0	51.0		378.0	168.0	362.0	76.0	4.0		53.0	5.0		206.0	2.0	125.0	5.0	3.0				
NC_073229.2	-3::NC_073229.2:615-8445	7830	False	0.5003	1	873.0	873.0			1.0																																				432.0																					431.0		
NC_073229.2	2::NC_073229.2:616-8446	7830	False	0.5004	1	431.0	431.0		873.0	873.0																																				2.0																							
NC_073229.2	-2::NC_073229.2:191756350-191770492	14142	False	0.5721	0		2.0	1.0		1.0	4.0		1.0	1.0	2.0	1.0	6.0	2.0	2.0	2.0	2.0	183.0	186.0	1.0	1.0		1.0	2.0	1.0	177.0		189.0	937.0	2.0	286.0	3.0	3.0	6.0	2.0	4.0	3.0	929.0	5.0	193.0	2.0			179.0	304.0		2.0	1.0	1.0	4.0	113.0	6.0		1.0		3.0	4.0	765.0		1.0	1.0	1.0	1.0	6.0	178.0
NC_073229.2	-3::NC_073229.2:191756409-191770125	13716	False	0.5738	0		1.0							3.0	1.0	1.0	10.0			4.0	1.0	179.0	183.0	1.0					1.0	178.0		182.0	916.0		292.0	1.0	2.0		4.0			920.0	3.0	183.0			1.0	178.0	284.0		5.0			3.0	104.0	1.0	1.0	1.0		1.0	3.0	732.0				1.0		11.0	180.0
NC_073229.2	-1::NC_073229.2:191756441-191770418	13977	False	0.5744	0									1.0	2.0	1.0	7.0	1.0	1.0		4.0	187.0	192.0	1.0	1.0	1.0				182.0		180.0	928.0	1.0	295.0		1.0	3.0	1.0			939.0	2.0	186.0				184.0	291.0					4.0	120.0		2.0		1.0	2.0	5.0	748.0			1.0	2.0		5.0	177.0
NC_073229.2	-3::NC_073229.2:199443150-199451427	8277	False	0.5002	0												1.0																																		68.0				68.0							1311.0							1311.0
NC_073229.2	2::NC_073229.2:199443151-199451428	8277	False	0.5001	0												68.0														68.0																				1311.0				1311.0							1.0							
NC_073229.2	-2::NC_073229.2:199443391-199451260	7869	False	0.5002	0												1.0																																		1311.0				1311.0														
NC_073229.2	3::NC_073229.2:199443392-199451261	7869	False	0.5001	0												1311.0														1311.0																															1.0							
NC_073230.2	1::NC_073230.2:8362632-8370786	8154	False	0.7055	2	2.0	5.0	3.0		2.0	1.0	23.0	2.0	4.0	7.0	91.0	703.0	1.0		2.0	2.0	1.0	12.0	156.0		2.0	30.0	115.0	11.0			91.0	20.0	72.0	322.0	4.0	2.0	3.0			79.0	5.0	95.0	5.0	4.0	10.0	3.0	3.0	139.0	5.0	2.0	2.0	6.0	9.0	254.0	1.0	147.0	1.0	10.0	160.0	80.0	4.0	3.0	2.0					
NC_073230.2	-1::NC_073230.2:8362730-8370698	7968	False	0.7061	2	1.0				4.0		20.0		1.0	5.0	82.0	712.0	1.0	2.0		1.0	2.0	13.0	179.0	1.0	2.0	29.0	156.0	3.0	2.0		84.0	11.0	76.0	293.0	2.0	1.0		2.0	1.0	75.0	2.0	78.0	9.0	1.0	5.0		1.0	148.0		3.0	1.0	2.0	18.0	235.0	1.0	125.0	3.0	7.0	142.0	97.0	2.0	2.0	2.0	2.0	3.0		2.0	4.0
NC_073230.2	-3::NC_073230.2:8363013-8370960	7947	False	0.7072	2	4.0	3.0	1.0		3.0	1.0	19.0	1.0	5.0	4.0	91.0	702.0	1.0		1.0	2.0		11.0	155.0	1.0		28.0	113.0	4.0			87.0	16.0	69.0	321.0	7.0	1.0	1.0			80.0	3.0	93.0	5.0		3.0	3.0	3.0	137.0			2.0	4.0	13.0	252.0	2.0	147.0	1.0	6.0	155.0	78.0	4.0	4.0	1.0			1.0		
NC_073230.2	-3::NC_073230.2:87646410-87673767	27357	False	0.4978	1	31.0	108.0	35.0		161.0	108.0	283.0	6.0	216.0	3.0	5.0	45.0	60.0	33.0	62.0	142.0	572.0	21.0	162.0	48.0	24.0	3.0	8.0	2.0	12.0		514.0	298.0	13.0	119.0	600.0	116.0	27.0	1.0	19.0	50.0	9.0	2.0	71.0	411.0	4.0	561.0	892.0	17.0		112.0	134.0	287.0	32.0	650.0	19.0	220.0	6.0	18.0	83.0	232.0	795.0	122.0	1.0	12.0		119.0	376.0	27.0
NC_073230.2	-2::NC_073230.2:87697258-87740314	43056	False	0.5586	0	27.0	163.0	17.0		161.0	67.0	63.0	28.0	36.0	119.0	310.0	237.0	13.0	55.0	316.0	216.0	1614.0	11.0	123.0	6.0	52.0	4.0	111.0	31.0	109.0		421.0	482.0	89.0	511.0	1127.0	281.0	132.0	17.0	4.0	35.0	565.0	4.0	60.0	621.0	31.0	410.0	467.0	298.0		21.0	152.0	36.0	108.0	613.0	58.0	142.0	15.0	718.0	79.0	377.0	1089.0	185.0	26.0	115.0	147.0	120.0	854.0	53.0
NC_073230.2	-2::NC_073230.2:87770041-87793822	23781	False	0.5117	1	43.0	14.0	3.0		6.0	28.0	30.0	29.0	58.0	29.0	328.0	372.0	120.0	9.0	24.0	14.0	201.0	32.0	29.0	11.0	24.0	9.0	4.0	4.0	33.0		442.0	52.0	41.0	187.0	404.0	44.0	14.0	1.0	54.0	159.0	340.0	2.0	488.0	25.0	33.0	434.0	863.0	24.0		35.0	4.0	30.0	24.0	159.0	6.0	30.0	87.0	61.0	14.0	184.0	1270.0	292.0	3.0	116.0	12.0	48.0	489.0	2.0
NC_073230.2	-3::NC_073230.2:87793422-87815400	21978	False	0.5067	1	29.0	13.0	14.0		15.0	24.0	52.0	26.0	74.0	37.0	267.0	294.0	105.0	6.0	58.0	26.0	323.0	33.0	25.0	22.0	36.0	5.0	8.0	5.0	51.0		424.0	84.0	26.0	241.0	344.0	60.0	11.0	4.0	64.0	145.0	254.0	3.0	393.0	41.0	25.0	388.0	728.0	47.0		53.0	8.0	46.0	44.0	140.0	16.0	32.0	53.0	36.0	19.0	183.0	1084.0	255.0	7.0	57.0	5.0	55.0	397.0	6.0
NC_073230.2	-2::NC_073230.2:87833989-87843982	9993	False	0.5053	1	21.0	18.0	18.0		25.0	16.0	44.0	2.0	67.0	21.0	85.0	136.0	29.0	6.0	29.0	21.0	267.0	15.0	23.0	16.0	11.0	6.0	1.0	6.0	22.0		192.0	72.0	29.0	134.0	125.0	41.0	9.0	5.0	30.0	39.0	59.0	3.0	126.0	41.0	7.0	122.0	321.0	47.0		19.0	15.0	19.0	28.0	84.0	10.0	38.0	9.0	20.0	11.0	60.0	441.0	76.0		19.0	7.0	12.0	151.0	5.0
NC_073230.2	1::NC_073230.2:164188677-164197260	8583	False	0.5645	1	196.0	10.0	1.0	2.0	100.0		176.0	5.0	154.0		1.0		1.0	144.0		1.0			78.0		192.0	171.0	4.0	164.0			83.0		106.0		1.0				1.0	94.0				1.0	324.0				71.0		281.0		1.0			86.0		3.0				390.0	9.0	10.0				
NC_073230.2	1::NC_073230.2:164199720-164211564	11844	False	0.5653	1	270.0	16.0		1.0	145.0		229.0	8.0	204.0	1.0	4.0			206.0	1.0	2.0	1.0		110.0		263.0	244.0	1.0	228.0		1.0	107.0		146.0		1.0	2.0			2.0	120.0	1.0				456.0	3.0	1.0		105.0		378.0	1.0				131.0		7.0			1.0	531.0	10.0	9.0	1.0			
NC_073230.2	2::NC_073230.2:170793268-170800978	7710	False	0.5003	0			1.0			3.0			1.0			62.0					2.0	1.0		1.0		2.0		1.0	2.0	63.0	2.0			1.0					2.0				1.0							1207.0	2.0	1.0	3.0	1192.0	2.0	1.0			15.0		1.0				1.0			
NC_073230.2	-3::NC_073230.2:170793315-170800977	7662	False	0.5014	0			1.0			2.0			1.0													1.0			1.0		2.0							15.0						1.0			1.0			63.0		1.0	1.0	63.0		1.0			1.0		1207.0							1192.0
NC_073241.2	-3::NC_073241.2:1526-11213	9687	False	0.5025	0	1400.0	1417.0	1.0		2.0				1.0	1.0		1.0	2.0	2.0		1.0	1.0	1.0				2.0					1.0		1.0	2.0	1.0			1.0		1.0	3.0	3.0			187.0	2.0		3.0		1.0		2.0	3.0	1.0	1.0					3.0	1.0		4.0	1.0		172.0	2.0	1.0
NC_073241.2	1::NC_073241.2:1527-11160	9633	False	0.5023	0	172.0	172.0		1399.0	1417.0						2.0			1.0							1.0			16.0	2.0		1.0	3.0	1.0	1.0	2.0		1.0	1.0	1.0			2.0			1.0	1.0		2.0				1.0	3.0	2.0			1.0		1.0					4.0				
NC_073241.2	-1::NC_073241.2:2557-11068	8511	False	0.5019	0					1.0						4.0																		1.0							15.0					1417.0																					1399.0		
NC_073241.2	3::NC_073241.2:2558-11069	8511	False	0.5019	0	1399.0	1417.0											1.0																1.0												15.0																		4.0					
NC_073242.2	-2::NC_073242.2:970-9262	8292	False	0.5019	0	1238.0	1252.0	1.0		2.0																																				128.0																		15.0			128.0		
NC_073242.2	3::NC_073242.2:971-9263	8292	False	0.5021	0	129.0	128.0		1238.0	1253.0																																				1.0																			15.0				
NC_073242.2	2::NC_073242.2:1738-9391	7653	False	0.5022	0	1246.0	1260.0	1.0	14.0	14.0																																				1.0																		15.0					
NC_073242.2	-3::NC_073242.2:1743-9396	7653	False	0.5022	0	14.0	13.0	1.0		1.0						15.0																		1.0				1.0								1261.0																					1244.0		
NC_073242.2	3::NC_073242.2:15563159-15571457	8298	False	0.6183	1	94.0	2.0	1.0	7.0	15.0	20.0	5.0	11.0	3.0	40.0	77.0	8.0	31.0	3.0	1.0	33.0	19.0	11.0	47.0	2.0	2.0	32.0	23.0	184.0	2.0	16.0	14.0	12.0	141.0	3.0	137.0	6.0	5.0	21.0	3.0	41.0	64.0	30.0	85.0	2.0	218.0	47.0		179.0	132.0	4.0	8.0	48.0	63.0	185.0	16.0	102.0	36.0	109.0	132.0	2.0	3.0	80.0	86.0		63.0			
NC_073242.2	-3::NC_073242.2:16322412-16330200	7788	False	0.619	1	171.0	3.0	3.0		3.0	2.0	58.0	62.0	10.0	62.0	2.0	205.0	3.0	80.0	26.0	95.0	30.0	3.0	33.0	19.0	13.0	18.0	6.0	12.0	1.0		2.0	171.0	15.0	8.0	47.0	23.0	38.0		29.0	5.0	5.0	1.0	3.0	70.0	8.0		44.0	76.0		2.0	3.0	130.0	35.0	87.0	133.0	31.0	45.0	2.0	84.0	101.0	14.0	167.0	121.0	22.0	11.0	15.0	122.0	6.0
NC_073242.2	-2::NC_073242.2:21074338-21082198	7860	False	0.6228	1	121.0		3.0		5.0	2.0	34.0	95.0	28.0	58.0	2.0	183.0	3.0	131.0	17.0	78.0	21.0	3.0	54.0	19.0	4.0	35.0	3.0	6.0	1.0		6.0	172.0	15.0	34.0	62.0	10.0	15.0		7.0	6.0	5.0		6.0	73.0		4.0	43.0	134.0		2.0	5.0	135.0	38.0	130.0	101.0	18.0	24.0	2.0	108.0	87.0	5.0	163.0	91.0	38.0	12.0	5.0	158.0	
NC_073242.2	3::NC_073242.2:22128305-22136063	7758	False	0.6396	1	99.0	2.0	1.0		7.0	15.0	5.0	12.0	3.0	46.0	69.0	1.0	7.0	3.0		17.0	24.0	20.0	24.0	2.0	7.0	16.0	11.0	155.0	2.0	5.0	5.0	7.0	123.0	5.0	147.0	4.0	6.0	47.0	3.0	19.0	31.0	15.0	91.0	2.0	176.0	32.0	5.0	176.0	141.0		23.0	80.0	73.0	147.0	11.0	88.0	37.0	104.0	109.0	2.0	5.0	92.0	131.0		96.0			
NC_073242.2	-2::NC_073242.2:26968243-26976550	8307	False	0.6479	0	195.0	4.0	1.0		6.0	2.0	44.0	91.0	3.0	65.0	4.0	195.0	2.0	63.0	15.0	127.0	15.0	3.0	20.0	13.0	2.0	12.0	9.0	20.0	1.0		2.0	178.0	9.0	13.0	113.0	12.0	63.0		10.0	6.0	6.0		2.0	63.0	3.0	6.0	27.0	42.0		2.0	4.0	159.0	58.0	45.0	159.0	12.0	20.0	1.0	162.0	145.0	11.0	184.0	132.0	24.0	6.0	4.0	170.0	4.0
NC_073242.2	-2::NC_073242.2:28370407-28379173	8766	False	0.6294	1	187.0	4.0	2.0		3.0	4.0	62.0	72.0	12.0	71.0	2.0	226.0	3.0	86.0	31.0	112.0	35.0	4.0	36.0	20.0	13.0	19.0	6.0	11.0	1.0		4.0	179.0	16.0	9.0	63.0	23.0	38.0		30.0	7.0	4.0	1.0	2.0	79.0	17.0		43.0	77.0		3.0	3.0	150.0	49.0	95.0	146.0	22.0	46.0	1.0	109.0	136.0	11.0	194.0	144.0	36.0	10.0	15.0	132.0	6.0
NC_073242.2	-3::NC_073242.2:28995258-29003547	8289	False	0.6319	2	184.0	1.0	1.0		3.0	2.0	62.0	87.0	9.0	68.0	2.0	202.0	3.0	75.0	24.0	110.0	28.0	4.0	32.0	19.0	12.0	17.0	5.0	9.0	1.0		2.0	170.0	14.0	9.0	63.0	11.0	44.0		25.0	10.0	6.0	2.0	3.0	71.0	12.0	3.0	43.0	74.0		2.0	3.0	143.0	39.0	86.0	144.0	22.0	40.0	1.0	109.0	125.0	14.0	181.0	141.0	33.0	10.0	13.0	130.0	5.0
NC_073242.2	1::NC_073242.2:29452062-29461818	9756	False	0.652	0	60.0	2.0	2.0	4.0	21.0	16.0	9.0	6.0	4.0	58.0	73.0		12.0	2.0		18.0	16.0	6.0	20.0	2.0	2.0	17.0	14.0	202.0	2.0	4.0	1.0	31.0	184.0	4.0	192.0	10.0	7.0	43.0	2.0	58.0	45.0	11.0	69.0	4.0	224.0	26.0	5.0	240.0	191.0	4.0	19.0	140.0	85.0	219.0	12.0	137.0	26.0	165.0	148.0	2.0	4.0	55.0	198.0		119.0			
NC_073242.2	-2::NC_073242.2:29454103-29462050	7947	False	0.6697	1	3.0	242.0	4.0		43.0	2.0	189.0	136.0	95.0	190.0	3.0	36.0	53.0	2.0	28.0	1.0		10.0	2.0	4.0	1.0	8.0	88.0	19.0	4.0		186.0	49.0	12.0	177.0	3.0	40.0	7.0	6.0	3.0	16.0	7.0	20.0			5.0	3.0	3.0	3.0		2.0		77.0	6.0	34.0	3.0	1.0	2.0	2.0	6.0	155.0	29.0	5.0	328.0	154.0	124.0	6.0	12.0	
NC_073242.2	-3::NC_073242.2:29864931-29873196	8265	False	0.6473	0	191.0	3.0	1.0		5.0	2.0	43.0	96.0	3.0	63.0	3.0	194.0	2.0	63.0	19.0	121.0	16.0	3.0	20.0	13.0	3.0	12.0	8.0	26.0	3.0		2.0	175.0	9.0	16.0	114.0	10.0	64.0		10.0	7.0	7.0		2.0	61.0		7.0	24.0	43.0		2.0	4.0	160.0	55.0	46.0	157.0	13.0	21.0	1.0	161.0	139.0	12.0	185.0	129.0	24.0	6.0	4.0	167.0	5.0
