clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TTC	codon_CTC	codon_TCC	codon_CCC	codon_AGA	codon_TGC	codon_GTC	codon_CCT	codon_CAG	codon_ACA	codon_GAG	codon_TCT	codon_CAC	codon_GGC	codon_GGA	codon_TAC	codon_CCA	codon_CAT	codon_CGA	codon_TCA	codon_GAC	codon_GCT	codon_GAT	codon_ACC	codon_CTG	codon_CTT	codon_AGG	codon_ATT	codon_CCG	codon_ATA	codon_ACG	codon_ATG	codon_GCC	codon_ACT	codon_AGC	codon_TTT	codon_GTT	codon_TTG	codon_AAG	codon_GGG	codon_AAC	codon_CGT	codon_CTA	codon_GAA	codon_CAA	codon_CGG	codon_GCA	codon_TGG	codon_CGC	codon_AGT	codon_ATC	codon_AAA	codon_GTA	codon_GGT	codon_TTA	codon_TGT	codon_TAT	codon_GCG	codon_GTG	codon_TCG	codon_AAT
NC_072421.2	-2::NC_072421.2:1352923-1367350(-)	14427	False	0.5613	0	956.0	102.0	938.0	637.0	2.0	6.0		931.0	2.0	2.0	1.0	92.0	2.0			1.0	5.0	1.0	1.0	2.0	1.0	1.0	3.0	1.0	7.0	905.0		4.0	2.0	1.0	1.0	5.0	1.0	1.0	1.0	59.0	26.0	1.0	3.0	1.0	2.0	37.0		2.0			1.0	3.0			1.0	4.0	1.0	1.0	1.0	5.0	4.0		1.0	39.0	2.0
NC_072421.2	-1::NC_072421.2:1353020-1367336(-)	14316	False	0.5626	0	941.0	126.0	919.0	648.0		1.0	1.0	921.0		1.0	1.0	87.0	1.0		1.0		2.0	3.0	2.0				3.0		8.0	906.0		1.0	1.0	1.0			6.0	3.0	1.0	67.0	40.0	3.0	1.0		1.0	24.0	1.0	2.0	1.0				1.0	1.0	2.0	2.0			2.0	2.0				36.0	1.0
NC_072421.2	-3::NC_072421.2:1353087-1367346(-)	14259	False	0.563	0	931.0	104.0	948.0	617.0		5.0	1.0	956.0	1.0			81.0	1.0					3.0	1.0	3.0		2.0	1.0		1.0	918.0			1.0			1.0	4.0	1.0	1.0	57.0	37.0			1.0		40.0			1.0					1.0	5.0	1.0	1.0			1.0				26.0	
NC_072421.2	2::NC_072421.2:1353172-1362571(+)	9399	False	0.5642	0					59.0				5.0	1.0	64.0			1.0	634.0				22.0				1.0				620.0			1.0	21.0				1.0				601.0	414.0	13.0			631.0	1.0	2.0	4.0				1.0	33.0								1.0	2.0
NC_072421.2	3::NC_072421.2:1353281-1365893(+)	12612	False	0.5653	0					67.0				5.0		112.0			5.0	822.0				32.0		1.0		1.0				823.0				18.0	2.0							814.0	573.0	33.0			838.0	1.0	1.0	1.0				1.0	50.0						1.0		2.0	1.0
NC_072421.2	1::NC_072421.2:1356963-1367256(+)	10293	False	0.5677	0					55.0				1.0		78.0			1.0	691.0				24.0				2.0				690.0				35.0	1.0			1.0				657.0	456.0	31.0			680.0			1.0			1.0	1.0	24.0								1.0	
NC_072407.2	-1::NC_072407.2:15-10503(-)	10488	False	0.4999	0																											17.0										17.0			1730.0														1.0	1731.0						
NC_072407.2	2::NC_072407.2:16-10504(+)	10488	False	0.5	0				1.0				1730.0																16.0										1.0							1731.0		17.0																		
NC_072407.2	-3::NC_072407.2:415-10516(-)	10101	False	0.5	0																											1680.0										1681.0			3.0										1.0					2.0						
NC_072407.2	3::NC_072407.2:416-10517(+)	10101	False	0.5001	0				1.0				2.0																1681.0																	2.0		1681.0																		
NC_072407.2	-1::NC_072407.2:7340106-7349721(-)	9615	False	0.5944	2	246.0	504.0	509.0	395.0		3.0	96.0	423.0	2.0	2.0	1.0	318.0	18.0		2.0	5.0	31.0	28.0		15.0	1.0	1.0	1.0	8.0	8.0	222.0	1.0	5.0	75.0	4.0		2.0		6.0	1.0	108.0	2.0	1.0	2.0	1.0	2.0	81.0	4.0	5.0	4.0		3.0	1.0	2.0	4.0	20.0	2.0	2.0	1.0	6.0	9.0	8.0		1.0	2.0	1.0
NC_072407.2	-3::NC_072407.2:7340176-7349668(-)	9492	False	0.5979	2	233.0	492.0	519.0	397.0	2.0	2.0	81.0	417.0	1.0	3.0		311.0	9.0	1.0	1.0	3.0	35.0	22.0		9.0	2.0	2.0	1.0	6.0	7.0	249.0		4.0	81.0	3.0		3.0	1.0	6.0		104.0			3.0	1.0	2.0	83.0	6.0		3.0		3.0		1.0	1.0	33.0	1.0	1.0			14.0	2.0			2.0	1.0
NC_072407.2	-2::NC_072407.2:7340300-7349729(-)	9429	False	0.5995	2	220.0	504.0	518.0	401.0	1.0	3.0	87.0	400.0	2.0		1.0	338.0	6.0		1.0	5.0	24.0	35.0		4.0		1.0		6.0	14.0	224.0		3.0	83.0			1.0	3.0	14.0		106.0	1.0	3.0		1.0	1.0	75.0	4.0	1.0	2.0	1.0		1.0	1.0	2.0	28.0	4.0			1.0	7.0	1.0		2.0	1.0	1.0
NC_072411.2	2::NC_072411.2:937-8485(+)	7548	False	0.5005	1				3.0				713.0								1.0								543.0																	713.0		543.0																		
NC_072411.2	-2::NC_072411.2:942-8484(-)	7542	False	0.5004	1																											543.0										543.0			715.0															713.0						
NC_072411.2	-1::NC_072411.2:14510521-14518579(-)	8058	False	0.7442	1	1.0	2.0	31.0	317.0	2.0	2.0	1.0	2.0	5.0	175.0	305.0	2.0	3.0	2.0	2.0			1.0		2.0	1.0	176.0	1.0		177.0	1.0	349.0		1.0		27.0	2.0		2.0	68.0	2.0	2.0	1.0	3.0	39.0	1.0		1.0	49.0		312.0	6.0	2.0		107.0		1.0		2.0	1.0		1.0	319.0	176.0		1.0
NC_072411.2	-3::NC_072411.2:14510549-14518523(-)	7974	False	0.7469	0				1.0	2.0	3.0	34.0	68.0	1.0	2.0	523.0	107.0		130.0	349.0	1.0		1.0		2.0	175.0	1.0	1.0	1.0	2.0	2.0	4.0	1.0	173.0				317.0	3.0	193.0						27.0	1.0		1.0	2.0	1.0	3.0	35.0	173.0		1.0			176.0		1.0			1.0	139.0	
NC_072411.2	2::NC_072411.2:14510581-14518471(+)	7890	False	0.7489	0	48.0	303.0		36.0	2.0	4.0		348.0	174.0		2.0		176.0		30.0		1.0					67.0			3.0	1.0	1.0		312.0					107.0	174.0	1.0				317.0	1.0	27.0		1.0			1.0		319.0	1.0						172.0			1.0		
NC_072411.2	3::NC_072411.2:14510603-14518436(+)	7833	False	0.7502	0	1.0	522.0	347.0		107.0		172.0	1.0	1.0					316.0			35.0		139.0		30.0	192.0		174.0			68.0				1.0		129.0				27.0									173.0							1.0	1.0		1.0		173.0			
NC_072411.2	1::NC_072411.2:14510607-14518467(+)	7860	False	0.7496	0			345.0	350.0				301.0	37.0		140.0	2.0		68.0			1.0		1.0	348.0	107.0				175.0	21.0					31.0		1.0	1.0		27.0	1.0			173.0						173.0				1.0								315.0	1.0		
NC_072411.2	-1::NC_072411.2:144465334-144476758(-)	11424	False	0.5004	0				1.0	1.0			851.0													1.0			1050.0	4.0	1.0			1.0												851.0		1046.0									1.0									
NC_072411.2	3::NC_072411.2:144465335-144476759(+)	11424	False	0.5004	0	1.0						4.0													1.0							1051.0									2.0	1045.0			851.0			1.0										1.0	2.0	849.0						
NC_072419.2	-2::NC_072419.2:5967-16329(-)	10362	False	0.5093	0																				88.0							704.0										705.0			1022.0										1.0			9.0		925.0						
NC_072419.2	2::NC_072419.2:5968-16330(+)	10362	False	0.5094	0				1.0				1021.0													88.0			713.0										1.0							925.0		705.0																		
NC_072408.2	2::NC_072408.2:138410764-138420049(+)	9285	False	0.5644	0	7.0	223.0	9.0	1.0		178.0	285.0	76.0	5.0	1.0		516.0	45.0			40.0	1.0					70.0		7.0	501.0	3.0			27.0	1.0		4.0	96.0	85.0	2.0						3.0	23.0	7.0	1.0			48.0		75.0	3.0		1.0	52.0			480.0	4.0	67.0	146.0	1.0	1.0
NC_072408.2	1::NC_072408.2:138412260-138420138(+)	7878	False	0.5677	0	5.0	194.0	9.0		1.0	182.0	241.0	61.0	7.0	1.0		424.0	30.0			45.0	1.0	1.0	1.0			57.0		10.0	419.0	6.0	1.0	1.0	29.0			3.0	73.0	71.0		2.0	1.0	2.0			2.0	19.0	2.0	2.0	1.0		37.0	1.0	60.0	6.0	2.0		33.0	1.0	2.0	382.0	1.0	64.0	131.0		2.0
NC_072408.2	1::NC_072408.2:139075662-139085154(+)	9492	False	0.5613	1	1.0	8.0	16.0	391.0	10.0	12.0		25.0	14.0	638.0	4.0	1.0	704.0			118.0	250.0	93.0		9.0	11.0	1.0		287.0	19.0	2.0	2.0	1.0	20.0	98.0	12.0	5.0	7.0	27.0	5.0	3.0		1.0		1.0	94.0	3.0	25.0	1.0	102.0	2.0	28.0	1.0	25.0		12.0	7.0	17.0			26.0	21.0		2.0		2.0
NC_072401.2	1::NC_072401.2:695163-702972(+)	7809	False	0.4884	0	6.0	53.0	200.0	56.0	3.0	42.0		28.0	9.0	407.0		92.0	443.0	1.0		61.0	253.0	258.0	1.0	3.0	4.0		10.0	81.0	15.0	1.0		8.0	5.0	60.0	2.0	50.0	12.0	4.0	1.0	2.0		2.0			4.0	4.0	60.0		9.0		46.0		4.0		229.0	3.0				2.0	61.0	1.0	4.0	2.0	1.0
NC_072401.2	3::NC_072401.2:701927-711383(+)	9456	False	0.4885	0	5.0	68.0	244.0	65.0	16.0	59.0	3.0	47.0	23.0	493.0		119.0	494.0	1.0		79.0	318.0	322.0	1.0	2.0	2.0	1.0	10.0	89.0	17.0			8.0	7.0	72.0	4.0	51.0	27.0	2.0	5.0			3.0			2.0	2.0	78.0		6.0	1.0	39.0		5.0		277.0				1.0	2.0	78.0		1.0		3.0
NC_072401.2	-2::NC_072401.2:191661956-191669498(-)	7542	False	0.4995	0	4.0	1.0			1.0	3.0	3.0	156.0	2.0	1.0	1.0	8.0	5.0	3.0		1.0	3.0		2.0	3.0	2.0	1.0	1.0	1056.0	3.0	4.0	3.0	2.0				1.0	4.0		2.0	7.0	1.0	2.0			157.0		1054.0		1.0		1.0	3.0		3.0	1.0		2.0	1.0		5.0					
NC_072405.2	-3::NC_072405.2:8762241-8769768(-)	7527	False	0.5688	1	13.0	448.0	17.0	20.0	2.0	158.0	215.0	142.0	10.0	5.0	2.0	638.0	7.0	6.0	1.0	3.0	11.0	4.0	1.0	1.0	9.0	23.0		10.0	338.0	19.0	3.0	1.0	8.0		2.0	1.0	128.0	2.0	4.0	1.0		3.0	1.0	4.0	1.0	2.0	2.0	2.0	3.0	6.0	4.0	5.0		1.0	4.0		1.0	1.0		199.0			14.0	3.0	
NC_072405.2	-2::NC_072405.2:153983869-153993580(-)	9711	False	0.6735	0	76.0	10.0	10.0	1.0	76.0	66.0		76.0	150.0	75.0	150.0		223.0	76.0	75.0	76.0	160.0	1.0	75.0	75.0	74.0			74.0	139.0		75.0		76.0	1.0	152.0		225.0	75.0	149.0		74.0			150.0	1.0	150.0			1.0		66.0	75.0	75.0	1.0		2.0	74.0			1.0		75.0	1.0		
NC_072405.2	-3::NC_072405.2:153983907-153993666(-)	9759	False	0.6741	0	75.0	9.0	11.0		76.0	64.0		76.0	152.0	75.0	151.0		228.0	76.0	74.0	75.0	161.0		76.0	76.0	76.0			76.0	143.0		75.0		75.0		150.0		227.0	76.0	152.0		76.0			151.0		152.0					66.0	75.0	76.0	1.0			76.0					74.0	1.0		
NC_072405.2	-1::NC_072405.2:153983993-153993728(-)	9735	False	0.674	0	76.0	9.0	9.0		75.0	66.0		75.0	150.0	76.0	152.0		227.0	75.0	75.0	75.0	162.0		75.0	75.0	75.0	1.0		76.0	142.0		74.0		75.0		150.0		227.0	75.0	151.0		76.0		1.0	149.0		150.0					65.0	76.0	75.0	1.0			76.0					76.0	2.0		
NC_072417.2	-1::NC_072417.2:0-9136(-)	9136	False	0.5008	0																											1514.0										1519.0	1.0		4.0								3.0						4.0							
NC_072417.2	-2::NC_072417.2:0-9285(-)	9285	False	0.5008	0	1.0				2.0													1.0		2.0							6.0									3.0	15.0	5.0		1535.0		1.0						2.0		1.0					1519.0		2.0				
NC_072417.2	2::NC_072417.2:1-9262(+)	9261	False	0.5011	0				4.0				1522.0		1.0							9.0				2.0			13.0																	1527.0		8.0		1.0																
NC_072417.2	3::NC_072417.2:2-9137(+)	9135	False	0.5008	0				4.0													4.0							1519.0																			1514.0		3.0							1.0									
NC_072402.2	-3::NC_072402.2:49-11809(-)	11760	False	0.4998	0																											162.0									1.0	163.0		1.0	1795.0						1.0								1.0	1796.0						
NC_072402.2	3::NC_072402.2:50-11810(+)	11760	False	0.4999	0				2.0				1794.0																162.0										1.0							1796.0	1.0	162.0									1.0			1.0						
NC_072402.2	-2::NC_072402.2:866-11639(-)	10773	False	0.4999	0																											1794.0									1.0	1794.0													1.0				1.0							
NC_072402.2	1::NC_072402.2:867-11640(+)	10773	False	0.5	0				1.0																				1794.0																			1795.0									1.0									
NC_072402.2	-1::NC_072402.2:178653648-178662882(-)	9234	False	0.6716	1	1.0	289.0	382.0	330.0	1.0	85.0	262.0	204.0	178.0	3.0	3.0	88.0	89.0	5.0	2.0		210.0	37.0		92.0		5.0	1.0	94.0	6.0	4.0	1.0	5.0	49.0		1.0	39.0	6.0		1.0	13.0	4.0	3.0	2.0	4.0	2.0	55.0	1.0	1.0	3.0	89.0	3.0	3.0	1.0	183.0	1.0	2.0	2.0	84.0	5.0		2.0	88.0	51.0	1.0	2.0
NC_072402.2	-3::NC_072402.2:178653748-178662853(-)	9105	False	0.6734	1	3.0	294.0	381.0	318.0	1.0	92.0	263.0	202.0	182.0	2.0	1.0	89.0	92.0	2.0	1.0	2.0	215.0	36.0		86.0	1.0	4.0	4.0	90.0	2.0	3.0	1.0	4.0	55.0			35.0	1.0	2.0	3.0	10.0	1.0			4.0		53.0			4.0	80.0	2.0	4.0	1.0	175.0		4.0		88.0	2.0	1.0	1.0	88.0	49.0		1.0
NC_072402.2	-2::NC_072402.2:178653926-178662845(-)	8919	False	0.6764	1		290.0	383.0	320.0		90.0	258.0	214.0	173.0	1.0		78.0	91.0				215.0	35.0	1.0	89.0				82.0			3.0	2.0	52.0			36.0		2.0	1.0	8.0	1.0				1.0	46.0		2.0		88.0	4.0		1.0	174.0	1.0	2.0	1.0	88.0	1.0	1.0	3.0	80.0	54.0	1.0	
NC_072420.2	-2::NC_072420.2:759-10962(-)	10203	False	0.5017	0							12.0		14.0																		1682.0									1.0	1668.0			1.0												5.0		16.0	2.0						
NC_072420.2	2::NC_072420.2:760-10879(+)	10119	False	0.5004	0	1.0			1.0				2.0																1680.0	12.0	1.0										4.0					2.0		1669.0									1.0									
NC_072420.2	-3::NC_072420.2:764-10871(-)	10107	False	0.5004	0															1.0					12.0																				1680.0												5.0		2.0	1669.0						
NC_072420.2	1::NC_072420.2:765-10872(+)	10107	False	0.5005	0				1.0				1682.0													12.0															5.0					1668.0											1.0									
NC_072409.2	1::NC_072409.2:660-9564(+)	8904	False	0.5043	0		36.0		2.0				62.0								1.0								1420.0																	62.0		1385.0																		
NC_072409.2	-2::NC_072409.2:665-9563(-)	8898	False	0.5042	0																											1421.0										1384.0			62.0														1.0	62.0				36.0		
NC_072409.2	-3::NC_072409.2:1036-9199(-)	8163	False	0.5001	0																																								1360.0														1.0	1360.0						
NC_072409.2	3::NC_072409.2:1037-11111(+)	10074	False	0.5071	0		33.0		1.0				1428.0		1.0			36.0											252.0																	1390.0		217.0																		
NC_072409.2	-1::NC_072409.2:2599482-2608842(-)	9360	False	0.5052	1	141.0	3.0	39.0	141.0	65.0	5.0	94.0	28.0	122.0	263.0	3.0	76.0	428.0	1.0	2.0	96.0	113.0	72.0		127.0	56.0	3.0	1.0	69.0	15.0	98.0	1.0	21.0	47.0	9.0	156.0	7.0	9.0	68.0	8.0	121.0	71.0	3.0	4.0	1.0	3.0	67.0	158.0	1.0	4.0	1.0	47.0		53.0	3.0	148.0	7.0	8.0	3.0	5.0	14.0	4.0	1.0		6.0	
NC_072409.2	-3::NC_072409.2:2599762-2608933(-)	9171	False	0.505	1	103.0	3.0	92.0	84.0	58.0	4.0	58.0	50.0	69.0	341.0	4.0	161.0	353.0	2.0	1.0	72.0	76.0	171.0	1.0	93.0	112.0	4.0	5.0	140.0	14.0	138.0	1.0	15.0	24.0	4.0	91.0	5.0	11.0	48.0	3.0	69.0	42.0		3.0	1.0	7.0	151.0	79.0		8.0	1.0	105.0	2.0	45.0	2.0	76.0	10.0	10.0	5.0	3.0	16.0	5.0	1.0	2.0	2.0	1.0
NC_072404.2	-1::NC_072404.2:5942956-5951236(-)	8280	False	0.4077	0	2.0	1.0	236.0	2.0	2.0	127.0	71.0	117.0		132.0		5.0	120.0			20.0	118.0	20.0	2.0	6.0	5.0	136.0	103.0	131.0	3.0	6.0		12.0	3.0	214.0	5.0	4.0	2.0	248.0	2.0		1.0		6.0		44.0		115.0	6.0	2.0		1.0	6.0	1.0	7.0	271.0	1.0	182.0		1.0		2.0		1.0	3.0	255.0
NC_072404.2	-2::NC_072404.2:6405120-6412713(-)	7593	False	0.6536	1	4.0	157.0	293.0	643.0	129.0	1.0	37.0	183.0	124.0	110.0	1.0	2.0	128.0	2.0	3.0	2.0	92.0	90.0		124.0	1.0		110.0	2.0	4.0			2.0	32.0	1.0	1.0	3.0	4.0		1.0	2.0				3.0		37.0	1.0		1.0		2.0	1.0		1.0	195.0		1.0	1.0							
NC_072404.2	-3::NC_072404.2:6405143-6413150(-)	8007	False	0.6508	1	5.0	188.0	286.0	662.0	129.0	8.0	40.0	181.0	120.0	131.0	4.0	2.0	126.0	4.0	4.0	3.0	78.0	92.0		113.0	2.0	4.0	130.0	2.0	10.0	2.0	4.0	1.0	39.0	2.0		3.0	6.0	1.0	6.0	1.0		3.0	4.0	6.0	2.0	33.0	1.0	4.0	7.0	2.0	3.0	6.0			197.0	2.0		3.0		2.0	1.0	1.0	2.0		1.0
NC_072404.2	-1::NC_072404.2:6405196-6412963(-)	7767	False	0.6497	1		181.0	293.0	658.0	113.0	6.0	31.0	160.0	132.0	125.0	1.0	3.0	112.0	1.0	1.0	1.0	88.0	76.0		131.0	2.0		126.0	6.0	1.0		4.0	7.0	37.0	2.0		2.0	5.0		4.0		2.0	2.0	5.0	1.0	2.0	37.0		1.0	2.0		3.0	1.0	1.0	1.0	212.0	2.0	1.0	1.0		1.0	2.0	1.0			2.0
NC_072404.2	2::NC_072404.2:6937054-6946003(+)	8949	False	0.6392	1	2.0	3.0	9.0	11.0	99.0	61.0	7.0	3.0	160.0	80.0	102.0	5.0	150.0	89.0	101.0	44.0	97.0	55.0	97.0	6.0	97.0	7.0		2.0	50.0	1.0	100.0	1.0	2.0	43.0	184.0	5.0	91.0	57.0	141.0	4.0	1.0		103.0	103.0	3.0	6.0		101.0	3.0	87.0	190.0	2.0	136.0	22.0	1.0	103.0	1.0				1.0	132.0	20.0		2.0
NC_072404.2	1::NC_072404.2:173440323-173450298(+)	9975	False	0.5957	1	7.0	299.0	148.0	187.0	3.0	3.0	18.0	298.0	148.0	693.0		22.0	694.0	3.0		56.0	5.0	38.0		137.0	3.0	5.0	1.0	1.0		8.0	8.0			23.0	35.0		126.0	13.0	138.0	3.0		2.0	1.0		2.0	34.0			1.0	22.0	28.0	3.0	23.0	1.0	1.0		29.0	21.0					1.0	32.0	1.0
NC_072412.2	-3::NC_072412.2:459-10710(-)	10251	False	0.5	0																											1687.0										1687.0			21.0														1.0	21.0						
NC_072412.2	2::NC_072412.2:460-10711(+)	10251	False	0.5001	0				1.0				21.0																1687.0																	21.0		1687.0																		
NC_072412.2	-1::NC_072412.2:488-10613(-)	10125	False	0.5	0																																								1687.0														1.0	1687.0						
NC_072412.2	1::NC_072412.2:489-10614(+)	10125	False	0.5001	0				1.0				1687.0																																	1687.0																				
NC_072398.2	-3::NC_072398.2:169-10204(-)	10035	False	0.5	0																											1661.0									1.0	1660.0			11.0										1.0			1.0		9.0		1.0				
NC_072398.2	3::NC_072398.2:170-10628(+)	10458	False	0.5027	0		2.0		3.0				42.0		1.0			1.0			1.0				1.0	11.0			1697.0	14.0																29.0		1682.0									2.0									
NC_072398.2	-1::NC_072398.2:246-10218(-)	9972	False	0.5004	0											1.0																1.0													1660.0														2.0	1659.0				1.0		
NC_072398.2	2::NC_072398.2:247-10237(+)	9990	False	0.5007	0		1.0		3.0				1662.0					2.0							1.0				1.0																	1660.0																				
NC_072398.2	3::NC_072398.2:96981866-96993533(+)	11667	False	0.5729	1	6.0	1.0	235.0	11.0	22.0	7.0	7.0	36.0	240.0	19.0	65.0	571.0	161.0	432.0	152.0	67.0	36.0	204.0	59.0	231.0	9.0	24.0	11.0	12.0	5.0	6.0	38.0	1.0	3.0	3.0		4.0	7.0	12.0	206.0	30.0	2.0	10.0	10.0	176.0	8.0	53.0	1.0	24.0	140.0	15.0	5.0	13.0	27.0	81.0	3.0	7.0	1.0	200.0	14.0	24.0	85.0		6.0	37.0	14.0
NC_072416.2	3::NC_072416.2:87196907-87205628(+)	8721	False	0.617	0	4.0	104.0	131.0	272.0		6.0	35.0	8.0	1.0	29.0		108.0	503.0			8.0	416.0	127.0	1.0	38.0	1.0	2.0	1.0	334.0	4.0	2.0	3.0	3.0	93.0	1.0	27.0	10.0		78.0	3.0	4.0		2.0	1.0	1.0	3.0	1.0	46.0	1.0			106.0	2.0	77.0		211.0				2.0	3.0	91.0		2.0		1.0
NC_072416.2	1::NC_072416.2:87196920-87205575(+)	8655	False	0.6178	0	2.0	78.0	160.0	328.0		11.0	2.0	3.0		20.0		88.0	469.0	1.0		7.0	374.0	116.0		106.0	1.0			359.0	2.0	2.0		4.0	32.0	2.0	95.0	12.0	4.0	39.0		2.0		1.0				93.0	111.0		3.0	1.0	80.0	1.0	26.0		201.0		1.0	1.0	2.0	4.0	41.0				
NC_072422.2	3::NC_072422.2:33985409-33994241(+)	8832	False	0.5575	0	118.0	13.0	137.0	11.0	1.0	161.0	212.0	293.0	2.0	2.0		263.0	2.0	2.0	4.0	4.0	9.0	7.0			2.0	12.0	2.0	1.0	336.0	27.0	2.0	94.0		1.0	1.0	3.0	151.0	5.0	3.0	9.0	8.0	11.0	1.0	171.0		1.0	199.0	1.0		2.0		172.0	2.0	1.0	121.0	3.0	1.0	170.0	8.0	47.0	126.0	1.0	5.0	3.0	
NC_072422.2	1::NC_072422.2:33985464-33994323(+)	8859	False	0.5583	0	113.0	8.0	217.0	8.0	1.0	109.0	206.0	285.0	1.0	1.0	2.0	245.0	1.0	1.0	2.0	7.0	8.0	11.0		3.0	1.0	10.0	4.0	1.0	334.0	27.0		52.0		2.0	1.0	1.0	153.0	5.0	1.0	13.0	8.0	7.0	2.0	210.0		2.0	205.0		1.0	3.0	4.0	175.0			78.0	1.0	1.0	136.0	5.0	70.0	199.0	1.0	8.0	2.0	1.0
NC_072422.2	-2::NC_072422.2:35287088-35295107(-)	8019	False	0.5604	1	1.0	4.0	2.0	1.0	51.0		1.0	1.0	1.0	6.0	61.0		2.0	3.0	515.0			2.0	20.0	2.0	1.0	1.0	1.0		3.0	2.0	502.0	4.0		3.0	12.0	3.0	2.0		2.0	2.0	1.0		488.0	366.0	15.0	2.0	2.0	504.0	3.0		3.0	3.0		2.0		46.0	3.0	1.0	1.0	1.0	2.0	1.0	6.0	1.0	11.0
NC_072422.2	3::NC_072422.2:35287361-35295359(+)	7998	False	0.5594	0	502.0	61.0	516.0	366.0	2.0	3.0		502.0	2.0	2.0	1.0	55.0	3.0			2.0	5.0	2.0		1.0	1.0		1.0	1.0	2.0	494.0		4.0		1.0	1.0	5.0		2.0	1.0	49.0	15.0		3.0	1.0	2.0	13.0		2.0			1.0	3.0			1.0	4.0	1.0	1.0	1.0	5.0	3.0		1.0	20.0	2.0
NC_072422.2	1::NC_072422.2:35287365-35295195(+)	7830	False	0.5625	0	510.0	60.0	501.0	353.0			1.0	525.0	1.0			48.0	1.0				1.0	2.0		3.0		1.0		3.0	1.0	495.0			1.0			1.0	2.0		1.0	46.0	13.0			1.0		20.0	1.0		1.0					1.0	3.0	1.0	1.0							11.0	
