clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_GTC	codon_CTG	codon_CCC	codon_TCA	codon_AGC	codon_CAG	codon_TAC	codon_ACT	codon_TCC	codon_CTC	codon_CAC	codon_ACA	codon_CTT	codon_TTC	codon_TTT	codon_TGC	codon_CCA	codon_TCG	codon_GGC	codon_ACC	codon_TCT	codon_AAA	codon_CAT	codon_AAC	codon_CGT	codon_GCC	codon_ATC	codon_CGA	codon_CAA	codon_AAT	codon_CTA	codon_AGA	codon_CCG	codon_GCT	codon_GCA	codon_TTA	codon_CGC	codon_ATT	codon_TGT	codon_TAT	codon_TTG	codon_ACG	codon_ATA	codon_ATG	codon_GGT	codon_GAC	codon_GTT	codon_AGT	codon_GAA	codon_GGA	codon_AGG	codon_GTG	codon_TGG	codon_GAG	codon_GAT	codon_GTA	codon_GGG	codon_CGG	codon_AAG	codon_TAG	codon_GCG	codon_TGA	codon_TAA
NC_072382.2	2::NC_072382.2:1176157-1190443	14286	False	0.6347	2	42.0	48.0	152.0	268.0	35.0	133.0	80.0	28.0	236.0	346.0	65.0	68.0	381.0	33.0	47.0	23.0	50.0	163.0	20.0	121.0	677.0	27.0	43.0	8.0	51.0	12.0	315.0	73.0	4.0	8.0	12.0	21.0	10.0	34.0	62.0	102.0	1.0	24.0	6.0	22.0	1.0	10.0	178.0	5.0	70.0	22.0	44.0	5.0	39.0	36.0	19.0	68.0	116.0	54.0	72.0	3.0	5.0	105.0	11.0	26.0		22.0		
NC_072382.2	-1::NC_072382.2:1179957-1187493	7536	False	0.6257	1	62.0	19.0	7.0	106.0		176.0	52.0	75.0	35.0	71.0	235.0	618.0	22.0	19.0	8.0		46.0	37.0		64.0	78.0	4.0	7.0	57.0	91.0	1.0	8.0	5.0		20.0	4.0		24.0	1.0	58.0	1.0		15.0	3.0	21.0	2.0	18.0				21.0	159.0	5.0	20.0	37.0	1.0	25.0		31.0	17.0	12.0		22.0	35.0	45.0	7.0	1.0	4.0	
NC_072386.2	3::NC_072386.2:2993540-3001250	7710	False	0.3995	0	36.0	4.0	4.0	10.0	41.0	2.0	6.0	24.0	24.0	326.0	10.0	120.0	87.0	33.0	363.0	72.0	26.0	304.0	9.0		6.0	28.0	10.0	319.0	4.0	34.0	2.0	22.0	6.0	34.0	30.0	15.0	6.0	22.0	2.0	23.0	30.0	5.0	335.0	7.0	18.0	19.0	13.0	12.0	6.0	1.0	5.0	36.0	5.0	3.0	1.0		1.0			5.0	1.0			3.0				
NC_072386.2	2::NC_072386.2:7604269-7611958	7689	False	0.3981	0	38.0	4.0	6.0	13.0	29.0	2.0	14.0	22.0	21.0	335.0	11.0	119.0	68.0	34.0	357.0	79.0	23.0	319.0	7.0		9.0	23.0	9.0	301.0	7.0	15.0	7.0	22.0	4.0	46.0	30.0	18.0	4.0	14.0		21.0	27.0	4.0	339.0	2.0	18.0	33.0	5.0	20.0	5.0		4.0	51.0	6.0	2.0	1.0		1.0	2.0		10.0						2.0		
NC_072390.2	-2::NC_072390.2:5555-15794	10239	False	0.5234	1	1415.0			284.0							2.0	5.0				1.0									1432.0			1.0		1.0	2.0								1.0								112.0	1.0	2.0						1.0									153.0
NC_072390.2	1::NC_072390.2:5556-15858	10302	False	0.5221	1	153.0	2.0		1.0	4.0				1.0		3.0		1.0			2.0		18.0		1.0	1548.0		1.0		154.0							1412.0	1.0	112.0	2.0	1.0	2.0		3.0		2.0	3.0	1.0	2.0			1.0	1.0		1.0										1.0				
NC_072390.2	-3::NC_072390.2:7543-15736	8193	False	0.5298	1				1365.0														1.0			1.0								112.0	18.0																																		1234.0
NC_072390.2	3::NC_072390.2:7544-15842	8298	False	0.528	1	1237.0			131.0							2.0	6.0		1.0	1.0	3.0	1.0			1.0			1.0		1254.0			1.0		1.0	2.0	1.0	1.0				1.0		2.0	1.0							112.0	1.0	2.0					1.0	1.0	1.0								
NC_072393.2	1::NC_072393.2:4562511-4577508	14997	False	0.5677	1	293.0	25.0	2.0	685.0	118.0	92.0	125.0	224.0	58.0	341.0	405.0	149.0	129.0	3.0	119.0		3.0	415.0	2.0		204.0	276.0	11.0	183.0	4.0	12.0	132.0	220.0	11.0	129.0	153.0	245.0	4.0	38.0		6.0		15.0	139.0	4.0	5.0		1.0	8.0			1.0		5.0							3.0			2.0					
NC_072393.2	2::NC_072393.2:4567480-4575133	7653	False	0.5683	1	151.0	9.0	2.0	364.0	69.0	55.0	66.0	127.0	29.0	162.0	203.0	105.0	59.0	2.0	68.0			181.0			89.0	150.0	2.0	88.0	5.0	13.0	54.0	123.0	8.0	91.0	55.0	110.0	3.0	16.0	3.0		1.0	3.0	64.0	2.0	2.0			4.0		1.0	2.0		2.0				2.0			3.0				3.0				
NC_072393.2	3::NC_072393.2:4574201-4582085	7884	False	0.5701	1	149.0	12.0	6.0	352.0	67.0	68.0	47.0	105.0	37.0	213.0	203.0	97.0	73.0	5.0	65.0		3.0	158.0		1.0	123.0	149.0	1.0	116.0	4.0	15.0	69.0	83.0	1.0	87.0	87.0	113.0		21.0	7.0			2.0	45.0	3.0	3.0		2.0	5.0		1.0	4.0		1.0	3.0	2.0	3.0	2.0	1.0	1.0	9.0				4.0				
NC_072393.2	-3::NC_072393.2:9195524-9212183	16659	False	0.489	2	60.0	102.0	71.0	66.0		90.0	94.0	32.0	107.0	75.0	168.0	141.0		58.0	163.0	81.0	89.0	36.0	3.0	102.0	53.0	73.0	54.0	171.0	59.0	34.0	40.0	75.0	15.0	74.0	70.0		321.0	7.0	164.0			9.0	62.0	396.0	62.0	57.0	3.0	22.0	67.0	331.0	77.0	48.0	265.0	52.0	267.0	208.0	45.0	152.0	51.0	110.0	16.0	92.0	4.0	74.0	26.0	5.0	270.0	34.0
NC_072393.2	-3::NC_072393.2:9216467-9226130	9663	False	0.4921	2	30.0	39.0	39.0	49.0		68.0	44.0	25.0	94.0	73.0	87.0	41.0		40.0	87.0	38.0	79.0	29.0		61.0	28.0	57.0	37.0	69.0	37.0	14.0	37.0	46.0	8.0	47.0	40.0		167.0	2.0	93.0	1.0		3.0	41.0	226.0	27.0	20.0	4.0	12.0	33.0	158.0	57.0	40.0	177.0	30.0	112.0	92.0	26.0	122.0	55.0	47.0	11.0	65.0	8.0	47.0	17.0	1.0	162.0	22.0
NC_072385.2	3::NC_072385.2:2813-11108	8295	False	0.5138	0	1190.0	1.0		4.0	1.0							96.0						1.0		1.0	180.0			1.0	1092.0			1.0				181.0		1.0				2.0					1.0				6.0				1.0	3.0				1.0			1.0					
NC_072385.2	1::NC_072385.2:7756602-7765911	9309	False	0.3959	0	39.0	6.0	1.0	18.0	48.0	2.0	8.0	36.0	34.0	399.0	14.0	139.0	112.0	54.0	472.0	76.0	28.0	346.0	8.0		13.0	23.0	6.0	385.0	9.0	22.0	5.0	4.0	3.0	47.0	40.0	28.0	6.0	16.0	5.0	26.0	29.0	3.0	399.0	5.0	32.0	35.0	27.0	19.0	5.0	2.0	5.0	38.0	5.0	2.0	1.0	1.0		1.0	1.0	8.0	5.0			1.0		1.0		
NC_072385.2	-1::NC_072385.2:12844475-12852515	8040	False	0.4062	0		9.0	12.0			3.0	7.0	2.0	10.0				9.0		1.0	13.0	30.0	1.0	4.0	4.0	1.0	4.0	79.0	4.0	40.0	20.0	2.0	8.0	9.0	17.0	347.0		21.0	2.0	1.0	31.0		1.0	24.0	88.0	19.0	33.0	49.0	16.0	299.0	19.0	6.0	6.0	21.0	360.0	324.0	34.0	134.0	330.0	22.0	17.0	35.0	17.0	5.0	39.0	9.0	2.0	52.0	28.0
NC_072385.2	-2::NC_072385.2:15436744-15444946	8202	False	0.3939	0	2.0	4.0	3.0			3.0	4.0	2.0	6.0		1.0		8.0	4.0	7.0	10.0	42.0		7.0		2.0	2.0	80.0	6.0	25.0	17.0		8.0	2.0	25.0	364.0		20.0		2.0	30.0			40.0	95.0	17.0	35.0	24.0	36.0	347.0	8.0	7.0	2.0	26.0	388.0	380.0	37.0	101.0	298.0	26.0	9.0	29.0	12.0	14.0	39.0	19.0	6.0	33.0	20.0
NC_072385.2	-3::NC_072385.2:103639377-103650225	10848	False	0.4182	0		1.0	38.0	1.0		60.0	96.0	237.0	94.0		2.0	291.0	353.0		2.0	4.0	1.0	21.0		5.0	1.0	2.0	155.0	61.0			45.0		37.0	21.0	163.0		128.0		1.0	55.0		1.0		154.0	2.0	9.0	87.0	113.0	176.0	46.0	2.0	9.0	101.0	96.0	34.0	56.0	194.0	18.0	191.0	45.0	175.0	11.0		7.0	1.0	1.0	210.0	2.0
NC_072385.2	-2::NC_072385.2:103639411-103650247	10836	False	0.4177	0			95.0	1.0		38.0	88.0	283.0	59.0	1.0		184.0	421.0			6.0		45.0		13.0		2.0	100.0	106.0	2.0	1.0	28.0	1.0	86.0	51.0	169.0		131.0	1.0		37.0			1.0	161.0	3.0	7.0	51.0	153.0	116.0	30.0	16.0	10.0	69.0	131.0	21.0	56.0	183.0	47.0	238.0	24.0	108.0	21.0	1.0	4.0		1.0	208.0	3.0
NC_072385.2	-1::NC_072385.2:103639424-103650215	10791	False	0.4181	0	1.0		59.0			97.0	125.0	260.0	37.0			260.0	410.0			9.0		28.0		5.0			137.0	82.0	3.0	2.0	21.0		51.0	35.0	142.0		130.0			30.0			1.0	239.0		6.0	38.0	167.0	132.0	80.0	11.0	3.0	58.0	151.0	26.0	45.0	184.0	36.0	219.0	64.0	73.0	14.0					125.0	1.0
NC_072383.2	-2::NC_072383.2:108019915-108028492	8577	False	0.5934	1	91.0	85.0	49.0	66.0		16.0	5.0	2.0	6.0	124.0	7.0	23.0	1.0	108.0	81.0	73.0	78.0	95.0	37.0	11.0	2.0	17.0		69.0		50.0	68.0	3.0	2.0		1.0		4.0	9.0	37.0	7.0		6.0	7.0	203.0	7.0	124.0	25.0		72.0	110.0	8.0	86.0	61.0	5.0	95.0	24.0	246.0	184.0	95.0	4.0	2.0	212.0	24.0	5.0	3.0	16.0	8.0	
NC_072383.2	3::NC_072383.2:108287585-108295184	7599	False	0.4387	2	207.0	3.0	21.0	21.0	9.0	1.0	1.0	10.0	298.0	38.0	3.0	4.0	3.0	26.0	50.0		3.0	278.0		1.0	653.0	6.0	3.0	3.0	4.0		28.0	101.0	1.0	3.0	2.0	162.0	4.0	1.0	5.0	2.0	135.0	1.0	387.0				5.0	19.0	7.0	4.0	1.0	1.0	3.0	2.0	1.0	2.0		1.0	1.0		2.0	3.0	1.0	2.0				
NC_072383.2	2::NC_072383.2:108288361-108296605	8244	False	0.4373	1	79.0	2.0	20.0	133.0	4.0			430.0	98.0	84.0	1.0	438.0		18.0	21.0	1.0	19.0	191.0			289.0	23.0		160.0	2.0		12.0	37.0		4.0	1.0	95.0					97.0	3.0	157.0	1.0	302.0			8.0			4.0	6.0	3.0							4.0	1.0							
NC_072383.2	-3::NC_072383.2:132175485-132184293	8808	False	0.5091	0																			1.0	33.0																				2.0						1430.0		3.0				3.0		44.0				2.0			1418.0			
NC_072383.2	2::NC_072383.2:132175486-132184294	8808	False	0.509	0																																			33.0		3.0									1.0		1432.0				1418.0						48.0	1.0					
NC_072383.2	-2::NC_072383.2:132175504-132184300	8796	False	0.5091	0																																			33.0											1.0		1432.0				1418.0						46.0	1.0		1.0			
NC_072383.2	3::NC_072383.2:132175505-132184301	8796	False	0.509	0															1.0																	33.0					1385.0					46.0				1.0		1.0				1.0						1464.0						
NC_072381.2	-1::NC_072381.2:1899525-1907898	8373	False	0.3846	0	2.0					2.0		679.0	2.0		4.0	2.0	425.0	1.0		1.0	3.0			1.0	661.0	2.0	6.0		2.0			27.0		1.0	2.0				1.0	27.0			2.0		1.0	1.0	1.0	264.0				2.0	1.0	1.0		1.0	1.0			1.0	660.0						2.0	2.0
NC_072381.2	3::NC_072381.2:1899593-1907948	8355	False	0.3853	0						27.0		1.0	5.0			1090.0	3.0							1.0		1.0	3.0	291.0	1.0	1.0		2.0		3.0	2.0	1.0					3.0			1.0		1.0		680.0	2.0	1.0			662.0						1.0					2.0				
NC_072381.2	1::NC_072381.2:1899672-1908033	8361	False	0.3855	0	1.0					1.0		678.0	1.0	2.0	4.0	2.0	426.0	1.0			3.0				662.0	1.0	2.0	1.0	1.0			30.0			1.0	1.0	2.0			27.0	1.0		2.0	2.0	2.0	1.0	1.0	263.0	1.0		1.0	2.0		1.0		1.0	2.0			1.0	658.0			1.0				
NC_072381.2	3::NC_072381.2:137690549-137701628	11079	False	0.5547	1	5.0	6.0	11.0	4.0	2.0	4.0	6.0	1.0	7.0	2.0	5.0	1.0	4.0	4.0	3.0	2.0	1.0	3.0		2.0	7.0	4.0	5.0	2.0	6.0	1.0	3.0	469.0		2.0		3.0	2.0	1.0	4.0	10.0			3.0	7.0		3.0	226.0	6.0	1085.0	4.0	5.0	3.0	2.0	1.0	8.0	12.0	1321.0	10.0	4.0	1.0	1.0	43.0	2.0	3.0		351.0		
NC_072381.2	-2::NC_072381.2:137690870-137701595	10725	False	0.5552	0	1.0	3.0	4.0	1.0		3.0	2.0	1.0	2.0	1.0	3.0		3.0	1.0	2.0		1.0	1.0			6.0	1.0	1.0	1.0	2.0	1.0	2.0	469.0		1.0			1.0		2.0	6.0			2.0	3.0		2.0	226.0	5.0	1082.0	1.0	2.0		1.0		4.0	8.0	1314.0	1.0	3.0	1.0	1.0	42.0	1.0	3.0		351.0		
NC_072381.2	2::NC_072381.2:137690992-137701819	10827	False	0.5534	0	1.0	2.0	2.0		3.0	1.0	3.0	2.0		1.0		227.0	3.0	2.0		1.0				358.0		1.0		12.0	1.0	233.0	3.0	3.0		2.0	11.0		2.0		7.0	1.0	1.0	2.0		1.0				1.0	9.0	1085.0	4.0	3.0	8.0	1.0	1.0	1.0	10.0	5.0	3.0	1547.0	1.0	42.0		2.0				
NC_072381.2	-3::NC_072381.2:137691013-137701645	10632	False	0.5546	0		1.0					2.0			1.0		226.0	1.0	1.0						357.0		1.0		12.0	1.0	233.0		1.0		2.0	10.0				7.0			2.0		1.0					3.0	1079.0	3.0	1.0	7.0	1.0			4.0	2.0	2.0	1539.0		42.0		2.0				
NC_072381.2	-2::NC_072381.2:139192589-139202909	10320	False	0.5065	0																1.0																														144.0		1508.0				1511.0		1.0			3.0	66.0			206.0			
NC_072381.2	1::NC_072381.2:139192782-139202910	10128	False	0.5062	0																1.0																					1507.0									64.0		115.0				179.0					2.0	1508.0						
NC_072381.2	-3::NC_072381.2:139193692-139202737	9045	False	0.5002	0																																														1507.0												1.0			1507.0			
NC_072381.2	3::NC_072381.2:139193693-139202738	9045	False	0.5001	0																																														1.0		1507.0				1507.0												
NC_072391.2	-2::NC_072391.2:10915-20746	9831	False	0.5147	1	991.0			648.0				1.0													2.0		1.0		989.0																									140.0														505.0
NC_072391.2	3::NC_072391.2:10916-20747	9831	False	0.5148	1	506.0			4.0																	990.0				646.0							991.0		140.0																														
NC_072391.2	-3::NC_072391.2:5548707-5558754	10047	False	0.76	2	123.0	1.0	125.0	366.0		1.0	121.0	1.0	2.0	123.0	122.0	3.0	1.0	1.0	1.0		122.0	2.0	2.0	123.0	120.0	123.0	1.0	1.0	1.0	1.0	1.0	4.0	121.0		1.0		121.0	121.0	121.0	122.0		123.0	2.0	1.0	1.0		2.0	3.0	1.0	1.0	1.0	1.0		1.0	4.0	123.0	6.0	3.0	122.0	3.0	1.0	726.0	1.0		1.0	1.0	1.0	121.0
NC_072391.2	3::NC_072391.2:5548805-5558828	10023	False	0.7614	2	244.0	123.0	4.0	245.0	121.0	1.0	123.0	1.0	1.0	2.0	122.0	120.0		1.0	2.0		3.0	1.0	121.0	242.0		1.0	1.0	1.0		4.0	363.0	1.0		1.0	1.0	121.0	121.0	4.0	3.0			1.0	1.0		2.0			1.0	1.0	3.0	1.0	1.0	2.0		1.0	243.0	124.0	126.0	2.0	3.0	1.0	364.0	122.0	121.0		122.0		
NC_072391.2	2::NC_072391.2:5548816-5558665	9849	False	0.7641	2	121.0		122.0	362.0	121.0	241.0				1.0	242.0		1.0		1.0		121.0	121.0	1.0	1.0	1.0	1.0					122.0		1.0	121.0					122.0	1.0		121.0	1.0	2.0	1.0					240.0					1.0				243.0	1.0		604.0		121.0		123.0		
NC_072391.2	-3::NC_072391.2:5582139-5593644	11505	False	0.7608	2	141.0	1.0	143.0	421.0		1.0	139.0	1.0	2.0	141.0	140.0	3.0	1.0	1.0	1.0		140.0	2.0	2.0	141.0	138.0	141.0	1.0	1.0	1.0	1.0	1.0	4.0	139.0		1.0		139.0	138.0	139.0	140.0		141.0	2.0	1.0	1.0		2.0	3.0	1.0	2.0	1.0			1.0	4.0	141.0	6.0	3.0	140.0	3.0	1.0	834.0	1.0		1.0	1.0	1.0	139.0
NC_072391.2	3::NC_072391.2:5582237-5593718	11481	False	0.762	2	280.0	141.0	4.0	282.0	139.0	1.0	141.0	1.0	1.0	2.0	140.0	138.0		1.0	2.0		3.0	1.0	139.0	278.0		1.0	1.0	1.0		4.0	416.0	1.0		1.0	1.0	139.0	139.0	4.0	3.0			1.0	1.0		2.0			1.0	1.0	2.0	1.0	1.0	2.0		1.0	279.0	142.0	144.0	2.0	3.0	1.0	419.0	140.0	139.0		140.0		
NC_072391.2	2::NC_072391.2:5582248-5593555	11307	False	0.7643	2	139.0		140.0	417.0	139.0	277.0				1.0	278.0		1.0		1.0		139.0	139.0	1.0	1.0	1.0	1.0					140.0		1.0	139.0					140.0	1.0		138.0	1.0	2.0	1.0					276.0					1.0				279.0	1.0		694.0		139.0		141.0		
NC_072391.2	3::NC_072391.2:6116519-6124562	8043	False	0.7651	2	164.0	63.0	36.0	233.0	98.0	72.0	63.0			1.0	135.0	64.0	1.0				35.0	36.0	63.0	127.0	1.0						225.0			36.0		63.0	63.0		36.0			36.0		1.0						70.0						127.0	64.0	63.0	72.0	1.0		369.0	63.0	99.0		101.0		
NC_072391.2	1::NC_072391.2:6702588-6711516	8928	False	0.7621	2	213.0	105.0	9.0	225.0	107.0	11.0	104.0	1.0		2.0	114.0	101.0		1.0	2.0		9.0	5.0	102.0	205.0	1.0	2.0		1.0		4.0	310.0			5.0	1.0	102.0	103.0	4.0	8.0	1.0		7.0	1.0		1.0			1.0	1.0	11.0	1.0	1.0	3.0		1.0	206.0	104.0	107.0	13.0	3.0	1.0	338.0	102.0	107.0		109.0		
NC_072391.2	3::NC_072391.2:6702992-6711353	8361	False	0.7644	2	103.0		103.0	309.0	102.0	203.0	1.0			1.0	205.0				1.0		104.0	102.0	1.0	1.0	1.0	2.0					102.0		1.0	102.0			1.0	1.0	104.0	2.0		102.0	1.0	1.0	1.0					203.0					1.0	1.0			206.0			514.0		102.0		103.0		
