clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TCT	codon_AGG	codon_GTT	codon_TTA	codon_GGG	codon_GGT	codon_CCT	codon_AAC	codon_CTA	codon_ACC	codon_GAT	codon_TAT	codon_GCA	codon_TGC	codon_TTG	codon_GGA	codon_ATA	codon_GTG	codon_GAG	codon_GCT	codon_TTT	codon_ATT	codon_AGT	codon_AGC	codon_AAG	codon_CCA	codon_TTC	codon_ATG	codon_CAT	codon_AAT	codon_AGA	codon_CTT	codon_AAA	codon_GGC	codon_GTA	codon_TGT	codon_TCG	codon_TCC	codon_ACA	codon_CGC	codon_CAA	codon_ATC	codon_TAC	codon_CAC	codon_CCC	codon_CTC	codon_ACT	codon_TGG	codon_CTG	codon_TCA	codon_CCG	codon_CAG	codon_CGA	codon_GAC	codon_CGT	codon_GTC	codon_GCG	codon_GAA	codon_GCC	codon_ACG	codon_CGG
NC_072001.2	-3::NC_072001.2:7192098-7197762(-)	5664	False	0.4077	0	10.0	2.0	32.0	14.0		1.0	17.0	5.0	17.0	10.0	4.0	15.0	18.0	19.0	21.0	1.0	6.0	1.0		5.0	47.0	242.0	3.0		4.0	221.0	270.0	4.0	221.0	15.0	5.0	38.0	4.0	1.0	3.0	5.0	7.0	246.0	67.0	9.0	22.0	15.0	18.0	83.0	9.0	7.0	20.0		2.0	28.0	11.0	7.0	10.0	3.0	20.0	5.0	1.0	4.0	2.0	9.0	2.0
NC_072001.2	-3::NC_072001.2:7197765-7203228(-)	5463	False	0.4064	0	10.0	1.0	28.0	16.0		1.0	16.0	5.0	11.0	7.0	6.0	11.0	18.0	17.0	17.0	1.0	6.0			5.0	38.0	248.0	4.0	1.0	3.0	225.0	259.0	7.0	204.0	19.0	5.0	43.0	6.0	1.0	3.0	5.0	8.0	242.0	59.0	6.0	25.0	7.0	19.0	76.0	13.0	4.0	17.0	1.0	2.0	26.0	9.0	6.0	8.0	3.0	24.0	4.0	1.0	3.0	1.0	9.0	1.0
NC_072001.2	2::NC_072001.2:7329286-7334527(+)	5241	False	0.3908	0	12.0		10.0	19.0		1.0	17.0	4.0	7.0	8.0	5.0	20.0	19.0	12.0	7.0		9.0			2.0	44.0	245.0	4.0			214.0	241.0	1.0	208.0	30.0	1.0	34.0	9.0			2.0	6.0	244.0	72.0	2.0	19.0	16.0	19.0	77.0	9.0	11.0	14.0	1.0	3.0	32.0	6.0	4.0	2.0	3.0	11.0	4.0		4.0	1.0	2.0	
NC_072001.2	-2::NC_072001.2:7396474-7401691(-)	5217	False	0.4023	1	18.0	1.0	21.0	20.0	1.0		23.0	2.0	11.0	8.0	2.0	18.0	17.0	18.0	11.0		10.0			1.0	51.0	212.0	4.0		2.0	213.0	237.0	5.0	220.0	20.0	1.0	30.0	6.0		2.0	6.0	10.0	241.0	59.0	4.0	21.0	13.0	17.0	66.0	10.0	16.0	21.0		2.0	25.0	6.0	3.0	2.0	1.0	18.0	2.0			2.0	9.0	
NC_072001.2	3::NC_072001.2:8297720-8302874(+)	5154	False	0.3954	0	20.0		15.0	13.0			22.0	6.0	18.0	14.0	3.0	17.0	8.0	14.0	10.0	1.0	17.0			2.0	41.0	216.0	4.0			200.0	255.0	6.0	217.0	26.0		29.0	5.0				4.0	227.0	75.0	2.0	33.0	10.0	13.0	75.0	8.0	8.0	11.0		3.0	25.0	6.0	5.0	5.0	3.0	11.0	2.0		2.0	8.0	3.0	
NC_072001.2	-1::NC_072001.2:32344880-32357606(-)	12726	False	0.6707	1	2.0	2.0		1.0		2.0	333.0	4.0	1.0	265.0		4.0	2.0	1.0	1.0		4.0	1.0		5.0	1.0		11.0	107.0	2.0	281.0	93.0		122.0	1.0	7.0	86.0	3.0	1.0		1.0	2.0	279.0	285.0	2.0	4.0	128.0	2.0	526.0	930.0	251.0	3.0	2.0	4.0	215.0	2.0	122.0	1.0	8.0	2.0	16.0		1.0	112.0	1.0	
NC_072001.2	-2::NC_072001.2:32345332-32357440(-)	12108	False	0.6721	1	1.0						349.0		1.0	241.0		2.0			1.0		4.0						6.0	105.0		274.0	85.0	1.0	117.0		5.0	93.0	3.0		1.0	1.0		251.0	270.0		2.0	117.0		506.0	893.0	237.0	2.0			214.0	3.0	124.0		6.0	4.0	12.0			105.0		
NC_072001.2	-3::NC_072001.2:32349327-32357496(-)	8169	False	0.6678	1	1.0	1.0					222.0	2.0		158.0				1.0						1.0	1.0		11.0	74.0		166.0	72.0	1.0	83.0		1.0	76.0				1.0		173.0	179.0	2.0	1.0	80.0	2.0	341.0	594.0	168.0	1.0	1.0	1.0	145.0		79.0		4.0		6.0		1.0	72.0	1.0	
NC_072001.2	3::NC_072001.2:43523219-43528385(+)	5166	False	0.3616	1	47.0	14.0	31.0	33.0	12.0	16.0	35.0	32.0	18.0	26.0	77.0	21.0	24.0	5.0	30.0	31.0	48.0	12.0	46.0	36.0	42.0	53.0	47.0	17.0	42.0	29.0	16.0	41.0	32.0	104.0	28.0	17.0	96.0	7.0	25.0	42.0		15.0	47.0	1.0	50.0	16.0	6.0	14.0	11.0	7.0	56.0	6.0	18.0	37.0	1.0	31.0	3.0	36.0	3.0	17.0		94.0	17.0	4.0	
NC_072001.2	1::NC_072001.2:45618624-45628863(+)	10239	False	0.5128	2	117.0	98.0	43.0	38.0	52.0	38.0	116.0	42.0	26.0	57.0	91.0	20.0	61.0	36.0	55.0	53.0	18.0	58.0	143.0	85.0	47.0	26.0	78.0	99.0	79.0	103.0	38.0	50.0	51.0	66.0	60.0	44.0	67.0	63.0	32.0	40.0	10.0	72.0	66.0	5.0	63.0	29.0	18.0	64.0	70.0	52.0	75.0	33.0	81.0	70.0	12.0	153.0	9.0	73.0	9.0	34.0	7.0	133.0	76.0	5.0	4.0
NC_072001.2	2::NC_072001.2:46440679-46449346(+)	8667	False	0.5577	2	58.0	33.0	18.0	21.0	66.0	23.0	102.0	20.0	31.0	47.0	72.0	20.0	51.0	13.0	22.0	46.0	7.0	64.0	222.0	76.0	20.0	16.0	36.0	67.0	140.0	116.0	32.0	30.0	21.0	21.0	25.0	37.0	76.0	60.0	19.0	13.0	5.0	59.0	60.0	21.0	30.0	39.0	23.0	29.0	90.0	47.0	47.0	30.0	85.0	57.0	15.0	84.0	12.0	96.0	16.0	36.0	6.0	131.0	96.0	9.0	25.0
NC_072001.2	-2::NC_072001.2:94846624-94852288(-)	5664	False	0.5724	1	12.0		31.0	1.0			4.0	10.0	2.0	708.0			3.0	4.0	1.0					7.0	1.0	10.0	1.0	7.0	1.0	19.0	16.0	3.0	19.0	2.0	1.0	1.0			1.0	19.0	2.0	274.0	14.0		2.0	161.0	22.0	109.0	8.0	28.0	227.0		2.0	4.0	1.0	1.0	1.0	6.0	1.0	87.0			33.0	21.0	
NC_072001.2	2::NC_072001.2:104367583-104373439(+)	5856	False	0.5632	1	2.0	4.0	2.0		3.0		82.0	2.0	23.0	185.0	1.0	64.0	83.0	80.0	2.0	3.0	88.0	26.0	7.0	3.0	1.0	2.0	2.0	2.0	4.0	80.0	2.0	17.0	48.0			4.0	1.0		18.0	26.0		4.0	277.0	18.0	3.0	3.0	74.0	386.0	176.0	3.0	5.0	2.0	70.0	4.0	14.0	4.0	1.0		21.0	2.0	13.0	1.0	2.0	2.0	
NC_072001.2	3::NC_072001.2:104367713-104373053(+)	5340	False	0.5627	1	1.0	1.0				1.0	75.0	1.0	19.0	172.0		58.0	78.0	70.0	1.0		93.0	26.0	1.0		1.0			2.0		78.0		17.0	63.0		2.0				16.0	26.0		1.0	257.0	14.0	1.0		68.0	345.0	175.0	2.0	1.0	1.0	56.0	2.0	19.0	1.0		2.0	14.0		11.0		5.0	3.0	
NC_072001.2	1::NC_072001.2:104367831-104373477(+)	5646	False	0.5641	1	4.0				1.0	1.0	87.0	2.0	19.0	157.0		46.0	74.0	83.0			94.0	18.0	1.0	1.0	1.0	1.0			1.0	77.0	1.0	23.0	61.0		1.0	1.0	1.0		24.0	18.0		6.0	282.0	12.0		2.0	84.0	376.0	182.0	1.0	4.0	2.0	60.0		21.0	2.0			24.0	2.0	16.0	2.0	4.0	2.0	
NC_072001.2	-1::NC_072001.2:105323240-105328715(-)	5475	False	0.5089	0							96.0	120.0	768.0	789.0																											1.0				3.0				11.0						17.0		19.0					1.0			
NC_072001.2	1::NC_072001.2:105323241-105328716(+)	5475	False	0.5087	0		768.0	788.0	95.0	120.0	4.0									7.0				1.0								18.0								1.0		1.0											3.0													19.0
NC_072001.2	-3::NC_072001.2:105324162-105330237(-)	6075	False	0.5001	0							961.0	962.0	51.0	50.0																																			1.0																
NC_072001.2	2::NC_072001.2:105324163-105330238(+)	6075	False	0.4999	0		51.0	50.0	961.0	961.0	1.0															1.0																																								
NW_026946739.1	-1::NW_026946739.1:205245-214887(-)	9642	False	0.76	2	116.0	118.0	1.0	116.0	352.0	115.0	118.0		1.0	2.0	4.0	3.0	117.0	117.0		118.0	1.0	3.0	118.0	1.0	1.0	1.0	2.0	116.0	1.0	3.0	1.0	1.0	1.0	2.0	118.0			1.0	1.0	1.0	116.0	4.0	1.0	1.0		3.0	1.0	6.0	696.0	117.0		2.0	116.0	1.0		120.0	2.0	1.0	2.0	1.0	118.0		118.0	1.0	116.0
NW_026946739.1	3::NW_026946739.1:205343-214961(+)	9618	False	0.7614	2	1.0	233.0	1.0		350.0	2.0	234.0		116.0		3.0	2.0		3.0		1.0	1.0	119.0	2.0	3.0		1.0	2.0	1.0	116.0	1.0	2.0	1.0	1.0	1.0	116.0	1.0	1.0	232.0	1.0		116.0	2.0		1.0	1.0	1.0	1.0	115.0	236.0	117.0	1.0	121.0	4.0	116.0	4.0	118.0		1.0	4.0	118.0	116.0		348.0		117.0
NW_026946739.1	2::NW_026946739.1:205354-214798(+)	9444	False	0.7641	2	1.0				579.0	230.0	116.0			1.0	1.0	1.0	1.0	116.0		1.0			233.0	117.0		1.0		231.0	116.0	116.0	1.0							1.0		2.0	1.0	1.0	1.0	115.0	116.0				348.0	232.0			117.0	116.0			1.0				118.0		117.0		
NC_072005.2	2::NC_072005.2:1231528-1236697(+)	5169	False	0.7352	2	11.0	15.0	1.0	1.0	43.0	8.0	18.0	16.0	2.0	41.0	10.0	3.0	28.0	25.0	4.0	14.0	1.0	53.0	94.0	19.0	6.0	2.0	8.0	75.0	47.0	29.0	17.0	11.0	6.0	2.0	4.0	10.0	5.0	80.0	3.0	4.0	34.0	62.0	8.0	62.0	4.0	22.0	11.0	27.0	109.0	30.0	7.0	11.0	105.0	9.0	62.0	58.0	14.0	58.0	8.0	16.0	57.0	7.0	141.0	23.0	62.0
NC_072005.2	3::NC_072005.2:3940337-3946946(+)	6609	False	0.5134	1	4.0		1.0				53.0	1.0	5.0	109.0		6.0					57.0						55.0			156.0	53.0		100.0			49.0				2.0		106.0	517.0			54.0	49.0	583.0	57.0	2.0	1.0		1.0	58.0	3.0	56.0			6.0	54.0			2.0	3.0	
NC_072005.2	1::NC_072005.2:3940956-3947022(+)	6066	False	0.5132	1	6.0	1.0	1.0	1.0			48.0		6.0	102.0		6.0		1.0			53.0				1.0		49.0			143.0	45.0		88.0			44.0						95.0	478.0		1.0	48.0	48.0	528.0	57.0	1.0	2.0			51.0	1.0	49.0			6.0	61.0				1.0	
NC_072005.2	1::NC_072005.2:4573635-4580682(+)	7047	False	0.5709	1	134.0	3.0	1.0			2.0	127.0	4.0	94.0	98.0	5.0	1.0	1.0	8.0	1.0	2.0	6.0	1.0	1.0	4.0		48.0	2.0	61.0	1.0	139.0	65.0	1.0	77.0	63.0	3.0	2.0	1.0	1.0		5.0	1.0	161.0	57.0	6.0	92.0	84.0	100.0	100.0	314.0	200.0	35.0	1.0	8.0	67.0	14.0	55.0	4.0	3.0	7.0	14.0		3.0	60.0		1.0
NC_072005.2	3::NC_072005.2:4573724-4580960(+)	7236	False	0.5687	1	132.0	4.0	2.0	1.0	3.0		141.0	5.0	100.0	86.0	2.0	3.0	7.0	8.0	1.0	8.0		4.0	8.0	1.0	2.0	66.0	3.0	49.0	5.0	206.0	58.0	8.0	79.0	60.0	3.0	1.0	4.0	3.0	2.0	3.0	2.0	141.0	57.0	7.0	66.0	109.0	105.0	78.0	314.0	188.0	29.0	3.0	12.0	57.0	13.0	66.0	5.0	5.0	11.0	13.0		4.0	52.0	5.0	2.0
NC_072005.2	-1::NC_072005.2:8984121-9000780(-)	16659	False	0.4887	2	321.0	60.0	59.0	35.0	65.0	53.0	208.0	48.0	26.0	330.0	75.0	22.0	89.0		73.0	76.0	62.0	141.0	168.0	90.0	55.0	70.0	107.0	164.0	58.0	151.0	51.0	170.0	67.0	64.0	72.0	73.0	80.0	40.0	32.0		14.0	267.0	396.0	5.0	57.0	111.0	16.0	44.0	92.0	52.0	265.0	36.0	94.0	271.0	5.0	71.0	3.0	103.0	3.0	77.0	9.0	164.0	101.0	35.0	7.0
NC_072005.2	-1::NC_072005.2:9005064-9014835(-)	9771	False	0.4921	2	168.0	30.0	37.0	23.0	48.0	28.0	98.0	41.0	17.0	164.0	46.0	12.0	80.0	1.0	50.0	75.0	27.0	40.0	92.0	69.0	37.0	40.0	95.0	91.0	40.0	121.0	30.0	71.0	32.0	41.0	56.0	46.0	38.0	37.0	25.0		7.0	113.0	235.0	1.0	20.0	47.0	11.0	27.0	65.0	55.0	178.0	29.0	43.0	160.0	10.0	42.0		40.0	3.0	57.0	3.0	90.0	59.0	14.0	2.0
NC_072005.2	-1::NC_072005.2:18481428-18492363(-)	10935	False	0.5923	2	98.0	70.0	31.0	14.0	72.0	52.0	53.0	41.0	49.0	99.0	25.0	31.0	63.0	32.0	41.0	37.0	23.0	151.0	121.0	72.0	17.0	22.0	54.0	120.0	83.0	199.0	30.0	101.0	48.0	24.0	36.0	22.0	33.0	90.0	28.0	33.0	10.0	157.0	47.0	26.0	53.0	44.0	49.0	53.0	129.0	39.0	79.0	44.0	106.0	65.0	46.0	179.0	15.0	52.0	8.0	53.0	27.0	22.0	175.0	23.0	29.0
NC_072005.2	-2::NC_072005.2:19797770-19804265(-)	6495	False	0.6419	1	422.0	2.0	2.0		2.0	1.0	297.0	4.0	3.0	1.0	4.0			4.0	1.0	5.0	1.0	2.0	2.0	2.0	3.0	1.0	5.0	1.0	1.0	4.0	4.0		3.0	2.0	1.0	2.0	1.0	5.0		8.0	3.0	298.0	1.0	1.0	1.0	2.0	1.0	3.0	310.0	716.0	3.0	5.0	8.0	2.0	1.0	5.0		3.0			1.0		4.0		1.0
NC_072005.2	2::NC_072005.2:19797850-19804060(+)	6210	False	0.6457	1	1.0	294.0			311.0	1.0						1.0	1.0	1.0		293.0		1.0	712.0	2.0	1.0		2.0	1.0	2.0	1.0			1.0	1.0	423.0		1.0	1.0	3.0				2.0				1.0	1.0			1.0			1.0	2.0	3.0	1.0	1.0		1.0					1.0
NC_072005.2	-1::NC_072005.2:19797873-19804044(-)	6171	False	0.6471	1	421.0		1.0		1.0		298.0			3.0	1.0			2.0		1.0				1.0	2.0						1.0							1.0				290.0	1.0		1.0		1.0		306.0	717.0			3.0	1.0					1.0				2.0		1.0
NC_072005.2	1::NC_072005.2:19797903-19804245(+)	6342	False	0.6427	1	1.0	298.0	1.0	3.0	307.0	5.0	1.0	1.0			1.0		2.0		2.0	292.0		1.0	716.0				1.0	2.0	1.0	4.0	2.0	1.0	1.0		424.0	1.0	4.0	3.0	1.0	4.0		1.0	1.0		1.0	2.0	1.0	2.0	2.0	2.0		4.0	1.0	3.0	1.0	5.0		1.0	1.0	1.0		2.0	1.0	2.0	
NC_072005.2	-3::NC_072005.2:19797913-19804219(-)	6306	False	0.643	1	424.0		2.0		2.0	1.0	293.0	1.0	1.0	1.0			1.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0		1.0	2.0		2.0	1.0	4.0	1.0		4.0	3.0	1.0		2.0	2.0	1.0	294.0	1.0		1.0	1.0	4.0	2.0	311.0	712.0	3.0	1.0	2.0	1.0	2.0			2.0		1.0			2.0		
NC_072005.2	-1::NC_072005.2:43253046-43276110(-)	23064	False	0.4577	0				1.0	1.0	1.0	2.0	1.0	1.0	312.0	1.0		1.0	1.0		1.0	1.0	794.0		74.0	2.0	768.0	771.0	255.0	1.0	1.0		2.0	3.0	3.0			1.0			1529.0		1.0		1.0	1.0	765.0		1.0			193.0		1.0	2.0		1.0			765.0	1428.0			1.0		
NC_072005.2	1::NC_072005.2:43253085-43276101(+)	23016	False	0.4581	0		1.0				312.0				1.0	765.0		1.0					1.0		255.0	1.0	2.0	193.0	74.0				3.0	1.0	766.0		1.0	1.0	1.0					1529.0			1.0		794.0	1.0		771.0	1.0	1.0			1.0		1428.0			1.0			765.0	
NC_072005.2	2::NC_072005.2:43253116-43276084(+)	22968	False	0.4582	0									763.0	1.0			75.0	1.0				502.0			1.0							765.0			1.0			1.0	2.0				1653.0		838.0	765.0				29.0			234.0	1.0	1.0	691.0	765.0							567.0	
NC_072005.2	-3::NC_072005.2:43425247-43431382(-)	6135	False	0.45	2	21.0	48.0	21.0	38.0	23.0	26.0	21.0	7.0	26.0	18.0	46.0	12.0	29.0	3.0	43.0	23.0	29.0	19.0	238.0	44.0	25.0	32.0	34.0	31.0	117.0	33.0	18.0	48.0	19.0	15.0	48.0	24.0	162.0	15.0	19.0	5.0	2.0	23.0	31.0	5.0	41.0	18.0	9.0	13.0	19.0	18.0	27.0	35.0	63.0	20.0	2.0	60.0	8.0	28.0	4.0	17.0	1.0	170.0	41.0	7.0	3.0
NC_072005.2	-3::NC_072005.2:43484941-43490665(-)	5724	False	0.4476	2	24.0	52.0	27.0	21.0	14.0	10.0	23.0	12.0	33.0	19.0	34.0	10.0	27.0	6.0	40.0	32.0	31.0	29.0	164.0	30.0	36.0	20.0	21.0	21.0	128.0	28.0	9.0	53.0	16.0	12.0	46.0	21.0	144.0	11.0	17.0	5.0	2.0	18.0	30.0	3.0	53.0	21.0	13.0	16.0	15.0	24.0	20.0	36.0	64.0	21.0	4.0	65.0	4.0	24.0	3.0	15.0	1.0	168.0	45.0	4.0	13.0
NC_072005.2	-3::NC_072005.2:62226982-62232298(-)	5316	False	0.6968	1	80.0	6.0	2.0		3.0	2.0	277.0		2.0	6.0	1.0	3.0	1.0	7.0	5.0	4.0		1.0	4.0	2.0	5.0	5.0	1.0	4.0	2.0	13.0	81.0	1.0	14.0	5.0	1.0	68.0	4.0		1.0	1.0	6.0	280.0		7.0		11.0	2.0	11.0	439.0	281.0	5.0	1.0	8.0	7.0	22.0	3.0		2.0	18.0	35.0		2.0	19.0		1.0
NC_072005.2	-2::NC_072005.2:62226986-62232158(-)	5172	False	0.7024	1	57.0	2.0	4.0	1.0			294.0	1.0	1.0	4.0		2.0	1.0	10.0		1.0				2.0	11.0	3.0	1.0			17.0	82.0		14.0		1.0	72.0			2.0	3.0	6.0	295.0		10.0		8.0	1.0	8.0	445.0	255.0	6.0	3.0	6.0	7.0	19.0				34.0	26.0	1.0	2.0	6.0		
NC_072005.2	-1::NC_072005.2:62226990-62232417(-)	5427	False	0.6928	1	74.0	4.0	2.0	1.0	8.0	3.0	253.0		1.0	10.0			5.0	7.0	6.0	6.0	6.0	2.0	3.0	3.0	9.0	7.0	1.0	1.0	5.0	15.0	66.0	4.0	10.0	2.0	7.0	83.0	1.0	1.0	3.0	6.0	9.0	316.0	2.0	2.0	1.0	11.0	4.0	10.0	442.0	272.0	6.0	2.0	10.0	9.0	35.0	4.0			26.0	18.0		4.0	11.0		
NC_072005.2	3::NC_072005.2:65389157-65394329(+)	5172	False	0.5027	0		757.0	754.0	93.0	92.0	14.0																																														12.0				2.0					
NC_072005.2	-3::NC_072005.2:65389228-65394328(-)	5100	False	0.5006	0							93.0	93.0	755.0	756.0																																			1.0				2.0												
NC_071993.2	-2::NC_071993.2:381-6753(-)	6372	False	0.5002	1		972.0	971.0	89.0	90.0	1.0															1.0																																								
NC_071993.2	2::NC_071993.2:382-6754(+)	6372	False	0.5003	1							89.0	90.0	972.0	971.0																																			2.0																
NC_071993.2	-3::NC_071993.2:914-6767(-)	5853	False	0.5004	1		1.0	1.0	973.0	974.0	2.0																																																							
NC_071993.2	1::NC_071993.2:915-6768(+)	5853	False	0.5006	1							973.0	972.0	1.0	1.0																							1.0												3.0																
NC_071993.2	-1::NC_071993.2:39676465-39681586(-)	5121	False	0.3988	0	14.0		17.0	17.0			17.0	6.0	16.0	10.0	6.0	14.0	16.0	19.0	14.0		7.0				41.0	244.0	3.0		1.0	232.0	249.0	2.0	202.0	16.0	1.0	26.0	6.0		1.0	10.0	5.0	223.0	59.0	1.0	20.0	8.0	13.0	72.0	6.0	12.0	7.0	2.0	2.0	23.0	5.0	5.0	1.0		23.0	5.0	1.0		1.0	4.0	2.0
NC_071993.2	-1::NC_071993.2:39695914-39701689(-)	5775	False	0.3945	0	10.0	1.0	16.0	14.0			21.0	2.0	11.0	4.0	3.0	17.0	17.0	13.0	20.0		11.0	1.0		1.0	43.0	276.0	4.0		1.0	240.0	277.0	7.0	255.0	20.0	1.0	26.0	8.0		1.0	8.0	2.0	277.0	81.0	1.0	12.0	8.0	20.0	82.0	7.0	4.0	12.0	1.0	1.0	34.0	7.0	6.0	5.0	2.0	19.0	3.0	2.0	2.0		8.0	
NC_071993.2	1::NC_071993.2:84156735-84164622(+)	7887	False	0.4386	2	108.0	22.0	58.0	31.0	28.0	22.0	64.0	33.0	20.0	62.0	95.0	29.0	61.0	4.0	30.0	34.0	31.0	47.0	99.0	32.0	56.0	54.0	66.0	33.0	86.0	77.0	17.0	49.0	34.0	40.0	46.0	23.0	158.0	28.0	37.0	15.0	12.0	61.0	75.0	8.0	52.0	18.0	14.0	22.0	42.0	22.0	63.0	9.0	29.0	84.0	7.0	68.0	5.0	57.0	4.0	23.0	4.0	151.0	45.0	14.0	11.0
NC_071993.2	3::NC_071993.2:129152333-129157688(+)	5355	False	0.5817	2	33.0	32.0	14.0	6.0	53.0	41.0	58.0	11.0	12.0	22.0	42.0	1.0	72.0	18.0	32.0	58.0	4.0	45.0	107.0	70.0	14.0	9.0	27.0	39.0	45.0	89.0	16.0	22.0	21.0	12.0	22.0	20.0	22.0	36.0	9.0	16.0	7.0	36.0	27.0	1.0	27.0	15.0	4.0	17.0	54.0	23.0	29.0	9.0	45.0	32.0	13.0	76.0	5.0	51.0	2.0	14.0	5.0	70.0	62.0	8.0	3.0
