clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_TGC	codon_CAT	codon_AAT	codon_AAG	codon_TCT	codon_CTC	codon_AAA	codon_AAC	codon_CCC	codon_TGG	codon_ACT	codon_GTA	codon_TCA	codon_AGG	codon_GGT	codon_TGT	codon_CAC	codon_GAT	codon_GGA	codon_ATT	codon_AGC	codon_AGT	codon_GAA	codon_TTT	codon_GGC	codon_GAG	codon_GGG	codon_GAC	codon_GCT	codon_CGT	codon_GTG	codon_ATG	codon_CTG	codon_GCG	codon_TTG	codon_GTC	codon_GTT	codon_GCA	codon_ATC	codon_ACC	codon_CCT	codon_AGA	codon_TAT	codon_CAA	codon_ATA	codon_TTC	codon_ACA	codon_TGA	codon_TAG	codon_CGG	codon_CGA	codon_TCG	codon_CAG	codon_TAC	codon_CCA	codon_TAA	codon_GCC	codon_TCC	codon_CTT	codon_ACG	codon_CGC	codon_TTA	codon_CCG	codon_CTA
NC_060931.1	-2::NC_060931.1:159806198-159822557	16359	False	0.5438	0							2.0			3.0		1.0			3391.0	14.0		536.0	376.0			378.0	3.0		2.0	2.0		3.0	7.0		4	1.0	1.0				9.0					367.0	348.0				1.0			1.0				3.0										
NC_060931.1	-1::NC_060931.1:159806340-159822717	16377	False	0.5434	0	2.0	1.0	1.0	4.0	1.0	2.0		1.0	3.0	6.0	2.0	743.0		3.0		3.0	2.0			2.0	2.0		1.0	3.0	2.0	737.0	1.0		2.0		2656	880.0	5.0	1.0	5.0		363.0	2.0	2.0						1.0	1.0	1.0	2.0	1.0				2.0		1.0	1.0	2.0	2.0	1.0	6.0				
NC_060938.1	3::NC_060938.1:99472982-99484097	11115	False	0.6759	1		1.0				1.0			2.0	108.0	109.0	109.0	109.0				217.0		110.0		217.0				110.0	217.0	218.0	108.0			1		219.0	109.0		215.0		108.0	111.0	110.0	217.0	110.0		216.0			3.0						218.0				217.0				109.0		106.0	
NC_060947.1	1::NC_060947.1:7722645-7734708	12063	False	0.6604	1		1.0	2.0		123.0	670.0		1.0	616.0	2.0	5.0		14.0	1.0		2.0	464.0		2.0	2.0	1.0		1.0	2.0	2.0			1.0			2	1.0	2.0		1.0	2.0		1.0	3.0	197.0	608.0	3.0	2.0	1.0		145.0	256.0						1.0		181.0		1.0	575.0	122.0	2.0	1.0		1.0	1.0
NC_060947.1	2::NC_060947.1:7722679-7734679	12000	False	0.6609	1	1.0				145.0	608.0		2.0	587.0	2.0	3.0		12.0				450.0			3.0			1.0			2.0		1.0		1.0	1					1.0		1.0		227.0	587.0	1.0		2.0		123.0	235.0			1.0					214.0			662.0	122.0	1.0	1.0	3.0		
NC_060935.1	-1::NC_060935.1:206501-214061	7560	False	0.4058	0		6.0	2.0	2.0						107.0				114.0	118.0	125.0		250.0	219.0	246.0	107.0	243.0	4.0	2.0		4.0	7.0	83.0	1.0		110			4.0		6.0	20.0	124.0	120.0				241.0					6.0	113.0	10.0		3.0		120.0		1.0				2.0				
NC_060935.1	1::NC_060935.1:206502-214065	7563	False	0.4059	0		114.0	1.0		4.0		4.0			103.0	77.0	117.0	116.0	2.0	124.0	7.0	10.0	109.0		268.0		4.0	116.0	2.0			114.0			3.0	357	123.0	1.0	106.0	132.0	6.0	6.0	1.0				113.0			108.0		126.0			6.0		6.0	1.0									134.0		
NC_060944.1	1::NC_060944.1:1893108-1907463	14355	False	0.6485	1	5.0	284.0	1.0	1.0	4.0	6.0		3.0	1160.0	2.0	2.0	138.0	4.0	1.0	2.0	405.0	52.0				3.0	1.0	1.0	2.0	3.0	3.0	2.0	2.0	3.0	133.0	203	2.0	215.0		2.0	202.0		3.0	409.0	62.0	213.0	2.0	135.0		2.0	6.0	4.0					1.0	6.0	1.0	336.0		3.0	617.0	6.0			2.0	130.0	
NC_060944.1	-1::NC_060944.1:1893330-1907433	14103	False	0.6499	1	3.0	284.0			1.0	1.0		1.0	1157.0		2.0	136.0				405.0	52.0				2.0		1.0		1.0	1.0		1.0	1.0	133.0	202		211.0		1.0	201.0		1.0	409.0	61.0	208.0	1.0	135.0		2.0	3.0	2.0						2.0	1.0	334.0			613.0	3.0				129.0	
NC_060944.1	2::NC_060944.1:1893379-1907482	14103	False	0.6498	1		277.0			1.0	4.0	1.0		1169.0	1.0		133.0	3.0			413.0	61.0				1.0			3.0		1.0		1.0	1.0	128.0	206		205.0			198.0			418.0	53.0	199.0	1.0	139.0		1.0	1.0	2.0						1.0		337.0		1.0	609.0	1.0	1.0	1.0		129.0	
NC_060944.1	3::NC_060944.1:1893398-1907567	14169	False	0.6491	1	1.0	277.0	1.0			2.0	1.0	1.0	1154.0		2.0	137.0	1.0	4.0		412.0	62.0			1.0		2.0		5.0	1.0	2.0		1.0	3.0	128.0	206	1.0	197.0		4.0	200.0			414.0	59.0	211.0	2.0	133.0				1.0				1.0		5.0		336.0		1.0	617.0	2.0		1.0		133.0	1.0
NC_060944.1	-2::NC_060944.1:1893422-1907585	14163	False	0.6493	1	2.0	275.0	1.0	1.0		2.0	1.0	1.0	1154.0		2.0	137.0		4.0		412.0	62.0			1.0		2.0		5.0	2.0	2.0		1.0	2.0	128.0	206		197.0		4.0	200.0		1.0	413.0	59.0	211.0	2.0	133.0	1.0			1.0				1.0		5.0		336.0	1.0	1.0	616.0	2.0		1.0		133.0	
NC_060944.1	-3::NC_060944.1:1893463-1907521	14058	False	0.6502	1		277.0		1.0	1.0	1.0			1169.0			133.0			1.0	413.0	60.0				1.0	1.0	1.0	3.0	1.0	1.0		1.0		128.0	206		205.0		2.0	197.0	1.0		418.0	51.0	197.0	1.0	137.0					1.0					1.0		337.0		1.0	608.0	1.0	1.0			128.0	
NC_060928.1	-1::NC_060928.1:169925786-169936622	10836	False	0.2805	0		11.0		99.0	26.0	26.0					144.0	388.0				443.0	27.0		1.0	55.0	35.0	118.0	27.0	195.0				1.0		1.0	78	124.0	25.0		154.0	72.0		29.0			26.0	1.0	540.0	26.0	371.0		97.0	72.0	26.0				25.0	126.0	26.0	1.0	72.0	72.0	51.0				1.0	
NC_060928.1	-3::NC_060928.1:169925808-169937574	11766	False	0.281	0	1.0	29.0		63.0	71.0	26.0				1.0	75.0	404.0		1.0		396.0	25.0	1.0		53.0	36.0	124.0	72.0	172.0						1.0	169	138.0	26.0		159.0	38.0	1.0	13.0			73.0	1.0	652.0	26.0	402.0		110.0	37.0	72.0				72.0	91.0	72.0	1.0	36.0	38.0	144.0					
