clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_ACC	codon_AAT	codon_CAA	codon_AGT	codon_ACG	codon_GCA	codon_TGC	codon_GTA	codon_CCC	codon_AGG	codon_TAC	codon_GGA	codon_ATT	codon_CGA	codon_GGT	codon_AAA	codon_CAG	codon_AAC	codon_CTC	codon_TGA	codon_GTT	codon_GAT	codon_AGA	codon_GTG	codon_ACT	codon_GAA	codon_TAT	codon_ATG	codon_GGC	codon_CAT	codon_AAG	codon_CCG	codon_CTG	codon_GAG	codon_TCT	codon_AGC	codon_TTT	codon_ATA	codon_CCA	codon_ATC	codon_CGG	codon_GCG	codon_ACA	codon_TTC	codon_CGC	codon_TCA	codon_TTG	codon_CTT	codon_CGT	codon_TGG	codon_GAC	codon_CTA	codon_TAA	codon_TAG	codon_TGT	codon_GGG	codon_TTA	codon_CCT	codon_GCC	codon_TCC	codon_GTC	codon_GCT	codon_TCG	codon_CAC
NC_073254.2	-1::NC_073254.2:15616468-15624061	7593	False	0.7503	0	135.0		68.0		1.0	138.0	78.0		333.0	1.0		1.0					68.0		198.0				67.0		4.0						67.0	132.0	73.0			69.0	1.0		68.0				1.0		263.0		8.0	9.0	1.0		69.0							136.0	133.0	71.0	1.0	137.0	130.0	70.0
NC_073254.2	1::NC_073254.2:15616476-15624231	7755	False	0.7478	1	137.0		67.0	1.0	1.0	137.0	79.0		338.0	2.0							70.0		205.0				68.0		4.0		1.0		4.0		67.0	131.0	75.0	1.0		69.0	1.0		71.0	1.0		1.0		2.0	260.0	3.0	8.0	9.0	1.0	1.0	68.0	1.0			4.0			141.0	134.0	69.0	2.0	142.0	132.0	77.0
NC_073254.2	-1::NC_073254.2:177881587-177889573	7986	False	0.6675	1	3.0	2.0	1.0	126.0	4.0	7.0	10.0	17.0	2.0	381.0		459.0	2.0	5.0	154.0		13.0	3.0	4.0	16.0	6.0	4.0	16.0	241.0	3.0	17.0		7.0	15.0	1.0	15.0	2.0	10.0	431.0	6.0	10.0	5.0	1.0	7.0	5.0	7.0	15.0	4.0	3.0	3.0		3.0	6.0	2.0	271.0	3.0		2.0	19.0	8.0	270.0		7.0	3.0	2.0	8.0	6.0	2.0	7.0
NC_073254.2	-2::NC_073254.2:177881889-177889524	7635	False	0.6723	1		3.0	2.0	124.0	3.0	8.0	5.0	17.0	6.0	354.0		423.0	2.0	2.0	140.0	1.0	8.0	2.0	1.0	8.0	2.0	5.0	11.0	273.0	1.0	12.0		2.0	13.0	4.0	18.0	1.0	8.0	480.0	1.0	1.0		2.0	2.0		11.0	5.0	2.0	1.0			6.0	2.0	1.0	263.0	2.0		1.0	14.0	6.0	261.0		3.0	4.0	4.0	3.0	7.0	1.0	3.0
NC_073254.2	2::NC_073254.2:188264023-188289880	25857	False	0.6916	1		4.0	1.0	3.0	227.0	349.0	239.0	3.0	114.0	537.0	114.0	341.0			235.0	1.0	538.0	1.0	118.0				3.0	121.0	115.0	9.0		6.0	351.0	117.0	3.0		343.0	3.0	3.0		1.0	1.0	120.0	118.0	155.0	229.0	573.0	3.0	223.0	73.0	2.0	5.0	118.0	232.0	340.0	118.0			1.0	742.0		352.0	115.0	345.0	232.0	114.0	41.0	467.0
NC_073254.2	3::NC_073254.2:188264078-188289713	25635	False	0.693	0		6.0			228.0	347.0	237.0		116.0	537.0	116.0	340.0			238.0		537.0		118.0					119.0	111.0	4.0		4.0	346.0	114.0	1.0	1.0	342.0		1.0				113.0	115.0	156.0	231.0	578.0	1.0	226.0	77.0	2.0	1.0	115.0	230.0	333.0	116.0				735.0		343.0	116.0	348.0	232.0	115.0	39.0	460.0
NC_073254.2	1::NC_073254.2:188264100-188289723	25623	False	0.6929	0		4.0	1.0		222.0	345.0	230.0		117.0	537.0	116.0	346.0			237.0		536.0		116.0				1.0	124.0	110.0	3.0		6.0	347.0	119.0			338.0		1.0	1.0			115.0	114.0	156.0	231.0	578.0		228.0	77.0		2.0	115.0	236.0	337.0	114.0				727.0		347.0	117.0	347.0	228.0	116.0	41.0	458.0
NC_073254.2	2::NC_073254.2:188832130-188842537	10407	False	0.6059	0	1.0	1.0	2.0		36.0		2.0		5.0	160.0	2.0	196.0					4.0		1.0		1.0		193.0	2.0	3.0					184.0		189.0	192.0	130.0	212.0	190.0	2.0			7.0				198.0	1.0	1.0		194.0	2.0	63.0		8.0				184.0		194.0		579.0		1.0	122.0	207.0
NC_085926.1	3::NC_085926.1:195330128-195348608	18480	False	0.5798	1	1.0	13.0	5.0	50.0		3.0	3.0	2.0	3.0	391.0	2.0	43.0	243.0	1.0	1.0	5.0	4.0	5.0	2.0		2.0		857.0	4.0	561.0	6.0	3.0	3.0	4.0		3.0	1.0	4.0	149.0	870.0	3.0		1.0	862.0	1.0	5.0	1.0	12.0	1.0		1.0		1.0		3.0	716.0				4.0	1296.0		6.0			1.0			2.0
NC_085926.1	-2::NC_085926.1:195330260-195348617	18357	False	0.5794	0	1.0	13.0	5.0	50.0		1.0		2.0	1.0	390.0	2.0	42.0	243.0	1.0		4.0	2.0	4.0	1.0	1.0	2.0		855.0	3.0	561.0	6.0	3.0	3.0	2.0		2.0		1.0	148.0	869.0	1.0	1.0	1.0	860.0	1.0	4.0	1.0	11.0	1.0						3.0	716.0				1.0	1296.0		4.0						
NC_085926.1	-1::NC_085926.1:195330324-195344922	14598	False	0.5882	0					442.0	1.0	1.0			17.0		1355.0	13.0			2.0	685.0			2.0	37.0		74.0		1.0	30.0			3.0		3.0		696.0			1.0	166.0						159.0	1.0				478.0			684.0		1.0					1.0		1.0				12.0
NC_085926.1	-3::NC_085926.1:195330346-195348511	18165	False	0.5811	0	858.0	2.0		3.0	5.0					851.0					1.0		253.0	37.0		863.0		240.0	1.0			15.0				1.0	6.0		1.0	1027.0		1.0					462.0		3.0	864.0						3.0	532.0		1.0			20.0		1.0	3.0			1.0		
NC_085926.1	1::NC_085926.1:195330360-195348504	18144	False	0.5813	0			1.0		461.0	1.0	1.0			19.0	1.0	1680.0	13.0	1.0		2.0	851.0				49.0		131.0		1.0	41.0			2.0		1.0		866.0	2.0		1.0	241.0						253.0					561.0			851.0	1.0				1.0				1.0				14.0
NC_085926.1	-1::NC_085926.1:196420338-196428939	8601	False	0.5002	1										1036.0					397.0						1036.0																																	397.0		1.0								
NC_085926.1	2::NC_085926.1:196420339-196428940	8601	False	0.5001	0										397.0					1.0						397.0																																			1036.0	1036.0							
NC_073263.2	2::NC_073263.2:116117362-116126362	9000	False	0.501	0	3.0	5.0	4.0			3.0	2.0	2.0	2.0	1386.0	6.0	2.0	1.0		1.0	12.0	1.0	6.0	2.0		1339.0	1.0	6.0	7.0		4.0		1.0	1.0	1.0	5.0		2.0	4.0			3.0	5.0	2.0	2.0	1.0		5.0	1.0		3.0	1.0			8.0	4.0	6.0				49.0	51.0	2.0	3.0	1.0	41.0	1.0		2.0
NC_073263.2	-1::NC_073263.2:116117523-116126361	8838	False	0.5025	0	3.0	1.0	6.0			1.0	1.0			51.0		2.0	1.0		1387.0	9.0	42.0	2.0		3.0	51.0	1.0	4.0	2.0	1.0	1.0	1.0	3.0		2.0	1.0		2.0	8.0	2.0	1.0			2.0				1.0	1.0				3.0					4.0	1337.0	1.0	1.0		3.0			1.0	1.0	1.0	1.0
NC_073263.2	-3::NC_073263.2:116117719-116125738	8019	False	0.5059	0		1.0	1.0							1333.0								1.0			1284.0			7.0		2.0			1.0												1.0						1.0														41.0			
NC_073263.2	3::NC_073263.2:116117876-116125739	7863	False	0.5036	0															1.0																															28.0										1310.0	1282.0							
NC_073264.2	-2::NC_073264.2:106655985-106665978	9993	False	0.6735	1	2.0	2.0		5.0	2.0	25.0	2.0	2.0	1.0	149.0		195.0		2.0	179.0		5.0	1.0	1.0	88.0	16.0		1.0	659.0	3.0	101.0	1.0	5.0	64.0	2.0	107.0	2.0	8.0	160.0		116.0			1.0	1.0	183.0	171.0	1.0	2.0	5.0		1.0		1.0	104.0	1.0		2.0		476.0	460.0			4.0		2.0	4.0	6.0	
NC_073264.2	-1::NC_073264.2:106656475-106665931	9456	False	0.675	1		3.0	1.0	6.0		5.0	2.0			139.0		178.0		4.0	162.0	1.0	18.0			65.0		1.0		636.0		107.0	1.0		69.0		93.0	3.0	4.0	164.0	1.0	105.0				1.0	155.0	167.0			15.0		16.0		2.0	109.0					470.0	440.0			1.0	1.0	2.0	4.0	1.0	
NC_073255.2	-3::NC_073255.2:5417086-5429629	12543	False	0.6468	1	1.0	6.0	2.0	4.0	44.0	6.0	3.0		4.0	296.0	1.0	484.0	2.0	1.0	6.0	2.0	8.0	1.0	2.0	199.0	2.0	335.0	5.0	212.0	2.0	5.0	2.0	153.0	5.0	2.0	1.0		188.0	292.0	190.0		5.0	3.0	1.0	189.0	48.0	3.0	3.0	1.0			4.0	4.0	3.0	150.0	53.0				200.0	1031.0		4.0	3.0	4.0	3.0	3.0		
NC_073255.2	-1::NC_073255.2:5417109-5429478	12369	False	0.6483	1	1.0	2.0		3.0	48.0	1.0	2.0	2.0	2.0	291.0		485.0	1.0		2.0	1.0	7.0		4.0	195.0		337.0	2.0	208.0		7.0	1.0	153.0	4.0	2.0	3.0	1.0	184.0	294.0	188.0	2.0	2.0	1.0		185.0	50.0	2.0	7.0	1.0			4.0	3.0	2.0	148.0	49.0				205.0	1027.0		1.0				2.0		1.0
NC_073255.2	-2::NC_073255.2:5417162-5429870	12708	False	0.6469	2	2.0	2.0	4.0	4.0	49.0	4.0	4.0	1.0	5.0	294.0	1.0	488.0	1.0	1.0	2.0	1.0	11.0	1.0	4.0	197.0	2.0	336.0	6.0	208.0		6.0	2.0	156.0	5.0	2.0	6.0	1.0	193.0	293.0	191.0	3.0	3.0	1.0	6.0	186.0	46.0	1.0	7.0	4.0	2.0		9.0	6.0	2.0	153.0	55.0			1.0	206.0	1037.0		5.0	4.0	3.0	3.0	6.0	2.0	2.0
NC_073255.2	1::NC_073255.2:118971987-118996437	24450	False	0.558	1	596.0	3.0	72.0	242.0	141.0	192.0		8.0	157.0	2.0	67.0	88.0	6.0	15.0	81.0	39.0	67.0	10.0	174.0		84.0	33.0	29.0	30.0	279.0	350.0	5.0	23.0	397.0	8.0	9.0	37.0	67.0	112.0	225.0	649.0	47.0	36.0	281.0	38.0	14.0	21.0	916.0	184.0	83.0	500.0	17.0	63.0	51.0	18.0	120.0	28.0			2.0	15.0	72.0	338.0	223.0	292.0	90.0	27.0	57.0	320.0
NC_073255.2	3::NC_073255.2:196298633-196309001	10368	False	0.4984	0		1.0		1.0			2.0		1.0	1252.0						1.0	1.0	2.0	3.0		1251.0		1.0	2.0	1.0		1.0	2.0		1.0			3.0	1.0	5.0		6.0	1.0	1.0				1.0	3.0		1.0	1.0	6.0		2.0		2.0			2.0	448.0	447.0			2.0		1.0		
NC_073255.2	1::NC_073255.2:196298760-196306320	7560	False	0.5005	0				1.0		1.0									2.0				1.0				1.0					2.0	2.0				1.0						1.0							1.0				1.0	1.0	1.0			2.0	1250.0	1250.0				1.0			1.0
NC_073255.2	-3::NC_073255.2:196298770-196309006	10236	False	0.5005	0	1.0		1.0				1.0	1.0		447.0		1.0			1250.0		1.0				447.0			2.0											1.0															1.0				1251.0	1.0	1.0					2.0	2.0		1.0
NC_073255.2	-2::NC_073255.2:196298780-196306319	7539	False	0.5006	0		1.0					1.0		1.0	1252.0									1.0		1250.0			1.0	1.0								1.0	1.0	1.0															1.0						1.0								
NC_073262.2	1::NC_073262.2:142855317-142863216	7899	False	0.7165	0				76.0	64.0	5.0	25.0		108.0	66.0		158.0			63.0		8.0	9.0	57.0		9.0		4.0	64.0		23.0		2.0	135.0			49.0	125.0	97.0	34.0		13.0				169.0	69.0		79.0	66.0	3.0		77.0	2.0	98.0	36.0	9.0			66.0	152.0		176.0	63.0	181.0	90.0	64.0	39.0	
NC_073262.2	3::NC_073262.2:144858944-144867179	8235	False	0.5027	1										1337.0	1.0				6.0		3.0	1.0			1324.0			9.0				1.0				1.0									1.0					6.0		1.0							1.0	27.0	22.0				4.0			
NC_073262.2	-3::NC_073262.2:144859018-144867178	8160	False	0.5017	1				1.0						23.0					1333.0		3.0				21.0	1.0				1.0								8.0							1.0													1324.0		1.0					3.0			
NC_073262.2	-2::NC_073262.2:144859037-144867050	8013	False	0.5013	0										1335.0								1.0			1324.0			7.0				1.0																												1.0					2.0			
NC_073262.2	1::NC_073262.2:144859110-144867051	7941	False	0.5001	0															1.0																																									1323.0	1323.0							
NC_073257.2	1::NC_073257.2:144334761-144356142	21381	False	0.5526	1	545.0			6.0	267.0	28.0	13.0	6.0	708.0		449.0			7.0	2.0	1.0	7.0		197.0		5.0	1.0	6.0		262.0		4.0	12.0	1.0	103.0		58.0	1.0	1.0	234.0	4.0	4.0	3.0	366.0	182.0			1126.0	6.0	178.0	11.0		533.0	37.0	1.0	5.0	112.0				1.0	191.0	69.0	76.0	331.0	3.0	82.0	2.0	880.0
NC_073257.2	2::NC_073257.2:144335674-144356113	20439	False	0.5472	1	305.0		1.0	1.0	153.0	22.0	12.0	4.0	483.0		254.0	1.0	3.0	8.0	1.0		10.0	1.0	109.0		6.0		2.0		125.0		3.0	10.0		318.0		28.0	2.0		140.0	4.0		4.0	877.0	80.0	1.0		699.0	1.0	288.0	42.0	2.0	321.0	7.0	1.0	13.0	215.0					538.0	243.0	76.0	205.0	20.0	50.0		1124.0
NC_073257.2	3::NC_073257.2:144339164-144356156	16992	False	0.5423	1	402.0			5.0	61.0	8.0	11.0	1.0	215.0		651.0	1.0	4.0	4.0			13.0	1.0	227.0				1.0	2.0	360.0			8.0		179.0		23.0	1.0		55.0	5.0	3.0	3.0	501.0	258.0	1.0		234.0	1.0	152.0	23.0		110.0	8.0	1.0	9.0	111.0			2.0		299.0	147.0	114.0	70.0	3.0	126.0		1250.0
NC_073257.2	-3::NC_073257.2:144829198-144851365	22167	False	0.5388	1	1.0			51.0	1.0	56.0	679.0	2.0		4.0		2.0			33.0	4.0	4.0	1.0	4.0	349.0	4.0	248.0	3.0	1989.0	37.0	3.0	3.0	284.0	2.0	3.0	1.0		717.0	90.0	4.0	34.0	1.0	1.0	4.0		21.0	50.0	1.0	1.0	19.0		3.0			3.0	3.0				1921.0	5.0		1.0	3.0	3.0	2.0	695.0		39.0
NC_073257.2	-2::NC_073257.2:144829265-144851387	22122	False	0.5389	1	1.0			57.0	3.0	40.0	693.0	1.0	2.0	4.0	2.0	1.0	1.0		24.0		3.0	1.0	4.0	369.0	4.0	255.0	2.0	2001.0	37.0	1.0	1.0	252.0	2.0	2.0	2.0	1.0	731.0	95.0	7.0	31.0	1.0		1.0		36.0	40.0	1.0	2.0	14.0		2.0		1.0	6.0	1.0				1924.0	4.0		2.0	1.0			652.0		56.0
NC_073257.2	-1::NC_073257.2:144834291-144845871	11580	False	0.5402	0				24.0		19.0	399.0	1.0							29.0				1.0	173.0	1.0	150.0		1057.0	24.0			141.0					366.0	39.0	2.0	18.0		1.0			20.0	31.0		1.0	8.0		1.0		1.0	3.0	1.0				1004.0	1.0						332.0		12.0
NC_073257.2	-1::NC_073257.2:145184124-145191843	7719	False	0.6183	0	10.0	3.0		1.0	4.0	13.0	112.0		207.0		1.0	3.0		1.0	33.0	116.0	3.0	114.0	13.0	123.0		1.0	201.0	174.0	114.0	118.0		8.0	63.0	5.0	1.0	63.0	141.0	205.0	1.0	1.0			10.0	2.0	60.0	110.0	2.0	1.0	84.0		27.0	29.0	59.0	39.0	1.0		1.0		80.0	4.0		45.0	105.0	2.0	2.0	18.0	17.0	22.0
NC_073257.2	-2::NC_073257.2:145187402-145195904	8502	False	0.6073	0	15.0	2.0		3.0	15.0	22.0	125.0		221.0	3.0		2.0			46.0	127.0	2.0	128.0	11.0	135.0			226.0	208.0	125.0	130.0		11.0	53.0	11.0	2.0	63.0	146.0	220.0	1.0				20.0	3.0	64.0	96.0	2.0		77.0		41.0	35.0	63.0	45.0	2.0				86.0	3.0		52.0	115.0	4.0	2.0	23.0	16.0	32.0
NC_073257.2	-3::NC_073257.2:145190011-145197835	7824	False	0.6088	2	20.0	8.0	2.0	1.0	20.0	18.0	104.0	1.0	191.0	15.0	3.0	10.0	2.0	4.0	47.0	109.0	23.0	108.0	19.0	96.0	1.0	2.0	196.0	171.0	100.0	104.0	1.0	15.0	56.0	12.0	9.0	52.0	128.0	184.0	4.0	8.0	3.0		32.0	2.0	55.0	88.0	5.0	1.0	66.0		32.0	41.0	52.0	47.0	6.0		3.0	1.0	87.0	16.0		46.0	98.0	8.0	8.0	24.0	15.0	28.0
NC_085927.1	-3::NC_085927.1:0-7983	7983	False	0.5058	0	1.0								1284.0				1.0				1.0	92.0																																			1237.0					44.0						1.0
