clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_ACC	codon_TAA	codon_CCC	codon_CCT	codon_AAC	codon_AGA	codon_CTA	codon_GAT	codon_TAT	codon_GCA	codon_TGC	codon_TTG	codon_GGA	codon_ATA	codon_GTG	codon_GAG	codon_GCT	codon_TTA	codon_TTT	codon_ATT	codon_TAG	codon_ATG	codon_CAT	codon_TGG	codon_GAA	codon_AGC	codon_CTT	codon_ACT	codon_GGG	codon_AAT	codon_AGT	codon_AAA	codon_GGC	codon_GTA	codon_CCA	codon_TCT	codon_TGT	codon_TCG	codon_TCC	codon_TTC	codon_ACA	codon_CGC	codon_CAA	codon_ATC	codon_TAC	codon_CAC	codon_CTC	codon_CTG	codon_TCA	codon_GTT	codon_CCG	codon_CAG	codon_CGA	codon_GAC	codon_CGT	codon_GTC	codon_GCG	codon_GCC	codon_ACG	codon_AAG	codon_GGT	codon_AGG	codon_CGG	codon_TGA
NC_072005.2	1::NC_072005.2:43253085-43276101	23016	False	0.4581	0	1.0		1.0					765.0		1.0					1.0		255.0		1.0	2.0		3.0	1.0	1.0		74.0	1.0	771.0		766.0	193.0	1.0	1.0								1529.0			1.0		794.0		1.0				1.0		1428.0			1.0		765.0		312.0	1.0		
NC_072005.2	2::NC_072005.2:43253116-43276084	22968	False	0.4582	0	1.0					1.0	763.0			75.0	1.0				502.0				1.0			765.0											1.0	2.0							1653.0		838.0	765.0			29.0	234.0	1.0		1.0	691.0	765.0						567.0					
NC_072005.2	-3::NC_072005.2:62226982-62232298	5316	False	0.6968	1	2.0		3.0	6.0	2.0	80.0		11.0		7.0	1.0		280.0	3.0	11.0	281.0	4.0		4.0	5.0	2.0	14.0	1.0	13.0	81.0	2.0	2.0	1.0	439.0	5.0	5.0	5.0	19.0	2.0	1.0	1.0			4.0	2.0	1.0		5.0	1.0	1.0	1.0	4.0	3.0			1.0	8.0	6.0	35.0		2.0	7.0		18.0	68.0	6.0	277.0	22.0	7.0
NC_072005.2	-2::NC_072005.2:62226986-62232158	5172	False	0.7024	1		1.0		2.0	4.0	57.0		8.0		10.0	1.0		295.0	2.0	8.0	255.0					1.0	14.0		17.0	82.0	2.0		1.0	445.0	3.0	6.0	11.0	6.0	1.0	3.0	1.0			1.0	2.0	3.0	1.0			2.0					1.0		6.0	6.0	26.0			10.0		34.0	72.0	4.0	294.0	19.0	7.0
NC_072005.2	-1::NC_072005.2:62226990-62232417	5427	False	0.6928	1	3.0	1.0	8.0	4.0	2.0	74.0		11.0	6.0	7.0	5.0	1.0	316.0		10.0	272.0	1.0		1.0	2.0	1.0	10.0	4.0	15.0	66.0	3.0	5.0	1.0	442.0	7.0	6.0	9.0	11.0	4.0	2.0	7.0	2.0		6.0	4.0	6.0		6.0		3.0	2.0	3.0	4.0				10.0	9.0	18.0			2.0	1.0	26.0	83.0	10.0	253.0	35.0	9.0
NC_072005.2	3::NC_072005.2:65389157-65394329	5172	False	0.5027	0																		93.0											92.0																					754.0		12.0				2.0					14.0	757.0		
NC_072005.2	-3::NC_072005.2:65389228-65394328	5100	False	0.5006	0																					755.0								1.0																					93.0		2.0									756.0	93.0		
NC_071993.2	-2::NC_071993.2:381-6753	6372	False	0.5002	1	1.0	89.0	90.0	972.0	971.0																											1.0																																
NC_071993.2	2::NC_071993.2:382-6754	6372	False	0.5003	1	971.0		2.0	89.0	90.0		972.0																																																									
NC_071993.2	-3::NC_071993.2:914-6767	5853	False	0.5004	1	2.0	973.0	974.0	1.0	1.0																																																											
NC_071993.2	1::NC_071993.2:915-6768	5853	False	0.5006	1	1.0		3.0	973.0	972.0		1.0																									1.0																																
NC_071993.2	-1::NC_071993.2:39676465-39681586	5121	False	0.3988	0		17.0			17.0	14.0		8.0	7.0	19.0	16.0	20.0	223.0	14.0	72.0	12.0			6.0	16.0	16.0	202.0	2.0	232.0	249.0		1.0	3.0	6.0	244.0	7.0	41.0	1.0	13.0	2.0	1.0	59.0	1.0			10.0	1.0	14.0	6.0	1.0			5.0		6.0	2.0	2.0	5.0	5.0	4.0		1.0		23.0	26.0	10.0	17.0	5.0	23.0
NC_071993.2	-1::NC_071993.2:39695914-39701689	5775	False	0.3945	0		14.0		1.0	16.0	10.0		8.0	11.0	13.0	17.0	12.0	277.0	17.0	82.0	4.0			8.0	20.0	11.0	255.0	7.0	240.0	277.0	1.0	1.0	4.0	7.0	276.0	12.0	43.0		20.0	1.0	1.0	81.0	5.0		2.0	8.0	2.0	20.0	3.0	1.0	1.0		6.0		2.0		1.0	2.0	3.0	8.0	2.0	1.0		19.0	26.0	4.0	21.0	7.0	34.0
NC_071993.2	-2::NC_071993.2:140846694-140851896	5202	False	0.5154	0															2.0	77.0					740.0			1.0					1.0					1.0																46.0										1.0	817.0	48.0		
NC_071985.2	2::NC_071985.2:1-6814	6813	False	0.519	0	1.0		1.0	1133.0	1005.0		1.0																																						1.0									129.0										
NC_071985.2	-2::NC_071985.2:7-6820	6813	False	0.5192	0	1.0	1.0	2.0	1133.0	1004.0																																								1.0									129.0										
NC_071985.2	3::NC_071985.2:8-6821	6813	False	0.5193	0	1134.0		1.0	2.0	1.0		1004.0																																									129.0																
NC_071985.2	-3::NC_071985.2:12-6813	6801	False	0.5192	0		1004.0	1134.0																																																													129.0
NC_071985.2	-3::NC_071985.2:1983993-2005302	21309	False	0.4928	1	1.0		521.0	20.0	1.0			132.0	2.0	11.0	3.0	3.0		456.0	1147.0	1.0	1.0		552.0	1.0	1078.0	414.0	3.0	2.0	2.0	495.0	2.0	2.0	9.0	1.0	1.0	1.0	45.0		1.0	2.0	5.0		3.0		611.0		1.0	2.0	7.0	1.0	2.0	2.0		2.0	2.0	4.0		404.0		540.0	10.0	2.0	53.0			542.0		
NC_071985.2	-1::NC_071985.2:1984085-1991201	7116	False	0.4913	0								149.0		1.0			1.0	181.0	1.0	165.0			1.0		42.0		161.0			8.0		1.0	17.0		174.0	1.0		180.0		1.0	183.0			1.0	1.0					204.0		1.0		182.0		139.0	176.0	18.0		1.0		181.0			196.0			5.0
NC_071985.2	-1::NC_071985.2:1993427-2000171	6744	False	0.4966	0								121.0	1.0					171.0		159.0					37.0	2.0	137.0			1.0			14.0		172.0			173.0			172.0									209.0				173.0		136.0	169.0	19.0				173.0			206.0			3.0
NC_071985.2	3::NC_071985.2:98271257-98281220	9963	False	0.5024	1	38.0		4.0	8.0	12.0	145.0	2.0	39.0	40.0	21.0	4.0	8.0	307.0	17.0	20.0	103.0	20.0	4.0	41.0	10.0		4.0	228.0	8.0	81.0	37.0	3.0	148.0	86.0	16.0	133.0	19.0	147.0	6.0	20.0	176.0	20.0	2.0	121.0	9.0	152.0	2.0	164.0	5.0	22.0	192.0	3.0	6.0	222.0	29.0	1.0	128.0	8.0	43.0	9.0	22.0	3.0	34.0	3.0	12.0	89.0	65.0		
NC_071985.2	-3::NC_071985.2:179101038-179107404	6366	False	0.5093	1	4.0		7.0	12.0	2.0	2.0		114.0	2.0	7.0	5.0	133.0	4.0	2.0	494.0	6.0	30.0		6.0	58.0	3.0	47.0	7.0	210.0	3.0	6.0	6.0	6.0	5.0	1.0	1.0		20.0	7.0	16.0	11.0	389.0	5.0	10.0	7.0	5.0	2.0	2.0	1.0	2.0	6.0	9.0	22.0		58.0	2.0	11.0		6.0	2.0	4.0	3.0	10.0		3.0	212.0	4.0	3.0	107.0
NC_071985.2	-1::NC_071985.2:179101472-179107175	5703	False	0.5032	1	2.0		4.0	1.0	1.0			95.0	4.0		6.0	127.0	1.0	2.0	506.0		14.0		2.0	68.0		38.0		224.0	1.0	2.0	1.0				3.0		26.0		1.0	2.0	372.0	2.0	2.0			2.0				2.0	2.0	19.0		63.0				1.0		3.0	1.0	3.0		1.0	179.0	2.0	2.0	114.0
NC_071985.2	-2::NC_071985.2:179101552-179107204	5652	False	0.4993	0		1.0	1.0	1.0		1.0		102.0	5.0	1.0	3.0	113.0			519.0	1.0	18.0		2.0	61.0		53.0		204.0		1.0		2.0			2.0		11.0	5.0			377.0			1.0				2.0		2.0	3.0	28.0		67.0	1.0	2.0			4.0	2.0				1.0	189.0	1.0	1.0	96.0
NC_071985.2	-2::NC_071985.2:224819407-224824630	5223	False	0.5418	0	1.0							6.0	5.0		3.0	63.0		1.0	499.0		5.0		1.0		62.0	6.0		283.0			1.0		1.0		64.0	1.0	1.0	65.0		2.0	295.0	1.0		1.0						1.0		10.0		73.0						2.0	2.0	1.0	1.0		281.0			3.0
NC_071985.2	-1::NC_071985.2:224819417-224824607	5190	False	0.542	0								3.0	1.0	1.0	8.0	70.0		2.0	502.0		2.0		2.0	2.0	65.0	7.0		280.0							62.0			65.0		1.0	288.0		1.0	1.0								6.0		72.0					1.0		1.0				283.0		2.0	2.0
NC_071985.2	3::NC_071985.2:233786246-233791553	5307	False	0.5619	2	7.0		33.0	13.0	3.0	8.0		2.0		4.0	6.0	1.0	10.0	1.0	9.0	11.0	11.0	639.0	7.0	4.0		1.0	1.0	10.0	7.0	6.0	5.0		676.0	2.0	2.0	2.0	16.0		5.0	2.0	2.0	2.0	14.0	3.0	1.0	14.0	5.0	4.0	2.0	21.0	13.0	12.0	19.0	1.0	22.0	21.0	8.0	6.0	2.0	10.0	21.0	28.0	3.0	2.0	2.0	12.0	15.0	
NC_071985.2	-2::NC_071985.2:233787562-233794471	6909	False	0.5048	0	1.0										1.0					1.0	1.0				363.0			1.0		1.0			5.0					2.0	2.0				1.0		1.0	1.0								760.0						18.0		2.0			363.0	779.0		
NC_071997.2	3::NC_071997.2:5988032-5993492	5460	False	0.406	0	6.0		6.0	21.0	2.0	2.0	23.0	4.0	13.0	14.0	17.0	15.0		7.0	1.0		3.0	7.0	45.0	229.0		1.0	223.0	1.0	1.0	1.0	27.0	13.0		23.0	4.0	5.0		3.0	216.0	14.0	2.0	4.0	244.0	278.0	70.0	7.0	20.0	11.0	14.0	79.0	15.0	7.0	30.0	28.0	10.0	8.0	2.0	2.0	20.0	3.0		1.0	12.0	4.0	1.0	1.0		
