clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_CCT	codon_AAC	codon_ACC	codon_CTA	codon_CCC	codon_GGG	codon_TTA	codon_GTT	codon_AGG	codon_GTA	codon_GGT	codon_TTT	codon_CAA	codon_TGG	codon_TTC	codon_TCG	codon_CCA	codon_GGC	codon_CTG	codon_TCT	codon_GTC	codon_CTT	codon_CTC	codon_ATC	codon_TGT	codon_GTG	codon_GAC	codon_TCC	codon_ACT	codon_GCC	codon_CAT	codon_TGC	codon_CGT	codon_CCG	codon_GCA	codon_TAC	codon_TCA	codon_ACA	codon_GAA	codon_GAT	codon_TTG	codon_CAG	codon_ACG	codon_CGA	codon_CGC	codon_GCT	codon_AGC	codon_CGG	codon_ATT	codon_AAA	codon_AGA	codon_GCG	codon_GAG	codon_GGA	codon_ATG	codon_AAG	codon_TAT	codon_CAC	codon_ATA	codon_AAT	codon_AGT
NC_072436.2	1::NC_072436.2:124951167-124961547(+)	10380	False	0.5027	0						1592.0	1573.0	136.0	128.0	2.0	2.0				17.0	1.0																									1.0							8.0													
NC_072425.2	-3::NC_072425.2:2724-13113(-)	10389	False	0.5015	0						1625.0	1615.0	107.0	106.0		1.0	1.0				6.0																					2.0																								
NC_072425.2	2::NC_072425.2:2725-13114(+)	10389	False	0.5016	0	1617.0	1616.0	107.0	106.0	7.0												2.0										8.0																																		
NC_072425.2	1::NC_072425.2:86145657-86156364(+)	10707	False	0.7172	1	101.0		28.0		76.0	203.0			84.0		86.0		2.0	71.0	101.0	6.0	67.0	303.0	8.0	25.0	4.0	94.0	237.0	1.0		55.0	87.0	197.0	90.0	71.0	2.0	9.0	2.0	93.0	117.0	1.0	69.0	5.0		32.0		171.0	111.0	32.0	62.0	85.0	4.0	212.0	1.0		134.0	141.0	118.0	28.0	46.0			88.0	7.0		2.0
NC_072425.2	-1::NC_072425.2:160041992-160053038(-)	11046	False	0.5003	0	10.0	11.0	1825.0	1829.0	2.0												1.0																														4.0														
NC_072425.2	1::NC_072425.2:160041993-160053039(+)	11046	False	0.5002	0						12.0	10.0	1825.0	1829.0		1.0	1.0										4.0																																							
NC_072425.2	-3::NC_072425.2:160042143-160053174(-)	11031	False	0.5001	0	1815.0	1810.0	22.0	22.0	2.0																															1.0														1.0						4.0					
NC_072425.2	2::NC_072425.2:160042144-160053169(+)	11025	False	0.5	0						1811.0	1815.0	22.0	22.0		1.0							4.0																																											
NC_072423.2	2::NC_072423.2:37-11296(+)	11259	False	0.5	1	632.0	632.0	1244.0	1243.0	1.0																																																				1.0				
NC_072423.2	-2::NC_072423.2:51-11295(-)	11244	False	0.5001	0						633.0	632.0	1241.0	1241.0	1.0																																																			
NC_072423.2	-2::NC_072423.2:167641908-167651931(-)	10023	False	0.5037	0	1457.0	1457.0	213.0	177.0	1.0																		36.0																																						
NC_072423.2	2::NC_072423.2:167641909-167651932(+)	10023	False	0.5036	0						1457.0	1457.0	177.0	213.0		1.0															36.0																																			
NC_072423.2	-3::NC_072423.2:167643224-167653856(-)	10632	False	0.5	0	321.0	321.0	1451.0	1451.0																																																									
NC_072423.2	1::NC_072423.2:167643225-167653857(+)	10632	False	0.4999	0						320.0	321.0	1451.0	1451.0		1.0																																																		
