clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_ACC	codon_TAA	codon_CCC	codon_CCT	codon_AAC	codon_AGC	codon_CTA	codon_GCC	codon_AGG	codon_AGT	codon_GGG	codon_TAG	codon_GAG	codon_TGG	codon_TGT	codon_CAT	codon_TTT	codon_GCT	codon_CTG	codon_GAA	codon_CTC	codon_TTC	codon_AAG	codon_CTT	codon_GAC	codon_GAT	codon_GGT	codon_GTA	codon_ATG	codon_GTG	codon_ATA	codon_TGA	codon_CGA	codon_CAG	codon_GTT	codon_TGC	codon_AAT	codon_ACG	codon_ACA	codon_TTG	codon_GGA	codon_TAT	codon_ATT	codon_ATC	codon_TCT	codon_CGG	codon_CAA	codon_CGT	codon_ACT	codon_CCA	codon_GTC	codon_TCG	codon_TAC	codon_GCG	codon_GGC	codon_CGC	codon_GCA	codon_CAC	codon_TCC	codon_CCG	codon_TCA	codon_AAA	codon_AGA	codon_TTA
NC_072397.2	1::NC_072397.2:5103489-5108991	5502	False	0.616	1	104.0		197.0	198.0	14.0		7.0	8.0	1.0	2.0					2.0	13.0	5.0	1.0	6.0		226.0	84.0		63.0	5.0			1.0			2.0			3.0	1.0	14.0	1.0	1.0	117.0	2.0		2.0	2.0	13.0	82.0		19.0	3.0	11.0	98.0	9.0	10.0	8.0		2.0	3.0	1.0	216.0	247.0	7.0	11.0	8.0	2.0	2.0
NC_072397.2	-1::NC_072397.2:5395367-5403227	7860	False	0.6176	1				1.0	1.0	7.0			339.0	19.0	284.0	7.0	304.0	147.0	163.0		9.0	3.0	3.0	98.0			108.0	1.0	8.0	23.0	155.0	13.0	18.0	287.0	2.0	16.0	3.0	15.0	22.0	3.0	3.0	11.0	1.0	24.0	323.0	4.0	2.0	1.0	2.0	6.0	3.0	4.0		1.0	5.0	5.0	1.0	5.0	14.0		11.0	1.0	2.0	3.0		8.0	121.0	
NC_072397.2	-3::NC_072397.2:5397693-5403195	5502	False	0.6161	1		2.0		1.0	1.0	1.0		2.0	198.0	11.0	197.0	7.0	226.0	98.0	117.0		8.0		3.0	84.0			63.0		9.0	13.0	104.0	8.0	13.0	217.0	2.0	11.0	10.0	6.0	14.0	1.0	2.0	3.0	2.0	18.0	247.0	2.0	1.0		2.0	7.0	2.0	1.0	2.0		5.0		1.0	3.0	8.0		14.0					5.0	82.0	
NC_072397.2	-2::NC_072397.2:44567242-44572576	5334	False	0.4006	0		15.0			21.0				23.0	13.0	7.0	9.0	8.0	214.0	67.0	5.0	8.0	1.0	2.0	250.0	1.0		27.0	1.0	2.0	10.0	7.0	11.0	230.0	74.0	14.0	25.0	8.0	2.0	3.0	18.0	238.0	17.0	9.0	23.0	244.0	16.0	10.0	6.0	1.0	8.0	15.0	13.0	3.0	1.0	2.0	1.0	5.0	2.0	1.0	1.0	23.0	1.0	1.0			41.0	20.0	
NC_072397.2	-1::NC_072397.2:44611970-44617325	5355	False	0.3923	0	2.0	16.0		2.0	19.0	2.0			18.0	17.0		9.0	18.0	207.0	57.0	2.0	7.0	1.0	3.0	248.0		2.0	35.0	1.0	1.0	14.0	9.0	20.0	231.0	68.0	13.0	38.0	4.0	3.0	2.0	14.0	232.0	16.0	6.0	21.0	238.0	14.0	28.0	6.0	2.0	12.0	21.0	8.0	4.0		3.0	3.0	2.0	2.0	1.0		19.0	1.0				44.0	19.0	
NC_072397.2	-2::NC_072397.2:44678737-44683882	5145	False	0.3879	0	2.0	10.0			20.0			1.0	18.0	15.0	7.0	11.0	7.0	201.0	78.0	6.0	8.0	1.0	5.0	273.0			23.0	1.0	4.0	11.0	3.0	17.0	218.0	69.0	15.0	40.0	5.0	1.0	6.0	12.0	225.0	10.0	12.0	22.0	211.0	17.0	17.0	7.0	4.0	3.0	9.0	2.0	1.0	1.0	1.0	3.0	3.0	1.0	4.0	1.0	15.0			2.0		36.0	20.0	
NC_072397.2	1::NC_072397.2:45295125-45301506	6381	False	0.4028	0	4.0		8.0	28.0	12.0	2.0	16.0	5.0	1.0	10.0				2.0	9.0	229.0	46.0	2.0	4.0	3.0	11.0	318.0	3.0	43.0		6.0	1.0	4.0	11.0		6.0		2.0	4.0	35.0	18.0	30.0	24.0	75.0	21.0	1.0	20.0	262.0	6.0	24.0		26.0	17.0	13.0	248.0	5.0	4.0	22.0		1.0	6.0	26.0	108.0	266.0	10.0	36.0	7.0	2.0	24.0
NC_072397.2	2::NC_072397.2:45309070-45315451	6381	False	0.4028	0	4.0		8.0	29.0	12.0	2.0	16.0	5.0	1.0	10.0				2.0	9.0	228.0	46.0	2.0	4.0	3.0	11.0	318.0	3.0	43.0		6.0	1.0	4.0	11.0		7.0		2.0	4.0	35.0	18.0	31.0	24.0	74.0	21.0	1.0	20.0	261.0	6.0	24.0		26.0	17.0	13.0	248.0	5.0	4.0	22.0		1.0	6.0	26.0	108.0	266.0	10.0	36.0	7.0	2.0	24.0
NC_072397.2	-1::NC_072397.2:46100477-46105790	5313	False	0.4107	1	3.0	14.0			25.0	2.0			20.0	20.0	10.0	18.0	14.0	208.0	62.0	14.0	6.0		4.0	240.0		3.0	24.0			14.0	14.0	15.0	199.0	80.0	10.0	27.0	12.0	4.0	4.0	15.0	217.0	28.0	8.0	25.0	231.0	10.0	23.0	10.0	2.0	5.0	9.0	17.0	11.0	1.0	3.0	3.0	1.0	3.0	3.0		26.0		3.0	1.0		41.0	9.0	
NC_072397.2	-3::NC_072397.2:49409496-49416537	7041	False	0.5303	2	3.0		18.0	6.0	2.0	4.0		10.0	95.0	3.0	21.0	919.0	11.0	5.0	2.0	1.0	2.0	4.0	8.0	4.0	4.0	3.0	1.0		5.0	2.0	964.0	1.0	1.0	1.0		1.0	2.0	48.0	86.0	2.0	1.0	3.0	1.0	1.0	10.0			3.0	3.0	9.0	1.0	4.0	1.0	8.0	1.0	3.0		9.0	5.0	9.0	6.0	6.0	7.0	10.0		2.0	5.0	
NC_072397.2	-2::NC_072397.2:49409767-49416040	6273	False	0.5249	2	8.0		10.0	6.0	3.0	3.0		3.0	965.0	2.0	12.0		6.0	4.0				1.0	2.0	3.0	4.0	1.0	1.0		3.0	1.0	1.0	1.0	3.0	5.0		2.0	2.0	6.0	920.0	1.0		1.0	1.0	1.0	6.0				2.0	5.0		3.0		6.0	41.0	1.0		4.0	12.0	3.0	3.0	6.0	3.0	9.0		1.0	4.0	
NC_072397.2	2::NC_072397.2:49410055-49416538	6483	False	0.513	1	3.0		1.0		1.0	1.0		1.0	965.0	2.0	92.0		5.0	3.0						3.0			1.0		3.0	1.0	1.0	1.0	2.0	1.0			1.0	3.0	920.0			1.0	1.0	1.0	5.0					2.0				2.0	40.0			2.0	6.0		2.0			2.0			3.0	83.0
NC_072397.2	3::NC_072397.2:49410224-49416035	5811	False	0.509	0									2.0		961.0		2.0													1.0								2.0				2.0	1.0		3.0									1.0				2.0	1.0						40.0			919.0
NC_072378.2	2::NC_072378.2:430621-436801	6180	False	0.6382	1	2.0		152.0	258.0	2.0	5.0	6.0	4.0	1.0	2.0	1.0		1.0	1.0	4.0	35.0	1.0	25.0	6.0		549.0	3.0		5.0	1.0				1.0	2.0				1.0	1.0	2.0		1.0	2.0	1.0	1.0	5.0	1.0	58.0	266.0	2.0	1.0	59.0	3.0	50.0	66.0	26.0				25.0		5.0	364.0	49.0		1.0	3.0	
NC_072378.2	1::NC_072378.2:430638-436749	6111	False	0.6388	1	1.0		161.0	267.0		1.0	4.0	3.0					1.0	1.0	2.0	54.0	2.0	28.0	4.0	1.0	545.0	5.0	2.0	3.0	1.0		1.0	1.0	1.0				1.0	1.0		2.0		1.0				6.0		53.0	271.0	1.0		64.0		39.0	52.0	25.0	1.0		1.0	24.0	1.0	2.0	344.0	57.0	1.0	1.0		
NC_072378.2	3::NC_072378.2:430658-436721	6063	False	0.6396	1	4.0		156.0	248.0	1.0		6.0			1.0	1.0		1.0	1.0	2.0	49.0	1.0	23.0	4.0		534.0	4.0		4.0			1.0									2.0		1.0	1.0		1.0	5.0		40.0	284.0		1.0	49.0		52.0	62.0	27.0		1.0		27.0		1.0	361.0	61.0	3.0			1.0
NC_072378.2	-1::NC_072378.2:23827356-23839515	12159	False	0.6361	1	4.0	1.0	2.0	6.0	2.0	19.0		3.0	487.0	6.0	464.0	5.0	1238.0	3.0	2.0	4.0		2.0	4.0	19.0	4.0	1.0	19.0	2.0	7.0	6.0	7.0	4.0	5.0	11.0	3.0	9.0	6.0	106.0	1.0		5.0	7.0	5.0	1.0	426.0		2.0	1.0	2.0	24.0	7.0	1.0	2.0	1.0	1.0	1.0	2.0	28.0	100.0		121.0	5.0	1.0	1.0		20.0	827.0	
NC_072378.2	-3::NC_072378.2:23827732-23839525	11793	False	0.6426	1		1.0	1.0		1.0	19.0		1.0	524.0	2.0	444.0		1234.0	5.0				2.0	3.0	18.0			17.0	1.0	8.0	1.0	3.0	2.0		8.0	1.0	3.0	15.0	120.0	1.0	1.0	1.0	5.0	7.0	2.0	414.0			1.0		19.0	3.0		1.0	1.0				22.0	111.0		93.0	2.0	1.0			4.0	808.0	
NC_072378.2	2::NC_072378.2:23827792-23834488	6696	False	0.6544	1						18.0		1.0	278.0	1.0	307.0		695.0	3.0					2.0	11.0			8.0		4.0		2.0	2.0		7.0			13.0	44.0			1.0	4.0	5.0		262.0			1.0		17.0	2.0			1.0				18.0	47.0		39.0	1.0	1.0			3.0	434.0	
NC_072378.2	-2::NC_072378.2:23827802-23836421	8619	False	0.6469	1	1.0					13.0		1.0	369.0	2.0	350.0	2.0	905.0	6.0						7.0			13.0		8.0	2.0	1.0	1.0		2.0	1.0	2.0	7.0	67.0		1.0		5.0	1.0		294.0					17.0	1.0		1.0	1.0				24.0	90.0		62.0	2.0				4.0	610.0	
NC_072378.2	3::NC_072378.2:23832503-23839472	6969	False	0.6385	1	1.0					13.0			277.0	2.0	253.0		713.0	2.0						7.0			4.0		4.0		2.0			3.0	1.0		1.0	72.0				2.0	2.0		218.0					15.0								17.0	88.0		77.0	1.0				3.0	544.0	1.0
NC_072378.2	1::NC_072378.2:25586883-25599510	12627	False	0.3969	0	1.0		4.0	8.0		1.0	1.0	3.0	2.0	160.0	1.0		2.0	162.0	2.0	483.0	159.0		159.0	162.0	315.0	163.0	160.0	1.0		1.0			38.0	1.0	123.0			4.0		36.0			274.0		161.0	2.0	160.0	159.0	465.0		2.0	1.0	2.0	1.0	159.0		126.0		4.0		46.0	159.0	8.0		322.0	2.0	3.0	1.0
NC_072378.2	2::NC_072378.2:25586953-25599583	12630	False	0.3959	0			5.0	6.0	2.0		1.0	2.0	2.0	164.0	1.0		1.0	159.0		478.0	160.0	2.0	162.0	163.0	313.0	159.0	161.0			1.0		1.0	47.0		117.0			1.0		37.0	2.0		286.0	1.0	159.0	2.0	161.0	160.0	467.0		1.0		1.0		162.0		123.0	1.0	4.0		34.0	163.0	8.0		321.0	3.0	6.0	
NC_072378.2	3::NC_072378.2:25586972-25599479	12507	False	0.3965	0			8.0	5.0		1.0				159.0			2.0	162.0		477.0	160.0	2.0	162.0	159.0	312.0	159.0	162.0						34.0	2.0	126.0		1.0			45.0		1.0	283.0		160.0		158.0	159.0	468.0					2.0	159.0		115.0				38.0	160.0	5.0		321.0	1.0	1.0	
NC_072378.2	1::NC_072378.2:169658001-169672956	14955	False	0.4665	0	44.0		52.0	1.0	135.0	6.0	1.0	1.0	2.0	122.0			1.0	119.0	127.0	118.0	2.0		140.0	272.0	11.0	19.0	1.0	1.0	2.0	1.0	1.0	130.0	171.0	138.0				250.0		162.0	258.0	100.0	272.0	1.0	136.0	139.0	28.0	307.0	1.0	9.0	133.0	2.0	144.0	179.0				4.0		100.0	255.0	404.0	129.0	3.0	221.0	1.0	129.0	
NC_072378.2	3::NC_072378.2:169658006-169672799	14793	False	0.4666	0	55.0		43.0		128.0	5.0		1.0	6.0	128.0	1.0			122.0	130.0	108.0			125.0	251.0	16.0	18.0		1.0	1.0	1.0		139.0	160.0	118.0				254.0	1.0	170.0	267.0	100.0	251.0		142.0	125.0	19.0	314.0	1.0	6.0	137.0	8.0	149.0	147.0				9.0		82.0	268.0	424.0	135.0	2.0	229.0	1.0	133.0	
NC_072378.2	2::NC_072378.2:169658053-169673170	15117	False	0.4664	0	53.0		29.0	1.0	138.0	9.0	1.0	1.0	2.0	115.0	1.0			140.0	144.0	103.0	4.0	1.0	134.0	261.0	17.0	29.0			8.0			130.0	177.0	126.0	2.0		1.0	272.0		173.0	269.0	83.0	265.0		128.0	132.0	18.0	325.0		5.0	141.0	3.0	144.0	191.0	1.0		1.0	6.0		100.0	264.0	416.0	120.0	7.0	219.0	1.0	125.0	3.0
NC_072378.2	-2::NC_072378.2:171322556-171328571	6015	False	0.5002	0									196.0		1.0	806.0															806.0								196.0																													
NC_072378.2	1::NC_072378.2:171322557-171328572	6015	False	0.5001	0									806.0		196.0																1.0								806.0																													196.0
NC_072379.2	-2::NC_072379.2:499924-504958	5034	False	0.6955	1	2.0		3.0	12.0				9.0	92.0		531.0	1.0	83.0	77.0	70.0	1.0	3.0	3.0	75.0	3.0	3.0	4.0	1.0	3.0	8.0	73.0	79.0		76.0	89.0	1.0	74.0		4.0	3.0		3.0	2.0		2.0	94.0	1.0	4.0	8.0	76.0	8.0	2.0		2.0	2.0	61.0			3.0	14.0	1.0	4.0		3.0	2.0			3.0	
NC_072379.2	-1::NC_072379.2:5967632-5973788	6156	False	0.7878	2	38.0		378.0	113.0	1.0	77.0		39.0	113.0	76.0	225.0	38.0	151.0	39.0				37.0	37.0	1.0	37.0	1.0					1.0			38.0		37.0	37.0	76.0		1.0	1.0		2.0		5.0		1.0			1.0				38.0		2.0		40.0	110.0	76.0	37.0	37.0	74.0	37.0				
NC_072379.2	-2::NC_072379.2:5971120-5977480	6360	False	0.7896	2	46.0		407.0	108.0		93.0		34.0	110.0	92.0	248.0	32.0	141.0	33.0				47.0	47.0		48.0						1.0			32.0		46.0	32.0	78.0							2.0				1.0				1.0	33.0	1.0	1.0		46.0	109.0	78.0	46.0	32.0	63.0	32.0				
NC_072379.2	3::NC_072379.2:11770748-11776322	5574	False	0.6365	2	177.0		263.0	55.0	14.0	7.0	1.0	5.0	6.0	2.0	8.0		6.0	4.0	1.0	17.0		10.0	4.0	3.0	68.0	1.0	3.0	3.0	5.0	2.0	5.0	2.0	3.0	5.0	14.0		1.0	6.0	3.0	4.0	2.0	6.0	293.0	5.0	4.0	7.0	1.0	10.0	5.0	2.0	12.0	2.0	11.0	204.0	4.0		11.0	6.0	8.0	5.0	6.0	458.0	68.0	4.0	6.0	2.0	7.0	1.0
NC_072379.2	2::NC_072379.2:11771167-11776516	5349	False	0.6384	2	172.0		265.0	54.0	11.0	5.0	5.0	10.0	5.0	1.0	3.0		5.0	4.0	3.0	23.0	3.0	2.0	5.0	2.0	57.0	2.0	1.0	2.0	2.0	1.0	2.0			2.0	12.0		2.0	6.0		5.0	1.0	2.0	293.0	1.0	2.0	1.0	2.0	14.0	5.0		11.0		12.0	195.0	1.0	1.0	10.0		7.0	3.0	2.0	465.0	71.0	5.0	2.0	2.0	3.0	
NC_072379.2	1::NC_072379.2:11771205-11776374	5169	False	0.6392	2	180.0		252.0	48.0	10.0	2.0	1.0	6.0			4.0		1.0	4.0		21.0	1.0	2.0	6.0	2.0	59.0	2.0	1.0	3.0					1.0		10.0		3.0	5.0	1.0	1.0		2.0	285.0		1.0	5.0		14.0	2.0		9.0		13.0	205.0	1.0		8.0		1.0	5.0	7.0	460.0	71.0	2.0	3.0	1.0	2.0	
NC_072379.2	2::NC_072379.2:39015682-39021589	5907	False	0.5783	1	404.0		10.0	19.0	16.0	4.0	1.0	13.0	1.0	3.0					1.0	13.0	1.0		163.0	1.0	52.0	16.0		1.0	28.0				1.0		4.0			38.0		7.0		5.0	149.0				5.0	182.0	37.0	5.0	5.0	16.0	88.0	1.0	22.0	3.0	9.0			7.0	3.0	234.0	374.0	8.0	16.0	3.0		
NC_072379.2	1::NC_072379.2:130951404-130957638	6234	False	0.732	1	4.0		588.0	357.0	1.0		2.0	23.0		1.0					4.0	4.0	5.0	5.0	20.0		382.0	58.0		56.0	2.0		1.0	1.0	1.0	2.0				1.0		9.0	1.0		1.0			1.0		4.0	83.0	2.0		8.0	7.0	9.0	12.0	4.0			1.0	15.0		9.0	359.0	26.0	6.0		1.0	2.0
NC_072379.2	2::NC_072379.2:130951423-130957618	6195	False	0.734	1	5.0		601.0	344.0		1.0	3.0	20.0						2.0	2.0	6.0	5.0	4.0	13.0		386.0	53.0		49.0	1.0			1.0								16.0			1.0	3.0			2.0	4.0	98.0		1.0	13.0	5.0	7.0	11.0	3.0	1.0		2.0	17.0		8.0	351.0	22.0	4.0			
NC_072379.2	-1::NC_072379.2:130951676-130957673	5997	False	0.7375	1	2.0		579.0	348.0	1.0			25.0	1.0	1.0	1.0	1.0		1.0	4.0	4.0	5.0	5.0	14.0	1.0	386.0	39.0		42.0			1.0			1.0	1.0	2.0		1.0		10.0				1.0			3.0	3.0	89.0		1.0	9.0	3.0	6.0	15.0	2.0	3.0	2.0	2.0	13.0	2.0	4.0	349.0	16.0				
NC_072379.2	3::NC_072379.2:130952537-130957595	5058	False	0.7418	1	2.0		511.0	292.0				13.0							3.0	4.0		4.0	9.0		340.0	33.0		33.0												6.0							2.0	2.0	84.0			8.0		4.0	15.0		1.0		2.0	11.0	1.0		299.0	7.0				
NC_072379.2	-1::NC_072379.2:147462359-147469559	7200	False	0.5086	1	2.0	2.0	8.0	5.0	10.0	4.0		4.0	5.0	88.0	20.0	24.0	70.0	427.0	5.0	7.0	2.0	1.0	3.0	105.0	3.0	1.0	13.0	3.0	69.0	272.0	4.0	3.0	350.0	83.0	16.0	22.0	10.0	34.0	4.0	5.0	80.0	38.0	31.0	3.0	435.0	1.0	4.0	6.0		28.0	2.0	2.0	3.0	4.0	5.0	6.0	2.0	2.0	5.0	2.0	12.0	2.0	1.0			1.0	41.0	
NC_072379.2	-2::NC_072379.2:147462379-147469543	7164	False	0.5091	1	1.0	1.0	7.0	4.0	14.0	4.0		5.0	5.0	82.0	11.0	10.0	86.0	410.0	5.0	5.0		4.0	8.0	97.0		2.0	5.0	2.0	55.0	295.0	6.0	5.0	372.0	76.0	22.0	21.0	10.0	36.0	3.0	7.0	70.0	32.0	28.0	3.0	445.0	5.0	1.0	5.0		38.0	2.0	2.0		3.0		8.0	2.0	2.0	1.0	7.0	12.0	3.0	2.0			3.0	38.0	
NC_072379.2	-3::NC_072379.2:147462495-147469578	7083	False	0.506	1	1.0	3.0	4.0		4.0	6.0		3.0	4.0	73.0	12.0	10.0	79.0	410.0	2.0	9.0		2.0	2.0	83.0	1.0	2.0	7.0		51.0	294.0	9.0	4.0	341.0	89.0	12.0	20.0	8.0	30.0	3.0	6.0	93.0	44.0	33.0	7.0	451.0	3.0	2.0	5.0	2.0	36.0	3.0		4.0	1.0	2.0	8.0	3.0	2.0	4.0	2.0	7.0	3.0	2.0			6.0	54.0	
NC_072379.2	-2::NC_072379.2:158526973-158533651	6678	False	0.5	0									964.0		1.0	147.0	1.0														147.0				1.0				965.0																													
NC_072379.2	3::NC_072379.2:158526974-158533646	6672	False	0.4999	0									148.0		964.0						1.0											1.0							146.0																													964.0
NC_072379.2	-3::NC_072379.2:158527173-158532960	5787	False	0.5003	0											1.0	964.0															964.0																																					
NC_072379.2	2::NC_072379.2:158527174-158532961	5787	False	0.5001	0									964.0																		1.0								964.0																													
NC_085930.1	-3::NC_085930.1:209427278-209434949	7671	False	0.5011	0									1271.0		1.0	6.0		1.0				6.0									7.0								1265.0																													
NC_085930.1	1::NC_085930.1:209427279-209434950	7671	False	0.501	0							6.0		6.0		1272.0																1.0								7.0																													1265.0
NC_085930.1	-1::NC_085930.1:209427322-209435518	8196	False	0.5009	0									95.0		1.0	1270.0															1264.0								95.0					1.0															6.0									
NC_085930.1	3::NC_085930.1:209427323-209435519	8196	False	0.5007	0									1270.0		94.0			1.0				6.0									2.0								1264.0																													95.0
NC_072388.2	-3::NC_072388.2:9043-14059	5016	False	0.4996	0		264.0	264.0	571.0	571.0																																												1.0													1.0		
NC_072388.2	3::NC_072388.2:9044-14060	5016	False	0.4998	0	571.0			264.0	265.0		572.0																																																									
NC_072388.2	-1::NC_072388.2:11010-18948	7938	False	0.5081	1	4.0	508.0	511.0	771.0	759.0	12.0		3.0			2.0		1.0	1.0	1.0		3.0	2.0	2.0	1.0	7.0	2.0		3.0	1.0		2.0		1.0	2.0		1.0		1.0	1.0	1.0	1.0				2.0				2.0	7.0		1.0		3.0	3.0	1.0		3.0	3.0	3.0	2.0	1.0	5.0	5.0			1.0	
NC_072388.2	2::NC_072388.2:11011-19405	8394	False	0.5194	1	761.0		16.0	517.0	509.0	2.0	769.0	27.0	7.0	1.0	14.0		7.0	7.0	1.0	3.0	3.0	4.0	8.0	2.0	8.0	3.0		2.0	2.0		6.0			7.0			2.0	4.0	4.0	3.0	1.0	4.0		5.0	3.0			1.0	10.0	12.0	3.0	4.0		3.0	3.0	2.0		5.0	6.0	6.0	1.0	6.0	10.0	7.0	3.0		3.0	1.0
NC_072388.2	-2::NC_072388.2:14057-19823	5766	False	0.5423	2	6.0	760.0	795.0	16.0	6.0	10.0		16.0	12.0	1.0	17.0	10.0	8.0	11.0	3.0	1.0	3.0	4.0	11.0	4.0	15.0	6.0	1.0	4.0		4.0	8.0		3.0	4.0			5.0	9.0	6.0	11.0		5.0	3.0	2.0	9.0	1.0	1.0	1.0	10.0	13.0		4.0	2.0	5.0	6.0	3.0	2.0	11.0	17.0	10.0	2.0	1.0	20.0	15.0		3.0	6.0	
NC_072388.2	2::NC_072388.2:2744221-2750083	5862	False	0.3924	0	6.0		5.0	24.0	2.0		14.0		1.0	3.0					3.0	258.0	43.0	2.0	6.0	2.0	14.0	279.0	1.0	38.0		6.0		3.0	4.0		7.0		7.0	2.0	24.0	18.0	17.0	10.0	63.0	17.0		23.0	286.0	5.0	25.0		20.0	14.0	21.0	232.0	4.0	8.0	19.0			7.0	24.0	62.0	268.0	6.0	31.0	6.0	4.0	10.0
NC_072388.2	3::NC_072388.2:2746745-2752481	5736	False	0.3956	0	9.0		6.0	17.0	4.0		16.0	2.0		5.0					3.0	245.0	51.0	4.0	3.0	3.0	20.0	283.0	1.0	34.0	3.0	3.0	1.0	2.0	7.0		15.0		4.0	3.0	19.0	19.0	24.0	19.0	51.0	24.0		11.0	258.0	11.0	22.0		16.0	17.0	17.0	224.0	1.0	5.0	17.0			3.0	28.0	81.0	249.0	5.0	22.0	8.0	2.0	15.0
