clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_ATG	codon_ATA	codon_GTG	codon_TCA	codon_AAC	codon_CAA	codon_AAA	codon_ACT	codon_TCT	codon_GTA	codon_CCA	codon_CTT	codon_GCA	codon_TAT	codon_CTG	codon_TAC	codon_TTT	codon_CTA	codon_ATC	codon_ACA	codon_GGC	codon_TCC	codon_GGA	codon_AGC	codon_GAA	codon_ACC	codon_CTC	codon_AAG	codon_CCC	codon_GAG	codon_AGG	codon_AGA	codon_AAT	codon_CCT	codon_TGG	codon_GCT	codon_GTT	codon_GTC	codon_CAG	codon_GCC	codon_AGT	codon_CAC	codon_TTG	codon_GGG	codon_GGT	codon_TTC	codon_CAT	codon_GAC	codon_GAT	codon_ATT	codon_CGA	codon_TTA	codon_GCG	codon_CCG	codon_CGC	codon_ACG	codon_CGT	codon_TCG	codon_CGG	codon_TGT	codon_TGC
NC_072407.2	-3::NC_072407.2:415-10516(-)	10101	False	0.5	0																															1680.0						1681.0				1.0			3.0								2.0									
NC_072407.2	3::NC_072407.2:416-10517(+)	10101	False	0.5001	0					2.0													1681.0								1681.0			1.0					2.0																											
NC_072407.2	-3::NC_072407.2:5251273-5266057(-)	14784	False	0.5599	2	78.0	10.0	64.0	143.0	30.0	39.0	38.0	267.0	165.0	1.0	299.0	34.0	65.0	31.0	19.0	11.0	20.0	40.0	101.0	428.0	54.0	291.0	17.0	166.0	35.0	662.0	45.0	38.0	153.0	7.0	29.0	14.0	10.0	199.0	4.0	18.0	24.0	69.0	71.0	192.0	102.0	267.0	30.0	75.0	34.0	107.0	73.0	5.0		51.0	1.0	14.0	14.0	33.0	3.0	95.0	3.0	26.0	9.0	3.0	2.0
NC_072407.2	1::NC_072407.2:5341311-5351793(+)	10482	False	0.6128	2	20.0	8.0	121.0	17.0	6.0	7.0	7.0	167.0	19.0	1.0	382.0	10.0	16.0	3.0	27.0	3.0	7.0	13.0	128.0	434.0	121.0	13.0	15.0	60.0	6.0	876.0	9.0	14.0	244.0	18.0	12.0	7.0	7.0	70.0	16.0	11.0	4.0	13.0	120.0	32.0	41.0	7.0	7.0	15.0	8.0	10.0	4.0	14.0	9.0	14.0	2.0	1.0	3.0	44.0	3.0	168.0	1.0	38.0	6.0	12.0	23.0
NC_072407.2	2::NC_072407.2:5431171-5443480(+)	12309	False	0.5759	2	15.0	19.0	94.0	26.0	47.0	11.0	35.0	167.0	248.0	4.0	69.0	8.0	16.0	5.0	38.0	24.0	15.0	1.0	85.0	450.0	39.0	105.0	59.0	387.0	39.0	536.0	28.0	45.0	145.0	67.0	32.0	42.0	7.0	236.0	29.0	115.0	56.0	21.0	103.0	129.0	24.0	34.0	10.0	36.0	51.0	24.0	22.0	53.0	3.0	3.0	19.0		4.0	25.0	17.0	26.0	13.0	20.0	20.0	13.0	89.0
NC_072407.2	1::NC_072407.2:5492289-5508435(+)	16146	False	0.6444	2	69.0	13.0	181.0	47.0	52.0	5.0	28.0	206.0	60.0	2.0	156.0	40.0	93.0	9.0	154.0	41.0	33.0	15.0	101.0	347.0	144.0	362.0	45.0	174.0	26.0	765.0	49.0	30.0	304.0	113.0	39.0	17.0	14.0	60.0	71.0	48.0	11.0	53.0	98.0	331.0	43.0	108.0	14.0	129.0	36.0	47.0	3.0	49.0	3.0	6.0	8.0	1.0	16.0	91.0	24.0	213.0	27.0	33.0	20.0	31.0	74.0
NC_072407.2	-1::NC_072407.2:64830651-64848159(-)	17508	False	0.4913	2	256.0	34.0	298.0	52.0	69.0	27.0	434.0	34.0	86.0	49.0	229.0	55.0	55.0	6.0	152.0	3.0	63.0	23.0	123.0	31.0	202.0	64.0	153.0	61.0	195.0	26.0	45.0	393.0	256.0	144.0	10.0	10.0	75.0	215.0	32.0	77.0	155.0	94.0	36.0	70.0	45.0	54.0	91.0	117.0	160.0	88.0	41.0	232.0	374.0	130.0	4.0	30.0	12.0	20.0	3.0	7.0	7.0	13.0	4.0	10.0	2.0
NC_072411.2	-1::NC_072411.2:80589769-80607007(-)	17238	False	0.4273	2	57.0	92.0	105.0	86.0	86.0	59.0	282.0	170.0	102.0	114.0	212.0	103.0	119.0	136.0	68.0	53.0	73.0	34.0	81.0	180.0	91.0	39.0	160.0	64.0	329.0	109.0	46.0	150.0	41.0	119.0	29.0	133.0	144.0	152.0	97.0	135.0	209.0	103.0	66.0	82.0	115.0	21.0	40.0	34.0	129.0	70.0	38.0	93.0	206.0	200.0	33.0	59.0	7.0	7.0	20.0	15.0	47.0	3.0	22.0	44.0	33.0
NC_072411.2	-1::NC_072411.2:144465334-144476758(-)	11424	False	0.5004	0					851.0		1.0					1.0			4.0			1046.0								1050.0			1.0			1.0		851.0														1.0						1.0							
NC_072411.2	3::NC_072411.2:144465335-144476759(+)	11424	False	0.5004	0				1.0						1.0							2.0	1.0													1051.0						1045.0	4.0						851.0	2.0	1.0						849.0									
NC_072419.2	-2::NC_072419.2:5967-16329(-)	10362	False	0.5093	0				88.0						9.0																					704.0						705.0				1.0			1022.0								925.0									
NC_072419.2	2::NC_072419.2:5968-16330(+)	10362	False	0.5094	0					925.0			1.0										705.0								713.0			1.0					1021.0														88.0													
NC_072408.2	-2::NC_072408.2:55382236-55394629(-)	12393	False	0.4954	0	9.0	77.0	272.0	448.0	1.0	32.0	41.0	293.0	59.0	45.0	144.0	6.0	83.0	3.0	12.0	4.0	12.0	127.0	3.0	644.0	12.0	6.0	473.0	4.0	140.0	20.0	7.0	3.0	2.0	61.0	21.0	75.0	27.0	22.0	2.0	287.0	55.0	13.0	7.0	4.0	33.0		12.0	349.0	44.0	1.0	1.0	1.0	10.0	48.0	2.0	43.0	5.0	2.0		8.0	1.0	7.0	7.0		1.0
NC_072402.2	-3::NC_072402.2:49-11809(-)	11760	False	0.4998	0																	1.0											1.0			162.0						163.0							1795.0	1.0							1796.0							1.0		
NC_072402.2	3::NC_072402.2:50-11810(+)	11760	False	0.4999	0					1796.0		1.0	1.0										162.0								162.0			2.0					1794.0																		1.0					1.0				
NC_072402.2	-2::NC_072402.2:866-11639(-)	10773	False	0.4999	0																	1.0														1794.0						1794.0				1.0				1.0																
NC_072402.2	1::NC_072402.2:867-11640(+)	10773	False	0.5	0							1.0											1795.0								1794.0			1.0																																
NC_072402.2	-1::NC_072402.2:36308310-36318840(-)	10530	False	0.4122	1	44.0	49.0	66.0	172.0	29.0	74.0	180.0	72.0	143.0	62.0	138.0	40.0	104.0	46.0	36.0	12.0	64.0	36.0	31.0	97.0	22.0	60.0	58.0	25.0	320.0	35.0	22.0	124.0	29.0	152.0	21.0	42.0	66.0	84.0	11.0	75.0	69.0	29.0	71.0	23.0	66.0	25.0	59.0	12.0	44.0	27.0	54.0	63.0	110.0	73.0	4.0	69.0	6.0	15.0	3.0	4.0	9.0	8.0	3.0	16.0	7.0
NC_072420.2	-2::NC_072420.2:759-10962(-)	10203	False	0.5017	0							5.0										1.0														1682.0						1668.0	12.0	14.0					1.0	16.0							2.0									
NC_072420.2	2::NC_072420.2:760-10879(+)	10119	False	0.5004	0					2.0		1.0					1.0			12.0		4.0	1669.0								1680.0			1.0					2.0												1.0															
NC_072420.2	-3::NC_072420.2:764-10871(-)	10107	False	0.5004	0				12.0			5.0																1.0																					1680.0	2.0							1669.0									
NC_072420.2	1::NC_072420.2:765-10872(+)	10107	False	0.5005	0					1668.0		1.0										5.0												1.0					1682.0														12.0													
NC_072409.2	3::NC_072409.2:1037-11111(+)	10074	False	0.5071	0					1390.0													217.0		1.0						252.0	33.0		1.0					1428.0								36.0																			
NC_072404.2	3::NC_072404.2:110413448-110424182(+)	10734	False	0.5061	1	65.0	17.0	46.0	172.0	22.0	10.0	9.0	343.0	210.0	19.0	73.0	24.0	27.0	13.0	27.0	28.0	29.0	5.0	148.0	276.0	18.0	132.0	14.0	131.0	42.0	496.0	54.0	15.0	162.0	86.0	19.0	14.0	32.0	81.0	7.0	21.0	17.0	45.0	19.0	57.0	139.0	76.0	44.0	8.0	23.0	86.0	16.0	21.0	5.0	27.0	5.0	12.0	4.0	10.0	2.0	38.0	1.0	27.0		6.0	3.0
NC_072404.2	2::NC_072404.2:110442616-110484883(+)	42267	False	0.5066	2	169.0	67.0	100.0	806.0	94.0	25.0	26.0	1412.0	801.0	25.0	151.0	55.0	80.0	33.0	69.0	71.0	91.0	13.0	781.0	648.0	98.0	400.0	17.0	623.0	90.0	2088.0	119.0	134.0	582.0	432.0	82.0	39.0	122.0	310.0	16.0	62.0	35.0	89.0	66.0	328.0	686.0	467.0	246.0	57.0	44.0	502.0	52.0	60.0	17.0	197.0	5.0	78.0	49.0	28.0	29.0	114.0	16.0	157.0	10.0	16.0	10.0
NC_072404.2	1::NC_072404.2:110514270-110538945(+)	24675	False	0.5576	1	22.0	36.0	31.0	502.0	11.0	74.0	40.0	280.0	232.0	8.0	278.0	64.0	186.0	5.0	69.0	67.0	56.0	29.0	36.0	911.0	399.0	294.0	90.0	650.0	350.0	604.0	177.0	10.0	160.0	115.0	2.0	30.0	3.0	343.0	17.0	27.0	84.0	88.0	67.0	224.0	244.0	323.0	18.0	20.0	83.0	182.0	12.0	117.0	35.0	9.0	14.0	72.0	24.0	44.0	71.0	154.0	51.0	57.0	15.0	5.0	4.0
NC_072404.2	1::NC_072404.2:110564460-110591907(+)	27447	False	0.49	2	233.0	138.0	253.0	404.0	74.0	8.0	22.0	811.0	501.0	39.0	320.0	195.0	60.0	56.0	34.0	5.0	31.0	6.0	80.0	606.0	26.0	65.0	102.0	650.0	429.0	744.0	17.0	11.0	22.0	130.0	43.0	63.0	44.0	633.0		279.0	137.0	235.0	6.0	244.0	551.0	5.0	24.0	10.0	122.0	3.0	39.0	134.0	52.0	40.0	3.0	146.0	5.0	72.0	3.0	116.0	40.0	15.0	2.0	9.0	2.0
NC_072412.2	-3::NC_072412.2:459-10710(-)	10251	False	0.5	0																															1687.0						1687.0							21.0	1.0							21.0									
NC_072412.2	2::NC_072412.2:460-10711(+)	10251	False	0.5001	0					21.0													1687.0								1687.0			1.0					21.0																											
NC_072412.2	-1::NC_072412.2:488-10613(-)	10125	False	0.5	0																																												1687.0	1.0							1687.0									
NC_072412.2	1::NC_072412.2:489-10614(+)	10125	False	0.5001	0					1687.0																								1.0					1687.0																											
NC_072412.2	-3::NC_072412.2:22520658-22532217(-)	11559	False	0.3762	1	73.0	70.0	55.0	74.0	44.0	69.0	214.0	69.0	79.0	51.0	89.0	130.0	92.0	79.0	53.0	35.0	137.0	47.0	50.0	84.0	25.0	30.0	69.0	33.0	186.0	26.0	38.0	94.0	27.0	70.0	31.0	80.0	137.0	78.0	44.0	66.0	100.0	21.0	87.0	32.0	73.0	33.0	96.0	21.0	35.0	56.0	66.0	66.0	156.0	126.0	19.0	99.0	6.0	3.0	9.0	6.0	12.0	10.0	6.0	50.0	37.0
NC_072412.2	-1::NC_072412.2:108342188-108363185(-)	20997	False	0.3824	2	165.0	149.0	73.0	252.0	114.0	263.0	507.0	140.0	166.0	107.0	175.0	122.0	173.0	87.0	92.0	42.0	123.0	94.0	68.0	216.0	47.0	56.0	117.0	73.0	414.0	41.0	58.0	268.0	62.0	208.0	84.0	168.0	195.0	122.0	35.0	57.0	98.0	43.0	169.0	37.0	155.0	65.0	99.0	60.0	88.0	73.0	134.0	102.0	223.0	174.0	11.0	144.0	8.0	16.0	3.0	13.0	21.0	14.0	11.0	73.0	32.0
NC_072398.2	-3::NC_072398.2:169-10204(-)	10035	False	0.5	0										1.0				1.0			1.0														1661.0						1660.0				1.0			11.0								9.0									
NC_072398.2	3::NC_072398.2:170-10628(+)	10458	False	0.5027	0				1.0	29.0		2.0								14.0	1.0		1682.0		1.0						1697.0	2.0		3.0					42.0								1.0						11.0													
NC_072398.2	3::NC_072398.2:96882521-96894578(+)	12057	False	0.5549	1	4.0	6.0	34.0	262.0	34.0	113.0	26.0	58.0	190.0	19.0	13.0	3.0	101.0	23.0	4.0	28.0	6.0	2.0	6.0	61.0	73.0	237.0	259.0	142.0	129.0	33.0	13.0	17.0	36.0	129.0	111.0	185.0	25.0	11.0	15.0	66.0	16.0	12.0	264.0	59.0	130.0	238.0	6.0	140.0	42.0	18.0	166.0	161.0	58.0	26.0	23.0	5.0	19.0	12.0	24.0	6.0	66.0	22.0	30.0	2.0	
NC_072398.2	3::NC_072398.2:96981866-96993533(+)	11667	False	0.5729	1	4.0	3.0	6.0	231.0	8.0	140.0	7.0	12.0	571.0	1.0	36.0	6.0	5.0	85.0	5.0	67.0	30.0	1.0	3.0	19.0	432.0	235.0	152.0	206.0	24.0	12.0	1.0	10.0	11.0	65.0	38.0	22.0	14.0	36.0	13.0	24.0	2.0	7.0	240.0	7.0	81.0	161.0	10.0	176.0	200.0	6.0	204.0	9.0	11.0	1.0	59.0	14.0		3.0	27.0		53.0	37.0	15.0	24.0	7.0
NC_072416.2	3::NC_072416.2:86606069-86617958(+)	11889	False	0.6705	2	33.0	2.0	69.0	36.0	41.0	23.0	42.0	33.0	44.0	6.0	118.0	25.0	66.0	6.0	166.0	23.0	26.0	14.0	15.0	42.0	161.0	83.0	71.0	168.0	55.0	99.0	77.0	120.0	276.0	206.0	105.0	42.0	12.0	105.0	25.0	71.0	13.0	37.0	165.0	219.0	35.0	87.0	28.0	135.0	49.0	75.0	20.0	123.0	44.0	7.0	17.0	7.0	56.0	90.0	50.0	32.0	13.0	24.0	54.0	24.0	53.0
NC_072414.2	2::NC_072414.2:34658704-34668958(+)	10254	False	0.5141	2	47.0	15.0	56.0	73.0	45.0	69.0	67.0	79.0	112.0	35.0	106.0	46.0	69.0	21.0	81.0	18.0	45.0	24.0	28.0	66.0	59.0	73.0	49.0	95.0	133.0	58.0	52.0	76.0	74.0	145.0	103.0	57.0	62.0	108.0	32.0	84.0	44.0	34.0	151.0	74.0	79.0	65.0	54.0	55.0	42.0	39.0	51.0	76.0	92.0	23.0	10.0	39.0	8.0	12.0	3.0	8.0	11.0	5.0	3.0	41.0	37.0
