clade	species	length	orf_valid	gc_content	gc_stretch_count	codon_AGC	codon_AAC	codon_CAC	codon_TGG	codon_GTC	codon_ACA	codon_CCC	codon_AAG	codon_ACG	codon_TCA	codon_TCC	codon_AGG	codon_GCA	codon_CTC	codon_TAC	codon_AGT	codon_TTG	codon_ATA	codon_AAA	codon_TAT	codon_CTG	codon_CGA	codon_TTT	codon_CAG	codon_GGT	codon_GCT	codon_GAA	codon_GCC	codon_TTC	codon_CCA	codon_TGC	codon_TTA	codon_GTG	codon_ACC	codon_TGT	codon_GAC	codon_CAT	codon_CTT	codon_ATC	codon_CCT	codon_TCT	codon_CGC	codon_CAA	codon_ACT	codon_AGA	codon_GGC	codon_TCG	codon_CGT	codon_CCG	codon_AAT	codon_CTA	codon_GTA	codon_ATG	codon_ATT	codon_GAT	codon_GAG	codon_GGG	codon_GTT	codon_GGA	codon_GCG	codon_CGG
NC_071993.2	1::NC_071993.2:84156735-84164622(+)	7887	False	0.4386	2	33.0	33.0	22.0	9.0	23.0	75.0	42.0	86.0	14.0	84.0	61.0	22.0	61.0	22.0	14.0	66.0	30.0	31.0	158.0	29.0	29.0	5.0	56.0	68.0	22.0	32.0	151.0	45.0	17.0	77.0	4.0	31.0	47.0	62.0	15.0	57.0	34.0	23.0	18.0	64.0	108.0	8.0	52.0	63.0	46.0	28.0	12.0	4.0	7.0	40.0	20.0	37.0	49.0	54.0	95.0	99.0	28.0	58.0	34.0	4.0	11.0
NC_071985.2	-3::NC_071985.2:1983993-2005302(-)	21309	False	0.4928	1	1.0	2.0	1147.0	1.0	404.0	5.0	9.0	2.0				20.0	3.0	1.0		2.0	1.0	2.0	552.0	456.0	4.0		1.0	2.0	1.0	495.0		45.0	2.0	2.0	11.0		1.0		611.0	540.0	414.0		132.0	542.0		10.0	3.0	1.0	2.0	2.0		53.0		1.0	1078.0	7.0	3.0	1.0	2.0	2.0	521.0	1.0	3.0		2.0
NC_071985.2	3::NC_071985.2:98271257-98281220(+)	9963	False	0.5024	1	37.0	12.0	192.0	8.0	22.0	152.0	4.0	12.0	3.0	222.0	121.0	65.0	21.0	3.0	22.0	133.0	8.0	17.0	19.0	40.0	6.0	8.0	41.0	128.0	89.0	20.0	81.0	34.0	9.0	20.0	4.0	4.0	20.0	38.0	20.0	43.0	228.0	3.0	5.0	8.0	176.0	2.0	164.0	148.0	145.0	147.0	2.0	9.0	1.0	16.0	2.0	6.0	4.0	10.0	39.0	103.0	86.0	29.0	307.0	3.0	
NC_071985.2	2::NC_071985.2:98317273-98328352(+)	11079	False	0.5514	2	127.0	38.0	232.0	12.0	12.0	55.0	50.0	20.0	10.0	232.0	213.0	84.0	121.0	4.0	36.0	116.0	8.0	8.0	37.0	30.0	6.0	11.0	5.0	243.0	42.0	46.0	138.0	47.0	18.0	19.0		4.0	37.0	22.0	1.0	140.0	150.0	3.0	3.0	19.0	141.0	22.0	102.0	68.0	173.0	60.0	22.0	53.0	7.0	21.0	5.0	19.0	3.0	18.0	43.0	124.0	131.0	17.0	224.0	1.0	40.0
NC_071985.2	-2::NC_071985.2:217794517-217802917(-)	8400	False	0.5182	2	53.0	38.0	31.0	7.0	52.0	59.0	72.0	95.0	16.0	47.0	59.0	57.0	73.0	30.0	18.0	53.0	25.0	14.0	125.0	27.0	53.0	29.0	25.0	86.0	26.0	65.0	144.0	80.0	10.0	94.0	7.0	19.0	87.0	46.0	6.0	67.0	25.0	31.0	36.0	106.0	87.0	15.0	40.0	47.0	38.0	33.0	7.0	18.0	14.0	38.0	13.0	27.0	34.0	31.0	82.0	128.0	42.0	40.0	23.0	22.0	28.0
NC_071997.2	-2::NC_071997.2:105215956-105232720(-)	16764	False	0.439	2	65.0	64.0	54.0	31.0	46.0	113.0	82.0	141.0	10.0	172.0	58.0	85.0	77.0	36.0	11.0	116.0	157.0	90.0	274.0	46.0	75.0	22.0	85.0	168.0	75.0	40.0	180.0	26.0	62.0	282.0	27.0	109.0	143.0	70.0	47.0	40.0	122.0	101.0	40.0	109.0	285.0	27.0	276.0	108.0	116.0	34.0	15.0	16.0	11.0	93.0	82.0	106.0	143.0	72.0	118.0	233.0	129.0	52.0	97.0	10.0	14.0
NC_071997.2	3::NC_071997.2:111771458-111779069(+)	7611	False	0.4073	1	29.0	66.0	35.0	21.0	32.0	66.0	19.0	78.0	6.0	50.0	44.0	18.0	44.0	35.0	29.0	50.0	40.0	34.0	126.0	49.0	77.0	5.0	76.0	62.0	13.0	63.0	85.0	39.0	65.0	34.0	2.0	47.0	31.0	54.0	4.0	51.0	37.0	53.0	57.0	31.0	61.0	5.0	54.0	45.0	28.0	30.0	3.0	9.0	2.0	93.0	39.0	30.0	36.0	77.0	79.0	66.0	20.0	45.0	46.0	5.0	7.0
NC_071997.2	-2::NC_071997.2:124426561-124445485(-)	18924	False	0.423	0	3.0	1.0	2.0		2.0	204.0	2.0	1.0	41.0	2.0	6.0	5.0	3.0	1.0		3.0		962.0	8.0	2.0	3.0		2.0	4.0	2.0	2.0	1.0	4.0	1.0	4.0	1.0	2.0	2391.0	2.0		1.0	2.0	1.0	1.0	2.0	2.0		1.0			1.0					1.0	1.0	2530.0	1.0		3.0	8.0	3.0	1.0	82.0	
NC_071997.2	-1::NC_071997.2:124426565-124445297(-)	18732	False	0.4214	0	2.0					1.0	1.0			3.0		6.0		2.0		941.0									1450.0	1.0	3.0		2.0		1.0	2.0			3.0	243.0	2.0		1.0	1.0				1.0		82.0				221.0				1.0	3271.0	2.0		1.0			
NC_071997.2	1::NC_071997.2:124426569-124437249(+)	10680	False	0.4211	0						1.0				1949.0	2.0	2.0	1.0						1.0		108.0									845.0		133.0						4.0									49.0		31.0	1.0	429.0	1.0			1.0	1.0	1.0				
NC_071997.2	3::NC_071997.2:124426586-124445267(+)	18681	False	0.4216	0	1.0	1.0			243.0	2.0								2.0		1.0										1.0		82.0	3.0					1450.0					3271.0	6.0				940.0									1.0	221.0		2.0					
NC_071997.2	2::NC_071997.2:124426603-124445278(+)	18675	False	0.4214	0		2.0	2391.0				6.0											1.0		962.0			3.0	1.0											202.0		2529.0			2.0		82.0			1.0			41.0					1.0		1.0						
NC_071997.2	1::NC_071997.2:124437252-124445436(+)	8184	False	0.4244	0	2.0	1.0	4.0	4.0			2.0	1.0		1481.0	7.0					1.0	1.0		1.0		98.0		1.0	2.0	2.0	1.0	2.0	1.0	1.0	647.0	2.0	89.0			1.0		1.0	3.0		3.0	1.0		1.0	1.0			33.0		10.0	1.0	313.0	1.0	2.0				1.0	2.0	2.0		1.0
NC_071997.2	1::NC_071997.2:130153950-130162431(+)	8481	False	0.8046	1	3.0	2.0	3.0	373.0	1.0	6.0	228.0	1.0	2.0	2.0	5.0	4.0	11.0	6.0		4.0	2.0	1.0	3.0		467.0	1.0		6.0	8.0	391.0	2.0	123.0	6.0	8.0	130.0		6.0	1.0	2.0	6.0	3.0	5.0	1.0	103.0		27.0	2.0		1.0	396.0		1.0	26.0	1.0			2.0	1.0	2.0	12.0	378.0	1.0	3.0	23.0	25.0
NC_071997.2	-3::NC_071997.2:130154154-130162965(-)	8811	False	0.7979	1	395.0	3.0	5.0	10.0	9.0	8.0	380.0	9.0	2.0	4.0	5.0	102.0	135.0	13.0		1.0	3.0			2.0	12.0		1.0	472.0	2.0	7.0	5.0	398.0	3.0	375.0	12.0		4.0	4.0	7.0	2.0	1.0	2.0	6.0	15.0	5.0	22.0	2.0	4.0	2.0	126.0	2.0	5.0	26.0	1.0	3.0		6.0	2.0	3.0	11.0	238.0	1.0	8.0	28.0	28.0
NC_071997.2	3::NC_071997.2:130154300-130162421(+)	8121	False	0.8125	1	2.0		3.0	368.0		1.0	250.0	1.0		1.0	2.0	2.0	4.0								494.0		1.0	4.0	1.0	389.0	2.0	102.0	1.0	3.0	121.0		3.0	1.0	2.0	1.0				74.0	3.0	25.0		3.0	4.0	389.0		2.0	27.0				1.0			1.0	366.0	2.0	3.0	23.0	25.0
NC_071997.2	2::NC_071997.2:130154365-130162543(+)	8178	False	0.8111	1	6.0		5.0	364.0	2.0	1.0	224.0	4.0	2.0	3.0	3.0	2.0	4.0	3.0		1.0	1.0		1.0		485.0			4.0	1.0	389.0	2.0	131.0	3.0	1.0	96.0	2.0	4.0	1.0	3.0	1.0	1.0			106.0	1.0	27.0				391.0	1.0		24.0				2.0	1.0		1.0	370.0	2.0	4.0	24.0	22.0
NC_071997.2	-2::NC_071997.2:130154386-130162414(-)	8028	False	0.8146	1	388.0	1.0	2.0			2.0	368.0				2.0	103.0	96.0								4.0	1.0	1.0	485.0		3.0	1.0	387.0		363.0	4.0		4.0				1.0	3.0		2.0		24.0	1.0	1.0		128.0		2.0	22.0				1.0			2.0	222.0		2.0	26.0	24.0
NC_071997.2	-1::NC_071997.2:130154462-130162439(-)	7977	False	0.8152	1	385.0	1.0	2.0	2.0			365.0		1.0	1.0	1.0	73.0	121.0			3.0			2.0		1.0	1.0		491.0				388.0	1.0	366.0	1.0		2.0	1.0	1.0			1.0		1.0	1.0	21.0				100.0			24.0								250.0		1.0	24.0	26.0
NC_071992.2	-3::NC_071992.2:160359319-160379362(-)	20043	False	0.7017	2	133.0	63.0	95.0	53.0	175.0	38.0	188.0	145.0	118.0	9.0	135.0	75.0	64.0	202.0	140.0	12.0	20.0	3.0	14.0	11.0	562.0	18.0	19.0	376.0	24.0	49.0	27.0	516.0	122.0	51.0	41.0	2.0	340.0	194.0	13.0	297.0	7.0	17.0	152.0	20.0	23.0	261.0	20.0	33.0	24.0	371.0	73.0	26.0	61.0	3.0	11.0	8.0	111.0	15.0	25.0	574.0	181.0	11.0	21.0	108.0	181.0
NC_071992.2	2::NC_071992.2:160359343-160372684(+)	13341	False	0.7338	2	8.0		236.0	24.0	222.0		122.0		16.0		1.0	1.0	25.0	431.0		16.0	2.0		8.0	1.0	235.0	65.0	1.0	370.0	143.0	92.0	77.0	279.0	3.0	33.0	24.0		59.0	8.0	1.0	135.0	77.0	87.0	2.0	19.0	9.0	85.0	8.0			398.0	16.0	88.0	140.0			103.0			98.0	126.0	129.0	36.0	106.0	234.0	48.0
NC_071992.2	-3::NC_071992.2:161620924-161629171(-)	8247	False	0.5053	0		331.0					4.0															38.0					3.0							1040.0						330.0									1.0		1002.0										
NC_071992.2	3::NC_071992.2:161620925-161629172(+)	8247	False	0.5052	0												1002.0													4.0				1.0			330.0															3.0										331.0	1040.0			38.0
NC_071996.2	3::NC_071996.2:3461129-3470660(+)	9531	False	0.4075	0	3.0	6.0	147.0	2.0	4.0	107.0	14.0	7.0	25.0	49.0	414.0	3.0	28.0	19.0	38.0	10.0	25.0	15.0	10.0	24.0	8.0	8.0	78.0	12.0	1.0	8.0	4.0	2.0	454.0	390.0	38.0	21.0	1.0	10.0	8.0	3.0	373.0	37.0	24.0	35.0	22.0	9.0	33.0	28.0	3.0		11.0	47.0	11.0	34.0	36.0	3.0	4.0	404.0	10.0			55.0		2.0	
NC_071996.2	1::NC_071996.2:4856481-4864179(+)	7698	False	0.3931	0		6.0	93.0	2.0	5.0	95.0	8.0	3.0	8.0	51.0	332.0	1.0	27.0	14.0	28.0	6.0	25.0	16.0	10.0	20.0	4.0	5.0	73.0	7.0	1.0	4.0	3.0	10.0	371.0	291.0	34.0	26.0	4.0	11.0	8.0	2.0	334.0	48.0	13.0	27.0	23.0	5.0	31.0	15.0	3.0		5.0	15.0	15.0	37.0	20.0	1.0	5.0	330.0	7.0			26.0		2.0	
NC_071996.2	3::NC_071996.2:69778559-69787973(+)	9414	False	0.3887	2	29.0	39.0	24.0	25.0	33.0	106.0	30.0	105.0	9.0	61.0	47.0	30.0	51.0	23.0	11.0	64.0	32.0	63.0	202.0	43.0	34.0	11.0	73.0	79.0	33.0	45.0	239.0	24.0	18.0	65.0	8.0	46.0	41.0	45.0	20.0	50.0	58.0	48.0	47.0	65.0	84.0	4.0	113.0	78.0	67.0	19.0	9.0	13.0	9.0	95.0	22.0	40.0	60.0	97.0	115.0	84.0	22.0	67.0	57.0	3.0	4.0
NC_071996.2	-1::NC_071996.2:81199781-81217019(-)	17238	False	0.4268	2	66.0	82.0	25.0	97.0	100.0	185.0	37.0	150.0	13.0	86.0	41.0	26.0	115.0	44.0	57.0	112.0	42.0	92.0	281.0	133.0	70.0	33.0	74.0	65.0	130.0	136.0	333.0	82.0	67.0	212.0	33.0	55.0	105.0	104.0	44.0	93.0	35.0	105.0	82.0	152.0	103.0	19.0	59.0	174.0	134.0	90.0	2.0	47.0	10.0	150.0	35.0	113.0	59.0	199.0	206.0	115.0	34.0	210.0	159.0	9.0	25.0
NC_071996.2	1::NC_071996.2:88620000-88629060(+)	9060	False	0.3466	1	36.0	54.0	22.0	10.0	24.0	78.0	9.0	93.0	5.0	97.0	36.0	24.0	55.0	27.0	18.0	71.0	63.0	69.0	200.0	51.0	24.0	2.0	93.0	43.0	18.0	62.0	186.0	19.0	21.0	59.0	8.0	89.0	35.0	38.0	40.0	59.0	48.0	61.0	35.0	54.0	99.0	1.0	92.0	74.0	44.0	16.0	4.0	5.0	2.0	134.0	30.0	43.0	68.0	111.0	92.0	53.0	16.0	65.0	32.0	3.0	
NC_071996.2	1::NC_071996.2:88631148-88640598(+)	9450	False	0.3384	1	44.0	42.0	19.0	7.0	19.0	76.0	15.0	64.0	2.0	122.0	39.0	25.0	50.0	27.0	18.0	60.0	54.0	97.0	199.0	69.0	30.0	5.0	85.0	48.0	23.0	45.0	180.0	17.0	33.0	60.0	9.0	90.0	48.0	26.0	36.0	51.0	52.0	60.0	37.0	39.0	113.0	1.0	103.0	61.0	63.0	11.0	6.0	3.0	5.0	131.0	38.0	50.0	59.0	138.0	133.0	68.0	13.0	96.0	32.0	3.0	1.0
NC_071996.2	2::NC_071996.2:144422803-144433750(+)	10947	False	0.5275	2	15.0	3.0	501.0	4.0	13.0	141.0	68.0	2.0	25.0	540.0	258.0	6.0	11.0	282.0	4.0	180.0	3.0	3.0	6.0		22.0	4.0	9.0	143.0	24.0	17.0	1.0	16.0	147.0	212.0	8.0	10.0	6.0	8.0	10.0	4.0	7.0	24.0	3.0	209.0	17.0	26.0	5.0	128.0	7.0	14.0	13.0	11.0	19.0	1.0	3.0	40.0	5.0	3.0	3.0	7.0	4.0	362.0	3.0	10.0	19.0
NC_071996.2	1::NC_071996.2:144423375-144433509(+)	10134	False	0.5204	2	9.0	2.0	238.0	4.0	10.0	266.0	41.0	2.0	18.0	300.0	358.0	3.0	13.0	549.0	35.0	383.0	1.0		1.0		10.0	7.0	5.0	188.0	10.0	14.0	2.0	10.0	226.0	49.0	3.0	4.0	3.0	62.0	8.0	2.0	1.0	15.0	9.0	104.0	3.0	15.0	3.0	181.0	3.0	10.0	2.0	7.0	12.0	3.0				3.0	3.0	3.0	4.0	130.0		10.0	21.0
NC_071996.2	3::NC_071996.2:144424175-144432998(+)	8823	False	0.5016	1	2.0		424.0	1.0	2.0	68.0	14.0		4.0	245.0	123.0	1.0	7.0	291.0	48.0	115.0	1.0				9.0		3.0	381.0		3.0		3.0	332.0	61.0	4.0	33.0	1.0	1.0	11.0		1.0	17.0		139.0	4.0	3.0	2.0	383.0		2.0		4.0	5.0				3.0	1.0	1.0		1.0	183.0		1.0	3.0
NC_071998.2	2::NC_071998.2:5197786-5205484(+)	7698	False	0.3993	0	2.0	6.0	117.0		4.0	85.0	11.0	3.0	14.0	40.0	325.0		23.0	10.0	25.0	6.0	20.0	14.0	10.0	15.0	4.0	6.0	72.0	7.0	1.0	2.0	3.0	2.0	360.0	306.0	26.0	32.0	1.0	6.0	8.0	5.0	318.0	35.0	23.0	37.0	29.0	5.0	34.0	24.0	6.0		9.0	32.0	20.0	29.0	13.0	1.0	5.0	334.0	5.0			35.0	1.0		
NC_071998.2	-1::NC_071998.2:22554155-22562891(-)	8736	False	0.3921	2	32.0	52.0	19.0	18.0	13.0	56.0	28.0	83.0	4.0	108.0	52.0	20.0	45.0	17.0	12.0	95.0	55.0	48.0	139.0	32.0	27.0	1.0	89.0	74.0	38.0	44.0	155.0	31.0	39.0	78.0	8.0	70.0	26.0	31.0	36.0	53.0	52.0	55.0	21.0	67.0	116.0	1.0	66.0	75.0	43.0	22.0	7.0	5.0	4.0	127.0	27.0	37.0	39.0	61.0	123.0	106.0	38.0	51.0	36.0	3.0	2.0
NC_071998.2	-2::NC_071998.2:129606004-129614722(-)	8718	False	0.5097	0		1.0					1.0														82.0													1449.0		2.0		1.0		3.0											1367.0										
NC_071998.2	3::NC_071998.2:129606005-129614723(+)	8718	False	0.5097	0					82.0					2.0		1450.0													1.0							1.0																									3.0	1367.0			
NC_071998.2	-1::NC_071998.2:129606023-129615071(-)	9048	False	0.5092	0		1408.0					2.0								1.0				1.0											1.0				15.0		82.0				1490.0				1.0							15.0										
NC_071998.2	1::NC_071998.2:129606024-129614823(+)	8799	False	0.5095	0										82.0		11.0																				1373.0																									1456.0	11.0			
NC_071990.2	-3::NC_071990.2:23816269-23827528(-)	11259	False	0.6359	1	4.0	1.0	8.0	1.0	7.0	3.0	500.0	2.0		5.0	272.0	4.0	1.0	1064.0	1.0	1.0	5.0			3.0	81.0	1.0	16.0	3.0	3.0	5.0	1.0	164.0	11.0	4.0	94.0	1.0	6.0	3.0	8.0		2.0	17.0	2.0	441.0	921.0	21.0	3.0	3.0	1.0	3.0	19.0	3.0	10.0	2.0	2.0	2.0	1.0	2.0	3.0	4.0	2.0	4.0	1.0	1.0	
NC_071990.2	-2::NC_071990.2:23816555-23827538(-)	10983	False	0.6414	1	4.0		3.0	1.0	10.0		424.0	1.0		4.0	429.0		1.0	1187.0		1.0					94.0		2.0	6.0		3.0		98.0	14.0	3.0	137.0	1.0	7.0	1.0	11.0		1.0	10.0		374.0	775.0	26.0	2.0	1.0		1.0	20.0	2.0	2.0					1.0	1.0		1.0	1.0	1.0		
NC_071990.2	-1::NC_071990.2:23816625-23827563(-)	10938	False	0.641	1	2.0		2.0	1.0	8.0	1.0	351.0	1.0		3.0	335.0		1.0	1208.0		3.0	2.0		2.0	2.0	144.0		4.0	1.0	1.0	3.0		111.0	9.0	5.0	79.0	1.0	4.0	2.0	7.0			10.0		573.0	710.0	20.0		1.0		1.0	26.0	9.0	2.0									1.0			
NC_071990.2	2::NC_071990.2:23816662-23827555(+)	10893	False	0.6414	1	2.0	2.0	4.0	2.0		8.0		10.0	2.0			439.0	91.0			2.0	1.0		3.0		1.0	19.0		80.0	1.0	3.0	8.0		1.0			1.0	4.0			7.0		1.0				1.0	1.0	1.0	918.0	161.0				1.0	1.0				1.0	1057.0	499.0		269.0	20.0	9.0
NC_071990.2	3::NC_071990.2:23819624-23827529(+)	7905	False	0.6301	1	1.0	1.0	1.0	2.0		8.0		4.0				267.0	116.0						1.0		3.0			91.0		2.0	8.0						2.0			5.0									597.0	77.0							1.0			887.0	254.0		306.0	1.0	
NC_071990.2	2::NC_071990.2:172461484-172470706(+)	9222	False	0.3776	0	5.0	2.0	8.0						1.0	1.0		1.0			271.0	40.0	23.0	67.0	1.0		229.0		1.0	1.0		81.0	273.0		256.0	1.0			467.0		1.0	4.0	1.0							444.0	1.0	1.0			48.0	469.0		212.0	13.0	41.0		89.0		20.0			1.0
NC_071990.2	-3::NC_071990.2:172461487-172470817(-)	9330	False	0.3773	0	81.0	20.0	473.0	1.0	4.0	1.0								89.0	216.0	449.0			1.0	67.0	1.0		1.0	231.0		5.0	256.0	1.0	275.0			2.0	10.0			2.0	13.0			1.0	1.0		25.0	40.0				1.0	1.0	43.0		273.0	1.0	475.0				2.0			48.0
NC_085928.1	-3::NC_085928.1:2341-11347(-)	9006	False	0.5167	0										9.0		1289.0											2.0		80.0	26.0						166.0																									176.0	1218.0			36.0
NC_085928.1	3::NC_085928.1:2342-11348(+)	9006	False	0.5168	0		168.0					81.0															36.0						26.0						1218.0		9.0				175.0											1289.0										
NC_085928.1	-1::NC_085928.1:3339-11409(-)	8070	False	0.5198	0										8.0		1.0		17.0										9.0	11.0				19.0			1201.0																			9.0	80.0					1334.0	1.0			
NC_085928.1	2::NC_085928.1:3340-11293(+)	7953	False	0.5179	0	26.0	1218.0					1.0												1.0															80.0						1289.0									36.0												
NC_085928.1	-3::NC_085928.1:209536363-209544817(-)	8454	False	0.5004	0		17.0					2.0				1.0																							1390.0						17.0	1.0			1.0							1389.0										
NC_085928.1	3::NC_085928.1:209536364-209544818(+)	8454	False	0.5002	0												1389.0													1.0							17.0																				2.0				2.0	18.0	1389.0			
NC_085928.1	-2::NC_085928.1:209536370-209544713(-)	8343	False	0.5003	0		1389.0					2.0								1.0																									1389.0																					
